Name,Republican,Democratic,Independent
SenatorCollins,0.8888888888888888,0.07407407407407407,0.037037037037037035
SenAlexPadilla,0.0,1.0,0.0
SenAmyKlobuchar,0.3333333333333333,0.5833333333333334,0.08333333333333333
SenAngusKing,0.5,0.0,0.5
SenatorCardin,0.4166666666666667,0.5833333333333334,0.0
SenatorLujan,0.0,0.0,0.0
SenSanders,0.2,0.6,0.2
BillCassidy,0.9285714285714286,0.0,0.07142857142857142
SenatorHagerty,1.0,0.0,0.0
SenBobCasey,0.0,1.0,0.0
SenatorMenendez,0.42857142857142855,0.5714285714285714,0.0
brianschatz,0.0,0.6666666666666666,0.3333333333333333
SenCortezMasto,0.25,0.75,0.0
ChrisCoons,0.0,1.0,0.0
ChrisVanHollen,0.06666666666666667,0.9333333333333333,0.0
ChrisMurphyCT,0.0,0.0,0.0
ChuckGrassley,1.0,0.0,0.0
SenSchumer,0.3,0.5,0.2
SenHydeSmith,0.9,0.1,0.0
SenBooker,0.14285714285714285,0.8571428571428571,0.0
SenLummis,0.8,0.2,0.0
SenDanSullivan,0.0,0.0,0.0
SenatorFischer,0.25,0.75,0.0
SenStabenow,0.375,0.625,0.0
SenatorDurbin,0.4,0.4,0.2
SenMarkey,0.0,1.0,0.0
SenWarren,0.0,0.0,0.0
SenEricSchmitt,0.75,0.25,0.0
SenGaryPeters,0.3333333333333333,0.6666666666666666,0.0
SenVancePress,0.875,0.125,0.0
SenJackReed,0.375,0.5625,0.0625
SenJackyRosen,0.3333333333333333,0.6666666666666666,0.0
SenatorLankford,0.8,0.13333333333333333,0.06666666666666667
SenatorShaheen,0.14285714285714285,0.8571428571428571,0.0
SenJeffMerkley,0.0,0.9285714285714286,0.07142857142857142
JerryMoran,0.6,0.4,0.0
SenatorRisch,0.7857142857142857,0.21428571428571427,0.0
JoeManchinIII,0.0,1.0,0.0
SenJohnBarrasso,0.7272727272727273,0.09090909090909091,0.18181818181818182
JohnBoozman,0.875,0.125,0.0
JohnCornyn,1.0,0.0,0.0
SenFettermanPA,0.25,0.75,0.0
SenatorHick,0.0,0.6666666666666666,0.3333333333333333
SenJohnHoeven,0.9333333333333333,0.06666666666666667,0.0
SenJohnKennedy,1.0,0.0,0.0
SenJohnThune,0.8695652173913043,0.13043478260869565,0.0
ossoff,0.3333333333333333,0.5833333333333334,0.08333333333333333
SenatorTester,0.25,0.75,0.0
SenJoniErnst,0.75,0.25,0.0
HawleyMO,1.0,0.0,0.0
SenKatieBritt,1.0,0.0,0.0
SenKevinCramer,1.0,0.0,0.0
SenGillibrand,0.14285714285714285,0.7142857142857143,0.14285714285714285
SenatorSinema,0.5,0.375,0.125
Senlaphonza,0.0,1.0,0.0
JeffMerkley,0.6666666666666666,0.2222222222222222,0.1111111111111111
lisamurkowski,0.9,0.0,0.1
SenatorHassan,0.3333333333333333,0.6666666666666666,0.0
marcorubio,1.0,0.0,0.0
SenatorCantwell,0.0,0.8,0.2
SenMarkKelly,0.4117647058823529,0.47058823529411764,0.11764705882352941
MarkWarner,0.0,0.0,0.0
SenMullin,0.75,0.0,0.25
MarshaBlackburn,0.5,0.5,0.0
SenatorHeinrich,0.3333333333333333,0.6666666666666666,0.0
maziehirono,0.0,1.0,0.0
SenatorBennet,0.5,0.375,0.125
SenatorBraun,0.7647058823529411,0.23529411764705882,0.0
MikeCrapo,0.875,0.125,0.0
SenMikeLee,0.9375,0.0,0.0625
SenatorRounds,0.625,0.375,0.0
LeaderMcConnell,0.6666666666666666,0.25,0.08333333333333333
SenatorRomney,0.625,0.25,0.125
PattyMurray,0.3333333333333333,0.6666666666666666,0.0
SenatorRicketts,0.8,0.2,0.0
SenPeterWelch,0.0,0.9375,0.0625
SenRandPaul,1.0,0.0,0.0
ReverendWarnock,0.25,0.6666666666666666,0.08333333333333333
SenBlumenthal,0.2222222222222222,0.7222222222222222,0.05555555555555555
SenRickScott,0.9090909090909091,0.09090909090909091,0.0
RogerMarshallMD,0.9285714285714286,0.07142857142857142,0.0
SenatorWicker,0.8333333333333334,0.16666666666666666,0.0
RonWyden,0.0,0.0,0.0
SenRonJohnson,0.0,0.0,0.0
SenWhitehouse,0.0,1.0,0.0
SenCapito,1.0,0.0,0.0
SenSherrodBrown,0.3,0.6,0.1
SteveDaines,1.0,0.0,0.0
SenatorBaldwin,0.1,0.7,0.2
SenDuckworth,0.0,0.95,0.05
SenTedBuddNC,1.0,0.0,0.0
SenTedCruz,1.0,0.0,0.0
SenThomTillis,0.75,0.2,0.05
SenTimKaine,0.14285714285714285,0.8571428571428571,0.0
SenatorTimScott,0.8333333333333334,0.16666666666666666,0.0
SenTinaSmith,0.07142857142857142,0.8571428571428571,0.07142857142857142
SenToddYoung,1.0,0.0,0.0
SenatorCarper,0.375,0.625,0.0
SenTomCotton,1.0,0.0,0.0
SenTuberville,0.8,0.2,0.0
