SenatorCollins,@SenatorBraun,@MarshaBlackburn,@PattyMurray,@HawleyMO,@LeaderMcConnell,@SenAngusKing,@SenatorRomney,@SenKatieBritt,@SenRandPaul,@SenTomCotton,@JohnCornyn,@SenTedCruz,@SenMullin,@lisamurkowski,@SenTuberville,@SenJohnHoeven,@SenatorCollins,@BillCassidy,@ChuckGrassley,@SenJohnThune,@SenJoniErnst,@SenRickScott,@marcorubio,@SenMikeLee,@SenatorRisch,@SenatorTimScott,@SenAmyKlobuchar
SenAlexPadilla,@Senlaphonza,@SenAlexPadilla,@SenatorHeinrich,,,,,,,,,,,,,,,,,,,,,,,,
SenAmyKlobuchar,@SenTuberville,@SenBlumenthal,@SenatorBennet,@SenSchumer,@SenJackReed,@HawleyMO,@SenWarren,@SenatorFischer,@SenFettermanPA,@SenTedCruz,@SenSanders,@SenAmyKlobuchar,,,,,,,,,,,,,,,
SenAngusKing,@SenAngusKing,@SenatorCollins,,,,,,,,,,,,,,,,,,,,,,,,,
SenatorCardin,@SenStabenow,@Senlaphonza,@SenatorWicker,@SenatorBraun,@JeffMerkley,@ChrisVanHollen,@SenatorRomney,@SenatorMenendez,@SenatorCarper,@SenatorCardin,@LeaderMcConnell,@SenTimKaine,,,,,,,,,,,,,,,
SenatorLujan,,,,,,,,,,,,,,,,,,,,,,,,,,,
SenSanders,@SenSherrodBrown,@SenWarren,@SenAlexPadilla,@SenSanders,@SenMullin,,,,,,,,,,,,,,,,,,,,,,
BillCassidy,@SenJohnHoeven,@SenatorSinema,@SenJohnThune,@SenatorBraun,@JeffMerkley,@SenatorRomney,@marcorubio,@SenatorCollins,@SenKatieBritt,@SenatorRisch,@BillCassidy,@JohnCornyn,@SenatorTimScott,@lisamurkowski,,,,,,,,,,,,,
SenatorHagerty,@JohnBoozman,@SenatorBraun,@MikeCrapo,@MarshaBlackburn,@HawleyMO,@SenatorHagerty,,,,,,,,,,,,,,,,,,,,,
SenBobCasey,@SenSherrodBrown,@SenBobCasey,@SenSchumer,@SenPeterWelch,@SenatorBaldwin,,,,,,,,,,,,,,,,,,,,,,
SenatorMenendez,@RonWyden,@SenatorRomney,@SenatorMenendez,@SenFettermanPA,@SenatorCardin,@SenTedCruz,@LeaderMcConnell,,,,,,,,,,,,,,,,,,,,
brianschatz,@SenWarren,@SenSanders,@SenAlexPadilla,,,,,,,,,,,,,,,,,,,,,,,,
SenCortezMasto,@JohnBoozman,@Senlaphonza,@SenCortezMasto,@SenJackyRosen,,,,,,,,,,,,,,,,,,,,,,,
ChrisCoons,@ChrisCoons,,,,,,,,,,,,,,,,,,,,,,,,,,
