Name,Republican,Democratic,Independent
SenKatieBritt,1.0,0.0,0.0
SenTuberville,0.8666666666666667,0.13333333333333333,0.0
lisamurkowski,0.631578947368421,0.34210526315789475,0.02631578947368421
SenDanSullivan,0.9545454545454546,0.0,0.045454545454545456
SenMarkKelly,0.0,0.0,0.0
SenatorSinema,0.4666666666666667,0.5333333333333333,0.0
JohnBoozman,1.0,0.0,0.0
SenTomCotton,1.0,0.0,0.0
Senlaphonza,0.0,1.0,0.0
SenAlexPadilla,0.09090909090909091,0.8181818181818182,0.09090909090909091
SenatorBennet,0.05555555555555555,0.9444444444444444,0.0
SenatorHick,0.0,1.0,0.0
SenBlumenthal,0.0,0.95,0.05
ChrisMurphyCT,0.3333333333333333,0.6666666666666666,0.0
SenatorCarper,0.043478260869565216,0.9130434782608695,0.043478260869565216
ChrisCoons,0.0,1.0,0.0
marcorubio,1.0,0.0,0.0
SenRickScott,1.0,0.0,0.0
ossoff,0.0,1.0,0.0
ReverendWarnock,0.0,1.0,0.0
maziehirono,0.0,1.0,0.0
brianschatz,0.0,1.0,0.0
MikeCrapo,1.0,0.0,0.0
SenatorRisch,1.0,0.0,0.0
SenDuckworth,0.0,1.0,0.0
SenatorDurbin,0.0,1.0,0.0
SenatorBraun,1.0,0.0,0.0
SenToddYoung,1.0,0.0,0.0
SenJoniErnst,1.0,0.0,0.0
ChuckGrassley,1.0,0.0,0.0
RogerMarshallMD,1.0,0.0,0.0
JerryMoran,1.0,0.0,0.0
LeaderMcConnell,1.0,0.0,0.0
SenRandPaul,1.0,0.0,0.0
BillCassidy,1.0,0.0,0.0
SenJohnKennedy,1.0,0.0,0.0
SenatorCollins,0.7,0.3,0.0
SenAngusKing,0.14285714285714285,0.8571428571428571,0.0
SenatorCardin,0.05263157894736842,0.9473684210526315,0.0
ChrisVanHollen,0.0,1.0,0.0
SenMarkey,0.0,1.0,0.0
SenWarren,0.0,0.875,0.125
SenGaryPeters,0.0,1.0,0.0
SenStabenow,0.0,1.0,0.0
SenAmyKlobuchar,0.0,1.0,0.0
SenTinaSmith,0.08333333333333333,0.9166666666666666,0.0
SenHydeSmith,1.0,0.0,0.0
SenatorWicker,0.9523809523809523,0.047619047619047616,0.0
HawleyMO,1.0,0.0,0.0
SenEricSchmitt,1.0,0.0,0.0
SteveDaines,0.9473684210526315,0.05263157894736842,0.0
SenatorTester,0.27586206896551724,0.6896551724137931,0.034482758620689655
SenatorFischer,0.8846153846153846,0.11538461538461539,0.0
SenatorRicketts,0.9,0.1,0.0
SenCortezMasto,0.058823529411764705,0.9411764705882353,0.0
SenJackyRosen,0.06666666666666667,0.8666666666666667,0.06666666666666667
SenatorHassan,0.24242424242424243,0.7272727272727273,0.030303030303030304
SenatorShaheen,0.13043478260869565,0.8260869565217391,0.043478260869565216
SenBooker,0.07692307692307693,0.9230769230769231,0.0
SenatorMenendez,0.11764705882352941,0.8823529411764706,0.0
SenatorHeinrich,0.08695652173913043,0.8695652173913043,0.043478260869565216
SenatorLujan,0.16666666666666666,0.8333333333333334,0.0
SenGillibrand,0.0,0.8571428571428571,0.14285714285714285
SenSchumer,0.0,0.875,0.125
SenTedBuddNC,0.4,0.6,0.0
SenThomTillis,0.9473684210526315,0.05263157894736842,0.0
SenKevinCramer,0.75,0.25,0.0
SenJohnHoeven,1.0,0.0,0.0
SenSherrodBrown,0.045454545454545456,0.9545454545454546,0.0
SenVancePress,0.0,0.0,0.0
SenatorLankford,1.0,0.0,0.0
SenMullin,0.6,0.2,0.2
SenJeffMerkley,0.0,1.0,0.0
RonWyden,0.0,1.0,0.0
SenBobCasey,0.0625,0.9375,0.0
SenFettermanPA,0.0,0.9629629629629629,0.037037037037037035
SenJackReed,0.125,0.8333333333333334,0.041666666666666664
SenWhitehouse,0.0,1.0,0.0
JeffMerkley,0.0,1.0,0.0
SenatorTimScott,1.0,0.0,0.0
SenatorRounds,0.625,0.35,0.025
SenJohnThune,0.9743589743589743,0.02564102564102564,0.0
MarshaBlackburn,0.875,0.125,0.0
SenatorHagerty,1.0,0.0,0.0
JohnCornyn,1.0,0.0,0.0
SenTedCruz,1.0,0.0,0.0
SenMikeLee,0.9444444444444444,0.0,0.05555555555555555
SenatorRomney,0.7333333333333333,0.26666666666666666,0.0
SenSanders,0.0,1.0,0.0
SenPeterWelch,0.0,1.0,0.0
SenTimKaine,0.0,1.0,0.0
MarkWarner,0.08333333333333333,0.9166666666666666,0.0
SenatorCantwell,0.0,0.9473684210526315,0.05263157894736842
PattyMurray,0.0,1.0,0.0
SenCapito,0.9166666666666666,0.041666666666666664,0.041666666666666664
JoeManchinIII,0.0,0.0,0.0
SenatorBaldwin,0.0,1.0,0.0
SenRonJohnson,1.0,0.0,0.0
SenJohnBarrasso,1.0,0.0,0.0
SenLummis,0.9,0.1,0.0
