twitter_name,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SenKatieBritt,@SenTuberville,@SenEricSchmitt,@SenatorRicketts,@GovernorKayIvey,@SenatorBraun,@SenJoniErnst,@SRCC,@SenatorRomney,@SenatorRisch,@SenatorRounds,@SenKevinCramer,@lisamurkowski,@SenatorLankford,@SenLummis,@SenBillCassidy,@SenJohnHoeven,@SenHydeSmith,@SenJohnThune,@JohnBoozman,@SenToddYoung,@UABNews,@GOPHELP,@Robert_Aderholt,@spann,@RepMikeRogersAL,@AlfaFarmers,@TuskegeeUniv,@CoachJ_AU,@CoachHughFreeze,@BankingGOP,@AppropsGOP,@RepTerriSewell,@AGSteveMarshall,@SenTedBuddNC,@SenSasse,@SenMullin,@SenVancePress,@SenHawleyPress,@SenRandPaul,@SteveDaines,@JerryMoran,@SenMarcoRubio,@SenatorFischer,@SenTedCruz,@SenatorTimScott,@SenatorWicker,@SenDanSullivan,@SenCapito,@SenThomTillis,@LeaderMcConnell,@SenatorCollins,@SenJohnBarrasso,@SenTomCotton,@MikeCrapo,@SenRonJohnson,@SenMikeLee,@LindseyGrahamSC,,,,,,,,,,,,,,
SenTuberville,@NASA,@MarshaBlackburn,@ChuckGrassley,@HawleyMO,@1819News,@SenKatieBritt,@TTuberville,@SenJohnKennedy,@ALGOP,@RepMikeRogersAL,@RepStefanik,@GovernorKayIvey,@SenHawleyPress,@SenKevinCramer,@RepJerryCarl,@yhn,@SenTomCotton,@SenatorHagerty,@SenatorBraun,@SenRonJohnson,@RepMattGaetz,@CWforA,@RobertBluey,@BetsyDeVos,@IWV,@KevinRobertsTX,@WAAYTV,@DailySignal,@JessAnderson2,@Riley_Gaines_,@CityofAuburnAL,@Yaffee,@IWF,@marjoriesba,@SpeakerJohnson,@EPWGOP,@BrilynHollyhand,@HsvPolice,@codydsargent,@USARMYAMCOM,@SheldonFox6,@TheBigMoneyShow,@BriarwoodChrSch,@aamuedu,@AlabamaToday,@NCAC_HSV,@256TodayNews,@US_SpaceCom,@NationalFFA,@SenEricSchmitt,@SenTedBuddNC,@SenPeterWelch,@SenAlexPadilla,@SenMullin,@JDVance1,@rtiron,@RepChipRoy,@AsheSchow,@RuthlessPodcast,@ASCTEAlabama,@TeamCavuto,@USCG,@NASAWebb,@SpaceForceDoD,@Heritage_Action,@Breaking911,@TommyBattle,@NASAArtemis,@southeastsun,,
lisamurkowski,@SenatorCollins,@SenSchumer,@SenatorRisch,@MikeCrapo,@SenJohnHoeven,@SenWhitehouse,@Sen_JoeManchin,@JerryMoran,@SenatorEnzi,@SenatorBurr,@SenGillibrand,@SenBlumenthal,@JohnCornyn,@RoyBlunt,@ChuckGrassley,@SenJohnBarrasso,@SenBobCorker,@SenFeinstein,@JeffFlake,@SenThomTillis,@thecordovatimes,@USOAlaska,@LisaPhuAK,@mattbuxton,@tomhewittnews,@BristolBayToday,@AlyeskaPipeline,@AlaskaMiners,@UAlaskaPres,@SenPeterWelch,@SenVancePress,@SenMullin,@SenEricSchmitt,@SenKatieBritt,@Rep_Peltola,@NWSAnchorage,@RD_Alaska,@AlaskaBeacon,@OkkisSalmimies,@NorwayAmbUSA,@RogerMarshallMD,@SenatorBraun,@SenLummis,@MarshaBlackburn,@SenatorHagerty,@gillibrandny,@SenJackyRosen,@SenCortezMasto,@SenatorLujan,@SenKevinCramer,@SenHydeSmith,@SenHawleyPress,@SenTinaSmith,@SenJohnKennedy,@SenBillCassidy,@SenRandPaul,@SenDuckworth,@SenOssoff,@SenatorWarnock,@SenRickScott,@SenatorHick,@SenAlexPadilla,@SenatorSinema,@SenMarkKelly,@SenTuberville,@CapitolPolice,@MittRomney,@jordainc,@Reuters,,
SenDanSullivan,@SenatorRisch,@MikeCrapo,@SenThomTillis,@JerryMoran,@SenJohnHoeven,@SenatorLankford,@SenJohnBarrasso,@SenKevinCramer,@SenJoniErnst,@SenatorWicker,@SenatorFischer,@SenatorEnzi,@lisamurkowski,@JohnBoozman,@RoyBlunt,@SenCapito,@SenJohnThune,@SenatorRounds,@SenatorCollins,@SenJohnKennedy,@mgordonwsj,@SenTuberville,@jimsciutto,@NHarcharek,@RepLaLota,@FDNMborough,@AnthonyAdragna,@senategopfloor,@ben_dietd,@CBS_Herridge,@jsolomonReports,@JenGriffinFNC,@RichardRubinDC,@SecretaryPete,@SenLummis,@SenatorHagerty,@ABlinken,@jakejsullivan,@heinzawards,@SecAFOfficial,@USACEHQ,@geofkoss,@reporterjoe,@SenBillCassidy,@tnl_updates,@Megan_J_Webb,@k13xd,@KTVF11,@sharkasaurusX,@SquawkCNBC,@EnergyAtState,@rbalsaud,@cmatthews9,@npfandos,@bensiegel,@KFaulders,@Santucci,@annezinkmd,@SecPompeo,@aubreywieber,@PeterZampa,@SenatorSinema,@EllieCKaufman,@The_Loose_Juice,@MarthaMcSally,@SenatorLoeffler,@deantscott,@MarkMeadows,@kimguilfoyle,@VPPressSec45,
SenMarkKelly,@GabbyGiffords,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SenatorSinema,@Sen_JoeManchin,@SenKevinCramer,@SenatorTester,@RepStefanik,@KateWGallego,@SenBlumenthal,@SenGaryPeters,@DougDucey,@SenJackyRosen,@SenMarkKelly,@maziehirono,@RepRubenGallego,@SenBrianSchatz,@SenatorCollins,@RepJerryNadler,@MarkMeadows,@SenJackReed,@RepJayapal,@RepDavid,@SenJoniErnst,@marcusdell,@SenKatieBritt,@SecRaimondo,@CullenTomsheck,@WWP_DC,@cityofchandler,@USFWSRefuges,@SenBillCassidy,@Tempegov,@uarizona,@PabSierra,@AmericanLegion,@ASU_Alumni,@ASU,@ilse__zuniga,@X,@instagram,@Meta,@ElectingWomen,@CongBoyle,@RepClayHiggins,@JamesComer,@RepJenniffer,@VP,@StevenOlikara,@OAGMaryland,@RepDwightEvans,@stevenmnuchin1,@RepRutherfordFL,@RepGonzalez,@RogerMarshallMD,@DrNealDunnFL2,@RepPaulMitchell,@SenTedBuddNC,@RepEspaillat,@RepJackBergman,@RepDrewFerguson,@RepDonBacon,@SenCortezMasto,@SenJohnKennedy,@RepCarbajal,@RepDavidKustoff,@RepBarragan,@RepRoKhanna,@RepLizCheney,@CongressmanRaja,@RepMattGaetz,,,,
JohnBoozman,@JerryMoran,@SenatorRisch,@MikeCrapo,@SenJohnBarrasso,@SenJohnHoeven,@SenatorWicker,@RoyBlunt,@SenatorFischer,@SenThomTillis,@SenKevinCramer,@lisamurkowski,@JohnCornyn,@SenJohnThune,@SenCapito,@SenatorBurr,@SenAlexander,@SenatorLankford,@SenShelby,@SenatorCollins,@senrobportman,@FarmJFoundation,@thedispatch,@brownfield,@Advance1870,@librarycongress,@DepSecXoch,@dodpaa,@ProjectMercy,@AppropsGOP,@FEMARegion6,@Heba22AFSOY,@AginArk,@alexahenning,@RLSmothers,@SenatorRicketts,@jheckmanWFED,@NatResources,@JakeSherman,@SenTedBuddNC,@SenMullin,@SenVancePress,@SenEricSchmitt,@SenKatieBritt,@TylerOlson1791,@MHObserverAR,@RenataSMGomes,@AlexHouseThomas,@C_Luke_Story,@JuliaShapero,@brad_dress,@alexanderbolton,@ShieldsTodd,@LifeNewsHQ,@naomitlim,@AG_Reports,@editoralbarado,@tess_m_vrbin,@HunterCField,@JenniferShutt,@ArianaLFigueroa,@NicholasBallasy,@BillRSmithNews,@cftcmersinger,@CFTCcgr,@JECRepublicans,@InhofePress,@SenMikeLee,@LindseyGrahamSC,@SenLummis,@McConnellPress,
SenTomCotton,@MarshaBlackburn,@SenTedCruz,@SenJohnKennedy,@ChuckGrassley,@SenatorTimScott,@SenRonJohnson,@SenKevinCramer,@SenMikeLee,@GovMikeHuckabee,@SenatorBraun,@MikeCrapo,@SenTuberville,@SenatorRomney,@SenatorRisch,@SenJoniErnst,@SenatorLankford,@SenShelby,@SenBillCassidy,@SenatorWicker,@lisamurkowski,@ACScowcroft,@rachaeldean,@RepAshleyHinson,@SenHydeSmith,@RepMMM,@JimInhofe,@SenToddYoung,@RogerMarshallMD,@SenLummis,@SenatorHagerty,@marklevinshow,@WhiteHouse45,@SecPompeo,@RazorbackFB,@CFArkansas,@MichaelCBender,@LeaderMcConnell,@LGRutledge,@CNNSOTU,@USOPM,@SenatorRounds,@SteveDaines,@SenDanSullivan,@TuckerCarlson,@AsaHutchinson,@thejeff89,@MargauxIsaksen,@ForeignPolicyI,@HudsonEvents,@LittleRockMBB,@UALR,@jamiegangel,@YahooNews,@CNNPolitics,@CNASdc,@DefenseIntel,@CIA,@EliLake,@GenFlynn,,,,,,,,,,,,
Senlaphonza,@SenSchumer,@RepJudyChu,@AlexPadilla4CA,@VP,@FLOTUS,@WhiteHouse,@POTUS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SenAlexPadilla,@GavinNewsom,@RepRaskin,@AliVelshi,@RepJasonCrow,@SenWhitehouse,@SenatorWarnock,@SenDuckworth,@JoaquinCastrotx,@SenatorHick,@gillibrandny,@SenMarkKelly,@SenOssoff,@maziehirono,@ossoff,@brianschatz,@tedlieu,@RepKarenBass,@SenSherrodBrown,@RobertGarcia,@JudiciaryDems,@Senlaphonza,@ActSecJulieSu,@RedCrossNCGC,@IBEW,@SenateAgDems,@meaghanmccabe,@Amgen,@vvaldiv,@SenatorSinema,@SuzGamboa,@ZelenskyyUa,@Milankordestani,@senrobportman,@CASOSVote,@JonathanPLinden,@RepNikema,@CalCommColleges,@csunorthridge,@calstate,@JohnCornyn,@CoriBush,@RepDonBeyer,@RoyBlunt,@Astro_Jose,@JDBalartMSNBC,@MikeLevin,@taaforg,@harrisonjaime,@jdbalart,@DoloresHuerta,@Luzpenatv,@CASAforall,@douglasrivlin,@ImproveTheDream,@RepBera,@ezraklein,@USImmHUB,@UndocuBlack,@RepThompson,@JuanSaaa,@PPActionCA,@TheDemCoalition,@TVietor08,@jonfavs,@danpfeiffer,@AirResources,@CARBespanol,@SIfill_,@JenniferJJacobs,,
