SenatorDurbin,@MarkWarner,@SenatorHick,@HawleyMO,@SenWhitehouse,@SenTuberville,@RonWyden,@SenCortezMasto,@SenJohnThune,@ChrisVanHollen,@SenBooker,@ChuckGrassley,@maziehirono,@SenRickScott,@SenatorBaldwin,@SenJeffMerkley,@SenSchumer,@SenMullin,@SenatorBennet,@SenatorDurbin,@SenMarkey,@marcorubio,@SenAlexPadilla,@SenStabenow,@SenBlumenthal,@SenatorMenendez,@SenatorTimScott,@LeaderMcConnell,@SenatorWicker,@JohnCornyn,@SenAngusKing,@SenGillibrand,@MarshaBlackburn,@SenJohnKennedy,@SenSherrodBrown,@JeffMerkley,@SenAmyKlobuchar,@SenatorHeinrich,@SenCapito,@RogerMarshallMD,@PattyMurray,@SenTedCruz,@ossoff,@SenBobCasey,@SenKevinCramer,@SenSanders,@SenWarren,@SenatorCollins,@SenGaryPeters,@SenDuckworth,@SenJackyRosen
BillCassidy,@SenJohnKennedy,@MarshaBlackburn,@SenLummis,@SenatorBraun,@lisamurkowski,@SenJohnBarrasso,@SenCapito,@RonWyden,@MikeCrapo,@RogerMarshallMD,@SenJohnThune,@SenTedBuddNC,@SenJohnHoeven,@SenKevinCramer,@SenSanders,@ChrisCoons,@SenatorCollins,@JohnBoozman,@LeaderMcConnell,@BillCassidy,@SenatorWicker,@JohnCornyn,@SenTomCotton,@SenGillibrand,,,,,,,,,,,,,,,,,,,,,,,,,,
brianschatz,@SenSanders,@ChrisCoons,@SenWarren,@SenJackReed,@JeffMerkley,@ChrisVanHollen,@maziehirono,@SenatorShaheen,@SenFettermanPA,@SenGaryPeters,@ChrisMurphyCT,@SenSchumer,@SenJackyRosen,@brianschatz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ChrisCoons,@ChrisCoons,@JeffMerkley,@SenatorMenendez,@SenJoniErnst,@ChrisVanHollen,@SenTedCruz,@SenatorRisch,@SenatorShaheen,@SenThomTillis,@SenatorWicker,@ChrisMurphyCT,@SenTomCotton,@brianschatz,@SenatorHagerty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ChrisMurphyCT,@SenSherrodBrown,@SenJackReed,@SenWhitehouse,@JeffMerkley,@PattyMurray,@ChrisVanHollen,@maziehirono,@SenatorShaheen,@ChrisMurphyCT,@SenJeffMerkley,@SenSchumer,@ossoff,@SenBobCasey,@brianschatz,@SenatorDurbin,@SenSanders,@ChrisCoons,@SenMarkey,@SenWarren,@SenTinaSmith,@SenPeterWelch,@SenatorCollins,@SenAlexPadilla,@SenBlumenthal,@JohnCornyn,@SenAngusKing,@SenGillibrand,,,,,,,,,,,,,,,,,,,,,,,
ChrisVanHollen,@MarkWarner,@SenSherrodBrown,@JeffMerkley,@SenatorCardin,@ChrisVanHollen,@SenatorShaheen,@SenVancePress,@ChrisMurphyCT,@SenJeffMerkley,@SenSchumer,@brianschatz,@SenatorDurbin,@SenSanders,@ChrisCoons,@SenMarkey,@marcorubio,@SenWarren,@SenPeterWelch,@SenBlumenthal,@SenatorRisch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ChuckGrassley,@MarshaBlackburn,@SenTuberville,@HawleyMO,@SenJohnThune,@SenRonJohnson,@SenTedCruz,@ChuckGrassley,@SenRickScott,@SenSchumer,@SenMikeLee,@SenatorDurbin,@marcorubio,@SenRandPaul,@SenJoniErnst,@SenatorTimScott,@LeaderMcConnell,@JohnCornyn,@SenTomCotton,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HawleyMO,@MarshaBlackburn,@SenJohnKennedy,@SenTuberville,@SenatorBraun,@HawleyMO,@SenatorRicketts,@SenRonJohnson,@SenTedCruz,@ChuckGrassley,@SenRickScott,@ossoff,@SenSchumer,@SteveDaines,@SenJohnHoeven,@SenMullin,@SenatorHagerty,@SenatorDurbin,@marcorubio,@SenatorCollins,@SenRandPaul,@SenatorFischer,@SenBlumenthal,@LeaderMcConnell,@JohnCornyn,@SenTomCotton,@SenatorRisch,,,,,,,,,,,,,,,,,,,,,,,,
JeffMerkley,@SenSanders,@ChrisCoons,@marcorubio,@SenWarren,@JeffMerkley,@RonWyden,@ChrisVanHollen,@SenatorShaheen,@ChrisMurphyCT,@SenSchumer,@brianschatz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JerryMoran,@MarshaBlackburn,@SenJohnKennedy,@SenLummis,@MarkWarner,@SenTuberville,@SenDanSullivan,@MikeCrapo,@RogerMarshallMD,@SenJohnThune,@SenTedCruz,@JerryMoran,@SenatorBaldwin,@SenSchumer,@SteveDaines,@SenJohnHoeven,@SenatorHagerty,@SenWarren,@SenatorTester,@LeaderMcConnell,@SenDuckworth,@SenMikeLee,@SenGillibrand,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JoeManchinIII,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JohnBoozman,@MarshaBlackburn,@SenKatieBritt,@SenatorBraun,@lisamurkowski,@SenJohnBarrasso,@SenCapito,@SenDanSullivan,@MikeCrapo,@RogerMarshallMD,@SenTedCruz,@JerryMoran,@SenTedBuddNC,@SteveDaines,@Senlaphonza,@SenSanders,@JohnBoozman,@SenatorCollins,@SenStabenow,@SenatorTester,@SenJoniErnst,@SenThomTillis,@BillCassidy,@SenTomCotton,@SenatorRisch,,,,,,,,,,,,,,,,,,,,,,,,,,
