Name,Republican,Democratic,Independent
SenatorDurbin,0.38,0.58,0.04
BillCassidy,0.8333333333333334,0.125,0.041666666666666664
brianschatz,0.07142857142857142,0.8571428571428571,0.07142857142857142
ChrisCoons,0.5714285714285714,0.42857142857142855,0.0
ChrisMurphyCT,0.1111111111111111,0.8148148148148148,0.07407407407407407
ChrisVanHollen,0.2,0.75,0.05
ChuckGrassley,0.8888888888888888,0.1111111111111111,0.0
HawleyMO,0.8461538461538461,0.15384615384615385,0.0
JeffMerkley,0.18181818181818182,0.7272727272727273,0.09090909090909091
JerryMoran,0.6818181818181818,0.3181818181818182,0.0
JoeManchinIII,0.0,0.0,0.0
JohnBoozman,0.8333333333333334,0.125,0.041666666666666664
JohnCornyn,0.8947368421052632,0.10526315789473684,0.0
LeaderMcConnell,0.6744186046511628,0.3023255813953488,0.023255813953488372
lisamurkowski,0.717948717948718,0.2564102564102564,0.02564102564102564
marcorubio,0.7083333333333334,0.2916666666666667,0.0
MarkWarner,0.3,0.7,0.0
MarshaBlackburn,0.7619047619047619,0.21428571428571427,0.023809523809523808
maziehirono,0.06451612903225806,0.9032258064516129,0.03225806451612903
MikeCrapo,0.6956521739130435,0.30434782608695654,0.0
ossoff,0.25,0.6785714285714286,0.07142857142857142
PattyMurray,0.32,0.64,0.04
ReverendWarnock,0.3,0.6,0.1
RogerMarshallMD,0.7692307692307693,0.23076923076923078,0.0
RonWyden,0.24,0.68,0.08
SenAlexPadilla,0.3181818181818182,0.6818181818181818,0.0
SenAmyKlobuchar,0.2916666666666667,0.7083333333333334,0.0
SenAngusKing,0.21052631578947367,0.631578947368421,0.15789473684210525
SenatorBaldwin,0.11764705882352941,0.8529411764705882,0.029411764705882353
SenatorBennet,0.1111111111111111,0.8888888888888888,0.0
SenatorBraun,0.7619047619047619,0.23809523809523808,0.0
SenatorCantwell,0.0,0.9375,0.0625
SenatorCardin,0.5,0.5,0.0
SenatorCarper,0.24,0.72,0.04
SenatorCollins,0.5483870967741935,0.41935483870967744,0.03225806451612903
SenatorFischer,0.6470588235294118,0.35294117647058826,0.0
SenatorHagerty,0.8181818181818182,0.18181818181818182,0.0
SenatorHassan,0.22727272727272727,0.7272727272727273,0.045454545454545456
SenatorHeinrich,0.42857142857142855,0.5714285714285714,0.0
SenatorHick,0.4375,0.5,0.0625
SenatorLankford,0.65,0.35,0.0
SenatorLujan,0.15,0.75,0.1
SenatorMenendez,0.3235294117647059,0.6176470588235294,0.058823529411764705
SenatorRicketts,0.7333333333333333,0.26666666666666666,0.0
SenatorRisch,0.6551724137931034,0.3448275862068966,0.0
SenatorRomney,0.0,0.0,0.0
SenatorRounds,0.5,0.5,0.0
SenatorShaheen,0.3181818181818182,0.6363636363636364,0.045454545454545456
SenatorSinema,0.43478260869565216,0.43478260869565216,0.13043478260869565
SenatorTester,0.2857142857142857,0.6571428571428571,0.05714285714285714
SenatorTimScott,0.6923076923076923,0.3076923076923077,0.0
SenatorWicker,0.7272727272727273,0.2727272727272727,0.0
SenBlumenthal,0.2727272727272727,0.6666666666666666,0.06060606060606061
SenBobCasey,0.16666666666666666,0.7916666666666666,0.041666666666666664
SenBooker,0.1,0.85,0.05
SenCapito,0.71875,0.25,0.03125
SenCortezMasto,0.13793103448275862,0.7931034482758621,0.06896551724137931
SenDanSullivan,0.782608695652174,0.21739130434782608,0.0
SenDuckworth,0.12,0.84,0.04
SenEricSchmitt,0.8235294117647058,0.17647058823529413,0.0
SenFettermanPA,0.2222222222222222,0.7777777777777778,0.0
SenGaryPeters,0.25,0.6875,0.0625
SenGillibrand,0.2916666666666667,0.6666666666666666,0.041666666666666664
SenHydeSmith,1.0,0.0,0.0
SenJackReed,0.1,0.9,0.0
SenJackyRosen,0.225,0.775,0.0
SenJeffMerkley,0.20833333333333334,0.7083333333333334,0.08333333333333333
SenJohnBarrasso,0.7142857142857143,0.2,0.08571428571428572
SenJohnHoeven,0.8,0.2,0.0
SenJohnKennedy,0.9090909090909091,0.09090909090909091,0.0
SenJohnThune,0.6842105263157895,0.3157894736842105,0.0
SenJoniErnst,0.7659574468085106,0.2127659574468085,0.02127659574468085
SenKatieBritt,0.9473684210526315,0.05263157894736842,0.0
SenKevinCramer,0.7419354838709677,0.22580645161290322,0.03225806451612903
Senlaphonza,0.45454545454545453,0.45454545454545453,0.09090909090909091
SenLummis,0.6896551724137931,0.27586206896551724,0.034482758620689655
SenMarkey,0.15,0.8,0.05
SenMarkKelly,0.17647058823529413,0.7352941176470589,0.08823529411764706
SenMikeLee,0.8387096774193549,0.12903225806451613,0.03225806451612903
SenMullin,0.8,0.2,0.0
