UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
Defund the police.,@notyafeminist,2023-11-05T23:06:58.000Z,"Defund the police.
@notyafeminist
·
Nov 6",Alex Padilla is a Zionist... Vote him out California.,,,,,[],https://twitter.com/notyafeminist/status/1721303118871515394
max,@lovablequeer,2023-11-05T22:50:30.000Z,"max
@lovablequeer
·
Nov 6",The letter in question !! Alex Padilla go to fucking hell !! Know that you will not be reelected !! :))  #FreePalestine ,,1,1,1,"['https://pbs.twimg.com/media/F-NIS0SbMAAdz0l?format=jpg&name=small', 'https://pbs.twimg.com/media/F-NIS0La8AA6GtI?format=jpg&name=small', 'https://pbs.twimg.com/profile_images/1693703622830456832/tubJ30jX_normal.jpg']",https://twitter.com/lovablequeer/status/1721298975318573109
Embajadores Aztecas,@EAztecasMEX,2023-11-05T20:43:30.000Z,"Embajadores Aztecas
@EAztecasMEX
·
Nov 6","¡Imbatible en España!
(España, 2RFEF) Alex Padilla fue titular en la victoria del Bilbao Athletic 3-0 sobre Arenas. LLega a 6 partidos consecutivos si recibir gol, 1 gol en contra en 8 partidos disputados.",,1,3,17,['https://pbs.twimg.com/media/F-MrJ9dbcAA-X01?format=jpg&name=small'],https://twitter.com/EAztecasMEX/status/1721267014214496492
grassfur,@Grassfur,2023-11-05T19:11:34.000Z,"grassfur
@Grassfur
·
Nov 6","Alex Padilla's Washington DC phone number is not accepting voice messages, but his Los Angeles office is. Since all emails are being met with the same disgusting autogenerated response, California voters please leave a voice message. We will make our voice heard.",,,40,63,"['https://pbs.twimg.com/media/F-MWLwOacAAf2GM?format=jpg&name=medium', 'https://pbs.twimg.com/profile_images/1693703622830456832/tubJ30jX_normal.jpg']",https://twitter.com/Grassfur/status/1721243879347994866
chole h christmas,@chick_lawson,2023-11-05T17:11:08.000Z,"chole h christmas
@chick_lawson
·
Nov 6","fuck alex padilla, another useless politician using zionist rhetoric and feeding into israelis propaganda. his choice of words makes it extremely obvious. useless government, we are run by an arms dealer.",,1,,1,"['https://pbs.twimg.com/media/F-L6m7pbkAApvXw?format=jpg&name=900x900', 'https://pbs.twimg.com/media/F-L6m7qaMAAr5jn?format=jpg&name=900x900', 'https://pbs.twimg.com/media/F-L6m7sbAAABHij?format=jpg&name=900x900']",https://twitter.com/chick_lawson/status/1721213569323471039
SIERRA SUN TIMES,@SIERRASUNTIMES,2023-11-05T16:54:00.000Z,"SIERRA SUN TIMES
@SIERRASUNTIMES
·
Nov 6","California U.S. Senator Alex Padilla’s Bipartisan Bill to Streamline Veterans’ Access to Benefits Claims Passes Senate
#MariposaCounty #MaderaCounty #Yosemite #MercedCounty #FresnoCounty",,,,,[],https://twitter.com/SIERRASUNTIMES/status/1721209257599619551
claude met woodz. did not survive.,@jenaisirene,2023-11-05T16:50:24.000Z,"claude met woodz. did not survive.
@jenaisirene
·
Nov 6",Senator Alex Padilla supports genocide,,,,,"['https://pbs.twimg.com/media/F-L13zMaAAAaoT6?format=jpg&name=small', 'https://pbs.twimg.com/media/F-L13zKaIAEQDnD?format=jpg&name=small', 'https://pbs.twimg.com/media/F-L13zKakAAQy6U?format=jpg&name=small']",https://twitter.com/jenaisirene/status/1721208351089184893
Aliatha | + era,@thaliaferro2,2023-11-06T23:48:36.000Z,"Aliatha | + era
@thaliaferro2
·
Nov 7",Alex Padilla is a piece of shit!!! Also took him. 25 days to say anything just to then say “Israel has a right to defend itself” fuck off,❄ 🫵 🪨 ⭐,,,,['https://pbs.twimg.com/profile_images/1693703622830456832/tubJ30jX_normal.jpg'],https://twitter.com/thaliaferro2/status/1721675985114857961
nancy,@iwazhere2000,2023-11-06T22:26:40.000Z,"nancy
@iwazhere2000
·
Nov 7","Fuck you Alex Padilla ur a shame to the fucking valley 
@AlexPadilla4CA",🩷,,,1,['https://pbs.twimg.com/profile_images/1693703622830456832/tubJ30jX_normal.jpg'],https://twitter.com/iwazhere2000/status/1721655364717093061
Shaan Baig,@notoriousBAIG,2023-11-06T20:51:53.000Z,"Shaan Baig
@notoriousBAIG
·
Nov 7",Senator Alex Padilla had made it impossible to reach his DC office. His CA office number is (310) 231-4494. Give the lil bish a ring ,,,6,7,['https://pbs.twimg.com/media/F-R2t-caQAAZ9rI?format=jpg&name=900x900'],https://twitter.com/notoriousBAIG/status/1721631513354383637
alexandra,@alexrodmejia,2023-11-06T20:04:52.000Z,"alexandra
@alexrodmejia
·
Nov 7",Alex Padilla is human scum,🤍,,1,2,['https://pbs.twimg.com/profile_images/1693703622830456832/tubJ30jX_normal.jpg'],https://twitter.com/alexrodmejia/status/1721619679079436799
ABC 10News San Diego,@10News,2023-11-06T19:56:21.000Z,"ABC 10News San Diego
@10News
·
Nov 7",Demonstrators calling for ceasefire in Gaza gather outside Sen. Alex Padilla's office in San Diego,,,1,,['https://pbs.twimg.com/card_img/1732014989035159552/l5TaTyAk?format=jpg&name=900x900'],https://twitter.com/10News/status/1721617534905196683
ciarra,@ciatopia,2023-11-06T19:26:44.000Z,"ciarra
@ciatopia
·
Nov 7",alex padilla is a rat but what’s new…. his voicemail box is full like a LOSER https://5calls.org/issue/israel-palestine-gaza-war-hamas-ceasefire/…,,1,2,4,"['https://pbs.twimg.com/media/F-RjP2hacAA-6vO?format=jpg&name=900x900', 'https://pbs.twimg.com/media/F-RjP2jbMAA2Zhj?format=jpg&name=medium']",https://twitter.com/ciatopia/status/1721610084869140632
ciarra,@ciatopia,2023-11-06T19:21:35.000Z,"ciarra
@ciatopia
·
Nov 7",not my senator having his voicemail box full  fuck you alex padilla,😭 😭 😭,,,4,[],https://twitter.com/ciatopia/status/1721608786207736254
azraq,@Blues_Lite,2023-11-06T17:29:11.000Z,"azraq
@Blues_Lite
·
Nov 7","Here is the (automated?) email I received back from Alex Padilla. He “strongly support Israel’s right to defend itself and the Administration’s swift action to provide support for [Israel].”

#FreePalestine",🐘,,,2,"['https://pbs.twimg.com/media/F-RIV6DaYAAH1QO?format=jpg&name=small', 'https://pbs.twimg.com/media/F-RIV6DbAAAcrQI?format=jpg&name=small', 'https://pbs.twimg.com/media/F-RIV6DaMAAGjET?format=jpg&name=small', 'https://pbs.twimg.com/profile_images/1693703622830456832/tubJ30jX_normal.jpg']",https://twitter.com/Blues_Lite/status/1721580502023541190
