UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
#AllThatWeLoveIsBeingKilled,@CGoustin,2023-11-01T23:56:59.000Z,"#AllThatWeLoveIsBeingKilled
@CGoustin
·
Nov 2",Do you believe anything that Sen. Amy Klobuchar tells you?,,,,,[],https://twitter.com/CGoustin/status/1719866153458127078
Laura Dorle,@LauraDorle,2023-11-01T23:41:02.000Z,"Laura Dorle
@LauraDorle
·
Nov 2",".
@POTUS
 @amyklobuchar
 @SenTinaSmith
 @GovTimWalz
 @MayorFrey
 I know you hear these Minnesotans. When will we get a response??? #mnpolitics #FreePalestine #CeaseFireNow",,,,,[],https://twitter.com/LauraDorle/status/1719862142801772927
Amy Klobuchar,@amyklobuchar,2023-11-01T22:58:34.000Z,"Amy Klobuchar
@amyklobuchar
·
Nov 2",Too many local newsrooms are closing their doors because they can’t afford to stay open. We need to give local newspapers a fighting chance and I have a bill that will help them negotiate for the compensation they deserve for the content they create.,,335,218,1K,['https://pbs.twimg.com/card_img/1732130210571567104/jrsr3i1R?format=jpg&name=900x900'],https://twitter.com/amyklobuchar/status/1719851453659931093
Kat Denise,@katpic57,2023-11-01T22:53:16.000Z,"Kat Denise
@katpic57
·
Nov 2","This seems important. Think I’ve heard it before. Any investigations? 
@FBI
 @TheJusticeDept
 @HouseDemocrats
 @SenateDems
 @RepJeffries
 @WhipKClark
 @PeteAguilar
 @RepAdamSchiff
 @SpeakerPelosi
 @SenWarren
 @amyklobuchar",☮,,,2,['https://pbs.twimg.com/profile_images/1045176566693736450/xwTYsK5J_normal.jpg'],https://twitter.com/katpic57/status/1719850118839754978
Trumpish Retired NCO,@virgofiveeight,2023-11-01T22:09:01.000Z,"Trumpish Retired NCO
@virgofiveeight
·
Nov 2","they didn't get their cut?...
Democrats Seek Probe Into Exxon And Chevron Mega Deals
Chuck Schumer, Amy Klobuchar of Minnesota, Richard Blumenthal of Connecticut, Cory  Booker of New Jersey, John Fetterman of Pennsylvania, and Tammy  Duckworth of Illinois",,,,,['https://pbs.twimg.com/card_img/1732615766653149184/B0wO-zhD?format=jpg&name=900x900'],https://twitter.com/virgofiveeight/status/1719838982853521473
Back2Brunch,@Back2Brunch,2023-11-01T21:21:00.000Z,"Back2Brunch
@Back2Brunch
·
Nov 2","Senate Democrats face a brutal 2024 map. It will take everything we have to maintain our Senate Majority. We need to protect incumbents like Amy Klobuchar against Primary attacks from the Left before they face the GOP.

Please join our fight! Donate today!",🌊 🌊 🌊 🌊 🌊 🌊 🌊 🌊 🌊,,,,[],https://twitter.com/Back2Brunch/status/1719826899596202277
Kansans For Hemp,@Kansans4Hemp,2023-11-01T21:15:52.000Z,"Kansans For Hemp
@Kansans4Hemp
·
Nov 2","Thank you 
@amyklobuchar
 & 
@JerryMoran
 for introducing this #sustainable #biofuels bill!

We look forward to more development for #hemp 
https://advancedbiofuelsusa.info/klobuchar-moran-introduce-bipartisan-legislation-to-support-biorefineries-renewable-chemicals-and-biomanufacturing…",🌱 ⛽ 🛵 🚜 🚀,,,1,[],https://twitter.com/Kansans4Hemp/status/1719825607507238918
emma,@EmmaPalm5,2023-11-01T20:14:37.000Z,"emma
@EmmaPalm5
·
Nov 2","I urge 
@amyklobuchar
 to support #ALSVeterans and their families by cosponsoring and passing the Justice for ALS Veterans Act (H.R.3790/S.1590) https://bit.ly/JusticeforALSVeterans… #ALSAdvocacy",😺,,,,[],https://twitter.com/EmmaPalm5/status/1719810192387313842
Chris,@chriswithans,2023-11-02T23:33:22.000Z,"Chris
@chriswithans
·
Nov 3","Truly unfortunate that the party of Walter Mondale, Amy Klobuchar, and Al Franken has no space for Congressman Dean Philips, a New Democrat and member of the Problem Solvers whose only crime was to challenge his highness Lord Joseph Robinette Biden

What happened to democracy",,2,,3,[],https://twitter.com/chriswithans/status/1720222601061294158
Amy Klobuchar,@amyklobuchar,2023-11-02T22:40:14.000Z,"Amy Klobuchar
@amyklobuchar
·
Nov 3",Good to see the Vice President call for an international effort to put in place guardrails for the responsible use of AI. We cannot afford to wait to take action.,,66,127,750,['https://pbs.twimg.com/media/F975aJIbUAAGyEb.jpg'],https://twitter.com/amyklobuchar/status/1720209226872557689
