UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
Mark Walters,@aarmark,2023-11-01T21:17:18.000Z,"Mark Walters
@aarmark
·
Nov 2",11/01/23 Hour 1! ME senator Angus King proposes changes to AR rifles? https://armedamericanradio.org/2023/11/01/11-01-23-hr-1-me-senator-angus-king-proposes-changes-to-ar-rifles/…,,,1,2,['https://pbs.twimg.com/media/F94MmovXUAABC38?format=png&name=small'],https://twitter.com/aarmark/status/1719825970096423288
OwenMullenBooks,@OwenMullen6,2023-11-01T14:50:01.000Z,"OwenMullenBooks
@OwenMullen6
·
Nov 1","Catch this AUDIOBOOK SALE for Three Sisters with the brilliant Abbie Andrews and Angus King narrating.
#ThreeSisters #psychologicalthriller #audiobooks #kobodeals 
@BoldwoodBooks
 @Isisaudio
 @RakutenKobo",,,8,6,['https://pbs.twimg.com/ext_tw_video_thumb/1719728487634808832/pu/img/ArtcbMprlbkqXIPR.jpg'],https://twitter.com/OwenMullen6/status/1719728507968778717
Firearms Policy Coalition,@gunpolicy,2023-11-01T13:42:36.000Z,"Firearms Policy Coalition
@gunpolicy
·
Nov 1","GM everybody…except Angus King and the rest of the disarmament regime co-conspirators and anti-rights activists.

Technology changes, rights don’t.",,28,167,1.2K,['https://pbs.twimg.com/media/F92khtXWwAAvM9L?format=jpg&name=900x900'],https://twitter.com/gunpolicy/status/1719711538737545587
The Boston Globe,@BostonGlobe,2023-11-01T11:00:03.000Z,"The Boston Globe
@BostonGlobe
·
Nov 1",US Senators Susan Collins and Angus King honor Lewiston shooting victims on Senate floor,,,,2,[],https://twitter.com/BostonGlobe/status/1719670630998507737
The Maine Wire,@TheMaineWire,2023-11-01T00:19:54.000Z,"The Maine Wire
@TheMaineWire
·
Nov 1",Senators Angus King and Susan Collins remembered the 18 victims of the Lewiston tragedy tonight on the Senate floor.,,8,5,5,['https://pbs.twimg.com/ext_tw_video_thumb/1719508646999052288/pu/img/Y-cXUpMLHXKH-kPV.jpg'],https://twitter.com/TheMaineWire/status/1719509534090141841
BradenLOA,@BradenLOA,2023-11-02T01:32:59.000Z,"BradenLOA
@BradenLOA
·
Nov 2","BREAKING: Sen. Angus King from Maine has announced he is working on a ""new type of gun bill"".  It may be different in style, but it will share the others fate as well... check it out:",,1,3,15,['https://pbs.twimg.com/card_img/1730256350880616448/q9KMI_io?format=jpg&name=360x360'],https://twitter.com/BradenLOA/status/1719890315765506371
bufordisaacs,@bufordisaacs,2023-11-03T20:53:44.000Z,"bufordisaacs
@bufordisaacs
·
Nov 4",Angus King is 79 years old and Susan Collins will soon be 71/Term limits are needed in Congress!,,,,,[],https://twitter.com/bufordisaacs/status/1720544813764817206
Warrior Broadcast,@WWHSbroadcast,2023-11-03T20:33:47.000Z,"Warrior Broadcast
@WWHSbroadcast
·
Nov 4","GAMEDAY
Playoff Football
@Winton_WoodsFB
 at Withrow
Angus King Stadium
7:00PM
Score updates on 
@WWHSbroadcast",🚨 🚨 🏈 🏈 📍 ⏰,,,,['https://pbs.twimg.com/media/F-CV0xwXEAAX_Sp?format=jpg&name=900x900'],https://twitter.com/WWHSbroadcast/status/1720539793711374654
El EssDominionism,@Bonnietheconure,2023-11-03T20:12:44.000Z,"El EssDominionism
@Bonnietheconure
·
Nov 4",I’d rather have heard from Angus King than Susan Collins,🌻 🚫,1,1,3,[],https://twitter.com/Bonnietheconure/status/1720534496431210582
Christopher Freeman,@Sabertooth0023,2023-11-03T19:32:33.000Z,"Christopher Freeman
@Sabertooth0023
·
Nov 4","President Biden has arrived in Brunswick, along with Susan Collins, Angus King, and Chellie Pingree.",,,,,[],https://twitter.com/Sabertooth0023/status/1720524381821014107
