UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
Responsible Statecraft,@RStatecraft,2023-11-01T23:00:00.000Z,"Responsible Statecraft
@RStatecraft
·
Nov 2","Speaker Johnson’s alternative is “a poison pill and non-starter. It’s just not the way we’re going to proceed,” according to Sen. Ben Cardin (D-Md.), the chairman of the Senate Foreign Relations Committee. 
@blaise_malley",,,1,2,['https://pbs.twimg.com/card_img/1732522714454241280/g6tpY-l2?format=jpg&name=900x900'],https://twitter.com/RStatecraft/status/1719851813854163059
MoCo360.Media,@MoCo360Media,2023-11-01T16:36:53.000Z,"MoCo360.Media
@MoCo360Media
·
Nov 2",Protesters at Sen. Ben Cardin’s office call for cease-fire in Gaza,,,,,['https://pbs.twimg.com/card_img/1728066084291452929/bG2a2vZv?format=png&name=900x900'],https://twitter.com/MoCo360Media/status/1719755399266464128
Krazyfingaz,@RealKrazyfingaz,2023-11-01T12:57:39.000Z,"Krazyfingaz
@RealKrazyfingaz
·
Nov 1",This shit is crazy…As a person who’s pretty astute when it comes to laws and politics locally this was one that I knew nothing about and had no clue this was a thing in my home state…It makes sense why Ben Cardin push this at the time and Hogan would sign it into law.,,,2,1,['https://pbs.twimg.com/media/F92aPXiXUAAeBt2?format=jpg&name=900x900'],https://twitter.com/RealKrazyfingaz/status/1719700226062123462
ConservativeSlade,@Sl9Slade,2023-11-01T10:53:05.000Z,"ConservativeSlade
@Sl9Slade
·
Nov 1","SPEAKER JOHNSON wants to separate funding of Israel from Ukraine but is meeting with RESISTANCE in the Senate. THESE:
"" Committee Chair Ben Cardin, D-Md.

Senate Minority Leader Mitch McConnell, R-Ky., Sen. Lindsey Graham, R-S.C., and Sen Roger Wicker, R. and L. Murkowski,R""",,1,,,[],https://twitter.com/Sl9Slade/status/1719668879499174182
Pablo Manríquez,@PabloReports,2023-11-02T16:36:38.000Z,"Pablo Manríquez
@PabloReports
·
Nov 3",NEW: Senate Foreign Relations Cmte chair Ben Cardin tells me he supports starting conversations about lifting the U.S. embargo on Cuba ,,5,70,238,[],https://twitter.com/PabloReports/status/1720117724846731320
WGMD Radio The Talk of Delmarva,@WGMDRadio,2023-11-02T15:53:48.000Z,"WGMD Radio The Talk of Delmarva
@WGMDRadio
·
Nov 2",Senator Ben Cardin Releases Statement on Senate Passage of Three Spending Bills,,,,,[],https://twitter.com/WGMDRadio/status/1720106946873663962
Chris Cioffi,@ReporterCioffi,2023-11-02T14:25:50.000Z,"Chris Cioffi
@ReporterCioffi
·
Nov 2","Sen. Ben Cardin compliments fmr Sen. Barbara Mikulski for bringing new one-liners to Senate finance today.

""I've had a lot of time to think about them,"" she said.  

She's here to introduce Martin O'Malley, nominated to be Social Security commissioner.",,,1,3,[],https://twitter.com/ReporterCioffi/status/1720084808892870902
@accokeek,@accokeek,2023-11-03T22:10:42.000Z,"@accokeek
@Accokeek
·
Nov 4","The Accokeek Foundation is deeply grateful for Congressman Steny Hoyer, Senators Ben Cardin and Chris Van Hollen, and Congressman Glenn Ivey’s support for our work for Piscataway Park and the community we serve.",,1,3,12,[],https://twitter.com/Accokeek/status/1720564181844238515
Ryan Nobles,@ryanobles,2023-11-03T16:23:53.000Z,"Ryan Nobles
@ryanobles
·
Nov 4","NOW-> Senate Foreign Relations Chair Senator Ben Cardin joins me live on 
@MSNBC
 .",,,,1,[],https://twitter.com/ryanobles/status/1720476903465697485
naomi,@lachancenaomi27,2023-11-03T15:25:48.000Z,"naomi
@lachancenaomi27
·
Nov 3",This 2015 picture of Ben Cardin and Lindsey Graham is really sending me,,1,1,8,[],https://twitter.com/lachancenaomi27/status/1720462285104152811
Roger Hartley,@ProfHartley,2023-11-03T13:49:00.000Z,"Roger Hartley
@ProfHartley
·
Nov 3","Thrilled to hear Senator Ben Cardin 
@SenatorCardin
 speak about civic engagement at the 
@Univ_System_MD
 Symposium on Civic Education and Engagement.  The entire 
@ubaltmain
 engagement team and 
@SchaeferCenter
 work is prominent today.  
@UBaltCPA
 @ubaltsuccess",,,,3,[],https://twitter.com/ProfHartley/status/1720437927463841864
Bloomberg Government,@BGOV,2023-11-04T23:07:07.000Z,"Bloomberg Government
@BGOV
·
Nov 5","Sen. Ben Cardin, who took over for Sen. Bob Menendez as head of the Foreign Relations Committee, is in the spotlight as he leads the congressional response to wars in Israel and Ukraine.",,,,,['https://pbs.twimg.com/profile_images/1631723279676317709/-fjgaR2p_bigger.jpg'],https://twitter.com/BGOV/status/1720940767269597447
Scott Shepard,@Shepardofmaine,2023-11-04T13:36:37.000Z,"Scott Shepard
@Shepardofmaine
·
Nov 4","Behold 
the would be viceroy of Palestine; 
Senator Cardin:
""You have to have a credible administrator that can come into Gaza ...""
That is, Palestinians have made it inconvenient to be allowed to govern themselves, so Ben Cardin wants
other Arabs to send some lackey over.",,,,,['https://pbs.twimg.com/amplify_video_thumb/1719767445475414016/img/f2jHgR_WdOkjlGzj.jpg'],https://twitter.com/Shepardofmaine/status/1720797195970945492
Sharon Carbine,@SharonCarbine,2023-11-04T05:07:07.000Z,"Sharon Carbine
@SharonCarbine
·
Nov 4","Democrat Senators Elizabeth #Warren, Ben #Cardin & Sheldon #Whitehouse voted to protect American #seniors.

""'Fundamentally Wrong': Dems Oppose 
@POTUS
' #Medicare Nominee [Demetrios #Kouzoukas] in Cmte Vote.""
https://huffpost.com/entry/demetrios-kouzoukas-elizabeth-warren-medicare-nominee_n_65450bace4b06bc01e2402ca#…

Kouzoukas has an extreme conflict of interest!",,1,5,7,[],https://twitter.com/SharonCarbine/status/1720668976773042200
LiveTube Alerts,@livetubealerts,2023-11-05T19:04:18.000Z,"LiveTube Alerts
@livetubealerts
·
Nov 6",Video: ‘Important Part Of Our Economy’: Ben Cardin Calls Attention To Outdoor Recreation Industry https://livetube.tv/news/video-important-part-of-our-economy-ben-cardin-calls-attention-to-outdoor-recreation-industry?utm_source=rss&utm_medium=rss&utm_campaign=video-important-part-of-our-economy-ben-cardin-calls-attention-to-outdoor-recreation-industry… #LiveTube,,,,,[],https://twitter.com/livetubealerts/status/1721242049909866596
Axios Pro,@AxiosPro,2023-11-06T20:17:12.000Z,"Axios Pro
@AxiosPro
·
Nov 7",New Senate Foreign Relations Chair Ben Cardin is suddenly a key player in international climate policy ahead of COP28.,,,,,['https://pbs.twimg.com/profile_images/1641458976049995776/GtO-0zYe_bigger.jpg'],https://twitter.com/AxiosPro/status/1721622782230872233
Towson University,@TowsonU,2023-11-06T19:30:48.000Z,"Towson University
@TowsonU
·
Nov 7",Here's the latest in TU News: Towson University hosts USM Symposium on Civic Education and Civic Engagement with Senator Ben Cardin,,,2,3,[],https://twitter.com/TowsonU/status/1721611108325249351
jon,@jonnymon_,2023-11-06T18:49:50.000Z,"jon
@jonnymon_
·
Nov 7","Shame on 
@tomhallwypr
 and 
@MiddayWYPR
 for lobbing softballs and suppressing critical questions coming in from the phones for Ben Cardin.

Journalistic malpractice.",,,,,[],https://twitter.com/jonnymon_/status/1721600797954212089
EM2007,@Kmarugan,2023-11-06T17:25:22.000Z,"EM2007
@Kmarugan
·
Nov 7",Cristal clear! Ben Cardin couldn’t be more eloquent and concise.,,,,,['https://pbs.twimg.com/ext_tw_video_thumb/1721578478053535744/pu/img/0Lwmc-wdxrCm2PBc.jpg'],https://twitter.com/Kmarugan/status/1721579541880082653
Craig Caplan,@CraigCaplan,2023-11-07T21:23:30.000Z,"Craig Caplan
@CraigCaplan
·
Nov 8","Foreign Relations Chair Ben Cardin (D-MD) from Senate floor: ""We will not rest until we do everything we can for the safe return of the hostages"" from Gaza.",,1,1,16,[],https://twitter.com/CraigCaplan/status/1722001858061869374
El Cuarto Poder,@elcuartopoderhn,2023-11-07T18:17:17.000Z,"El Cuarto Poder
@elcuartopoderhn
·
Nov 8","#LoÚltimo | Los senadores estadounidenses Ben Cardin, presidente del Comité de Relaciones Exteriores y Tim Kaine, presidente del Subcomité de Asuntos del Hemisferio Occidental, emitieron la siguiente declaración sobre la toma antidemocrática del poder y la política. (1)",🔵,2,6,8,[],https://twitter.com/elcuartopoderhn/status/1721954992465010958
Duane Davis,@shortman_9,2023-11-07T16:10:16.000Z,"Duane Davis
@shortman_9
·
Nov 8","Sen Ben Cardin Ryan Dorsey Dana Moore A G  Anthony Brown Movie and Evide... https://youtu.be/DzugMgnrr1c?si=Fc6dKx9C9CkSQuEW… 
@JonCardin
 @SenatorCardin
 @KathyforMD
 @shellyhettleman
 @AlsobrooksForMD
 @SpeakerAJones
 @BrookeELierman
 @MdPipetrades
 @RepKweisiMfume
 @RepSarbanes
 @RepStenyHoyer
 @GovWesMoore
 @wjz",,,,,[],https://twitter.com/shortman_9/status/1721923028588679198
