UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
Gib,@gilizdexdai,2023-11-01T23:55:33.000Z,"Gib
@gilizdexdai
·
Nov 2","https://truthout.org/articles/israel-bombs-refugee-camp-again-this-time-under-telecommunications-blackout/…

Bernie Sanders Says First Priority in Gaza Must Be to 'Stop the Bombing'",,,,,[],https://twitter.com/gilizdexdai/status/1719865791884255595
Formerly known as NC-17,@chimpyfarts,2023-11-01T23:55:20.000Z,"Formerly known as NC-17
@chimpyfarts
·
Nov 2","We have turned brulee with dijon and policing in bowel movement Bernie Sanders very big diarrhea hard and expensive Whistleblower, and why FART Media. They are Thank you! To Puerto Rico. Please understand, you robotics and the United States and the United States and he farted!",,,,,[],https://twitter.com/chimpyfarts/status/1719865739304370190
Jon Osman,@TheActor_movie,2023-11-01T23:52:23.000Z,"Jon Osman
@TheActor_movie
·
Nov 2","Ro says the reason why he doesn’t support a ceasefire is bc that’s where 
@BernieSanders
 and 
@RepRaskin
 stands 

Translation 

I’m a puppet with a mouth and have no opinion of my own 

Shame on you Ro - shame on all of you ",‼ 🦅,,,,"['https://pbs.twimg.com/amplify_video_thumb/1719864935180652544/img/x2kAuyA_CAAf5azk.jpg', 'https://pbs.twimg.com/profile_images/1236008748130406400/6RLY4LrX_normal.jpg']",https://twitter.com/TheActor_movie/status/1719864996291653669
Meu amor está indo embora! Vai virar estrela!,@MariFlores1965,2023-11-01T23:49:49.000Z,"Meu amor está indo embora! Vai virar estrela!
@MariFlores1965
·
Nov 2","ATENÇÃO
Bernie Sanders agora no Congresso dos EUA
""Há um desastre humanitário em Gaza. O Congresso deve agir.""",🚨,,,,['https://pbs.twimg.com/profile_images/794619281271033856/Fs0QQaH7_normal.jpg'],https://twitter.com/MariFlores1965/status/1719864349139832914
Stop Hate & Extremists,@Nakita41980,2023-11-01T23:49:36.000Z,"Stop Hate & Extremists
@Nakita41980
·
Nov 2","We need to start a Bernie Sanders type of posts with Guy.  Just have him everywhere. 

My Guy Sussex gets around!",🛑 🛑 🙃 ❤,,,2,"['https://pbs.twimg.com/profile_images/1724493832312524800/hfJQ9pIY_normal.jpg', 'https://pbs.twimg.com/media/F93eVnkWcAAFGY-?format=jpg&name=900x900']",https://twitter.com/Nakita41980/status/1719864294903595124
#MedicareForAll tiktok.com/@TheLostDiva,#MedicareForAll tiktok.com/@TheLostDiva,2023-11-01T23:32:01.000Z,"#MedicareForAll tiktok.com/@TheLostDiva
@LostDiva
·
Nov 2",REMEMBER WHEN SENATOR BERNIE SANDERS WAS THE MOST POPULAR POLITICIAN IN AMERICA AND THEN LIKE HE ENDORSED JOE BIDEN…,,1,,1,"['https://pbs.twimg.com/profile_images/2235967973/We_the_Twitter_normal.jpg', 'https://pbs.twimg.com/media/F94hsrSa8AAQVY0?format=jpg&name=small']",https://twitter.com/LostDiva/status/1719859869665443964
Soramite,@SoraAoi43462587,2023-11-02T23:58:14.000Z,"Soramite
@SoraAoi43462587
·
Nov 3","Gaza needs a humanitarian pause. Then we need a vision of where we go from here | Bernie Sanders 

ガザには人道的一時停止が必要だ。 次に、ここからどこへ行くのかというビジョンが必要です
バーニー・サンダース",,,,4,[],https://twitter.com/SoraAoi43462587/status/1720228857339621793
alondra,@BRUJAEDA,2023-11-02T23:56:32.000Z,"alondra
@BRUJAEDA
·
Nov 3",what is Raye doing to bernie sanders here,,,,1,['https://pbs.twimg.com/ext_tw_video_thumb/1720228385635680256/pu/img/eSFNIs_MKxkZvMCm.jpg'],https://twitter.com/BRUJAEDA/status/1720228429302571182
J.V. Ayson (Bahala si Batman),@jambiktoywood25,2023-11-02T23:53:13.000Z,"J.V. Ayson (Bahala si Batman)
@jambiktoywood25
·
Nov 3","Rachel Maddow, Anderson Cooper, Sean Hannity, Jesse Waters, and... Maria Ressa should be ashamed of themselves, especially Ressa because her liberal mask has fallen. She is officially worse than Cornel West, and Bernie Sanders when it comes to bothsiding the issue.",,,,,[],https://twitter.com/jambiktoywood25/status/1720227593046397146
7/11 Truther,@DaveMcNamee3000,2023-11-02T23:46:04.000Z,"7/11 Truther
@DaveMcNamee3000
·
Nov 3",This is how Bernie Sanders’ texts me,,,,29,[],https://twitter.com/DaveMcNamee3000/status/1720225796764336566
Kerri Cabergas,@sergiogonbefine,2023-11-02T23:44:44.000Z,"Kerri Cabergas
@sergiogonbefine
·
Nov 3",Rhode Island  is like Walnut Creek but like the whole state lol...and everyone has that funny Bernie Sanders accent...even the latinas  and im starting to like it lol,,,,,[],https://twitter.com/sergiogonbefine/status/1720225460435476928
"Amelia S. Dall, M.A., RPA, GIS",@ameliarchaeo,2023-11-03T23:57:28.000Z,"Amelia S. Dall, M.A., RPA, GIS
@ameliarchaeo
·
Nov 4","I am disgusted I had supported 
@BernieSanders
. 

This is why I’m going to be extremely careful of who I’m gonna be voting for going forward.

Does anyone know who’s a great presidential candidate, that isn’t a Dem/GOP? I’ve been researching and.. it’s been hard to find more info.",⚒ 🥋,,,4,[],https://twitter.com/ameliarchaeo/status/1720591051193471478
Informações mundiais e militares,@Ricardo_1934,2023-11-03T23:56:34.000Z,"Informações mundiais e militares
@Ricardo_1934
·
Nov 4","Manifestantes pró-Palestina ocuparam gabinetes dos senadores Alex Padilla, Bernie Sanders, Brian Schatz e Elizabeth Warren exigindo um cessar-fogo em Gaza.

De acordo com a Polícia do Capitólio, 52 prisões de manifestantes foram efetuadas até agora.",,,4,57,[],https://twitter.com/Ricardo_1934/status/1720590827225764075
Fred Wong,@BlueOceanDDS,2023-11-03T23:53:00.000Z,"Fred Wong
@BlueOceanDDS
·
Nov 4",Bernie Sanders responds about his dream for #MedicareForAll. #Dental #Dentist #Teeth #Tooth #GlendoraDentist #OralHygiene #Dentistry,,,1,,[],https://twitter.com/BlueOceanDDS/status/1720589926687752312
Christi Givens,@ChristiGivens3,2023-11-03T23:49:37.000Z,"Christi Givens
@ChristiGivens3
·
Nov 4","Cenk is a fraud.
Bernie Sanders Retracts Endorsement of Cenk Uygur for Congress
Uygur, who has a history of antigay and misogynistic comments, is running to fill the seat of Rep. Katie Hill, who resigned after a revenge porn scandal",,,,,[],https://twitter.com/ChristiGivens3/status/1720589076309450860
Miguel R,@Miguelatpr,2023-11-03T23:49:22.000Z,"Miguel R
@Miguelatpr
·
Nov 4","We are appalled that NO progressives are saying what the majority of American people are saying: We need peace talks, not more war. Sign our petition to Senator Bernie Sanders demanding that he support diplomacy in Ukraine!",,,,,[],https://twitter.com/Miguelatpr/status/1720589014661832835
Zan Eskelson,@Zan_Eskelson,2023-11-04T23:59:12.000Z,"Zan Eskelson
@Zan_Eskelson
·
Nov 5","Bullshit Bernie. Go have another Weekend at Bernie's, 
@BernieSanders
. Put you rath on Hamas where it belongs. Seems to me Bernie is sucking up to 
@IlhanMN
 and 
@RashidaTlaib
 now.  The Islamists and Communists.",,,1,1,['https://pbs.twimg.com/amplify_video_thumb/1720844819067514880/img/k8iVYoUg_HpbIOwK.jpg'],https://twitter.com/Zan_Eskelson/status/1720953875174179033
Machelle,@Machell49934776,2023-11-04T23:59:03.000Z,"Machelle
@Machell49934776
·
Nov 5","BERNIE SANDERS: Sign the Genocide Pledge! - Sign the Petition! https://chng.it/5X5qhYhh via 
@Change",,,1,1,[],https://twitter.com/Machell49934776/status/1720953838654337485
George huckabee,@oneleggeorge,2023-11-04T23:55:44.000Z,"George huckabee
@oneleggeorge
·
Nov 5",The moron looks like Bernie Sanders and Paul pelosi had a child,,,,,[],https://twitter.com/oneleggeorge/status/1720953003736207856
vlad zilber,@zilbervlad,2023-11-04T23:54:51.000Z,"vlad zilber
@zilbervlad
·
Nov 5","Stop lying 
@BernieSanders",,,,1,['https://pbs.twimg.com/amplify_video_thumb/1720844819067514880/img/k8iVYoUg_HpbIOwK.jpg'],https://twitter.com/zilbervlad/status/1720952779563319582
Deniz Esen,@denizesens,2023-11-04T23:54:44.000Z,"Deniz Esen
@denizesens
·
Nov 5",Bu adamda bi Bernie Sanders vibe var ya,,,,,[],https://twitter.com/denizesens/status/1720952753806012854
Javier Soriano,@JavierSorianoNY,2023-11-05T23:59:47.000Z,"Javier Soriano
@JavierSorianoNY
·
Nov 6","#GenocideJoe Biden, democrats,republicans, Bernie Sanders, Kamala Harris, etc. in the USA MUST #StopArmingIsrael.

If U vote for genocide Joe, democrats,republicans, Bernie Sanders, Kamala Harris,Robert F. Kennedy Jr., then you support the killing of more tan 10,000 Palestinians.",,,1,1,['https://pbs.twimg.com/ext_tw_video_thumb/1719611510811684864/pu/img/CSgXUyWmW8vEDF4P.jpg'],https://twitter.com/JavierSorianoNY/status/1721316409127387235
,@zei_squirrel,2023-11-05T23:58:44.000Z,"@zei_squirrel
·
Nov 6","a year ago I said that Bernie Sanders is a disgusting depraved vile Zionist as he was whining about those who call Israel an Apartheid regime while doing his typical ""both sides"" garbage. Now he's defending the mass murder of Palestinian babies with grotesque Israeli propaganda",☀ 👀,127,1.2K,4.6K,['https://pbs.twimg.com/ext_tw_video_thumb/1721315992410673152/pu/img/6Gr1jDy9pv6rKtO-.jpg'],https://twitter.com/zei_squirrel/status/1721316148350701936
