UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
Gertrudes Larkin,@GertrudesLarkin,2023-11-01T22:23:03.000Z,"Gertrudes Larkin
@GertrudesLarkin
·
Nov 2","This is the #GOP 
This is what they represent. Don't ever forget that the first reaction from the party is punative. Anger, punish, blame, attack. No leadership, nothing productive. 
@SteveScalise
 #SteveScalise #gopindisarray 
@BillCassidy
 @SenBillCassidy
 #SenCassidy",,,2,1,['https://pbs.twimg.com/profile_images/1602801099802648576/3ucwUfyl_normal.jpg'],https://twitter.com/GertrudesLarkin/status/1719842514365009994
Alec Chivalry,@ArtVandelay2021,2023-11-01T21:38:40.000Z,"Alec Chivalry
@ArtVandelay2021
·
Nov 2",Press Release | Press Releases | Newsroom | U.S. Senator Bill Cassidy of Louisiana - Senator Bill Cassidy,,,,,[],https://twitter.com/ArtVandelay2021/status/1719831347748045174
"Bill Cassidy, M.D.",@BillCassidy,2023-11-01T20:13:00.000Z,"Bill Cassidy, M.D.
@BillCassidy
·
Nov 2","The Chinese Communist Party, Russia, and Iran are all on the same team. They all seek to harm America.",,5,5,4,[],https://twitter.com/BillCassidy/status/1719809786236051506
Israel War Room,@IsraelWarRoom,2023-11-01T19:22:15.000Z,"Israel War Room
@IsraelWarRoom
·
Nov 2","U.S. Senator Bill Cassidy calls for ""direct attention and enguagement from US Officials"" with regard to the rise in anti-semetic incidence on U.S. college campuses",,19,30,133,[],https://twitter.com/IsraelWarRoom/status/1719797014970679651
Martin,@Martin780548203,2023-11-01T18:56:18.000Z,"Martin
@Martin780548203
·
Nov 2",Good because he knows him and DeSantis Chris Christie and Pence and Bill Cassidy and Lís Cheney won't be getting votes from millions of President Trump supporter.. All Traitors sponsor by The Nazi New WORLD Order George Soros Kiaus Schwab,💋 💄,,,,['https://pbs.twimg.com/profile_images/1607184333542154240/e8D1xURI_normal.jpg'],https://twitter.com/Martin780548203/status/1719790486221627474
"Bill Cassidy, M.D.",@BillCassidy,2023-11-01T17:22:00.000Z,"Bill Cassidy, M.D.
@BillCassidy
·
Nov 2","Jewish students have a right to be safe on college campuses, and it’s our job in Congress to act when they are not.",,3,6,6,['https://pbs.twimg.com/card_img/1732360329311526912/6z59snfs?format=jpg&name=900x900'],https://twitter.com/BillCassidy/status/1719766755579474051
Mattie Lee's,@MyInfo30676651,2023-11-01T17:05:15.000Z,"Mattie Lee's
@MyInfo30676651
·
Nov 2",Sen. Bill Cassidy on what Biden has done right: 'I'm not quite sure',💯,,,,[],https://twitter.com/MyInfo30676651/status/1719762537686749205
Beth McDowell RN,@bmcdowelrn,2023-11-01T14:45:37.000Z,"Beth McDowell RN
@bmcdowelrn
·
Nov 1","Adam Kinzinger Says He Received 'Certified Letter' from Family Disowning Him
HEY LOUISIANA CAN WE DISOWN BILL CASSIDY? HEY BILL, YOU ARE SUPPOSED TO VOTE THE WILL OF THE PEOPLE WHO PUT YOU THERE, NOT YOUR PERSONAL VENDETTA",,,,,['https://pbs.twimg.com/card_img/1732282397905813504/5quDzZQL?format=jpg&name=900x900'],https://twitter.com/bmcdowelrn/status/1719727400236245153
"Bill Cassidy, M.D.",@BillCassidy,2023-11-01T13:54:00.000Z,"Bill Cassidy, M.D.
@BillCassidy
·
Nov 1","Fact is, securing America against terrorists threats begins with securing the southern border. https://buff.ly/3tZdvYv",,4,8,3,[],https://twitter.com/BillCassidy/status/1719714408371232896
Matthew Kavanagh,@MMKavanagh,2023-11-01T13:33:24.000Z,"Matthew Kavanagh
@MMKavanagh
·
Nov 1","Sen 
@BillCassidy
 says he’s very worried about the social determinants of health driving #HIV and low viral suppression among people who use drugs in the US. 
#PostLive",,,,2,['https://pbs.twimg.com/media/F92ibAkWYAAffDo?format=jpg&name=900x900'],https://twitter.com/MMKavanagh/status/1719709222978408479
