UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
Cordell Hell,@Chris4TN6,2023-11-01T18:49:17.000Z,"Cordell Hell
@Chris4TN6
·
Nov 2","Where are the tweets from Bill Hagerty about donating to her legal fund? 

The state attorney general's amicus?

Has State Senator Mark Pody even paid for anyone to take a bus with a boogaloo boy to #stopthesteal?",,2,2,5,"['https://pbs.twimg.com/profile_images/1088981389960196097/Sw1CTkQx_normal.jpg', 'https://pbs.twimg.com/media/F93g_erXgAEWXhI?format=jpg&name=900x900']",https://twitter.com/Chris4TN6/status/1719788718834286762
becky theone stewart,@StewartTheone,2023-11-01T17:30:22.000Z,"becky theone stewart
@StewartTheone
·
Nov 2",Any ceasefire is a win for Hamas: Bill Hagerty,,,,,[],https://twitter.com/StewartTheone/status/1719768857399730567
Rachael Pellagrini,@RPellagrini,2023-11-01T13:25:55.000Z,"Rachael Pellagrini
@RPellagrini
·
Nov 1","October 31, 2023 | 4 min.
""Sen. Hagerty Grills Sec. Blinken on Gaza Funding Being Diverted By Hamas
Sen. Bill Hagerty (R- TN) asked Sec. of State Antony Blinken, ""can you guarantee us that no taxpayer money, no U.S. taxpayer money, went to fund the attack that Hamas delivered on…
Show more",,,,,[],https://twitter.com/RPellagrini/status/1719707343334547779
tiff,@tifffuxxsake,2023-11-01T11:54:05.000Z,"tiff
@tifffuxxsake
·
Nov 1","Tennessee residents!!! 
Our senator, Bill Hagerty is who brought a loyalty oath for Israel to our state.",,1,,1,"['https://pbs.twimg.com/media/F92LsY4XYAAs51p?format=jpg&name=900x900', 'https://pbs.twimg.com/profile_images/1725240974694039552/txecwzrO_normal.jpg']",https://twitter.com/tifffuxxsake/status/1719684230425260539
Joseph A Dowdy,@hockeyseasntime,2023-11-02T20:05:43.000Z,"Joseph A Dowdy
@hockeyseasntime
·
Nov 3",Sen. Bill Hagerty To Expose Biden's Funding of Israel's Enemies,,,1,1,[],https://twitter.com/hockeyseasntime/status/1720170344437150003
stealth9tn,@stealth9tn,2023-11-02T17:56:56.000Z,"stealth9tn
@stealth9tn
·
Nov 3","Sen. Bill Hagerty To Expose Biden's Funding of Israel's Enemies https://youtu.be/qqPdmogCET8?si=eb-uB3SLPinDewVy… via 
@YouTube",,,,,['https://pbs.twimg.com/card_img/1732820617756377088/4AA3QtMt?format=jpg&name=360x360'],https://twitter.com/stealth9tn/status/1720137935004033261
Andrew Perez,@apbenlulu,2023-11-02T17:48:09.000Z,"Andrew Perez
@apbenlulu
·
Nov 3","Sen. Bill Hagerty To Expose Biden's Funding of Israel's Enemies https://youtu.be/qqPdmogCET8?si=HeXtP0xYFKeF6eKo… via 
@YouTube",,1,,,['https://pbs.twimg.com/card_img/1732820617756377088/4AA3QtMt?format=jpg&name=360x360'],https://twitter.com/apbenlulu/status/1720135720847696174
Joseph John,@JosephJ50872959,2023-11-02T00:34:29.000Z,"Joseph John
@JosephJ50872959
·
Nov 2","Any ceasefire is a win for Hamas: Bill Hagerty https://msn.com/en-us/news/politics/any-ceasefire-is-a-win-for-hamas-bill-hagerty/vi-AA1jbr9X?ocid=socialshare&pc=DCTS&cvid=29417145d0a74650a057a6cb4591f273&ei=177… No stupid, its a win for the children who are being killed.  They are defenseless.",,,,,[],https://twitter.com/JosephJ50872959/status/1719875592185672168
XLR8_JUSTICE,@XLR8JUSTICE,2023-11-03T07:46:32.000Z,"XLR8_JUSTICE
@XLR8JUSTICE
·
Nov 3","Sen. Bill Hagerty To Expose Biden's Funding of Israel's Enemies https://youtu.be/qqPdmogCET8?si=MhcA2ly2vURvcI-v… via 
@YouTube",,,,,['https://pbs.twimg.com/card_img/1732820617756377088/4AA3QtMt?format=jpg&name=360x360'],https://twitter.com/XLR8JUSTICE/status/1720346710164332731
maria battles,@mariabattles414,2023-11-03T01:33:20.000Z,"maria battles
@mariabattles414
·
Nov 3","American Center for Law and Justice
Sen. Bill Hagerty To Expose Biden's Funding of Israel's Enemies
Senator Bill Hagerty joins Sekulow to discuss the Biden Administration’s pandering to extreme radical leftist groups seeking to discredit antisemitism.",,1,1,,[],https://twitter.com/mariabattles414/status/1720252790906507609
Michael Rhoades,@Michael79874688,2023-11-03T00:20:11.000Z,"Michael Rhoades
@Michael79874688
·
Nov 3",Sen. Bill Hagerty To Expose Biden's Funding of Israel's Enemies,,,,,[],https://twitter.com/Michael79874688/status/1720234382642794536
Wayne Hill,@wa4fgn,2023-11-03T00:01:14.000Z,"Wayne Hill
@wa4fgn
·
Nov 3",Sen. Bill Hagerty To Expose Biden's Funding of Israel's Enemies,,,,,[],https://twitter.com/wa4fgn/status/1720229612205097373
Teresa Delaney Gomez,@TeresaDelaneyG1,2023-11-04T20:43:37.000Z,"Teresa Delaney Gomez
@TeresaDelaneyG1
·
Nov 5",Sen. Bill Hagerty To Expose Biden's Funding of Israel's Enemies,,,,1,['https://pbs.twimg.com/card_img/1732820617756377088/4AA3QtMt?format=jpg&name=360x360'],https://twitter.com/TeresaDelaneyG1/status/1720904653980967122
joseph lipman,@joseph_lipman,2023-11-05T18:02:42.000Z,"joseph lipman
@joseph_lipman
·
Nov 6",1.  Senators who voted against the bill: Sen. Marsha Blackburn (R-Tenn.) Sen. John Boozman (R-Ark.) Sen. Mike Braun (R-Ind.) Sen. Mike Crapo (R-Idaho) Sen. Bill Hagerty (R-Tenn.),,,,,"['https://pbs.twimg.com/profile_images/1569877408517443585/fiWjQWaK_normal.jpg', 'https://pbs.twimg.com/media/F-DMHdCXwAAOmfW?format=jpg&name=900x900']",https://twitter.com/joseph_lipman/status/1721226548315914687
Right-Wing Ronin #AlphaMale,@WingRonin,2023-11-05T02:23:34.000Z,"Right-Wing Ronin #AlphaMale
@WingRonin
·
Nov 5",Bill Hagerty is based,,,,,[],https://twitter.com/WingRonin/status/1720990209192415613
Sam -GSD- Fisher,@SamFish90,2023-11-06T21:52:37.000Z,"Sam -GSD- Fisher
@SamFish90
·
Nov 7","Hagerty, Vance, Banking Committee Republicans Urge Biden ... - Senator Bill Hagerty",🐝 ⚖ 💛,,,,['https://pbs.twimg.com/card_img/1732445705900359681/BMwcyHxg?format=jpg&name=900x900'],https://twitter.com/SamFish90/status/1721646795225534614
Daphne Lovan,@daphne_lovan,2023-11-07T17:14:11.000Z,"Daphne Lovan
@daphne_lovan
·
Nov 8","A list of Republicans who cannot be reasoned with ever!

Donald Trump
Matt Gaetz 
MTG
Bimboebert 
Donald Trump Jr
Eric Trump
Ivanka Trump
Josh Hawley
Marsha Blackburn 
Show more",,1,,1,[],https://twitter.com/daphne_lovan/status/1721939113195000203
Kim D. Odom,@d_odom59019,2023-11-08T22:46:19.000Z,"Kim D. Odom
@d_odom59019
·
Nov 9","BREAKING: Bill Hagerty Confronts Mayorkas About Plan To 'Defund ICE' https://youtu.be/-1vd34Ga7MQ?si=rhsSvtAx3iDhUtxf… via 
@YouTube",,,,,['https://pbs.twimg.com/card_img/1732554813081255936/y2-QUBvl?format=jpg&name=360x360'],https://twitter.com/d_odom59019/status/1722385084081123702
