UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
Victoria Brownworth,@VABVOX,2023-11-01T23:41:04.000Z,"Victoria Brownworth
@VABVOX
·
Nov 2","So if George Santos gets expelled from the House, will the Senate move to expel Bob Menendez who faces far more serious charges than Santos?",,45,32,278,[],https://twitter.com/VABVOX/status/1719862149994975372
The New Republic,@newrepublic,2023-11-01T23:25:03.000Z,"The New Republic
@newrepublic
·
Nov 2","Senator Bob Menendez brushed off concerns about his presence at a security briefing, despite a felony indictment.",,,,,[],https://twitter.com/newrepublic/status/1719858120334180809
Jo,@JoJoFromJerz,2023-11-01T23:11:43.000Z,"Jo
@JoJoFromJerz
·
Nov 2","I’ve said it before and I’ll say it again… George Santos deserves to be expelled from Congress, and Bob Menendez does too.",,372,535,6K,[],https://twitter.com/JoJoFromJerz/status/1719854762009526648
Sage of Time,@SageOfTime1,2023-11-01T22:48:40.000Z,"Sage of Time
@SageOfTime1
·
Nov 2","The 2012 Senate election in NJ, the largest win for a Democrat since Jim Florio's election to the Governorship in 1989 one term incumbent Bob Menendez (D-Hudson) beat 13th District State Senator Joe Kyrillos Jr (R-Monmouth) with Superstorm sandy boosting his margin.",🎄,1,9,28,['https://pbs.twimg.com/media/F94hUrzW4AAKZ4h?format=jpg&name=900x900'],https://twitter.com/SageOfTime1/status/1719848963413578125
This Here Snakeskin Jacket,@SFlipp,2023-11-01T22:47:58.000Z,"This Here Snakeskin Jacket
@SFlipp
·
Nov 2","DeMoCrAtS aRe BeTtEr tHaN rEpUbLiCaBs BeCaUsE tHeY aSkEd bOb MeNeNdEz tO rEsIgN

Ok.",,,,2,"['https://pbs.twimg.com/media/F94hWmgW8AABLwb?format=jpg&name=small', 'https://pbs.twimg.com/profile_images/1036076785312718849/DqKNeMaJ_normal.jpg', 'https://pbs.twimg.com/amplify_video_thumb/1719768778991431680/img/uz6KUu98o_yI6oYo?format=jpg&name=360x360']",https://twitter.com/SFlipp/status/1719848784073535731
The New Republic,@newrepublic,2023-11-01T22:37:42.000Z,"The New Republic
@newrepublic
·
Nov 2",What the Hell Is Indicted Bob Menendez Doing at a Classified Briefing?,,1,,6,[],https://twitter.com/newrepublic/status/1719846202995261780
GGP Bill,@Stream25Bill,2023-11-01T22:09:37.000Z,"GGP Bill
@Stream25Bill
·
Nov 2","What the Hell Is Indicted Bob Menendez Doing at a Classified Briefing? https://news.yahoo.com/hell-indicted-bob-menendez-doing-202957509.html?soc_src=social-sh&soc_trk=tw&tsrc=twtr… via 
@Yahoo",☺,,,,[],https://twitter.com/Stream25Bill/status/1719839135387791771
Brian Allen,@allenanalysis,2023-11-01T22:04:23.000Z,"Brian Allen
@allenanalysis
·
Nov 2","It's concerning. 
@SenatorMenendez
's access to confidential data is questionable. If he attends further classified meetings, there might be a case for reevaluating his bail conditions.

Democratic Sen. Bob Menendez, under indictment for federal corruption charges including…
Show more",,6,50,152,['https://pbs.twimg.com/media/F94XYUGWQAAQdj5?format=jpg&name=900x900'],https://twitter.com/allenanalysis/status/1719837818866868495
John Skibinski,@LSI_John,2023-11-01T21:48:37.000Z,"John Skibinski
@LSI_John
·
Nov 2","No corporation in America would hire trump, George Santos, or Bob Menendez.  Yet, they can occupy powerful political positions, even get highly classified briefings.

Only in America.",,,,,[],https://twitter.com/LSI_John/status/1719833849348104443
Rep. Nico Rios,@nico4nd23,2023-11-01T21:47:57.000Z,"Rep. Nico Rios
@nico4nd23
·
Nov 2","An GOP rep that votes to expel 
@MrSantosNY
 is a spineless hack who doesn't have what it takes to win. Yea Santos isnt perfect, but he's one of your own. The left never throw their own under the bus. Republicans do this all the time. That's why they win. Like Sen. Bob Menendez.",,,,4,['https://pbs.twimg.com/profile_images/1694851591608627200/hYLDFj9G_normal.jpg'],https://twitter.com/nico4nd23/status/1719833682268021142
