UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
"Major R. Coleman Attorney,.& Author",@mmrc47,2023-11-01T15:36:04.000Z,"Major R. Coleman Attorney,.& Author
@mmrc47
·
Nov 1","Join me in supporting Catherine Cortez Masto via 
@actblue",,,,,['https://pbs.twimg.com/card_img/1730909420475891713/vLsQTp1j?format=png&name=900x900'],https://twitter.com/mmrc47/status/1719740095257784770
KTNV | Channel 13 News Las Vegas,@KTNV,2023-11-01T14:34:00.000Z,"KTNV | Channel 13 News Las Vegas
@KTNV
·
Nov 1",Nevada U.S. Senator Catherine Cortez Masto is part of a push to strengthen security at the U.S.-Mexico border.,,5,1,9,[],https://twitter.com/KTNV/status/1719724474139054093
Fiore DiNotte,@FiorediNotte33,2023-11-02T22:07:27.000Z,"Fiore DiNotte
@FiorediNotte33
·
Nov 3","#CatherineCortezMasto 

Received over 324,000 dollars from pro- #Israel industry donors 2019-24

#Nevada #PeaceEconomy #NoWar #DefundGenocide #GazaGenocide  #EndPoverty
#Congress #ceasefire 
#Progressive #CornelWest2024",,,,,['https://pbs.twimg.com/card_img/1730574346001727488/DyknfWY4?format=jpg&name=900x900'],https://twitter.com/FiorediNotte33/status/1720200977431834743
MARS,@meganfoxwadick,2023-11-03T18:37:05.000Z,"MARS
@meganfoxwadick
·
Nov 4","MY FELLOW NEVADANS PLEASE DO THE BARE MINIMUM AND CONTACT YOUR REPRESENTATIVES! Demand a ceasefire now!

House: Steven Horsford (202) 225-9894

Senate(D): Catherine Cortez Masto (202) 224-3542

Senate(R): Jacky Rosen (202)224-6244",,1,7,9,[],https://twitter.com/meganfoxwadick/status/1720510425610224081
Amir Alhaj | ASM | International PR Consultant,@AmirAlhaj_ph,2023-11-03T18:14:00.000Z,"Amir Alhaj | ASM | International PR Consultant
@AmirAlhaj_ph
·
Nov 4","November 12, 2022 Authority: US Mid-term elections: Democrats retain control of the Senate with Catherine Cortez Masto's victory in Nevada 50-49, with run-off in Georgia still to be decided #US #PR",,,,,['https://pbs.twimg.com/media/F-B08Uha8AMF_8n?format=jpg&name=900x900'],https://twitter.com/AmirAlhaj_ph/status/1720504614578221302
Sam -GSD- Fisher,@SamFish90,2023-11-03T08:02:34.000Z,"Sam -GSD- Fisher
@SamFish90
·
Nov 3",Immigration & Citizenship - Senator Catherine Cortez Masto - Catherine Cortez Masto,🐝 ⚖ 💛,,,,['https://pbs.twimg.com/card_img/1731218478575525888/9TD3oKU6?format=jpg&name=900x900'],https://twitter.com/SamFish90/status/1720350744090755141
World's Biggest Crosstab Hater,@schlagteslinks,2023-11-04T19:48:40.000Z,"World's Biggest Crosstab Hater
@schlagteslinks
·
Nov 5",Thinking once again about how Jon Ralston predicting that Catherine Cortez-Masto would win caused a lot of people (including the Crystal Ball) to move PA-SEN to Lean R and how that sent Oz shares surging in prediction markets. A lot of people may have lost money because of that.,🌉,2,2,57,[],https://twitter.com/schlagteslinks/status/1720890825348194764
SIERRA SUN TIMES,@SIERRASUNTIMES,2023-11-04T16:24:00.000Z,"SIERRA SUN TIMES
@SIERRASUNTIMES
·
Nov 5","Nevada U.S. Senator Catherine Cortez Masto’s Bipartisan Bill to Ensure Timely Processing of Rape Kits Passes Senate
#MariposaCounty #MaderaCounty #Yosemite #MercedCounty #FresnoCounty",,,,,['https://pbs.twimg.com/card_img/1732267355231670272/F1nrYLp9?format=jpg&name=360x360'],https://twitter.com/SIERRASUNTIMES/status/1720839320041656760
Henry,@Heinric66489555,2023-11-04T15:07:56.000Z,"Henry
@Heinric66489555
·
Nov 4","Opening Remarks - U.S. Senator Catherine Cortez Masto https://youtu.be/qMqgAeWEP3g?si=l0d18cO91sQbEK2i… via 
@YouTube",,,,,['https://pbs.twimg.com/card_img/1729994736767836160/RpM0IW6g?format=jpg&name=360x360'],https://twitter.com/Heinric66489555/status/1720820176612892811
Loan Nguyen,@LoanNgu02041197,2023-11-05T04:25:56.000Z,"Loan Nguyen
@LoanNgu02041197
·
Nov 5","breaking news, urgent now and beyond future! save our education, action now! save our healthcare of abortion, retirement age healthcare, healthcare! save our supreme court blue wave Party! @ catherinecortezmasto",,,1,1,['https://pbs.twimg.com/card_img/1730909420475891713/vLsQTp1j?format=png&name=900x900'],https://twitter.com/LoanNgu02041197/status/1721021003311296611
Loan Nguyen,@LoanNgu02041197,2023-11-05T04:25:06.000Z,"Loan Nguyen
@LoanNgu02041197
·
Nov 5","breaking news, urgent now and beyond future! save our education, action now - save our loving Planet, save our loving animal, climate change impact, action now! save our supreme court blue wave Party! @ catherinecortezmasto",,,1,1,['https://pbs.twimg.com/card_img/1730909420475891713/vLsQTp1j?format=png&name=900x900'],https://twitter.com/LoanNgu02041197/status/1721020790072869036
Loan Nguyen,@LoanNgu02041197,2023-11-05T04:24:07.000Z,"Loan Nguyen
@LoanNgu02041197
·
Nov 5","breaking news, urgent now and beyond future! save our healthcare of abortion, retirement age healthcare, healthcare! save our john lewis act, voting right act, and much more! save our supreme court blue wave Party! @
catherinecortezmasto",,,1,1,['https://pbs.twimg.com/card_img/1730909420475891713/vLsQTp1j?format=png&name=900x900'],https://twitter.com/LoanNgu02041197/status/1721020545301623044
The FEC,@FEC,2023-11-06T21:49:29.000Z,"The FEC
@FEC
·
Nov 7",Advisory Opinion Request 2023-09 (Senator Catherine Cortez Masto) is now available.  https://fec.gov/files/legal/aos/2023-09/202309R_1.pdf…,,2,,,[],https://twitter.com/FEC/status/1721646008717676867
RM VirtuesFREE PALESTINE,@rmvirtues,2023-11-06T04:30:49.000Z,"RM VirtuesFREE PALESTINE
@rmvirtues
·
Nov 6","Same from Steven Horsford, Catherine Cortez Masto, and Jacky Rosen in Nevada. All of them can go to HELL",🌱 🩸,,1,7,['https://pbs.twimg.com/profile_images/1561059921621311488/AyYLj1Nb_normal.jpg'],https://twitter.com/rmvirtues/status/1721384618396623349
Loan Nguyen,@LoanNgu02041197,2023-11-06T01:31:23.000Z,"Loan Nguyen
@LoanNgu02041197
·
Nov 6","Breaking news, urgent now and beyond future! save our education, action now - save our loving Planet, save our loving animal, climate change impact, action now! save our supreme court blue wave Party! Climate Corps, other etc. @ catherinecortezmasto",,,1,1,['https://pbs.twimg.com/card_img/1730909420475891713/vLsQTp1j?format=png&name=900x900'],https://twitter.com/LoanNgu02041197/status/1721339464310775961
Loan Nguyen,@LoanNgu02041197,2023-11-06T01:28:03.000Z,"Loan Nguyen
@LoanNgu02041197
·
Nov 6","breaking news, urgent now and beyond future! save our education, action now! save our healthcare of abortion, retirement age healthcare, healthcare! save our supreme court blue wave Party! @ ERA/abortion healthcare into laws, @ catherinecortezmasto",,,1,1,['https://pbs.twimg.com/card_img/1730909420475891713/vLsQTp1j?format=png&name=900x900'],https://twitter.com/LoanNgu02041197/status/1721338624699232290
Loan Nguyen,@LoanNgu02041197,2023-11-06T01:24:26.000Z,"Loan Nguyen
@LoanNgu02041197
·
Nov 6","breaking news, urgent now and beyond future! save our education, action now -  save our loving Planet, save our loving animal, climate change impact, action now! save our supreme court blue wave Party! @ catherinecortezmasto https://click.ngpvan.com/k/72858233/436631728/-1306425567?amounts=250,100,50,25,5&refcode=jtk6699-bu-in&nvep=ew0KICAiVGVuYW50VXJpIjogIm5ncHZhbjovL3Zhbi9OR1AvTkdQNDkvMS85MDA5OCIsDQogICJEaXN0cmlidXRpb25VbmlxdWVJZCI6ICI2MGUxZGRkMi0zZjdjLWVlMTEtYjAwNC0wMDIyNDgzMmViNzMiLA0KICAiRW1haWxBZGRyZXNzIjogIkxOZ3V5ZW4yNTVAeWFob28uY29tIg0KfQ%3D%3D&hmac=PzV0_WrGb-QUQZivUPpE22kzZcZzit9cL2u7JzCnkJo=…",,,1,1,[],https://twitter.com/LoanNgu02041197/status/1721337714958893185
Loan Nguyen,@LoanNgu02041197,2023-11-07T19:00:23.000Z,"Loan Nguyen
@LoanNgu02041197
·
Nov 8","breaking news, urgent now and beyond future! save our supreme court blue wave Party! Special election and beyond future! vote blue democracy wave Party! @ Abolish the electoral college, all across USA now @ catherinecortezmasto",,,1,1,['https://pbs.twimg.com/card_img/1730909420475891713/vLsQTp1j?format=png&name=900x900'],https://twitter.com/LoanNgu02041197/status/1721965839744942504
Loan Nguyen,@LoanNgu02041197,2023-11-07T18:57:01.000Z,"Loan Nguyen
@LoanNgu02041197
·
Nov 8","breaking news, urgent now and beyond future! save our education, action now! save our healthcare of abortion, retirement age healthcare, healthcare! save our supreme court blue wave Party! @ catherinecortezmasto",,,1,1,['https://pbs.twimg.com/card_img/1730909420475891713/vLsQTp1j?format=png&name=900x900'],https://twitter.com/LoanNgu02041197/status/1721964992151601461
Loan Nguyen,@LoanNgu02041197,2023-11-07T18:55:00.000Z,"Loan Nguyen
@LoanNgu02041197
·
Nov 8","breaking news, urgent now and beyond future! save our education, action now - save our loving Planet, save our loving animal, climate change impact, action now! save our supreme court blue wave Party! @ catherinecortezmasto",,,1,1,['https://pbs.twimg.com/card_img/1730909420475891713/vLsQTp1j?format=png&name=900x900'],https://twitter.com/LoanNgu02041197/status/1721964483537690661
Loan Nguyen,@LoanNgu02041197,2023-11-07T18:54:05.000Z,"Loan Nguyen
@LoanNgu02041197
·
Nov 8","breaking news, urgent now and beyond future! save our healthcare of abortion, retirement age healthcare, healthcare! save our john lewis act, voting right act, and much more! save our supreme court blue wave Party! @ catherinecortezmasto",,,1,1,['https://pbs.twimg.com/card_img/1730909420475891713/vLsQTp1j?format=png&name=900x900'],https://twitter.com/LoanNgu02041197/status/1721964254503551102
Teachers Against Trafficking,@elonmusksaveus5,2023-11-07T16:08:24.000Z,"Teachers Against Trafficking
@elonmusksaveus5
·
Nov 8","What about the child sex trafficking of Yeshua Awogbade by Catherine Cortez Masto, Dennis DeConcini and NV Steve Horsford? The murder of my sex trafficking investigative coach LVMPD officer Hartfield",,,,1,['https://pbs.twimg.com/card_img/1732585037155975168/oJr0MJmU?format=jpg&name=360x360'],https://twitter.com/elonmusksaveus5/status/1721922560273576062
Loan Nguyen,@LoanNgu02041197,2023-11-07T06:48:21.000Z,"Loan Nguyen
@LoanNgu02041197
·
Nov 7","breaking news, urgent now and beyond future! save our supreme court blue wave Party! special election and beyond future! vote blue democracy wave Party! @ Abolish the electoral college, @ Nevada blue now, @ Ohio Blue now, @ catherinecortezmasto",,,1,1,['https://pbs.twimg.com/card_img/1730909420475891713/vLsQTp1j?format=png&name=900x900'],https://twitter.com/LoanNgu02041197/status/1721781616702599641
Loan Nguyen,@LoanNgu02041197,2023-11-07T06:44:32.000Z,"Loan Nguyen
@LoanNgu02041197
·
Nov 7","breaking news, urgent now and beyond future! save our education, action now! save our healthcare of abortion, retirement age healthcare, healthcare! save our supreme court blue wave Party! @ catherinecortezmasto",,,1,1,['https://pbs.twimg.com/card_img/1730909420475891713/vLsQTp1j?format=png&name=900x900'],https://twitter.com/LoanNgu02041197/status/1721780657612103893
Loan Nguyen,@LoanNgu02041197,2023-11-07T06:43:34.000Z,"Loan Nguyen
@LoanNgu02041197
·
Nov 7","breaking news, urgent now and beyond future! save our education, action now - save our loving Planet, save our loving animal, climate change impact, action now! save our supreme court blue wave Party! @ catherinecortezmasto",,,1,1,['https://pbs.twimg.com/card_img/1730909420475891713/vLsQTp1j?format=png&name=900x900'],https://twitter.com/LoanNgu02041197/status/1721780412761165887
Loan Nguyen,@LoanNgu02041197,2023-11-07T06:42:31.000Z,"Loan Nguyen
@LoanNgu02041197
·
Nov 7","breaking news, urgent now and beyond future! save our healthcare of abortion, retirement age healthcare, healthcare! save our john lewis act, voting right act, and  much more! save our supreme court blue wave Party! @ catherinecortezmasto",,,1,1,['https://pbs.twimg.com/card_img/1730909420475891713/vLsQTp1j?format=png&name=900x900'],https://twitter.com/LoanNgu02041197/status/1721780151619563538
Sage of Time,@SageOfTime1,2023-11-07T05:58:32.000Z,"Sage of Time
@SageOfTime1
·
Nov 7",La senadora Catherine Cortez Masto es una gran adición. Además que sea una nuevas cosponsor ella está cercana con el liderato demócrata en el senado que controla dicha cámara legislativa,🎄,2,1,3,['https://pbs.twimg.com/profile_images/713067561877958656/5JQwK7Ui_normal.jpg'],https://twitter.com/SageOfTime1/status/1721769082465255452
KOLO8,@KOLO8,2023-11-08T04:00:06.000Z,"KOLO8
@KOLO8
·
Nov 8",U.S. Senators Catherine Cortez Masto and Jacky Rosen are announcing more than $1 million in funding for Nevada law enforcement and public safety.,,6,5,24,['https://pbs.twimg.com/card_img/1732384303458168832/9dQNl-M3?format=jpg&name=900x900'],https://twitter.com/KOLO8/status/1722101664230821950
KOLO8,@KOLO8,2023-11-09T18:00:10.000Z,"KOLO8
@KOLO8
·
Nov 10",U.S. Senators Catherine Cortez Masto and Jacky Rosen are introducing a bill that would permanently raise the overtime pay cap for wildland firefighters.,,3,7,28,['https://pbs.twimg.com/card_img/1732997504864534529/u9T9tTsR?format=jpg&name=900x900'],https://twitter.com/KOLO8/status/1722675462889996716
SIERRA SUN TIMES,@SIERRASUNTIMES,2023-11-09T15:59:00.000Z,"SIERRA SUN TIMES
@SIERRASUNTIMES
·
Nov 9","Nevada’s U.S. Senators Jacky Rosen and Catherine Cortez Masto Help Introduce Bipartisan Legislation to Permanently Raise Overtime Pay Cap for Wildland Firefighters
#MariposaCounty #MaderaCounty #Yosemite #MercedCounty #FresnoCounty",,,,,['https://pbs.twimg.com/card_img/1732382303656050688/Hx4ZpE8x?format=jpg&name=360x360'],https://twitter.com/SIERRASUNTIMES/status/1722644967946899606
Latino Journal,@LatinoJournal96,2023-11-10T23:20:53.000Z,"Latino Journal
@LatinoJournal96
·
Nov 11","He should have picked Gov. Grisham or Senator Catherine Cortez Masto. Much better picks.
Kamala Harris Is Biden’s No. 2 Problem https://msn.com/en-us/news/politics/kamala-harris-is-biden-s-no-2-problem/ar-AA1jGePX?ocid=socialshare&pc=U531&cvid=0f88e00efec44712ae73bf1dc89e3db4&ei=10… #naleo #lulac #maldef #latinojournal96 #cahispanic",,,,,['https://pbs.twimg.com/card_img/1732460619427713025/Qiznv3mt?format=jpg&name=900x900'],https://twitter.com/LatinoJournal96/status/1723118560963104825
José A. Delgado,@JoseADelgadoEND,2023-11-10T19:50:30.000Z,"José A. Delgado
@JoseADelgadoEND
·
Nov 11","Cualquier audiencia sobre un proyecto de plebiscito queda en manos del senador Joe Manchin . La senadora Catherine Cortez Masto, coauspiciadora del 3231, dice que no es un asunto que debe limitarse a su subcomisión- via 
@elnuevodia",,1,,3,['https://pbs.twimg.com/card_img/1732460622292348928/mzXJsAHD?format=jpg&name=900x900'],https://twitter.com/JoseADelgadoEND/status/1723065614267277552
MICHAEL DE SHANNON,@michaeldeshan,2023-11-10T04:46:07.000Z,"MICHAEL DE SHANNON
@michaeldeshan
·
Nov 10","REMARKABLE POWER DIAMOND, OUTSTANDING POWER DIAMOND, AND EXTRAORDINARY POWER DIAMOND QUEEN AND TRUE LEADER – US VICE CHAIRWOMAN OF OUTREACH AND US SENATOR CATHERINE CORTEZ MASTO

Please review my update with the link:

https://medium.com/@michaelshannon_84803/world-breaking-news-let-america-vote-part-5-6843281eed8f…

Michael De Shannon",,,,1,"['https://pbs.twimg.com/media/F-jACytbUAA7q1k?format=jpg&name=900x900', 'https://pbs.twimg.com/profile_images/1296092531566968832/A05aIYcg_normal.jpg']",https://twitter.com/michaeldeshan/status/1722838019118608579
KRNV,@KRNV,2023-11-10T03:08:03.000Z,"KRNV
@KRNV
·
Nov 10","U.S. Senators Catherine Cortez Masto (D-Nev.) and John Boozman (R-Ark.) introduced the bipartisan Autonomy for Disabled Veterans Act, which would help disabled veterans make accessibility and safety improvements to their homes.
@abbyvaerewyck
 reports.",,,1,2,['https://pbs.twimg.com/card_img/1732002030346964998/0hWBKyvn?format=jpg&name=900x900'],https://twitter.com/KRNV/status/1722813339582275854
Howard Phillips Lovecraft Enjoyer,@LovecraftHPStan,2023-11-11T20:37:35.000Z,"Howard Phillips Lovecraft Enjoyer
@LovecraftHPStan
·
Nov 12",Poll based on disputes with mutuals: Are Catherine Cortez-Masto and Ice Spice attractive or mid?,,3,1,4,[],https://twitter.com/LovecraftHPStan/status/1723439851691786607
Nevada Independent,@TheNVIndy,2023-11-11T16:00:02.000Z,"Nevada Independent
@TheNVIndy
·
Nov 12","As the government shutdown deadline (again) approaches, Congress is exploring ways to kick the can down the road. Plus, Sen. Catherine Cortez Masto wants Puerto Rican self-determination. 
@birenbomb
 reports in the D.C. Download:",,2,7,9,[],https://twitter.com/TheNVIndy/status/1723370004647694715
FOX5 Las Vegas,@FOX5Vegas,2023-11-11T01:00:00.000Z,"FOX5 Las Vegas
@FOX5Vegas
·
Nov 11",U.S. Senators Catherine Cortez Masto and Jacky Rosen are introducing a bill that would permanently raise the overtime pay cap for wildland firefighters.,,1,6,11,['https://pbs.twimg.com/card_img/1730934422537662464/kWj7zjLG?format=jpg&name=900x900'],https://twitter.com/FOX5Vegas/status/1723143505986613354
Ben Gotz,@BenSGotz,2023-11-13T16:36:41.000Z,"Ben Gotz
@BenSGotz
·
Nov 14",President Biden welcomes Senator Catherine Cortez Masto to the stage for one last photo with the Knights.,,,3,90,['https://pbs.twimg.com/media/F-0_bgmW0AAX4io?format=jpg&name=900x900'],https://twitter.com/BenSGotz/status/1724104003376537725
Brendan Pedersen,@BrendanPedersen,2023-11-14T16:58:33.000Z,"Brendan Pedersen
@BrendanPedersen
·
Nov 15",Two Democratic senators have said that FDIC Chair Gruenberg reached out to them almost immediately after the WSJ report's publication: Sens. Catherine Cortez Masto (Nev.) and Laphonza Butler (Calif.),🏦,,1,4,[],https://twitter.com/BrendanPedersen/status/1724471893598564365
PR51st #Statehood4PR,@PuertoRico51st,2023-11-14T13:00:09.000Z,"PR51st #Statehood4PR
@PuertoRico51st
·
Nov 14","Thank you, Sen. Catherine Cortez Masto, 
@SenCortezMasto
 , for cosponsoring S3231, the Puerto Rico Status Act. It is our best chance of a permanent non-territorial status for Puerto Rico at long last. #StoptheColony #PR51st",,1,23,39,['https://pbs.twimg.com/media/F-5Xd5kXsAAkfdp?format=jpg&name=900x900'],https://twitter.com/PuertoRico51st/status/1724411900568432976
