UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
Duane Davis,@shortman_9,2023-11-01T23:40:54.000Z,"Duane Davis
@shortman_9
·
Nov 2","FCC Violations 2-7-2011 Baltimore Brew Fern Shen School to Prison Pipeli... https://youtu.be/M6I44dMjNaA?si=nA6-wjcFovvSZFS3…  
@washingtonpost
 @marcsteiner
 @MarkGunnery
 @BaltimoreBrew
 @FCC
 @BrendanCarrFCC
  @NAACP_LDF
 @KobiLittle
 @MayorBMScott
 @GovWesMoore
 @ivanjbates
 @kayewhitehead
 @ChrisVanHollen
 @wjz
 ok",,,,,['https://pbs.twimg.com/card_img/1731710014828507136/mC1ft2m2?format=jpg&name=360x360'],https://twitter.com/shortman_9/status/1719862107473162662
John M. Curtis,@drjmcurtis,2023-11-01T23:37:33.000Z,"John M. Curtis
@drjmcurtis
·
Nov 2",http://OnlineColumnist.com U.S. Senators Richard Blumenthal (D-Conn.) and Chris Van Hollen (D-Md.) propose the U.S. supply peacekeeping troops to Gaza while it works on a new government once Hamas is ousted from Gaza.  Whether Israel can oust Hamas is anyone's guess.,,,,,[],https://twitter.com/drjmcurtis/status/1719861262518235624
Michael Tracey,@mtracey,2023-11-01T23:24:49.000Z,"Michael Tracey
@mtracey
·
Nov 2","Sen. Chris Van Hollen (D-MD) points out that according to the UN, about six times more children have been killed in Gaza in just three weeks than have been killed in Ukraine during the entire war

Van Hollen reports that someone he knows well in Gaza just had four children killed",,279,1.8K,3.6K,[],https://twitter.com/mtracey/status/1719858059193794599
Roberto R. Rodríguez,@Rrodriguez0750,2023-11-01T22:34:34.000Z,"Roberto R. Rodríguez
@Rrodriguez0750
·
Nov 2","Los EEUU. están discutiendo el despliegue de fuerzas de mantenimiento de la paz en Gaza tras la caída de Hamás.
Según los senadores estadounidenses Chris Van Hollen y Richard Blumenthal , actualmente se están llevando a cabo conversaciones para crear una fuerza multinacional.",,,,,[],https://twitter.com/Rrodriguez0750/status/1719845411903394292
Senator Chris Van Hollen,@ChrisVanHollen,2023-11-01T21:41:22.000Z,"Senator Chris Van Hollen
@ChrisVanHollen
·
Nov 2","It's November 1, which means Open Enrollment for those on ACA health care plans starts today! Visit http://HealthCare.gov to pick a health insurance plan or renew your coverage by January 15.

Don't wait until the last minute — #GetCovered today!",🚨,25,3,12,['https://pbs.twimg.com/media/F94Rz7IX0AAGYSN?format=jpg&name=900x900'],https://twitter.com/ChrisVanHollen/status/1719832025178247353
Wajeeh Gay Lion وجيه المثلي الأسد,@WajeehLionn,2023-11-01T20:39:21.000Z,"Wajeeh Gay Lion وجيه المثلي الأسد
@WajeehLionn
·
Nov 2","Two senators confirmed that talks are underway to establish a multinational force in #Gaza after #Israel uproots #Hamas, the clearest sign yet that the #UnitedStates and its partners are seriously considering deploying foreign forces in the Strip.

 Senators 
@ChrisVanHollen
…
Show more",,,2,2,[],https://twitter.com/WajeehLionn/status/1719816417489338754
Shalom Lipner,@ShalomLipner,2023-11-01T20:38:55.000Z,"Shalom Lipner
@ShalomLipner
·
Nov 2","""
@ChrisVanHollen
 & 
@SenBlumenthal
 told 
@politico
 that there’s early, closed-door diplomacy over establishing a peacekeeping force in Gaza, though it was not likely to include American troops.""
@reporterjoe
, 
@alexbward
, 
@nahaltoosi",,,1,1,['https://pbs.twimg.com/card_img/1732424263976800256/8Hufpyd3?format=jpg&name=900x900'],https://twitter.com/ShalomLipner/status/1719816311394492502
"Embassy of Nepal, Washington, D.C.",@nepalembassyusa,2023-11-01T20:31:59.000Z,"Embassy of Nepal, Washington, D.C.
@nepalembassyusa
·
Nov 2","The official engagements of the Foreign Minister 
@NPSaudnc
 continued on the 3rd day of his official visit, meeting Senator Chris Van Hollen in Washington DC.",,1,7,38,"['https://pbs.twimg.com/media/F94COwHWIAAny4i?format=jpg&name=small', 'https://pbs.twimg.com/media/F94COwIXEAAMaaJ?format=jpg&name=small']",https://twitter.com/nepalembassyusa/status/1719814564647182578
•RÊBER,@yekinynprstngel,2023-11-01T19:40:15.000Z,"•RÊBER
@yekinynprstngel
·
Nov 2","#BREAKING_NEWS 

 #ISIS flags were unfurled at the march in support of #Hamas in Antep\Turkey

 
@brett_mcgurk
 @FrankPallone
 @ChrisVanHollen
 @POTUS
@CENTCOM
 @CJTFOIR
 @nadinemaenza
 Show more",🔴,,4,,['https://pbs.twimg.com/ext_tw_video_thumb/1719792737388511232/pu/img/X9xD3SA0fFUK8ATD.jpg'],https://twitter.com/yekinynprstngel/status/1719801545527534075
Hussain Abdul-Hussain,@hahussain,2023-11-01T19:15:11.000Z,"Hussain Abdul-Hussain
@hahussain
·
Nov 2","Hat tip to 
@RitchieTorres
’s clear eyed, principled position on #Israel against Islamist terrorist #Hamas. He restores my faith in Dem Party, makes me question why our MD Sen 
@ChrisVanHollen
 and Sen 
@Chris
 MurphyCT are so tolerant of, at times biased to, #Iran regime + militias.",,3,17,176,[],https://twitter.com/hahussain/status/1719795237504110813
