UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
Lou Ella Howard,@ellahoward271,2023-11-01T23:55:05.000Z,"Lou Ella Howard
@ellahoward271
·
Nov 2","Jim Jordan Probing if US Intel Community Helped Obstruct Congressional Hunter Biden Investigation https://link.theepochtimes.com/mkt_app/us/jim-jordan-probing-if-us-intel-community-helped-obstruct-congressional-hunter-biden-investigation-5521374?utm_source=andshare…
""Mr. Jordan’s inquiry specifically pertains to an Aug. 6, 2020 “defensive” briefing the FBI held for Sens. Chuck Grassley (R-Iowa) and Ron Johnson (R-Wis.).",,1,,,['https://pbs.twimg.com/card_img/1730726297825914880/exbtWxDs?format=jpg&name=900x900'],https://twitter.com/ellahoward271/status/1719865677828251818
JeniMac,@JennyMcMas8060,2023-11-01T23:23:27.000Z,"JeniMac
@JennyMcMas8060
·
Nov 2","Well that just sucks! Stop funding & providing aid (through taxpayer $$$s) Middle Eastern countries and Terrorist-Controlled countries! Enough is Enough. 
@HawleyMO
 @tedcruz
 @MarshaBlackburn
 @BasedMikeLee
 @SenRonJohnson
 @ChuckGrassley
 @LeaderMcConnell
 @SenateGOP
 @POTUS
 @JoeBiden",,,,,['https://pbs.twimg.com/profile_images/1712221322175021056/w4GlKY4Q_normal.jpg'],https://twitter.com/JennyMcMas8060/status/1719857717395808569
TP Breaking Alerts,@tpbreaking,2023-11-01T23:20:23.000Z,"TP Breaking Alerts
@tpbreaking
·
Nov 2","FLASHBACK: Biden in 2020 Emphatically Denies Accepting Foreign Money: 'Not a Single Penny... EVER!'""

It's time to impeach him!

Last week, Senator Chuck Grassley (R-IA) brought the  criminal activities of the Bidens back to the forefront.
 
He unveiled a report indicating that…
Show more",,1,1,3,['https://pbs.twimg.com/ext_tw_video_thumb/1719855696903286784/pu/img/ngXSZRlpX4I1K5KU.jpg'],https://twitter.com/tpbreaking/status/1719856943379128385
DMB for US Congress TX-16 House of Representatives,@DmbFor,2023-11-01T23:17:22.000Z,"DMB for US Congress TX-16 House of Representatives
@DmbFor
·
Nov 2","VA Whistleblowers Continue to Face Extreme Rates of Retaliation, Report Confirms 
@StopFraud
 @WhistleP2P
 @USGAO
 @ChuckGrassley",,,1,1,['https://pbs.twimg.com/card_img/1728361272997982208/OQmw0TQ2?format=jpg&name=360x360'],https://twitter.com/DmbFor/status/1719856186856501359
Dunlap Martha,@Martha1Dunlap,2023-11-01T22:58:37.000Z,"Dunlap Martha
@Martha1Dunlap
·
Nov 2",Chuck Grassley dropped an atomic bombshell that exposed the weaponized FBI’s corrupt effort to cover up criminal accusations against Joe Biden - Political Animal News,,,,,[],https://twitter.com/Martha1Dunlap/status/1719851465198493760
Bill,@riverrunner06,2023-11-01T22:35:33.000Z,"Bill
@riverrunner06
·
Nov 2","have been plugging away at their investigations, doing the work the DOJ won’t do.  Yesterday, Iowa Sen. Chuck Grassley made news with a letter sent Tuesday to FBI Director Christopher Wray and Attorney General Merrick Garland.",,,,,[],https://twitter.com/riverrunner06/status/1719845661108302324
Mrs Denosko,@Denosko1,2023-11-01T22:29:18.000Z,"Mrs Denosko
@Denosko1
·
Nov 2","WATCH: Senator Ron Johnson GRILLS FBI’s Wray Over Biden Cover-UpIn a tense Senate hearing, Wisconsin’s Ron Johnson (R) took FBI Director Christopher Wray to school over allegations of the bureau’s cover-up involving the Biden family.

Last week, Senator Chuck Grassley (R-IA)…
Show more",🌝,1,3,9,[],https://twitter.com/Denosko1/status/1719844088046833714
Sen. Grassley Press,@GrassleyPress,2023-11-01T21:57:36.000Z,"Sen. Grassley Press
@GrassleyPress
·
Nov 2","#ICYMI: ""We want the FBI to show us their work!"" 

-Senator 
@ChuckGrassley
 on 
@FoxBusiness",,1,5,5,['https://pbs.twimg.com/ext_tw_video_thumb/1719834474249158656/pu/img/HOWxFJG6S1zWtdUa.jpg'],https://twitter.com/GrassleyPress/status/1719836111776739394
Wesley C. Brauer,@brauer_wesley,2023-11-01T21:38:21.000Z,"Wesley C. Brauer
@brauer_wesley
·
Nov 2"," @GOP
 
@SenRickScott
 @marcorubio
 
@mattgaetz
 @mtgreenee
 
@ChuckGrassley
 @SenTedCruz",🔥 🔥 🔥 🔥,,,,['https://pbs.twimg.com/media/F94RbJ6aQAA4DZ_?format=jpg&name=small'],https://twitter.com/brauer_wesley/status/1719831267607453865
Chuck Grassley,@ChuckGrassley,2023-11-01T21:34:11.000Z,"Chuck Grassley
@ChuckGrassley
·
Nov 2",Rural pharmacists have told me they might go w/o pay 2 keep staff employed & lights on during Medicare Part D reimbursement changes CMS cannot sit on the sidelines Conduct oversight of PBMs & protect rural pharmacies during these changes NO TIME TO WASTE,,38,43,138,[],https://twitter.com/ChuckGrassley/status/1719830216686608393
EpochTV,@EpochTV,2023-11-01T21:15:35.000Z,"EpochTV
@EpochTV
·
Nov 2","""Another week and another 
@POTUS
 scandal,"" says 
@HansMahncke
.  

""This time it was 
@ChuckGrassley
 turn to expose a giant scheme within the FBI and within the FBI’s parent organization—DOJ—to systemically cover up Biden family corruption.""",,6,28,67,"['https://pbs.twimg.com/profile_images/1637675020569780224/aGuAgBKe_bigger.jpg', 'https://pbs.twimg.com/ext_tw_video_thumb/1719824960095391744/pu/img/KXcM7ykX87xtfPMP.jpg']",https://twitter.com/EpochTV/status/1719825538502582507
WorldNewsX365,@WorldNewsX365,2023-11-01T21:12:42.000Z,"WorldNewsX365
@WorldNewsX365
·
Nov 2","Senator Grassley demands firing of State Dept employee over offensive blog.
1. Fritz Berggren accused of drafting antisemitic blog posts
- Sen. Chuck Grassley expresses concerns about Berggren's ability to serve as a diplomatic representative
- Berggren's blog, ""Blood and Faith,""…
Show more",,,,,[],https://twitter.com/WorldNewsX365/status/1719824810719789240
Bill Roberts,@fallguy08831,2023-11-01T20:19:11.000Z,"Bill Roberts
@fallguy08831
·
Nov 2","Senator Chuck Grassley has recently announced the existence of 40 FBI informants who, for a period of 15 years, allegedly surveilled the Obama and Biden families while impeding any attempts to investigate the latter’s potential criminal activities.",,,,,[],https://twitter.com/fallguy08831/status/1719811344889721199
Bill,@riverrunner06,2023-11-01T20:10:18.000Z,"Bill
@riverrunner06
·
Nov 2",https://nypost.com/2023/10/25/ news/fbi-had-over-40- confidential-sources- providing-criminal- information-on-biden-family- sen-chuck-grassley-says/,,,,,[],https://twitter.com/riverrunner06/status/1719809108008972781
Bill,@riverrunner06,2023-11-01T20:09:37.000Z,"Bill
@riverrunner06
·
Nov 2","For the transcript of the Grassley letter, go to James Lynch at the DAILY CALLER.

https://dailycaller.com/2023/ 10/25/fbi-criminal- information-joe-hunter-biden- 40-confidential-sources-chuck- grassley/",,,,,[],https://twitter.com/riverrunner06/status/1719808937967714755
John Newberg,@john_newberg,2023-11-01T19:53:13.000Z,"John Newberg
@john_newberg
·
Nov 2","No kidding 
@SenJoniErnst
 @ChuckGrassley",,,,,['https://pbs.twimg.com/profile_images/1719549579757072384/IHkWTGqo_normal.jpg'],https://twitter.com/john_newberg/status/1719804808586993755
Chuck Grassley,@ChuckGrassley,2023-11-01T17:53:52.000Z,"Chuck Grassley
@ChuckGrassley
·
Nov 2","Barbara met w Iowa Legislators to discuss removing barriers for breast cancer screenings & treatments. As a 36 yr breast cancer survivor Barbara is a longtime advocate for breast cancer awareness, screening + early detection",,26,21,243,['https://pbs.twimg.com/media/F93eCwBXsAAd9S5?format=jpg&name=small'],https://twitter.com/ChuckGrassley/status/1719774773419389328
Weaponization Committee,@Weaponization,2023-11-01T17:34:19.000Z,"Weaponization Committee
@Weaponization
·
Nov 2","#NEWS: 
@Jim_Jordan
 Opens Inquiry into Intelligence Community for Obstructing Senator 
@ChuckGrassley
 and 
@SenRonJohnson
.",,130,389,1K,"['https://pbs.twimg.com/media/F93ZiKbWAAARklv?format=jpg&name=small', 'https://pbs.twimg.com/media/F93ZiKLWkAAZxH4?format=jpg&name=small', 'https://pbs.twimg.com/media/F93ZiKVWQAAGqKf?format=jpg&name=small', 'https://pbs.twimg.com/media/F93ZiKiWYAAkiBd?format=jpg&name=small']",https://twitter.com/Weaponization/status/1719769854947758489
Alexander Petruska,@apetrusk,2023-11-01T17:33:58.000Z,"Alexander Petruska
@apetrusk
·
Nov 2","Senator Grassley Reveals Shocking FBI Informant Allegations – Surveillance of Obama and Biden Families ...
And it's okay when Trump brought in his selection of individuals for key power positions. 
 You're quite biased yourself, 
@ChuckGrassley
.",🤨,,1,2,[],https://twitter.com/apetrusk/status/1719769766913527968
D Eugene,@DonaldW78315572,2023-11-01T17:14:12.000Z,"D Eugene
@DonaldW78315572
·
Nov 2",#One third of the senators are over 70 years old Chuck Grassley is 91 I think they’re getting a little old,,,,1,[],https://twitter.com/DonaldW78315572/status/1719764792385184202
Pen City Current,@pencitycurrent,2023-11-01T17:11:54.000Z,"Pen City Current
@pencitycurrent
·
Nov 2",WASHINGTON – The staff of Sen. Chuck Grassley (R-Iowa) will hold traveling office hours in 21 Iowa counties from November 6 through November 17. Iowans seeking assistance regarding a personal issue with a federal agency...Click here for more details: https://ow.ly/q3aJ50Q38cv?,,,,,[],https://twitter.com/pencitycurrent/status/1719764210266062857
Chuck Grassley,@ChuckGrassley,2023-11-01T17:01:14.000Z,"Chuck Grassley
@ChuckGrassley
·
Nov 2","Distrbing border stats:Biden admin let 250k foreign natls enter the country using CBP One app & skip full vetting process That INCLUDES >7,000 ppl flagged as Special Interest Aliens aka potential natl security risks I'm asking admin what they r doing 2 track risks+ENFORCE THE LAW",,99,119,250,[],https://twitter.com/ChuckGrassley/status/1719761525986992583
STAR,@PwrChip,2023-11-01T16:43:20.000Z,"STAR
@PwrChip
·
Nov 2","Chuck Grassley and James Comer Brag that 40 Informants Couldn’t Substantiate a Crime against Biden https://emptywheel.net/?p=118797 
#IAmPoliticsGirl #KeithOlbermann
#RepAOC #HouseDemWomen #digby56 
#RepRaskin #Reptedlieu #RepKatiePorter 
#RepSwalwell #RepJeffries #RepDanGoldman 
#IlhanMN",,,,1,['https://pbs.twimg.com/card_img/1732053432150728705/NL2Q8ghM?format=png&name=900x900'],https://twitter.com/PwrChip/status/1719757022457958618
Raymond Baker,@RayBake,2023-11-01T16:32:06.000Z,"Raymond Baker
@RayBake
·
Nov 2","Why would the self-proclaimed Senate Watch Dog himself, 
@ChuckGrassley
, object to a Supreme Court Code of Ethics. 

Why would Senator Grassley oppose a code of conduct for the highest court in the land?

What does Grassley want to hide?",,2,53,120,"['https://pbs.twimg.com/profile_images/1416081066889261061/Iyl5hJQ__normal.jpg', 'https://pbs.twimg.com/media/F9y98SOWkAASDm5?format=jpg&name=900x900']",https://twitter.com/RayBake/status/1719754197371896120
Comments on Iowa,@commentoniowa,2023-11-01T16:22:23.000Z,"Comments on Iowa
@commentoniowa
·
Nov 2","#voteblue2026  bcz 
@ChuckGrassley
 @SenJoniErnst
 in ‘17 orchestrate massive (CBO told 'em) UNDERFUNDING US Govt creating MASSIVE deficits not seen since WWII
MASSIVE fiscal malfeasance 
@iowagop
 
Joni_Chuck_economics=Failure
PLUS THEY r raising YOUR income taxes 1/1/25
#VOTEDEM2024",,,,,['https://pbs.twimg.com/profile_images/1682228089164554240/Oze8QsT4_normal.jpg'],https://twitter.com/commentoniowa/status/1719751752797258112
Got halted 4 the Criminals,@teekay5150,2023-11-01T16:08:48.000Z,"Got halted 4 the Criminals
@teekay5150
·
Nov 2",".
@ChuckGrassley
 Your public support is vital in the ongoing review of #MMTLP The SEC received a letter from the Committee on Financial Services requesting a thorough investigation. I urge you to sign a letter in support of this important inquiry. #FairMarketsNow",,,,,[],https://twitter.com/teekay5150/status/1719748330689864105
