UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
Moise Mission,@MissionMoise,2023-11-01T23:58:33.000Z,"Moise Mission
@MissionMoise
·
Nov 2","I signed the petition, I think one should.  Chuck Schumer: Debate Norman Finkelstein on Gaza - Sign the Petition! https://chng.it/Trp9YNMD via 
@CdnChange",,,,,['https://pbs.twimg.com/card_img/1729515865278992384/5gmJwx4x?format=jpg&name=900x900'],https://twitter.com/MissionMoise/status/1719866550826541220
FDR,@FDRdemocratfam,2023-11-01T23:54:43.000Z,"FDR
@FDRdemocratfam
·
Nov 2","This is a horrific issue 
@potus
 @VP
  @WhiteHouse
 @chuckschumer
  @departmentofedu",,,,,['https://pbs.twimg.com/profile_images/1643300340081754112/US9iykeY_normal.jpg'],https://twitter.com/FDRdemocratfam/status/1719865586023600294
Paul Zismo,@zismo64,2023-11-01T23:54:12.000Z,"Paul Zismo
@zismo64
·
Nov 2","It's about f*cking time! Shameful 
@GOP
 allowed Sen. Traitorville to block Military Promotions weakening U.S Military readiness & our National Security. Time to END MAGA seditious traitors holding America hostage! 
@SenateGOP
 @SenateDems
 @POTUS
@chuckschumer
 @LeaderMcConnell
 ",🌊 🌎 🌊 ⬇ ☮,,,1,['https://pbs.twimg.com/profile_images/1286711762725871617/gA2IaqbR_normal.jpg'],https://twitter.com/zismo64/status/1719865455815565574
Henri,@hsmithson_,2023-11-01T23:50:21.000Z,"Henri
@hsmithson_
·
Nov 2","Hey Chuck Schumer: can you Tuberville now please using his tactics to get the military promotions passed. Stop catering to that idiot. We can no longer afford to. 
@SenSchumer",,,,,['https://pbs.twimg.com/card_img/1732204789205815296/WoS21Fqp?format=jpg&name=900x900'],https://twitter.com/hsmithson_/status/1719864485928894697
Halil APAYDIN,@okunuksu,2023-11-01T23:47:34.000Z,"Halil APAYDIN
@okunuksu
·
Nov 2","Chuck Schumer: Debate Norman Finkelstein on Gaza - Kampanyaya imza ver! https://chng.it/SFfvLLhy 
@ChangeTR
 aracılığıyla",,,,,['https://pbs.twimg.com/card_img/1729515865278992384/5gmJwx4x?format=jpg&name=900x900'],https://twitter.com/okunuksu/status/1719863783533801622
Michael F Ozaki MD,@brontyman,2023-11-01T23:40:46.000Z,"Michael F Ozaki MD
@brontyman
·
Nov 2",Chuck Schumer presses forward with top military nominees amid Tommy Tuberville's blockade,,,,1,['https://pbs.twimg.com/card_img/1733296063887577088/1lk2qHW3?format=jpg&name=900x900'],https://twitter.com/brontyman/status/1719862071628832959
KRDO13,@KRDO_13,2023-11-01T23:30:07.000Z,"KRDO13
@KRDO_13
·
Nov 2","In a reversal of a months-long stance, Chuck Schumer said that he will bring a resolution to the Senate floor that, if passed, would overcome the military promotions block from Sen. Tommy Tuberville.",,,1,2,[],https://twitter.com/KRDO_13/status/1719859391778676976
gerri freed,@gerrifreed1,2023-11-01T23:25:35.000Z,"gerri freed
@gerrifreed1
·
Nov 2",Senator Chuck Schumer from New York is Jewish. And he doesn’t have the balls to stand up against the squad for their support of Hamas Anybody in New York that voted for this guy voted for another Hitler that’s how I feel.,,,,,[],https://twitter.com/gerrifreed1/status/1719858252006010900
Mark Avery,@MarkAvery822828,2023-11-01T23:21:13.000Z,"Mark Avery
@MarkAvery822828
·
Nov 2","Chuck Schumer Caught On Video - Speaker Mike Johnson Helps Israel More https://youtu.be/fm_P8XDoTm4?si=t0heExQJLxlQmeZh… via 
@YouTube",,,,,['https://pbs.twimg.com/card_img/1733082758501535744/BIMZSCop?format=jpg&name=360x360'],https://twitter.com/MarkAvery822828/status/1719857155170590824
Patriot for Freedom,@MBasconi,2023-11-01T23:20:28.000Z,"Patriot for Freedom
@MBasconi
·
Nov 2","Kavanuagh Rape Accuser Confesses She Lied, Was Never Raped, Never Even Met The Man – democrats disparaged SCOTUS and supported the liar true trash all of them! 
@cnnbrk
 @OANN
 @chuckschumer
 @GOP
 @NEWSMAX",⚠ ⚠,,,,['https://pbs.twimg.com/card_img/1732924167312334848/d6dpOP67?format=jpg&name=small'],https://twitter.com/MBasconi/status/1719856964488904906
