UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
Nadarius Woodsman,@OhNoItsMelvin,2023-11-02T15:31:02.000Z,"Nadarius Woodsman
@OhNoItsMelvin
·
Nov 2","Hate to give Shad the engagement by QT’ing but the “Biden DOJ” line is interesting considering who held up Scott Colom’s (US District Judge) confirmation and the reasoning behind it. 

It was Cindy Hyde-Smith btw.",,2,8,18,"['https://pbs.twimg.com/profile_images/1671172740550651904/koh9CwF__normal.jpg', 'https://pbs.twimg.com/media/F97YOTJWgAAbWmL?format=jpg&name=medium']",https://twitter.com/OhNoItsMelvin/status/1720101215508295907
S꒒ꚀꑱΞ☈VꚀ꒒Ξꀘ,@SladerValek,2023-11-02T10:11:56.000Z,"S꒒ꚀꑱΞ☈VꚀ꒒Ξꀘ
@SladerValek
·
Nov 2",Tate Reeves will lose. Cindy Hyde Smith almost lost,,,,1,[],https://twitter.com/SladerValek/status/1720020913612112119
Gwen Cwiklik,@GCwiklik,2023-11-02T04:02:54.000Z,"Gwen Cwiklik
@GCwiklik
·
Nov 2",Apparently you weren’t watching the same debate I was tonight because Tate was slightly better than Cindy “Hillbilly” Hyde Smith who was a train wreck but also repeated a one liner talking point that didn’t even make sense when used. Tate lost the debate and it wasn’t even close!,,,,,"['https://pbs.twimg.com/profile_images/1366424936512970757/tHpcWkNO_normal.jpg', 'https://pbs.twimg.com/media/F95HV0yXIAAT4MC?format=jpg&name=900x900']",https://twitter.com/GCwiklik/status/1719928041990681029
APTA,@APTA_info,2023-11-02T00:27:28.000Z,"APTA
@APTA_info
·
Nov 2","“APTA applauds Senate Appropriations Committee leaders Patty Murray (D-WA), Susan Collins (R-ME), Brian Schatz (D-HI), and Cindy Hyde-Smith (R-MS) for their commitment to fully fund the historic public transportation investments of the BIL.” https://apta.com/news-publications/press-releases/releases/apta-statement-on-passage-of-senate-fy-2024-thud-appropriations-bill/…",,,3,6,"['https://pbs.twimg.com/media/F944IROW8AAvUW3?format=jpg&name=small', 'https://pbs.twimg.com/media/F944IRWW8AAlj7O?format=jpg&name=small']",https://twitter.com/APTA_info/status/1719873826392035754
Orlyusa@aol.com,Orlyusa@aol.com,2023-11-03T04:21:28.000Z,"Orlyusa@aol.com
@Orlyusaaolcom1
·
Nov 3","Thank you U.S. Senator Tim Scott (R-S.C.) Marsha Blackburn (R-Tenn.), Katie Britt (R-Ala.), John Cornyn (R-Texas), Joni Ernst (R-Iowa), Cindy Hyde-Smith (R-Miss.) and James Lankford (R-Okla.) in introducing the #StopAntisemitismon CollegeCampusesAct",🙏,,1,1,"['https://pbs.twimg.com/media/F9-3RsIWsAAW9Vf?format=jpg&name=900x900', 'https://pbs.twimg.com/profile_images/1635884749339217921/R41UoqIW_normal.jpg']",https://twitter.com/Orlyusaaolcom1/status/1720295100918489373
Sun Belt Politics,@SunBeltPolitics,2023-11-04T04:00:27.000Z,"Sun Belt Politics
@SunBeltPolitics
·
Nov 4","Both Tate Reeves and Cindy Hyde-Smith would break 60% of the vote in their 2015 statewide elections, and would then proceed to not even break 54% in 2018 and 2019.  Funny how that transition works.",,4,,27,[],https://twitter.com/SunBeltPolitics/status/1720652201251807441
Paul Hampton,@PressSecHampton,2023-11-07T18:51:15.000Z,"Paul Hampton
@PressSecHampton
·
Nov 8","“They remind me that there’s a lot of liberal folks in those other schools who maybe we don’t want to vote. Maybe we want to make it just a little more difficult. And I think that’s a great idea.” 

Sen. Cindy Hyde-Smith forgetting the mic was on https://twitter.com/girlsreallyrule/status/1721961630047563922…",,,4,3,[],https://twitter.com/PressSecHampton/status/1721963541454786668
WJTV 12 News,@WJTV,2023-11-08T17:06:21.000Z,"WJTV 12 News
@WJTV
·
Nov 9",U.S. Senator Cindy Hyde-Smith (R-Miss.) introduced legislation to include the Grand Village of the Natchez Indians and Jefferson College into the footprint of the Natchez National Historical Park. https://trib.al/U21gi0W,,,1,3,['https://pbs.twimg.com/media/F-bWS9ZXUAADEW9?format=png&name=small'],https://twitter.com/WJTV/status/1722299530228494774
Ren Comm Loan Fund,@RCLFMS,2023-11-09T17:56:09.000Z,"Ren Comm Loan Fund
@RCLFMS
·
Nov 10","Our CFO, Chuck Wall and Director of Lending, John-Michael Marlin, were grateful to meet with MS Senators Cindy Hyde-Smith and Roger Wicker during the 
@OppFinance
 2023 Conference in Washington D.C. to discuss Renaissance and how we serve our beautiful state!",,,1,1,"['https://pbs.twimg.com/media/F-gqgDLXYAEPcxs?format=jpg&name=small', 'https://pbs.twimg.com/media/F-gqhdbXoAAAAC1?format=jpg&name=small']",https://twitter.com/RCLFMS/status/1722674451320316408
SuperTalk Mississippi,@supertalk,2023-11-09T14:00:00.000Z,"SuperTalk Mississippi
@supertalk
·
Nov 9",U.S. Senator Cindy Hyde-Smith has introduced legislation aimed at including two Mississippi landmarks in the footprint of the Natchez National Historical Park.,,,,,[],https://twitter.com/supertalk/status/1722615021484814794
Boris,@KaiserLeopoldII,2023-11-09T05:01:40.000Z,"Boris
@KaiserLeopoldII
·
Nov 9",Brandon Presley should run for Senate against Cindy Hyde-Smith.,,,,1,[],https://twitter.com/KaiserLeopoldII/status/1722479546954617055
CONFIRM JUDGE SCOTT COLOM,@jallen1985,2023-11-09T03:06:13.000Z,"CONFIRM JUDGE SCOTT COLOM
@jallen1985
·
Nov 9",People love to vote for Scott Colom. Republicans need Cindy Hyde-Smith to return her blue slip and confirm him before this trend continues.,,,1,5,['https://pbs.twimg.com/profile_images/1654812338535424000/EvJlCcK8_normal.jpg'],https://twitter.com/jallen1985/status/1722450490976239753
Laura Franey,@laura_franey,2023-11-09T02:59:28.000Z,"Laura Franey
@laura_franey
·
Nov 9",It is sad that this is so true [cf. photos of Reeves surrounded by Confederate flags at that speech back in 2013 and photos of Cindy Hyde-Smith in a Confederate uniform at Beauvoir],,,,,['https://pbs.twimg.com/profile_images/1659315897931112451/rmD-nJ--_normal.jpg'],https://twitter.com/laura_franey/status/1722448793595973910
