UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
NeoTigrayH@2022,NeoTigrayH@2022,2023-11-01T23:06:06.000Z,"NeoTigrayH@2022
@neo_tigray
·
Nov 2","Vivid & Classic Evidence of RACISMYou give Aid to White Skinned People & not to AFRICANSWHY
@SecBlinken
 @POTUS
 @BerniceKing
 @MaxineWaters
 @RepGregoryMeeks
 @CoryBooker
 @BradSherman
 @reda_getachew
 @washingtonpost
 @nytimes
 @cnni
 @BBCAfrica
 @BBCNews
 @martinplaut
 @ProfKindeya",❗ ❓ ❓,2,45,12,['https://pbs.twimg.com/profile_images/1714852063493124096/32l_DSQf_normal.jpg'],https://twitter.com/neo_tigray/status/1719853350978781195
Lighthouse News Zimbabwe,@LHNewsZimbabwe,2023-11-01T22:37:06.000Z,"Lighthouse News Zimbabwe
@LHNewsZimbabwe
·
Nov 2","Attention: House & Senate Foreign Committees
@JohnJamesMI
 @CoryBooker
 @SenatorTimScott
 @RepSaraJacobs
 
The situation in Zimbabwe is deteriorating. The 
@zanupf_patriots
Gov't & 
@edmnangagwa
 have unleashed terror on innocent  citizens. The world must not watch in silence as…
Show more",,1,41,52,[],https://twitter.com/LHNewsZimbabwe/status/1719846052767887869
Dems are TERRIFIED OF TRUMP!,@Pis0Mojado,2023-11-01T22:34:38.000Z,"Dems are TERRIFIED OF TRUMP!
@Pis0Mojado
·
Nov 2","DEMS INCITING VIOLENCE

“Go to the Hill today. Please, get up in the face of some congress people” - Cory Booker

""If there is collateral damage for those who don’t share our view, so be it” – Pelosi

""I wish I were in high school, I could take him behind the gym"" - Biden",,,,1,[],https://twitter.com/Pis0Mojado/status/1719845431575011837
Trumpish Retired NCO,@virgofiveeight,2023-11-01T22:09:01.000Z,"Trumpish Retired NCO
@virgofiveeight
·
Nov 2","they didn't get their cut?...
Democrats Seek Probe Into Exxon And Chevron Mega Deals
Chuck Schumer, Amy Klobuchar of Minnesota, Richard Blumenthal of Connecticut, Cory  Booker of New Jersey, John Fetterman of Pennsylvania, and Tammy  Duckworth of Illinois",,,,,['https://pbs.twimg.com/card_img/1732615766653149184/B0wO-zhD?format=jpg&name=900x900'],https://twitter.com/virgofiveeight/status/1719838982853521473
Mo Berow,@MoBerow89,2023-11-01T22:01:57.000Z,"Mo Berow
@MoBerow89
·
Nov 2","I’m attending Friends of LD38’s event, “GOTV Rally with Senator Cory Booker” – sign up now to join me!",,,,1,['https://pbs.twimg.com/card_img/1732713750921150464/kyZXQ5cQ?format=jpg&name=900x900'],https://twitter.com/MoBerow89/status/1719837205873487999
Bill Gore,@billgore22,2023-11-01T21:35:38.000Z,"Bill Gore
@billgore22
·
Nov 2","Does anyone know if there bipartisan support in our region (
@ChrisCoons
, 
@CoryBooker
) for 
@SenJoniErnst
's ACCESS bill? The PA/DE/NJ area is hemorrhaging SB contractors and teaming partners. We could really use limits on double-counting awards and some real accountability.",,1,,,[],https://twitter.com/billgore22/status/1719830583918866905
Krasnov,@greennomad61,2023-11-01T21:26:07.000Z,"Krasnov
@greennomad61
·
Nov 2","TBT  .
@CoryBooker
 
#WorldVeganDay ",🌱 🫶,,1,1,"['https://pbs.twimg.com/profile_images/1296891138532679680/8axGb9ml_normal.jpg', 'https://pbs.twimg.com/amplify_video_thumb/1190289603292487685/img/UrM6xPO4HQ3bqoE1.jpg']",https://twitter.com/greennomad61/status/1719828186823823681
Veronica Gliatti,@vgliatti,2023-11-01T21:19:33.000Z,"Veronica Gliatti
@vgliatti
·
Nov 2","#BreastCancerAwarenessMonth  may be over but those fighting the disease will continue to have it on the forefront of our minds. Please increase the ability for Americans to pay for treatment!  
@MarshaBlackburn
 @CoryBooker",,,,,['https://pbs.twimg.com/media/F94NHyJWIAA7sgO?format=jpg&name=240x240'],https://twitter.com/vgliatti/status/1719826536948191435
mae brussell whisperer,@ShooterLibby,2023-11-02T23:30:48.000Z,"mae brussell whisperer
@ShooterLibby
·
Nov 3",The black Zionists are nutcases. Cory Booker is constantly prostrating himself for Israel and fake crying on Meet the Press. Comes off like he doesn’t know black history cuz his acting and elocution is so bad. Malcolm Nance openly threatening the nation with MK-style shootings.,,3,,77,[],https://twitter.com/ShooterLibby/status/1720221952747483363
Rachel Twist,@RachelT3886,2023-11-02T22:42:55.000Z,"Rachel Twist
@RachelT3886
·
Nov 3","CORY BOOKER , WHOPPI, AND CLINTON ALL SMILES WITH Paterson City Council President Alex Mendez was indicted for alleged crimes committed during the 2020 election.   Mendez supervised an operation that stole mail in ballots from mailboxes and replaced the ones W/DEM VOTES",,,,,[],https://twitter.com/RachelT3886/status/1720209904747622810
