UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
Cowboy State Daily,@daily_cowboy,2023-11-01T23:24:09.000Z,"Cowboy State Daily
@daily_cowboy
·
Nov 2",Cynthia Lummis is co-sponsoring legislation that would allow Wyoming communities to more easily develop neighboring federal land into affordable housing.,,6,8,22,['https://pbs.twimg.com/card_img/1732830145356992512/8LOAbRaB?format=jpg&name=900x900'],https://twitter.com/daily_cowboy/status/1719857890348171570
Jourdain Colon,@JourdainColon,2023-11-01T22:56:33.000Z,"Jourdain Colon
@JourdainColon
·
Nov 2",Sen. Cynthia Lummis: Crypto Industry Is 'Ready to Embrace Responsible Regulation',,,,,[],https://twitter.com/JourdainColon/status/1719850947202130018
Brian Veeren,@BrianVeeren,2023-11-01T22:53:12.000Z,"Brian Veeren
@BrianVeeren
·
Nov 2",Pro-Bitcoin Senator Lummis Explains Why Crypto Is Not The Problem On Terrorist Financing - U.S. Senator Cynthia Lummis (R-WY) corrected the record on crypto and terror financing on Tuesday after calling for crackdowns on crypto firms supporting,,1,1,,['https://pbs.twimg.com/card_img/1731455453752696832/JHppzbk-?format=jpg&name=900x900'],https://twitter.com/BrianVeeren/status/1719850102532231208
PoP,@ProofofProfits,2023-11-01T20:04:44.000Z,"PoP
@ProofofProfits
·
Nov 2",U.S. Senator. Cynthia Lummis and Rep. French Hill call for the DOJ to take action against Binance and Tether  #CryptoNews #Binance #tether,😨,,,1,[],https://twitter.com/ProofofProfits/status/1719807706142261459
OPTIMIST OF UNIVERSE,@Web3Analyst01,2023-11-01T16:58:57.000Z,"OPTIMIST OF UNIVERSE
@Web3Analyst01
·
Nov 2"," Pro-Bitcoin Senator Lummis Explains Why Crypto Is Not The Problem On Terrorist Financing

U.S. Senator Cynthia Lummis (R-WY) corrected the record on #crypto and terror financing after calling for crackdowns on crypto firms supporting sanctioned group.",,,,1,[],https://twitter.com/Web3Analyst01/status/1719760954219467100
Cryptonews.com,@cryptonews,2023-11-01T16:58:04.000Z,"Cryptonews.com
@cryptonews
·
Nov 2"," Pro-Bitcoin Senator Lummis Explains Why Crypto Is Not The Problem On Terrorist Financing

U.S. Senator Cynthia Lummis (R-WY) corrected the record on #crypto and terror financing after calling for crackdowns on crypto firms supporting sanctioned group.",,,1,1,['https://pbs.twimg.com/card_img/1731455453752696832/JHppzbk-?format=jpg&name=900x900'],https://twitter.com/cryptonews/status/1719760731816538117
The Epoch Times,@EpochTimes,2023-11-01T14:16:04.000Z,"The Epoch Times
@EpochTimes
·
Nov 1","Sen. Cynthia Lummis: ""We need to pass aid to Israel quickly""",,26,11,49,['https://pbs.twimg.com/ext_tw_video_thumb/1719719804452409344/pu/img/eXibFwW29PqvaLPs.jpg'],https://twitter.com/EpochTimes/status/1719719963072561166
Nancy Mercer Memecoin,@mercer_nan15460,2023-11-01T12:55:20.000Z,"Nancy Mercer Memecoin
@mercer_nan15460
·
Nov 1","US Senator Cynthia Lummis published an interesting infographic.  She says some anti-crypto senators made a serious mistake when they said Hamas raised nearly $100 million in funding through cryptocurrency. The real figure did not exceed 500,000 bucks.",❤,,,3,['https://pbs.twimg.com/media/F92Zti2WkAAZcVM?format=jpg&name=900x900'],https://twitter.com/mercer_nan15460/status/1719699646841278667
Dadi Kristjansson,@dadikr,2023-11-01T11:26:47.000Z,"Dadi Kristjansson
@dadikr
·
Nov 1",Bandaríski öldungardeildar þingmaðurinn Cynthia Lummis leiðréttir í þessum þræði þann útbreidda misskilning að rafmyntir séu notaðar í miklum mæli í ólögmætum tilgangi. Glæpamenn nota alls kyns tól til að fremja glæpi en rafmyntir eru ekki hlutfallslega meira vandamál en annað.,,,,8,"['https://pbs.twimg.com/profile_images/1347538782451625984/4YbXM-09_normal.jpg', 'https://pbs.twimg.com/media/F9ycOdxXQAA6XQJ?format=jpg&name=900x900']",https://twitter.com/dadikr/status/1719677360629236217
CoinTR Türkiye,@CoinTRTurkiye,2023-11-01T10:50:58.000Z,"CoinTR Türkiye
@CoinTRTurkiye
·
Nov 1"," #CoinTR'den Günlük Sektör Haberleri (1 Kasım 2023)

 Oyster Protocol'un kurucusu, vergi kaçakçılığından 4 yıl hapis cezası aldı.
 Invesco Galaxy #Bitcoin ETF, DTCC sitesinde listelendi.
 Cynthia Lummis, GAO kararıyla #SEC rehberini kongre denetimine sokuyor.

Daha fazla…
Show more",📰 🦪 🟢,1,,3,['https://pbs.twimg.com/media/F918VIaWMAAc-yF?format=png&name=900x900'],https://twitter.com/CoinTRTurkiye/status/1719668346608562297
