UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
Stephen Marmon,@sjmarmon,2023-11-02T21:59:21.000Z,"Stephen Marmon
@sjmarmon
·
Nov 3","Senate Res. 444, filed Tuesday by Sen. Jack Reed (D-RI) would let Senate pass mil. nominations together until end of ‘24. Not for other nominations. Contact Rules Comm. Chair Amy Klobuchar (D-MN) or Ranking Mbr. Deb Fischer (R-NE) to demand vote now.

https://govinfo.gov/content/pkg/CREC-2023-10-31/pdf/CREC-2023-10-31-pt1-PgS5258-2.pdf…",,,,,[],https://twitter.com/sjmarmon/status/1720198939297620468
ＡＫＳＡＲＢＥＮＴ,@aksarbent,2023-11-02T04:36:22.000Z,"ＡＫＳＡＲＢＥＮＴ
@aksarbent
·
Nov 2","If people like Deb Fischer weren’t keeping assault rifles and jumbo ammo magazines on the market, this 2-year-old’s dad might still be alive to hear her calling out to him. Dump Deb.",,,,1,['https://pbs.twimg.com/profile_images/1295829554225795072/_Ph3zAnF_normal.jpg'],https://twitter.com/aksarbent/status/1719936462227947974
Tyler Clancy,@Clancy4Utah,2023-11-03T00:49:25.000Z,"Tyler Clancy
@Clancy4Utah
·
Nov 3",Great to meet US Senator Deb Fischer from Nebraska- she said our State Capitol was one of the most beautiful in the country. (I agree),,2,,51,['https://pbs.twimg.com/media/F9-Gu8fakAAVGTO?format=jpg&name=900x900'],https://twitter.com/Clancy4Utah/status/1720241735815897397
LiveTube Alerts,@livetubealerts,2023-11-04T17:03:38.000Z,"LiveTube Alerts
@livetubealerts
·
Nov 5",Video: ‘Should Serve As A Wakeup Call For The United States’: Deb Fischer Decries Hamas Attack On Israel https://livetube.tv/news/video-should-serve-as-a-wakeup-call-for-the-united-states-deb-fischer-decries-hamas-attack-on-israel?utm_source=rss&utm_medium=rss&utm_campaign=video-should-serve-as-a-wakeup-call-for-the-united-states-deb-fischer-decries-hamas-attack-on-israel… #LiveTube,,,,,['https://pbs.twimg.com/card_img/1731318239639068673/TEPtIZqC?format=jpg&name=small'],https://twitter.com/livetubealerts/status/1720849293500616846
exetlos_gda,@Exetlos_GDA,2023-11-05T18:06:03.000Z,"exetlos_gda
@Exetlos_GDA
·
Nov 6",Jeff Merkley Questions Election Officials On Recruitment Troubles Due To Attacks And Threats: Deb Fischer Presses Witness On Challenges Local Election Officials Face In Mitigating Cyber Threats. Forbes Breaking News New 403 views · 1:18:12 · Go ... http://dlvr.it/SyQV9w EXETLOS,,,,,[],https://twitter.com/Exetlos_GDA/status/1721227389135700154
LiveTube Alerts,@livetubealerts,2023-11-05T16:08:19.000Z,"LiveTube Alerts
@livetubealerts
·
Nov 6",Video: Deb Fischer Presses Witness On Challenges Local Election Officials Face In Mitigating Cyber Threats https://livetube.tv/news/video-deb-fischer-presses-witness-on-challenges-local-election-officials-face-in-mitigating-cyber-threats?utm_source=rss&utm_medium=rss&utm_campaign=video-deb-fischer-presses-witness-on-challenges-local-election-officials-face-in-mitigating-cyber-threats… #LiveTube,,,,,['https://pbs.twimg.com/card_img/1731318236094881793/4TwiOUYz?format=jpg&name=small'],https://twitter.com/livetubealerts/status/1721197760823656656
Patrick Bonnett,@patrickbonnett,2023-11-07T15:38:42.000Z,"Patrick Bonnett
@patrickbonnett
·
Nov 7","In an attempt to alleviate a trucker shortage, the Senate Unanimously Approves Nebraska Senator Deb Fischer's Bipartisan Legislation to Expand Veteran Access to CDL Schools.",,,,6,['https://pbs.twimg.com/card_img/1732064334094684160/1Hggyhij?format=jpg&name=small'],https://twitter.com/patrickbonnett/status/1721915083608260768
Arms Control Assoc,@ArmsControlNow,2023-11-07T15:20:40.000Z,"Arms Control Assoc
@ArmsControlNow
·
Nov 7","""Congress Aims to Fund Nuclear Weapon Opposed by Biden,"" reports Shannon Bugos in #ArmsControlToday.   Some lawmakers, incl Sen. Deb Fischer, argue nuclear sea-launched cruise missiles “fill the gap” in our tactical nuclear arsenal, she notes.

Read more: http://ArmsControl.org/Today",,,3,3,['https://pbs.twimg.com/media/F-V0gkAW8AERvjK?format=jpg&name=900x900'],https://twitter.com/ArmsControlNow/status/1721910547413647377
KELOLAND News,@keloland,2023-11-09T23:05:06.000Z,"KELOLAND News
@keloland
·
Nov 10","U.S. Senator Deb Fischer (R-Neb.) announced Tuesday that she had introduced a bill to the Senate that would transfer a portion of land to the Winnebago Tribe of Nebraska.
https://trib.al/kzG1VtF",,,,6,['https://pbs.twimg.com/media/F-hx_6wWgAIM55f?format=jpg&name=small'],https://twitter.com/keloland/status/1722752202115088833
Lindsay MacDonald,@LindsayMGNN,2023-11-11T22:13:34.000Z,"Lindsay MacDonald
@LindsayMGNN
·
Nov 12","NE Republican US Senator Deb Fisher Issues Veterans Day Statement #Wellness #LifeAfterAddiction #Motivation #Overcoming #OvercomingAddiction [Video] (KFOR Lincoln November 11, 2023) Nebraska Republican U.S. Senator Deb Fischer, a senior member of the…",,,,,['https://pbs.twimg.com/card_img/1730241967856951296/KFK5h-r0?format=jpg&name=900x900'],https://twitter.com/LindsayMGNN/status/1723464006500024490
48ona2006,@48ona2006,2023-11-13T21:10:58.000Z,"48ona2006
@48ona2006
·
Nov 14","Deb Fischer Lambasts Sec. Alejandro Mayorkas To His Face For Handling Of... https://youtu.be/8gZkvSfWxfc?si=2d3ZS6gs_Ohwc2_J… via 
@YouTube",,,,,['https://pbs.twimg.com/card_img/1731737609024491522/4-POL96Y?format=jpg&name=360x360'],https://twitter.com/48ona2006/status/1724173030224535678
48ona2006,@48ona2006,2023-11-13T21:05:49.000Z,"48ona2006
@48ona2006
·
Nov 14","Deb Fischer Lambasts Sec. Alejandro Mayorkas To His Face For Handling Of... https://youtu.be/8gZkvSfWxfc?si=of43apzh37CMFULs… via 
@YouTube",,,,,['https://pbs.twimg.com/card_img/1731737609024491522/4-POL96Y?format=jpg&name=360x360'],https://twitter.com/48ona2006/status/1724171735514108041
emma,@lofigirI,2023-11-13T17:21:05.000Z,"emma
@lofigirI
·
Nov 14",yeah fuck you deb fischer,,,,1,['https://pbs.twimg.com/media/F-1JncxWMAEHQ6R?format=jpg&name=900x900'],https://twitter.com/lofigirI/status/1724115179452149884
Michael Fox,@Michael79316157,2023-11-13T16:31:05.000Z,"Michael Fox
@Michael79316157
·
Nov 14","Deb Fischer Lambasts Sec. Alejandro Mayorkas To His Face For Handling Of... https://youtu.be/8gZkvSfWxfc?si=HtQGnPUomTefmCFS… via 
@YouTube",,,,,['https://pbs.twimg.com/card_img/1731737609024491522/4-POL96Y?format=jpg&name=360x360'],https://twitter.com/Michael79316157/status/1724102596351127908
LiveTube Alerts,@livetubealerts,2023-11-13T16:10:50.000Z,"LiveTube Alerts
@livetubealerts
·
Nov 14",Video: Deb Fischer Lambasts Sec. Alejandro Mayorkas To His Face For Handling Of Southern Border https://livetube.tv/news/video-deb-fischer-lambasts-sec-alejandro-mayorkas-to-his-face-for-handling-of-southern-border?utm_source=rss&utm_medium=rss&utm_campaign=video-deb-fischer-lambasts-sec-alejandro-mayorkas-to-his-face-for-handling-of-southern-border… #LiveTube,,,,1,['https://pbs.twimg.com/card_img/1731318234568155137/g_RA2ckH?format=jpg&name=small'],https://twitter.com/livetubealerts/status/1724097497167990803
BlueChipTalent,@MarvLBluechip,2023-11-13T04:35:19.000Z,"BlueChipTalent
@MarvLBluechip
·
Nov 13",DEB FISCHER FOR NEBRASKA,,,,,[],https://twitter.com/MarvLBluechip/status/1723922466731335918
Sarah Binder,@bindersab,2023-11-14T20:15:22.000Z,"Sarah Binder
@bindersab
·
Nov 15","No elbows in the ribs, but ranking Senator Deb Fischer has sharp words against the resolution to facilitate en bloc confirmation of 300+ military promotions/appointments blocked by Coach Tuberville.",,,1,2,[],https://twitter.com/bindersab/status/1724521425350828489
Patriot-Revolution.com Veteran & Retired Attorney,@HiDesertgolf,2023-11-14T17:50:05.000Z,"Patriot-Revolution.com Veteran & Retired Attorney
@HiDesertgolf
·
Nov 15","#GOVERNMENTISBROKEN

Deb Fischer Lambasts Sec. Alejandro Mayorkas To His Face For Handling Of Southern Border - YouTube",,1,,,['https://pbs.twimg.com/card_img/1731737609024491522/4-POL96Y?format=jpg&name=360x360'],https://twitter.com/HiDesertgolf/status/1724484864324555153
