UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
The America One News,@am1_news,2023-11-01T17:44:05.000Z,"The America One News
@am1_news
·
Nov 2","A fact-checker criticizes Biden for doubting Hamas's casualty reports in Gaza, citing questionable statistics. Former rep Peter Meijer plans to run for Sen. Debbie Stabenow's seat in Michigan. GB News host Bev Turner criticizes warning labels on meat,…",,,1,,[],https://twitter.com/am1_news/status/1719772312508219738
Cheese Market News,@CMN_CheeseNews,2023-11-01T15:01:57.000Z,"Cheese Market News
@CMN_CheeseNews
·
Nov 1","Lawmakers last week elected Rep. Mike Johnson, R-La., as the new Speaker of the House. Meanwhile, Senate Agriculture Committee Chair Debbie Stabenow, D-Mich., spoke on the Senate floor on the importance of passing a bipartisan farm bill:

https://cheesemarketnews.com/stories.html#story3…",,,,,[],https://twitter.com/CMN_CheeseNews/status/1719731509077090468
FOX 17,@FOX17,2023-11-03T19:15:00.000Z,"FOX 17
@FOX17
·
Nov 4",Senators Gary Peters and Debbie Stabenow announced Michigan's rural communities will receive $38 million in support from the U.S. Department of Agriculture.,,1,1,1,['https://pbs.twimg.com/card_img/1730861306851282944/61O9zOdV?format=jpg&name=900x900'],https://twitter.com/FOX17/status/1720519968855404615
Manumental,@PAManumental,2023-11-03T15:14:13.000Z,"Manumental
@PAManumental
·
Nov 3","Same goes for GOPers, right? He personally contributed the individual maximum of $5,800 to more than a dozen members of Congress including Sen. Debbie Stabenow, D-MI and Sen. John Boozman, R-AR, who lead the Agriculture Committee, which has a role in regulating cryptocurrency.",,,,,['https://pbs.twimg.com/profile_images/1312545540694069250/uFTgY5Zb_normal.jpg'],https://twitter.com/PAManumental/status/1720459373854556587
Marylka,@MarylkaPattison,2023-11-03T13:56:21.000Z,"Marylka
@MarylkaPattison
·
Nov 3","Why not investigate politicians 
(mostly liberal Democrats) who took over $100 million in donations from #SBF?
#ChuckSchumer
#MitchMcConnell
#KirstenGillibrand
#CoryBooker
#MaggieHassan
#LisaMurkowski 
#SusanCollins
Show more",,,,,[],https://twitter.com/MarylkaPattison/status/1720439777768714703
Wayne State University College of Nursing,@WSUCoN,2023-11-03T13:15:50.000Z,"Wayne State University College of Nursing
@WSUCoN
·
Nov 3","Nurse advocacy: Earlier this week, Dean Clabo and Associate Dean for Faculty Affairs Debra Schutte joined leaders from other Michigan nursing schools on Capitol Hill to meet with Sen. Debbie Stabenow's staff and advocate for nursing education.",,,,2,['https://pbs.twimg.com/media/F-AxlSvXAAE1BBp?format=jpg&name=900x900'],https://twitter.com/WSUCoN/status/1720429577778913381
bfitzinAR,@bfitzinAR,2023-11-05T16:41:43.000Z,"bfitzinAR
@bfitzinAR
·
Nov 6",#PuertoRico #DebbieStabenow sees possibility of nutrition assistance program in jeopardy.,💛,,1,1,['https://pbs.twimg.com/profile_images/1201951619287523330/F9ozRgOO_normal.jpg'],https://twitter.com/bfitzinAR/status/1721206166003360142
Denise Oliver-Velez,@Deoliver47,2023-11-05T11:33:52.000Z,"Denise Oliver-Velez
@Deoliver47
·
Nov 5","""The chairwoman of the U.S. Senate Agriculture Committee, Democrat  Debbie Stabenow, also sees the possibility of a transition to this  nutrition assistance program in jeopardy""",💛 💛,,34,53,['https://pbs.twimg.com/profile_images/1201951619287523330/F9ozRgOO_normal.jpg'],https://twitter.com/Deoliver47/status/1721128696193642781
Mike Ahern,@ahe00366594,2023-11-06T23:26:15.000Z,"Mike Ahern
@ahe00366594
·
Nov 7","In Michigan, we call her Senator Debbie StupidCow, not Debbie Stabenow.  She was considered for Biden’s Veep spot in 2020 b4 Obama settled on Ms BlowJob.",,,1,,['https://pbs.twimg.com/media/F-SaEZdW8AAORxl?format=jpg&name=900x900'],https://twitter.com/ahe00366594/status/1721670360670560560
Vera Eyzendooren,@AlwaysRightUSA,2023-11-06T19:24:25.000Z,"Vera Eyzendooren
@AlwaysRightUSA
·
Nov 7",Former Republican Rep. Peter Meijer announced his candidacy Monday for outgoing Democratic Michigan Rep. Debbie Stabenow’s seat in 2024.,,,,,['https://pbs.twimg.com/card_img/1731708014040588288/8IKkbgyW?format=jpg&name=medium'],https://twitter.com/AlwaysRightUSA/status/1721609500296458381
