UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
Kay Ydill,@SirrK,2023-11-01T23:08:43.000Z,"Kay Ydill
@SirrK
·
Nov 2","Senator Dick Durbin  .
@SenatorDurbin
We gave the Court an opportunity to fix its problems in-house. The Chief Justice has yet to act.

Now, it’s Congress’s turn.
.......

#SlavaUkraini V V #Democracy
Show more",⬇ ⬇,,,,['https://pbs.twimg.com/ext_tw_video_thumb/1719843269075415040/pu/img/t_gr6W9WzLy34S_P.jpg'],https://twitter.com/SirrK/status/1719854008301400252
Dick Durbin,@DickDurbin,2023-11-01T22:41:10.000Z,"Dick Durbin
@DickDurbin
·
Nov 2",I don’t work for Mitch McConnell. I work for the people of Illinois and around the country who care about protecting democracy—and they deserve a Supreme Court they can trust.,,41,42,172,[],https://twitter.com/DickDurbin/status/1719847075263770712
bettina,@lesypersound,2023-11-01T22:21:14.000Z,"bettina
@lesypersound
·
Nov 2","This is .
Israel is out of control —  Dem Party and 
@POTUS
 @SenDuckworth
 @DickDurbin
 all the blood and suffering are on your hands, shame on you.",🗑 😥,,,1,[],https://twitter.com/lesypersound/status/1719842059530457479
Bryan,@BverInFL,2023-11-01T21:20:34.000Z,"Bryan
@BverInFL
·
Nov 2","A senate Republican is endangering US national security at a time when TWO carrier strike groups are in a war zone. 

Why isn’t this grounds for kicking said senator out of the senate, perhaps for TREASON or whatever? 
@chuckschumer
 @DickDurbin
 @SenateDems",,1,3,6,[],https://twitter.com/BverInFL/status/1719826790078677288
The Electronic Payments Coalition,@EPC_Updates,2023-11-01T20:42:54.000Z,"The Electronic Payments Coalition
@EPC_Updates
·
Nov 2",A new study by the Committee to Unleash Prosperity finds that Illinois Senator Dick Durbin’s credit card bill to use routing mandates to impose price controls on “interchange fees” will wind up hurting consumers.,,,,,[],https://twitter.com/EPC_Updates/status/1719817310096044512
Dick Durbin,@DickDurbin,2023-11-01T18:45:46.000Z,"Dick Durbin
@DickDurbin
·
Nov 2","The Senate Judiciary Committee repeatedly asked Chief Justice Roberts to take meaningful action on Supreme Court ethics. Time and time again, he refused.",,6,4,29,[],https://twitter.com/DickDurbin/status/1719787835408924733
Lisa,@LisaWetzelberge,2023-11-01T18:42:00.000Z,"Lisa
@LisaWetzelberge
·
Nov 2","Wtf do you guys think you’re doing 
@SenSchumer
 @PattyMurray
 @DickDurbin
 ? Get his ass away from classified material now!",,,,,['https://pbs.twimg.com/amplify_video_thumb/1719768778991431680/img/uz6KUu98o_yI6oYo.jpg'],https://twitter.com/LisaWetzelberge/status/1719786885176864834
"Jennifer J. Monteith, D.M.",@JJMonteith,2023-11-01T18:07:31.000Z,"Jennifer J. Monteith, D.M.
@JJMonteith
·
Nov 2",".
@SenSchumer
 @DickDurbin
 @MarkWarner
  @SenatorCardin
 @ChrisVanHollen
  Senator Bob Menendez (under indictment for acting as a foreign agent) should not be receiving/participating in any classified briefings. Expel him now #Ethics",,,,,[],https://twitter.com/JJMonteith/status/1719778209628053724
American Prometheus,@daniopp,2023-11-02T23:56:06.000Z,"American Prometheus
@daniopp
·
Nov 3","Hey 
@ChrisMurphyCT
 @CoriBush
 @AOC
 @SenSanders
 @DickDurbin
 and the rest of the Democrat Hamas Caucus, pay attention. Believe Hamas when they tell you who they are.",,,,,['https://pbs.twimg.com/amplify_video_thumb/1720160973422821376/img/cBcPhVU_JAPX-Vcq.jpg'],https://twitter.com/daniopp/status/1720228320107803053
Michael Caceci,@MCaceci,2023-11-02T23:54:19.000Z,"Michael Caceci
@MCaceci
·
Nov 3","Fundamental truth of life...
NEVER TRUST 
@TheDemocrats
.

Dick Durbin joins far left of his party in calling for Israel-Hamas 'cease-fire'",,,,,[],https://twitter.com/MCaceci/status/1720227872265171314
Bridgeburners Anonymous,@metallicwpigeon,2023-11-02T23:51:04.000Z,"Bridgeburners Anonymous
@metallicwpigeon
·
Nov 3","Lol Dick Durbin just sent me the same canned ""I support Israel"" email he's been sending everyone who calls/emails him about Gaza for the last couple of weeks; he's hardly a hero yet. And/or he needs new comms staff.",,,,5,[],https://twitter.com/metallicwpigeon/status/1720227052253597991
