UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
Kris,@tcullen_kris,2023-11-01T23:07:41.000Z,"Kris
@tcullen_kris
·
Nov 2","100%! 
@Eric_Schmitt
 @HawleyMO",🟧 ☮,,,,['https://pbs.twimg.com/profile_images/1067886734413873152/qQ9Sa5mX_normal.jpg'],https://twitter.com/tcullen_kris/status/1719853747747123542
Will DiBugno,@DCLongIslander,2023-11-01T22:30:01.000Z,"Will DiBugno
@DCLongIslander
·
Nov 2",".
@Eric_Schmitt
 proving once again he’s a good dude, let alone a fantastic Senator ",🔥,,,,"['https://pbs.twimg.com/profile_images/1622812808655036419/WCFHSGBJ_normal.jpg', 'https://pbs.twimg.com/media/F94KIcEWcAAkCfD?format=jpg&name=900x900']",https://twitter.com/DCLongIslander/status/1719844268510990640
Emily A.,@emzorbit,2023-11-01T21:21:54.000Z,"Emily A.
@emzorbit
·
Nov 2","Any Republican who doesn’t join this effort is putting politics above our national security and should NEVER speak about the border or terrorists or our troops again. 
@HawleyMO
 @Eric_Schmitt",☮,,38,121,['https://pbs.twimg.com/profile_images/1645450617849016322/XQnJz-oj_normal.jpg'],https://twitter.com/emzorbit/status/1719827124628996404
"Jonathan Sarfati, Ph.D., F.M.",@JonathanSarfat1,2023-11-01T21:11:14.000Z,"Jonathan Sarfati, Ph.D., F.M.
@JonathanSarfat1
·
Nov 2","Sen. Eric Schmitt takes aim at Eventbrite following hypocrisy involving Riley Gaines https://foxnews.com/sports/sen-eric-schmitt-takes-aim-eventbrite-following-hypocrisy-involving-riley-gaines… #FoxNews 
@eventbrite
's secret ‘Community Standards’:
Hamas mass-raping and mass-murdering Jewish women: OK.
Riley Gaines saying that women's sports are for women only not…
Show more",🔯,,,2,[],https://twitter.com/JonathanSarfat1/status/1719824441574588811
Eric Schmitt,@Eric_Schmitt,2023-11-01T20:46:35.000Z,"Eric Schmitt
@Eric_Schmitt
·
Nov 2","Well, this is stupid.

In DC crime and carjackings are way up — plus a NO pursuit policy. Solution? Put a tag on your car and good luck.",,39,28,116,"['https://pbs.twimg.com/profile_images/1732066406315835393/AYCiwSU9_normal.jpg', 'https://pbs.twimg.com/media/F93Wu7fWIAAPYpj?format=jpg&name=900x900']",https://twitter.com/Eric_Schmitt/status/1719818237397848168
American SD,@FarmChick_USA,2023-11-01T19:43:27.000Z,"American SD
@FarmChick_USA
·
Nov 2","GOD Bless  1St Amendment 
@AGJeffLandry
 & 
@Eric_Schmitt",,,,,"['https://pbs.twimg.com/profile_images/1526065785659002880/uIvydi_U_normal.jpg', 'https://pbs.twimg.com/profile_images/1702408254263869440/t38EkuEC_bigger.png', 'https://pbs.twimg.com/ext_tw_video_thumb/1719482179397222400/pu/img/oRa3lhYHRaDaTTE2.jpg']",https://twitter.com/FarmChick_USA/status/1719802350712258952
Eric Schmitt,@Eric_Schmitt,2023-11-01T13:23:46.000Z,"Eric Schmitt
@Eric_Schmitt
·
Nov 1","I see you 
@MizzouFootball",🤩,3,1,13,"['https://pbs.twimg.com/profile_images/1170690523201527808/FriNRiir_normal.png', 'https://pbs.twimg.com/media/F9zd2xYWgAAiUdx?format=png&name=900x900']",https://twitter.com/Eric_Schmitt/status/1719706801371742550
Thatdude,@Thatdud77608645,2023-11-01T13:09:46.000Z,"Thatdude
@Thatdud77608645
·
Nov 1","This is the government 
@RepCori
 @HawleyMO
 @GovParsonMO
 @KMOV
 @ksdknews
 @Eric_Schmitt
  @POTUS
 @BarackObama
 @BillClinton
 Y didn’t U give the people a chance to farm n give them a choice?  You mad at us for warning them.  Well I absolutely love the human family I am telling it all",,,,1,['https://pbs.twimg.com/ext_tw_video_thumb/1719703227938009088/pu/img/5awBi9QuZfrtbJIq.jpg'],https://twitter.com/Thatdud77608645/status/1719703276621279416
Lisa,@mo_oakville,2023-11-01T12:44:22.000Z,"Lisa
@mo_oakville
·
Nov 1","Don't kid yourself. 
@Eric_Schmitt
 doesn't want to be seen supporting either of these popular measures that'll piss off his base. This will be the excuse he uses to sidestep support for Israel and Ukraine-that they are linked in one bill!  You watch!",,,3,,['https://pbs.twimg.com/profile_images/1611088862859649042/Z9Bz0Ouf_normal.jpg'],https://twitter.com/mo_oakville/status/1719696885827416297
Eric Schmitt,@Eric_Schmitt,2023-11-01T12:13:15.000Z,"Eric Schmitt
@Eric_Schmitt
·
Nov 1",This is why free speech is so important,,26,31,173,"['https://pbs.twimg.com/profile_images/1605984002522890244/FcXf_Nvp_normal.jpg', 'https://pbs.twimg.com/amplify_video_thumb/1719487102633562112/img/v-ulDe7I-ck2BYZV.jpg']",https://twitter.com/Eric_Schmitt/status/1719689054382371232
