UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
Lee Thompson,@ihatetheleafs1,2023-11-04T23:02:47.000Z,"Lee Thompson
@ihatetheleafs1
·
Nov 5","TOUCHDOWN BC LIONS!!!!

First turnover of the game courtesy of Gary Peters.  Big Play VA makes 'em pay!!!

BC Lions 7
Stamps 7

#BCLions #CFL #CFLGameday #Stampeders",,1,,1,[],https://twitter.com/ihatetheleafs1/status/1720939677337743832
Cole,@ColeMcGarvey,2023-11-04T22:51:03.000Z,"Cole
@ColeMcGarvey
·
Nov 5","Gary peters with the interception but MLB Ben Hladik helped off the field! 

#BClions",,,,,[],https://twitter.com/ColeMcGarvey/status/1720936724845789216
edi,@editonic257,2023-11-04T22:35:38.000Z,"edi
@editonic257
·
Nov 5","sent a letter about Palestine to my senator 
@GaryPeters
 pleading him to press for a ceasefire. this is his response: condemning Hamas, saying Isreal has the right to ""defend"" itself, and thanking Biden's admins. for their ""efforts""
i hope your soul never knows peace Gary : ) ",🌱 🏛 🖕,,1,1,['https://pbs.twimg.com/media/F-H7Tc0XEAAflWr?format=jpg&name=large'],https://twitter.com/editonic257/status/1720932845957283894
LiveTube Alerts,@livetubealerts,2023-11-04T14:44:34.000Z,"LiveTube Alerts
@livetubealerts
·
Nov 4",Video: ‘A Heightened Threat Environment’: Gary Peters Details Major Threats To US Amid Israel-Hamas War https://livetube.tv/news/video-a-heightened-threat-environment-gary-peters-details-major-threats-to-us-amid-israel-hamas-war?utm_source=rss&utm_medium=rss&utm_campaign=video-a-heightened-threat-environment-gary-peters-details-major-threats-to-us-amid-israel-hamas-war… #LiveTube,,,,,[],https://twitter.com/livetubealerts/status/1720814296622407787
glitch mcconnell,@madsdanae,2023-11-04T14:12:34.000Z,"glitch mcconnell
@madsdanae
·
Nov 4","Michigan will not forget this 
@GaryPeters
 - blood is on your hands.",,1,8,19,['https://pbs.twimg.com/media/F-GIKGsWwAAKH6F?format=jpg&name=medium'],https://twitter.com/madsdanae/status/1720806244783468841
Fatt Meldbush,@MattFeldbush,2023-11-04T07:46:48.000Z,"Fatt Meldbush
@MattFeldbush
·
Nov 4","Nothing like getting a reply back from my senator saying, hey thanks for the message Matt, not changing anything! Israel has a right to defend itself against 5 thousand innocent children 
@GaryPeters
 get rekt, asshole, hope you never see peace in public",,,1,2,[],https://twitter.com/MattFeldbush/status/1720709165482446864
poetic justice,@EplurebusUnum,2023-11-04T02:48:58.000Z,"poetic justice
@EplurebusUnum
·
Nov 4",Gary Peters on Senate Democrats’ 2024 election fights -POLITICO. Wonder what black man will be the martyr for BLM to fund the DNC in 2024?Wonder what new plandemic will be released to steal the presidency?Wonder when Antifa will show it’s ugly head in 2024,,1,,1,['https://pbs.twimg.com/card_img/1730619795714822144/CrLlykkG?format=jpg&name=900x900'],https://twitter.com/EplurebusUnum/status/1720634209784492392
Screaming Seagull,@lemmy___,2023-11-04T02:19:41.000Z,"Screaming Seagull
@lemmy___
·
Nov 4","So what Democrat is running against Gary Peters the next time he's up? Not only is this statement terribly patched together, it's downright insulting.",,1,1,6,['https://pbs.twimg.com/media/F-Dk_hTWwAAyaeH?format=jpg&name=large'],https://twitter.com/lemmy___/status/1720626840178458951
Molten Irony,@ginsengity,2023-11-05T22:31:04.000Z,"Molten Irony
@ginsengity
·
Nov 6","#BecauseInfrastructureWeekIsNotAJokeAnymore
Thanks 
@POTUS
 @VP
 @SecretaryPete
 @SenStabenow
 @GaryPeters
 ",☮ 🌲 🌊 🌳 🌎 👍 👏 👏 👏,,,,['https://pbs.twimg.com/profile_images/1647970010269204483/6CqrbW6U_normal.jpg'],https://twitter.com/ginsengity/status/1721294085527310569
Michiganconservative3,@gobluefather3,2023-11-05T15:03:52.000Z,"Michiganconservative3
@gobluefather3
·
Nov 5","This is your party Dems!  
@RashidaTlaib
 @JocelynBenson
 @SenPolehanki
 @NoahArbit
 @RepHaleyStevens
 @RepSlotkin
 @GaryPeters
 @philipskaggs
 own it!",☘,,1,1,['https://pbs.twimg.com/profile_images/1619773363576270848/q2FmVLoI_normal.jpg'],https://twitter.com/gobluefather3/status/1721181543798911464
