UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
Miltiadis,@Whyuliesomuch,2023-11-01T23:59:02.000Z,"Miltiadis
@Whyuliesomuch
·
Nov 2","J.D Vance is a fucking liar. 
J.D Vance is a fucking loser. 
J.D Vance is a fucking asshole. 
J.D Vance is a fucking traitor. 

Fuck J.D Vance. 
Fuck the GOP. 
Fuck MAGATS.",,,,2,['https://pbs.twimg.com/ext_tw_video_thumb/1718355708763090944/pu/img/PVusH7AoY7zENZhx.jpg'],https://twitter.com/Whyuliesomuch/status/1719866670741909875
The New Republic,@newrepublic,2023-11-01T23:53:07.000Z,"The New Republic
@newrepublic
·
Nov 2","It’s not clear what exactly J.D. Vance thinks he will achieve in Trump’s federal cases by blocking unrelated nominations for U.S. attorneys, writes 
@EllieHotel_ing
.",,,,2,[],https://twitter.com/newrepublic/status/1719865180140478906
David Darmofal,@david_darmofal,2023-11-01T23:06:45.000Z,"David Darmofal
@david_darmofal
·
Nov 2","Unlike someone like Tuberville or J.D. Vance, at least sometimes Lindsey Graham makes perfect sense, like he's doing here.",,1,4,17,['https://pbs.twimg.com/ext_tw_video_thumb/1719847964791767040/pu/img/QKDU4EuisO2fR44j.jpg'],https://twitter.com/david_darmofal/status/1719853511788151112
Elston Gunn,@aescheylus,2023-11-01T22:16:47.000Z,"Elston Gunn
@aescheylus
·
Nov 2",I KNEW J.D. Vance would be an obstructionist POS.,,,,,['https://pbs.twimg.com/ext_tw_video_thumb/1719787207240630272/pu/img/ytDsJkuPHXT1QyFS.jpg'],https://twitter.com/aescheylus/status/1719840938015768988
Hal Marshall,@HalMarshall2309,2023-11-01T22:11:39.000Z,"Hal Marshall
@HalMarshall2309
·
Nov 2","Screw J.D. Vance, a man without any real convictions ready to join anyone willing to advance his career. From a bitter critic of trump to another GOP con man happily destroying our Republic, one U.S. Attorney at a time. The Senate’s anti-majoritarian rules are ridiculous.",,8,26,53,['https://pbs.twimg.com/ext_tw_video_thumb/1719787207240630272/pu/img/ytDsJkuPHXT1QyFS.jpg'],https://twitter.com/HalMarshall2309/status/1719839647684055503
alterfax,@AlterfaxJ,2023-11-02T23:37:11.000Z,"alterfax
@AlterfaxJ
·
Nov 3","J.D. Vance blocks U.S. attorney nominees as part of pointless effort
https://de-247.de/j-d-vance-blocks-u-s-attorney-nominees-as-part-of-pointless-effort/…",,,,,[],https://twitter.com/AlterfaxJ/status/1720223557769191675
Chris Patterson,@ChrisPatterDu,2023-11-02T23:33:43.000Z,"Chris Patterson
@ChrisPatterDu
·
Nov 3","J.D. Vance blocks U.S. attorney nominees as part of pointless effort - MSNBC

the overweight Ohio Republican appears to be engaged in a partisan tantrum with no real purpose.",,,,,[],https://twitter.com/ChrisPatterDu/status/1720222688034316358
USA Trust Trump,@USATrustTrump,2023-11-02T23:28:05.000Z,"USA Trust Trump
@USATrustTrump
·
Nov 3","Senator J.D. VANCE: NO UNANIMOUS APPROVAL OR CONSENT OF DOJ NOMINEES AS LONG AS:

The president and DOJ uses it's nominations and personnel to go after his political opponents, including his chief political rival (Donald Trump). AND tries to  throw them in prison.",🔥 🔥,,15,28,['https://pbs.twimg.com/media/F99DYkRWoAA79SQ.jpg'],https://twitter.com/USATrustTrump/status/1720221268039930069
James Wooten,@rantonstupidity,2023-11-02T22:29:49.000Z,"James Wooten
@rantonstupidity
·
Nov 3","Heard someone on 
@DeadlineWH
 call Tuberville the “stupidest Senator in the Senate”.

Which, if you think about it, is quite an achievement considering the competition: Hawley, J.D. Vance, Rand Paul, Tim Scott. I could go on.",,,,,['https://pbs.twimg.com/amplify_video_thumb/1720174866496704512/img/hm5MItQ0ShK3B5FA.jpg'],https://twitter.com/rantonstupidity/status/1720206608385315106
LyDeFace,@delo_ly,2023-11-02T22:20:10.000Z,"LyDeFace
@delo_ly
·
Nov 3","ABSOLUTELY!  HISTORY HAS SHOWN US TIME AND TIME AGAIN THAT ANY AID, WHETHER FINANCIAL OR FOOD AND MEDICINE WILL GO DIRECTLY TO THE TERRORISTS AND THEIR PEOPLE WILL SUFFER AS THEY ALWAYS DO.

J.D. Vance Pushes For No Humanitarian Aid To Gaza: ‘It’s Going To Fall In The Wrong…
Show more",,,4,8,[],https://twitter.com/delo_ly/status/1720204179573203299
QuntTrumpIsDying,@PussyAssTrump,2023-11-03T23:03:52.000Z,"QuntTrumpIsDying
@PussyAssTrump
·
Nov 4",J.D. Vance blocks U.S. attorney nominees as part of pointless effort,,1,1,1,[],https://twitter.com/PussyAssTrump/status/1720577564693979520
Katrina Ski,@MtRushmore2016,2023-11-03T20:27:03.000Z,"Katrina Ski
@MtRushmore2016
·
Nov 4","Gasps as Breitbart Exposé on Trump NY Judge’s Clerk Takes Center Stage.

“It’s a disgrace. And many members of the family are under a gag order, so they can’t even defend themselves,” wrote Sen. J.D. Vance (R-OH).”",,,,,[],https://twitter.com/MtRushmore2016/status/1720538100139438381
NumbersUSA,@NumbersUSA,2023-11-03T20:00:17.000Z,"NumbersUSA
@NumbersUSA
·
Nov 4","""Sen. John Kennedy (R-La.) joined Sen. J.D. Vance and all other Republican members of the Senate Banking Committee in urging the Consumer Financial Protection Bureau (CFPB) to reverse its guidance requiring lenders to open lines of credit for illegal immigrants.""…
Show more",,3,21,43,[],https://twitter.com/NumbersUSA/status/1720531363831386412
Nancy Pearcey,@NancyRPearcey,2023-11-03T19:02:51.000Z,"Nancy Pearcey
@NancyRPearcey
·
Nov 4","The Fairness for Stay-at-Home Parents Act

Senator J.D. Vance has introduced a proposal to support moms who want to stay home after their baby is born. 

For too long, homemakers have been neglected or even treated with disdain by many policymakers.",,2,5,14,[],https://twitter.com/NancyRPearcey/status/1720516911052554722
Irish Patriot,@IrishPatri0t,2023-11-03T18:36:43.000Z,"Irish Patriot
@IrishPatri0t
·
Nov 4","this argument implies that J.D. Vance will see his margin drop by 7 points in 2028,

A.K.A he will lose.",👇 👀 👇,,,5,[],https://twitter.com/IrishPatri0t/status/1720510333289169158
Maria Sanford,@MariaSa96453689,2023-11-04T16:20:33.000Z,"Maria Sanford
@MariaSa96453689
·
Nov 5","BASED: Senator J.D. Vance STANDS UP to the Weaponized Biden DOJ! https://fb.watch/o6addg48uS/ via 
@FacebookWatch",,,,,[],https://twitter.com/MariaSa96453689/status/1720838452025913662
