UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
MAGA Grace,@jefavieja,2023-11-01T23:00:06.000Z,"MAGA Grace
@jefavieja
·
Nov 2",Las Vegas Resident Faces Charges for Threatening Jewish US Senator Jacky Rosen - NewsHouse,,,,,[],https://twitter.com/jefavieja/status/1719851839930384592
Donald Rilea,@Catman_Rilea,2023-11-01T21:05:25.000Z,"Donald Rilea
@Catman_Rilea
·
Nov 2","Feds charge Las Vegas man with making antisemitic death threats against Sen. Jacky Rosen https://jta.org/2023/10/30/politics/feds-charge-las-vegas-man-with-making-antisemitic-death-threats-against-sen-jacky-rosen… via 
@JTAnews",,,1,,['https://pbs.twimg.com/card_img/1732093889941536768/i0WdhqB2?format=jpg&name=900x900'],https://twitter.com/Catman_Rilea/status/1719822978614263914
Mrs. Anita M. Davis,@amdavis1218,2023-11-01T20:03:51.000Z,"Mrs. Anita M. Davis
@amdavis1218
·
Nov 2","It’s some hateful racist people in America. Most are members of the Republican Party.
BREAKING NEWS: Jacky Rosen Speaks To Press After Man Arrested For Antise... https://youtu.be/BPA6Xh-X36Q?si=NU5Hd423-dAvkIEE… via 
@YouTube
#RacistGOP",,,,,['https://pbs.twimg.com/card_img/1731559821500129280/SmzwZ_Rn?format=jpg&name=360x360'],https://twitter.com/amdavis1218/status/1719807484573950313
Ghostwalker,@ETGlass2,2023-11-01T18:57:39.000Z,"Ghostwalker
@ETGlass2
·
Nov 2","Feds charge Las Vegas man with making antisemitic death threats against Sen. Jacky Rosen https://jta.org/2023/10/30/politics/feds-charge-las-vegas-man-with-making-antisemitic-death-threats-against-sen-jacky-rosen… via 
@JTAnews",,,,,['https://pbs.twimg.com/card_img/1732093889941536768/i0WdhqB2?format=jpg&name=900x900'],https://twitter.com/ETGlass2/status/1719790825930960944
Vic Veleros,@PharanighJane,2023-11-01T16:51:29.000Z,"Vic Veleros
@PharanighJane
·
Nov 2","In case anyone is curious. Nevada's senator, Jacky Rosen, is in complete support of the genocide happening right now. I'm going to k m s. I am ashamed of my state, and ready to disrespect my country.",🐀,,,,[],https://twitter.com/PharanighJane/status/1719759074819227742
Robert Dunn,@alifeofinsanity,2023-11-01T16:45:49.000Z,"Robert Dunn
@alifeofinsanity
·
Nov 2","Jacky Rosen (D) Nevada;

“ Antisemitism is on the rise across our nation, particularly on our college and university campuses 
I’m calling on 
@usedgov
 to immediately take further action to ensure Jewish students are safe from acts of hate. Including by forming a task force…
Show more",🦅 🎾 🟦 🟧,5,76,85,['https://pbs.twimg.com/media/F93Od6OXQAAtAuS?format=jpg&name=360x360'],https://twitter.com/alifeofinsanity/status/1719757648512369066
SIERRA SUN TIMES,@SIERRASUNTIMES,2023-11-01T16:29:00.000Z,"SIERRA SUN TIMES
@SIERRASUNTIMES
·
Nov 2","Nevada U.S. Senator Jacky Rosen Calls on Department of Education to Take Immediate Action to Address Rise of Antisemitism on College Campuses
#MariposaCounty #MaderaCounty #Yosemite #MercedCounty #FresnoCounty",,,,2,[],https://twitter.com/SIERRASUNTIMES/status/1719753414748275026
Terri Loves America,@ProudAFAmerican,2023-11-01T15:27:41.000Z,"Terri Loves America
@ProudAFAmerican
·
Nov 1","NEVADA: Sen. Jacky Rosen is working hard to protect women's reproductive rights, voting rights, fight climate change + improve the lives of all the diverse populations of NV. Please donate and vote to reelect 
@SenJackyRosen
 
#DemVoice1 
#ProudBlue 
#wtpEARTH",🟧 💙 💔 🟦,4,78,96,['https://pbs.twimg.com/media/F928lcdaAAAiVzp?format=jpg&name=900x900'],https://twitter.com/ProudAFAmerican/status/1719737986303058415
starrick1,@starrick1,2023-11-01T10:35:49.000Z,"starrick1
@starrick1
·
Nov 1","Las Vegas man charged with threatening Jewish US Senator Jacky Rosen https://mol.im/a/12692917 via 
@MailOnline",,,,,['https://pbs.twimg.com/card_img/1732250579919945729/LG4lU6ue?format=jpg&name=small'],https://twitter.com/starrick1/status/1719664534737076587
Line drawn,@NuLLnVoiD4prez,2023-11-01T10:08:41.000Z,"Line drawn
@NuLLnVoiD4prez
·
Nov 1","Las Vegas man John Anthony Miller is charged with threatening to assault, kidnap or murder Jewish US Senator Jacky Rosen after leaving her stream of vile anti-Semitic voicemails vowing to 'finish what Hitler started'",,,,,['https://pbs.twimg.com/card_img/1732250579919945729/LG4lU6ue?format=jpg&name=small'],https://twitter.com/NuLLnVoiD4prez/status/1719657707517456859
Dushan,@Dushan41,2023-11-01T09:48:13.000Z,"Dushan
@Dushan41
·
Nov 1",Feds charge Las Vegas man with making antisemitic death threats against Sen. Jacky Rosen https://democraticunderground.com/100218413739,,,,1,[],https://twitter.com/Dushan41/status/1719652557310881961
Carmen G Ortiz,@CarmenGOrt94475,2023-11-01T08:39:42.000Z,"Carmen G Ortiz
@CarmenGOrt94475
·
Nov 1","Nevada man charged with antisemitic threats against Sen. Jacky Rosen See more: https://tinyurl.com/3s46dyh7 

#Spurs #Christmas #Wemby #JoshMcDaniels #Suns #DOXcoin #BolBol #Thanksgiving #MariahCarey #Durant #HappyNewMonth #Halloween2023",,,,,['https://pbs.twimg.com/media/F91fK00aEAEIc5O?format=jpg&name=small'],https://twitter.com/CarmenGOrt94475/status/1719635311276470709
NewsRadio 920,@NewsRadio920,2023-11-01T06:53:28.000Z,"NewsRadio 920
@NewsRadio920
·
Nov 1",Las Vegas Man Arrested Over Violent Threats To Jewish Senator Jacky Rosen,,,,,[],https://twitter.com/NewsRadio920/status/1719608577822761323
FoggyBottomGal,@foggybottomgal,2023-11-01T06:03:41.000Z,"FoggyBottomGal
@foggybottomgal
·
Nov 1","Nevada man charged with antisemitic threats against Sen. Jacky Rosen https://usatoday.com/story/news/politics/2023/10/31/sen-jacky-rosen-antisemitic-threats/71395789007/… via 
@USATODAY",™,,,,['https://pbs.twimg.com/card_img/1732147447592562692/oMmSo9LZ?format=jpg&name=900x900'],https://twitter.com/foggybottomgal/status/1719596049088614842
SG,@GREENESJ333,2023-11-01T05:58:28.000Z,"SG
@GREENESJ333
·
Nov 1","Las Vegas man faces a federal criminal charge after threatening to kill Jewish U.S. Sen Jacky Rosen -- including vowing to ""finish what Hitler started"" -- that left the Democratic lawmaker feeling under attack amid rising antisemitic incidents worldwide.",⭐ ⭐ ⭐,,,,['https://pbs.twimg.com/card_img/1732323606623903744/NE-tUgmD?format=jpg&name=900x900'],https://twitter.com/GREENESJ333/status/1719594737987125695
huntercrackcock,@huntercrackcock,2023-11-01T02:05:14.000Z,"huntercrackcock
@huntercrackcock
·
Nov 1","Las Vegas man charged with threatening Jewish US Senator Jacky Rosen https://mol.im/a/12692917 via 
@MailOnline",,,,,['https://pbs.twimg.com/card_img/1732250579919945729/LG4lU6ue?format=jpg&name=small'],https://twitter.com/huntercrackcock/status/1719536040653062416
USADAILYNEWSLIVE,@Pratikpaghadar,2023-11-01T01:13:50.000Z,"USADAILYNEWSLIVE
@Pratikpaghadar
·
Nov 1","Nevada Man Jailed for Threatening Senator Jacky Rosen After Hamas Attack - USA DAILY NEWS LIVE https://usadailynewslive.com/nevada-man-jailed-jacky-rosen-hamas-attack/… 

#Nevada #JackyRosen
#Senator #Hamas #IsraelPalestineWar",,,,,[],https://twitter.com/Pratikpaghadar/status/1719523105947935166
Alexander Higgins,@alexhiggins732,2023-11-01T01:06:10.000Z,"Alexander Higgins
@alexhiggins732
·
Nov 1","‘We are going to exterminate you’ and ‘to kill every Israeli terror-f—ing-rist’

John Anthony Miller charged after an apparent thwarted assassination attempt of Jewish US Senator Jacky Rosen while trying to enter her office after multiple threats.
https://timesofisrael.com/we-are-going-to-exterminate-you-us-man-charged-with-threatening-jewish-senator/…",🚨,,,,['https://pbs.twimg.com/media/F9z2DxCWQAANXEg?format=png&name=900x900'],https://twitter.com/alexhiggins732/status/1719521178690138384
Bronco/CHK,@Claudred,2023-11-01T01:00:30.000Z,"Bronco/CHK
@Claudred
·
Nov 1","Massive Democrat invasion continues. 
Why are Democrats allowing criminals, drugs, murderers into our country?

#VoteOutAllDemocrats 
@JoeBiden
 @VP
 @ChuckSchumer
 @SenSherrodBrown
 @SenBaldwinGSPP
 @LaphonzaB
 @SenCantwell
 @SenWhitehouse
 @jontester
 @JackyRosen
 @ChrisMurphyCT",,,,1,['https://pbs.twimg.com/profile_images/1618294339947614210/ss1Pbu84_normal.jpg'],https://twitter.com/Claudred/status/1719519750617702480
Janice Hough,@leftcoastbabe,2023-11-01T00:45:41.000Z,"Janice Hough
@leftcoastbabe
·
Nov 1","How long until someone  in public service gets hurt?

When the leader of a major party is advocating violence to solve problems it's sadly probably only a matter of time.

Nevada man charged with antisemitic threats against Sen. Jacky Rosen https://usatoday.com/story/news/politics/2023/10/31/sen-jacky-rosen-antisemitic-threats/71395789007/… via 
@usatoday",,,2,5,['https://pbs.twimg.com/card_img/1732147447592562692/oMmSo9LZ?format=jpg&name=900x900'],https://twitter.com/leftcoastbabe/status/1719516021567148264
Reuters Politics,@ReutersPolitics,2023-11-01T00:40:21.000Z,"Reuters Politics
@ReutersPolitics
·
Nov 1",Nevada man charged with threatening to kill Jewish US Senator Jacky Rosen http://reut.rs/3FHkpUK,,,1,,['https://pbs.twimg.com/media/F9zxfPLWIAAh25s?format=jpg&name=900x900'],https://twitter.com/ReutersPolitics/status/1719514678747963869
Joel Blau,@joel_blau,2023-11-01T00:36:44.000Z,"Joel Blau
@joel_blau
·
Nov 1","Las Vegas man arrested after series of threats to Sen. Jacky Rosen https://jns.org/las-vegas-man-arrested-after-series-of-threats-to-sen-jacky-rosen/… via 
@JNS_org",,,,,[],https://twitter.com/joel_blau/status/1719513769506726072
Reuters World,@ReutersWorld,2023-11-01T00:31:35.000Z,"Reuters World
@ReutersWorld
·
Nov 1",Nevada man charged with threatening to kill Jewish US Senator Jacky Rosen http://reut.rs/3MoEy5S,,8,4,7,['https://pbs.twimg.com/media/F9zve_MXoAA7bUq?format=jpg&name=900x900'],https://twitter.com/ReutersWorld/status/1719512475152818397
Reuters U.S. News,@ReutersUS,2023-11-01T00:31:23.000Z,"Reuters U.S. News
@ReutersUS
·
Nov 1",Nevada man charged with threatening to kill Jewish US Senator Jacky Rosen http://reut.rs/3QPcOKt,,1,2,,['https://pbs.twimg.com/media/F9zvb9BWwAAhaFU?format=jpg&name=900x900'],https://twitter.com/ReutersUS/status/1719512423382634672
GayPatriot,@GayPatriot,2023-11-01T00:19:15.000Z,"GayPatriot
@GayPatriot
·
Nov 1",Nevada man charged with threatening to kill Jewish US Senator Jacky Rosen,🌈,,2,7,['https://pbs.twimg.com/card_img/1732323606623903744/NE-tUgmD?format=jpg&name=900x900'],https://twitter.com/GayPatriot/status/1719509368662556685
Arden Messing,@arden_messing,2023-11-01T00:17:58.000Z,"Arden Messing
@arden_messing
·
Nov 1",Fuck John Anthony Miller the Las Vegas man charged with threatening Jewish Senator Jacky Rosen .,🟦,,1,4,[],https://twitter.com/arden_messing/status/1719509046959415475
Dr. Jeff Gunter,@DrJeffGunter,2023-11-01T00:00:13.000Z,"Dr. Jeff Gunter
@DrJeffGunter
·
Nov 1","Extremist Dems like 
@RashidaTlaib
 are becoming more unhinged, now making excuses for Hamas terror. 

And yet, Biden rubber stamp 
@SenJackyRosen
 refuses to denounce by name these left-wing lunatics.

Jacky Rosen is morally lost, while Joe Biden is literally lost as he wanders…
Show more",,,1,6,"['https://pbs.twimg.com/profile_images/1590703317658877953/TigNz37N_normal.jpg', 'https://pbs.twimg.com/ext_tw_video_thumb/1717308846912212992/pu/img/IU7A-6RJkHfXyFUd.jpg']",https://twitter.com/DrJeffGunter/status/1719504580570972237
Las Vegas Review-Journal en Español,@rj_espanol,2023-11-01T00:00:02.000Z,"Las Vegas Review-Journal en Español
@rj_espanol
·
Nov 1",Las autoridades federales lo acusaran de dejar numerosos mensajes de voz amenazadores con insultos y antisemitas a la senadora Jacky Rosen,,,,,['https://pbs.twimg.com/profile_images/848956992190271502/1rZKFYP7_bigger.jpg'],https://twitter.com/rj_espanol/status/1719504533330485382
SAFEHOMEDIY,@_SAFEHOMEDIY,2023-11-02T23:34:39.000Z,"SAFEHOMEDIY
@_SAFEHOMEDIY
·
Nov 3","Charges Filed Against Nevada Man for Allegedly Threatening to Kidnap, Murder Senator Jacky Rosen",,,,,['https://pbs.twimg.com/card_img/1733151247107284992/JxRbznhk?format=jpg&name=small'],https://twitter.com/_SAFEHOMEDIY/status/1720222923137401142
CBS Evening News,@CBSEveningNews,2023-11-02T21:30:00.000Z,"CBS Evening News
@CBSEveningNews
·
Nov 3","Nevada Sen. Jacky Rosen says antisemitic threats hit her when she saw them ""not as a senator, but as a mother""",,3,3,7,['https://pbs.twimg.com/profile_images/1617634745348661249/6YmPYpNd_bigger.jpg'],https://twitter.com/CBSEveningNews/status/1720191554546020761
Fiore DiNotte,@FiorediNotte33,2023-11-02T21:03:18.000Z,"Fiore DiNotte
@FiorediNotte33
·
Nov 3","During the period 2019-24 #Nevada senator  #JackyRosen has received over 700,000 dollars from pro- #Israel industry donors. 

#GazaGenocide #Senate #Congress #Progressive #endpoverty #Elections2024 #defundgenocide",,,1,,['https://pbs.twimg.com/card_img/1732918196670484480/W-ZsbLPA?format=jpg&name=900x900'],https://twitter.com/FiorediNotte33/status/1720184835208311169
NewsNestHQ,@NewsNestHQ50,2023-11-02T21:01:50.000Z,"NewsNestHQ
@NewsNestHQ50
·
Nov 3","Nevada Sen. Jacky Rosen: ""We have to find a path forward"" for Palestinian people",,,,,[],https://twitter.com/NewsNestHQ50/status/1720184462611194039
InsightPulse,@InsightP98349,2023-11-02T21:01:48.000Z,"InsightPulse
@InsightP98349
·
Nov 3","Nevada Sen. Jacky Rosen: ""We have to find a path forward"" for Palestinian people",,,,,[],https://twitter.com/InsightP98349/status/1720184457443840296
