UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
Portal Diario,@PortalDiarioAR,2023-11-01T19:52:19.000Z,"Portal Diario
@PortalDiarioAR
·
Nov 2",CNN | Senador republicano James Lankford apoyará la ayuda a Israel y a Ucrania http://dlvr.it/SyG2GC,,,,,['https://pbs.twimg.com/media/F935JxGaoAARCaI?format=jpg&name=900x900'],https://twitter.com/PortalDiarioAR/status/1719804581088280898
Heather Caygle,@heatherscope,2023-11-01T19:31:37.000Z,"Heather Caygle
@heatherscope
·
Nov 2","Sen. James Lankford just walked into Speaker Johnson’s office

Lankford is leading effort to find Senate border compromise",,1,3,7,['https://pbs.twimg.com/profile_images/1344728315769151488/-0XDUIW1_bigger.jpg'],https://twitter.com/heatherscope/status/1719799372236394604
CNN en Español,@CNNEE,2023-11-01T19:05:04.000Z,"CNN en Español
@CNNEE
·
Nov 2",Senador republicano James Lankford apoyará la ayuda a Israel y a Ucrania.,,4,8,54,['https://pbs.twimg.com/card_img/1732697733004206080/QQB_BVrl?format=jpg&name=900x900'],https://twitter.com/CNNEE/status/1719792691397976453
Corrientes Hoy,@CorrientesHoy,2023-11-01T18:16:16.000Z,"Corrientes Hoy
@CorrientesHoy
·
Nov 2",Senador republicano James Lankford apoyará la ayuda a Israel y a Ucrania http://dlvr.it/SyFrt2,,,,,['https://pbs.twimg.com/media/F93jK0UaEAAk_fB?format=jpg&name=small'],https://twitter.com/CorrientesHoy/status/1719780409054249406
corrientesnoticiasof,@ctesnoticiasof,2023-11-01T18:16:14.000Z,"corrientesnoticiasof
@ctesnoticiasof
·
Nov 2",Senador republicano James Lankford apoyará la ayuda a Israel y a Ucrania,,,,,[],https://twitter.com/ctesnoticiasof/status/1719780404222365944
CommonSenseProphet,@RunWithGodRadio,2023-11-01T16:00:28.000Z,"CommonSenseProphet
@RunWithGodRadio
·
Nov 2","'As You And I Both Know...': James Lankford Keeps Heat On Mayorkas Over ... https://youtu.be/2RGNcMbt9Hs?si=d_9dTIwkes4M2H32… via 
@YouTube",,,,,['https://pbs.twimg.com/card_img/1731732755107442688/HAVa3Gca?format=jpg&name=360x360'],https://twitter.com/RunWithGodRadio/status/1719746234381160500
Valerie Lewis,@DrValLewis,2023-11-01T11:42:55.000Z,"Valerie Lewis
@DrValLewis
·
Nov 1","Of course this is 
@jameslankford
 office. What an absolute disgrace.",,,,1,"['https://pbs.twimg.com/profile_images/1725240974694039552/txecwzrO_normal.jpg', 'https://pbs.twimg.com/ext_tw_video_thumb/1719126012359757824/pu/img/qiqAgU28uE46vZjL.jpg']",https://twitter.com/DrValLewis/status/1719681421696958519
William O. Douglas Stan,@ODouglas_Stan,2023-11-01T06:25:10.000Z,"William O. Douglas Stan
@ODouglas_Stan
·
Nov 1","The Oklahoma Senators are so forgettable man

Who the fuck is Markwayne Mullin and James Lankford?

Like do something please. No one knows who you are",,5,3,27,[],https://twitter.com/ODouglas_Stan/status/1719601456163295333
marceline,@purinzite,2023-11-01T02:19:01.000Z,"marceline
@purinzite
·
Nov 1",this was in a call to james lankford's office. YIKES,,,,1,"['https://pbs.twimg.com/profile_images/1725240974694039552/txecwzrO_normal.jpg', 'https://pbs.twimg.com/ext_tw_video_thumb/1719126012359757824/pu/img/qiqAgU28uE46vZjL.jpg']",https://twitter.com/purinzite/status/1719539511120535616
I have the Time,@havetime2day,2023-11-02T22:58:48.000Z,"I have the Time
@havetime2day
·
Nov 3",James Lankford how can there still be 500 miles of tunnels. This is a massacre. Is this ur happy place. #CeasefireForGaza #FreePalestine,,,,,['https://pbs.twimg.com/media/F99tbEtW8AA-h9c?format=jpg&name=large'],https://twitter.com/havetime2day/status/1720213901999022244
