UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
Kevin Landrigan,@KlandriganUL,2023-11-01T20:14:53.000Z,"Kevin Landrigan
@KlandriganUL
·
Nov 2",".
@JeanneShaheen
 asks 
@SecMayorkas
 to provide N.H. specific data about illegal crossings from Canada, telecommunications updates and more $$$ in Operation Stonegarden grants to the northern border. #nhpolitics

https://shaheen.senate.gov/imo/media/doc/shaheen_letter_to_mayorkas_on_northern_border_10312023.pdf…",,2,3,5,[],https://twitter.com/KlandriganUL/status/1719810260444090679
Glas Amerike,@GlasAmerike,2023-11-01T20:00:01.000Z,"Glas Amerike
@GlasAmerike
·
Nov 2","Senatorica Jeanne Shaheen kaže kako je veoma brine situacija u Bosni i Hercegovini i „sve zapaljivija retorika gospodina Dodika, koji govori o odvajanju Republike Srpske od ostatka Bosne i Hercegovine”.",,,,,[],https://twitter.com/GlasAmerike/status/1719806520597291159
Diabetes Share,@DiabetesShare,2023-11-01T17:39:04.000Z,"Diabetes Share
@DiabetesShare
·
Nov 2",Shaheen and Collins Joint Statement on New Diabetes Data ... - Senator Jeanne Shaheen,,,,,['https://pbs.twimg.com/card_img/1729499333077368832/bXal28Hm?format=png&name=900x900'],https://twitter.com/DiabetesShare/status/1719771049271935334
Giorgio Rinaldi,@Heb10_25,2023-11-01T12:41:30.000Z,"Giorgio Rinaldi
@Heb10_25
·
Nov 1","#ImNeutral. Are you going to sanction #Bolivia back to the stone age? 
@SenatorCardin
 @SenatorMenendez
 @JeanneShaheen
 @SenatorRisch
 @SenMarcoRubio
 @marcorubio
 @SenatorRomney
 @SenSchumer
 @RepMcCaul
 @RepGregoryMeeks
 @RepChrisSmith1
 @RepJoeWilson
 @SpeakerJohnson",,5,,,"['https://pbs.twimg.com/profile_images/1634002486616018944/krtm6Zft_normal.jpg', 'https://pbs.twimg.com/profile_images/796803089504333824/HmSHXDAB_bigger.jpg', 'https://pbs.twimg.com/ext_tw_video_thumb/1719447843793186816/pu/img/tX-2b7vte1NaMHjk.jpg']",https://twitter.com/Heb10_25/status/1719696163740258562
Victor Pak,@Victorfpak,2023-11-01T09:32:44.000Z,"Victor Pak
@Victorfpak
·
Nov 1","Amerikaanse Senatoren over Mark Rutte: 
Mitt Romney (R) ""I may have met him, but I don’t recall,"" 
Jeanne Shaheen (D) ""I do not know him. I have heard his name floated but beyond that I haven't heard anything else""
Lindsey Graham (R) “I don’t know him. Doesn’t ring a bell.”",😂 😂,2,2,10,['https://pbs.twimg.com/profile_images/1691112094593069057/NQHSGEPP_normal.jpg'],https://twitter.com/Victorfpak/status/1719648659564827119
Gen Exhausted,@ctownchick1,2023-11-02T22:53:30.000Z,"Gen Exhausted
@ctownchick1
·
Nov 3",Sen. Jeanne Shaheen has done her homework and then some  #CSPAN2 #BlackSeaSecurity #Russia #Ukraine,💥,,,,[],https://twitter.com/ctownchick1/status/1720212564368339084
The Boston Globe,@BostonGlobe,2023-11-02T22:32:30.000Z,"The Boston Globe
@BostonGlobe
·
Nov 3","The major issues Senator Jeanne Shaheen believes small businesses face in New Hampshire will likely sound familiar: workforce issues, housing, access to capital, and child care.",,,,5,['https://pbs.twimg.com/card_img/1730552272977907713/QczFY-h6?format=jpg&name=small'],https://twitter.com/BostonGlobe/status/1720207283110457628
TJ White,@RealTJWhite,2023-11-02T19:17:18.000Z,"TJ White
@RealTJWhite
·
Nov 3","This quack worked for 20 years for Jeanne Shaheen's husband. 

Can you say bought and paid for?

She also defended over prescribing of OxyContin. 

NH has one of the highest per capita opioid deaths. 

Any questions?",,,1,1,"['https://pbs.twimg.com/profile_images/1529462927127887872/y3KvHOIp_normal.jpg', 'https://pbs.twimg.com/ext_tw_video_thumb/1719703061109542912/pu/img/GmfMWnZlQ_J0U6VE.jpg']",https://twitter.com/RealTJWhite/status/1720158159187153267
Fena,@agencijafena,2023-11-02T08:14:35.000Z,"Fena
@agencijafena
·
Nov 2","Senatorica Shaheen: I evropski saveznici moraju sankcionirati Dodika, i to strogo https://fena.ba/article/1553696/senatorica-shaheen-i-evropski-saveznici-moraju-sankcionirati-dodika-i-to-strogo… #fena #fenaagency #agencijafena #SAD #jeanneshaheen #miloraddodik",,,,,[],https://twitter.com/agencijafena/status/1719991378619289653
FloridaRobert,@FloridaRobert2,2023-11-03T18:45:45.000Z,"FloridaRobert
@FloridaRobert2
·
Nov 4","A list of the US Senates greatest thieves: . Ed Markey MA, Tim Kaine VA, Mark Warner VA, Dick Durbin IL, Jeff Merkley OR, Tammy Duckworth IL, Peter Welch VT, Elizabeth Warren MA, Cory Booker NJ, Chris Van Hollen MD, Tina Smith MN, Chris Murphy CN, and Jeanne Shaheen NH",,,,,[],https://twitter.com/FloridaRobert2/status/1720512606186750230
American Promise,@usapromise,2023-11-03T18:10:57.000Z,"American Promise
@usapromise
·
Nov 4","This week we were excited to see 
@RoKhanna
 and 
@VivekGRamaswamy
 agree that campaign finance changes in 
@JeanneShaheen
’s Democracy For All  amendment offer a bipartisan area of reform.

We look forward to working with both of you on this issue!  
@nhiop
 @SaintAnselm
 #NHPolitics",,,4,7,[],https://twitter.com/usapromise/status/1720503848865812977
Boston Globe New Hampshire,@Globe_NH,2023-11-03T18:06:09.000Z,"Boston Globe New Hampshire
@Globe_NH
·
Nov 4","They are small but mighty. According to Senator Jeanne Shaheen, nearly all New Hampshire businesses are considered “small” businesses, employing about half of the people in the state.",,,,,['https://pbs.twimg.com/card_img/1730552272977907713/QczFY-h6?format=jpg&name=small'],https://twitter.com/Globe_NH/status/1720502638712705067
Rose Marie McKain,@MckainRose,2023-11-03T17:45:24.000Z,"Rose Marie McKain
@MckainRose
·
Nov 4","TY Tim Kaine (D-VA), Mark Warner (D-VA), Dick Durbin (D-IL), Jeff Merkley (D-OR), Tammy Duckworth (D-IL), Peter Welch (D-VT), Elizabeth Warren (D-MA), Cory Booker (D-NJ), Chris Van Hollen (D-MD), Tina Smith (D-MN), Chris Murphy (D-CN), Jeanne Shaheen (D-NH), Ed Markey (D-MA)",☮,,,,[],https://twitter.com/MckainRose/status/1720497417823326558
