UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
stilwellinks,@stilwellinks,2023-11-02T23:40:23.000Z,"stilwellinks
@stilwellinks
·
Nov 3","Privatize USPS!  This is a FAILED taxpayer funded operation.
@SpeakerJohnson
 
@sharicedavids
 
@RogerMarshallMD
 
@JerryMoran
 
@mattgaetz
 
@RepMTG",,,,1,[],https://twitter.com/stilwellinks/status/1720224363109077464
IBMPolicy,@IBMpolicy,2023-11-02T21:43:35.000Z,"IBMPolicy
@IBMpolicy
·
Nov 3","IBM has always believed that AI used by the federal government must be trusted and responsible. We thank Senators 
@MarkWarner
 and 
@JerryMoran
 for their bipartisan leadership on the Federal Artificial Intelligence Risk Management Act of 2023. Read more here:",,,4,10,['https://pbs.twimg.com/card_img/1727891213410340864/q51HkSIR?format=jpg&name=900x900'],https://twitter.com/IBMpolicy/status/1720194972815691941
AAMS,@AAMS,2023-11-02T19:15:11.000Z,"AAMS
@AAMS
·
Nov 3",The U.S. Senate passed legislation that included an amendment sponsored by U.S. Sen. Jerry Moran of Kansas blocking the VA from implementing a rule in 2024 reducing reimbursement rates for emergency ground and air ambulance services.,,,,,['https://pbs.twimg.com/card_img/1730747397708320768/dSCeh7eA?format=png&name=900x900'],https://twitter.com/AAMS/status/1720157625654865983
Senator Jerry Moran,@JerryMoran,2023-11-02T17:37:44.000Z,"Senator Jerry Moran
@JerryMoran
·
Nov 3","AI has tremendous potential to improve the efficiency & effectiveness of the federal government, but we can’t ignore the risks. I introduced legislation with 
@MarkWarner
 to establish guidelines to be used within the federal government to mitigate risks while still benefitting AI.",,10,5,15,['https://pbs.twimg.com/media/F98heIQXcAE08WM?format=jpg&name=900x900'],https://twitter.com/JerryMoran/status/1720133099634242039
Doodle Mom,@twodoodle,2023-11-02T16:49:45.000Z,"Doodle Mom
@twodoodle
·
Nov 3","There have been GOP Senators speaking out against Tuberville, anything? 
@RogerMarshallMD
 @JerryMoran",🌻,1,,8,['https://pbs.twimg.com/profile_images/677177503694237697/y6yTzWn6_normal.png'],https://twitter.com/twodoodle/status/1720121025923342779
Senator Jerry Moran,@JerryMoran,2023-11-02T16:21:21.000Z,"Senator Jerry Moran
@JerryMoran
·
Nov 3","This is one of the most consequential votes that we’ll have to address.

Border security – just like Israel & Ukraine – is a national security issue and including it in the funding package will help the gain support from both sides of the aisle.",,15,7,15,['https://pbs.twimg.com/amplify_video_thumb/1720113368017629188/img/YxSkXmgJhg_XD1Or.jpg'],https://twitter.com/JerryMoran/status/1720113879869518267
ACAonTheHill,@ACAontheHill,2023-11-02T16:11:51.000Z,"ACAonTheHill
@ACAontheHill
·
Nov 3","Thank you 
@JerryMoran
 for supporting #Medicare beneficiaries and cosponsoring #S799",,,1,3,[],https://twitter.com/ACAontheHill/status/1720111489565053349
Rebecca Kern,@rebeccamkern,2023-11-02T13:06:04.000Z,"Rebecca Kern
@rebeccamkern
·
Nov 2","Scoop- 
@JerryMoran
 and 
@MarkWarner
 are introducing a bill today to require all federal agencies follow an AI risk framework, coming on the heels of Biden’s sweeping AI executive order. With 
@BrendanBordelon
 for 
@politico",,2,13,31,['https://pbs.twimg.com/card_img/1730195227921547264/JIGPNrcg?format=jpg&name=900x900'],https://twitter.com/rebeccamkern/status/1720064735087907159
Senator Jerry Moran,@JerryMoran,2023-11-02T12:11:12.000Z,"Senator Jerry Moran
@JerryMoran
·
Nov 2","WATCH NOW: Joining 
@SquawkCNBC
 to discuss funding for Israel, Ukraine and the border.",,11,8,16,['https://pbs.twimg.com/media/F97ZG1hXYAA83Ai?format=jpg&name=900x900'],https://twitter.com/JerryMoran/status/1720050924331188609
JaMaKe K,@KJamake,2023-11-02T03:32:38.000Z,"JaMaKe K
@KJamake
·
Nov 2","#PutinsPuppetsGOP If Kay Granger sounds familiar to you…
The GOP 8 who all went to Moscow, Russia on July 4, 2018: 
Ron Johnson (WI)
Richard Shelby (AL)
Steve Daines (MT)
John Thune (SD)
John Kennedy (LA)
Jerry Moran (KS) 
John Hoeven (ND)
Rep. Kay Granger (TX)",🌊 💙 🌊 🟧,,5,7,['https://pbs.twimg.com/media/F95igrTbAAAMMM6?format=jpg&name=900x900'],https://twitter.com/KJamake/status/1719920426250289490
Biomass Magazine,@BiomassMagazine,2023-11-02T01:15:10.000Z,"Biomass Magazine
@BiomassMagazine
·
Nov 2","Sens. Amy Klobuchar, D-Minn., and Jerry Moran, R-Kan., on Oct. 26 announced the introduction of a bill that aims to update the USDA’s Biorefinery, Renewable Chemical and Biobased Products Assistance loan guarantee program.

#biomass https://bit.ly/3MmUDZR",,,,,['https://pbs.twimg.com/media/F95DDB_WAAAD7un?format=jpg&name=900x900'],https://twitter.com/BiomassMagazine/status/1719885832142676296
Ethanol Producer Mag,@EthanolMagazine,2023-11-02T01:00:17.000Z,"Ethanol Producer Mag
@EthanolMagazine
·
Nov 2","Sens. Amy Klobuchar, D-Minn., and Jerry Moran, R-Kan., on Oct. 26 announced the introduction of a bill that aims to update the USDA’s Biorefinery, Renewable Chemical and Biobased Products Assistance loan guarantee program.
#ethanol https://bit.ly/3MsD3n7",,,1,1,['https://pbs.twimg.com/media/F94_pAFWsAAoDOj?format=jpg&name=900x900'],https://twitter.com/EthanolMagazine/status/1719882086016762181
SAF Magazine,@saf_magazine,2023-11-02T00:46:05.000Z,"SAF Magazine
@saf_magazine
·
Nov 2","Sens. Amy Klobuchar, D-Minn., and Jerry Moran, R-Kan., on Oct. 26 announced the introduction of a bill that aims to update the USDA’s Biorefinery, Renewable Chemical and Biobased Products Assistance loan guarantee program.#SAF https://bit.ly/47crt7E",,,,,['https://pbs.twimg.com/media/F948YlXXUAEiIMK?format=jpg&name=900x900'],https://twitter.com/saf_magazine/status/1719878509139550443
Mark Warner,@MarkWarner,2023-11-03T20:38:39.000Z,"Mark Warner
@MarkWarner
·
Nov 4","It’s time to get serious about AI regulation, and I’m ready to do that in a bipartisan way.
@JerryMoran
 and I are taking steps towards sensible guardrails around AI.",,20,34,42,['https://pbs.twimg.com/card_img/1730195227921547264/JIGPNrcg?format=jpg&name=900x900'],https://twitter.com/MarkWarner/status/1720541018670371035
NIAR at Wichita State University,@NIARWSU,2023-11-03T18:03:22.000Z,"NIAR at Wichita State University
@NIARWSU
·
Nov 4","We're officially open in Rocket City! Thank you for joining us 
@JerryMoran
 @TommyBattle
 @PresidentWSU
 @huntsvillecity
 @FirePointIC
 
http://wichita.edu/about/wsunews-releases/2023/11-nov/huntsville_release_3.php…",,,3,8,['https://pbs.twimg.com/media/F-By_SUWgAAbme7?format=jpg&name=900x900'],https://twitter.com/NIARWSU/status/1720501941552209967
Doodle Mom,@twodoodle,2023-11-03T16:57:56.000Z,"Doodle Mom
@twodoodle
·
Nov 4","......and there it is, ""some Republican cheers""
@RepRonEstes
 @RepLaTurner
 @RepMann
 @RogerMarshallMD
 @JerryMoran",🌻 🔥 🔥,,1,1,['https://pbs.twimg.com/profile_images/1184996773217091585/NZfcmAuS_normal.jpg'],https://twitter.com/twodoodle/status/1720485473661985043
FEDERAL NEWSCAST,@FEDERALNEWSCAST,2023-11-03T16:44:26.000Z,"FEDERAL NEWSCAST
@FEDERALNEWSCAST
·
Nov 4","The Federal Newscast - [podcast audio included]
Friday, November 3, 2023
https://federalnewsnetwork.com/federal-newscast/2023/11/senate-confirms-first-woman-to-serve-on-joint-chiefs-of-staff/… 
@FederalNewsNet
 @RepJenKiggans
 @VivekGRamaswamy
 @DeptVetAffairs
 @USOPM
 @USGAO
 @DHSgov
 @WaysandMeansGOP
 @SocialSecurity
 @BSAnews
 @DeptofDefense
 @MarkWarner
 @CIA
 @JerryMoran",,,,,['https://pbs.twimg.com/card_img/1730680638687092736/HxVDGdqD?format=jpg&name=900x900'],https://twitter.com/FEDERALNEWSCAST/status/1720482076506427435
Peter Musurlian,@PMusurlianWFED,2023-11-03T16:44:13.000Z,"Peter Musurlian
@PMusurlianWFED
·
Nov 4","The Federal Newscast - [podcast audio included]
Friday, November 3, 2023
https://federalnewsnetwork.com/federal-newscast/2023/11/senate-confirms-first-woman-to-serve-on-joint-chiefs-of-staff/… 
@FederalNewsNet
 @RepJenKiggans
 @VivekGRamaswamy
 @DeptVetAffairs
 @USOPM
 @USGAO
 @DHSgov
 @WaysandMeansGOP
 @SocialSecurity
 @BSAnews
 @DeptofDefense
 @MarkWarner
 @CIA
 @JerryMoran",,,,,['https://pbs.twimg.com/card_img/1730680638687092736/HxVDGdqD?format=jpg&name=900x900'],https://twitter.com/PMusurlianWFED/status/1720482022911533439
