UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
Trump2024_no_matter_what,@TexasTrump2024,2023-11-02T17:52:23.000Z,"Trump2024_no_matter_what
@TexasTrump2024
·
Nov 3","Pro-Ukraine GOP lawmakers urge Biden to provide long-range weapons to Ukraine 

Sen. Jim Risch (R-ID) 
Sen. Roger Wicker (R-MS)
Rep. Michael McCaul (R-TX) 
Rep. Mike Rogers (R-AL)",❌ ❌ ❌ ❌,11,3,8,['https://pbs.twimg.com/card_img/1729038586866024448/0UxxmEB2?format=jpg&name=900x900'],https://twitter.com/TexasTrump2024/status/1720136789388558379
Radio Ñandutí,@nanduti,2023-11-02T14:04:06.000Z,"Radio Ñandutí
@nanduti
·
Nov 2","Gobierno de 
@SantiPenap
 pretende pasar de “tutelaje” a socio de EEUU 

 Durante la gira de Peña por Washington, el presidente de la República se reunió con el senador de EEUU, Jim Risch.

 
@Gustavoleitepy
 desmintió que el legislador norteamericano haya pedido que militares…
Show more",🔗 🎙,1,3,3,['https://pbs.twimg.com/ext_tw_video_thumb/1720079152378982400/pu/img/BNozwASMchF5gP4u.jpg'],https://twitter.com/nanduti/status/1720079340522893502
Bonner County Daily Bee,@DailyBee,2023-11-02T01:00:00.000Z,"Bonner County Daily Bee
@DailyBee
·
Nov 2",U.S. Sens. Jim Risch and Mike Crapo of Idaho recently commended the American Aerospace Materials Manufacturing Center on its Regional Technology and Innovation Hubs (Tech Hubs) designation.,,3,,1,['https://pbs.twimg.com/card_img/1732706862733361152/uXFri5dB?format=jpg&name=360x360'],https://twitter.com/DailyBee/status/1719882015292657856
Aseanews Oped,@AseanewsO,2023-11-02T00:43:35.000Z,"Aseanews Oped
@AseanewsO
·
Nov 2","HEADLINE-ASIA GEO POLITICS | US SENATOR: ‘Asean should unite vs Chinese coercion’
.
Sen. Jim Risch of Idaho, a ranking member of the US Senate Foreign Relations Committee
.
https://aseanews.net/2023/11/02/headline-asia-geo-politics-us-senator-asean-should-unite-vs-chinese-coercion/…
..",,,,,['https://pbs.twimg.com/media/F9470IwbMAAhHZw?format=jpg&name=900x900'],https://twitter.com/AseanewsO/status/1719877881982230545
Africa Research Desk,@MightiJamie,2023-11-03T07:57:50.000Z,"Africa Research Desk
@MightiJamie
·
Nov 3","Yesterday I mentioned that there was trouble brewing for South Africa in the AGOA deal. 

It turns out that U.S. Senator Jim Risch a ranking member of the Senate Foreign Relations Committee has sent a letter to Secretary of State Antony Blinken regarding the decision to hold the…
Show more",,37,69,134,"['https://pbs.twimg.com/media/F9_oyncWsAArsmr?format=jpg&name=small', 'https://pbs.twimg.com/media/F9_oyniXMAAcIvv?format=jpg&name=small', 'https://pbs.twimg.com/media/F9_oyniWIAA3v1f?format=jpg&name=small']",https://twitter.com/MightiJamie/status/1720349551914017130
El Misil,@elmisilpy,2023-11-03T00:29:19.000Z,"El Misil
@elmisilpy
·
Nov 3","En el marco de una visita diplomática a los EE.UU por parte del presidente Santiago Peña y una importante delegación, el legislador Gustavo Leite, señaló que conversaron con el senador Jim Risch, con el fin de estrechar las relaciones con el país norteamericano.",,1,,,['https://pbs.twimg.com/media/F9-CILTWIAARE6r?format=png&name=900x900'],https://twitter.com/elmisilpy/status/1720236677484957941
Wind Energy Alabama,@WindEnergyAL,2023-11-04T17:31:05.000Z,"Wind Energy Alabama
@WindEnergyAL
·
Nov 5","Idaho politicians are saying “Don’t DO IT” to Department of Interior: Idaho Senator Jim Risch, alongside Senator Mike Crapo, Congressman Mike Simpson and Congressman Russ Fulcher introduced the Don’t Develop Obstructive Infrastructure on our Terrain… http://dlvr.it/SyNgsx",,,,,['https://pbs.twimg.com/media/F-G1mNQbYAAYmA-?format=jpg&name=240x240'],https://twitter.com/WindEnergyAL/status/1720856202551431178
Alabama Wind,@alabamawind,2023-11-04T14:15:35.000Z,"Alabama Wind
@alabamawind
·
Nov 4","Idaho politicians are saying “Don’t DO IT” to Department of Interior: Idaho Senator Jim Risch, alongside Senator Mike Crapo, Congressman Mike Simpson and Congressman Russ Fulcher introduced the Don’t Develop Obstructive Infrastructure on our Terrain… http://dlvr.it/SyNLwn",,,,,['https://pbs.twimg.com/media/F-GI2eFa4AA5FBm?format=jpg&name=240x240'],https://twitter.com/alabamawind/status/1720807003348754480
Ofentse Donald Davhie,@donalddavhie,2023-11-05T23:15:13.000Z,"Ofentse Donald Davhie
@donalddavhie
·
Nov 6","READ | U.S. Senator Jim Risch (R-Idaho), ranking member of the Senate Foreign Relations Committee, sent a letter to Secretary of State Antony Blinken and U.S. Trade Representative Katherine Tai reiterating concerns regarding the decision to hold the African Growth and Opportunity…
Show more",,,,,"['https://pbs.twimg.com/media/F-NN6yEXgAIO9VJ?format=jpg&name=small', 'https://pbs.twimg.com/media/F-NN6yGWYAAPdKT?format=jpg&name=small']",https://twitter.com/donalddavhie/status/1721305197052375445
iMPACT Leadership,@iMPACTPH2019,2023-11-05T16:13:05.000Z,"iMPACT Leadership
@iMPACTPH2019
·
Nov 6","US SENATORS PRESS BIDEN FOR DECISIVE RESPONSE TO CHINESE AGGRESSION IN WPS

U.S. Senators Jim Risch (R-ID), Roger Wicker (R-MO), and Marco Rubio (R-FL) sent a letter to President Joe Biden urging him to support the Philippines following repeated aggressive incidents from China.",,,4,11,['https://pbs.twimg.com/media/F-LtVeLagAACP86?format=jpg&name=900x900'],https://twitter.com/iMPACTPH2019/status/1721198963225973171
Satori News,@NewsSatori,2023-11-05T14:11:11.000Z,"Satori News
@NewsSatori
·
Nov 5","Senator Jim Risch challenges Biden Administration's decision to extend full Agoa trade benefits to South Africa, citing the nation's ties with Hamas, Iran & Russia in conflict with US security interests. #Agoa #USForeignPolicy #SouthAfrica",,,,,[],https://twitter.com/NewsSatori/status/1721168285436109165
The DV,@Wakeupandresist,2023-11-05T14:08:35.000Z,"The DV
@Wakeupandresist
·
Nov 5","From 2022?!

U.S. Senators Jim Risch, Jeff Merkley, Todd Young, Cory Booker, John Thune, & Bob Menendez announced their bipartisan Senate resolution condemning the use of starvation and hunger as weapons of war.",,1,,,['https://pbs.twimg.com/card_img/1729552094842281986/PPN9KSjw?format=png&name=900x900'],https://twitter.com/Wakeupandresist/status/1721167629363142805
