UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
Opinion Today,@OpinionToday,2023-11-01T22:49:34.000Z,"Opinion Today
@OpinionToday
·
Nov 2","Republican Sen. John Barrasso remains America’s most popular senator
(Morning Consult)
More, via Opinion Today:
https://opiniontoday.substack.com/p/231101",,,4,7,['https://pbs.twimg.com/media/F94hsrSa8AAQVY0?format=jpg&name=small'],https://twitter.com/OpinionToday/status/1719849186957681036
Brian Carman,@authorbncarman,2023-11-01T20:21:25.000Z,"Brian Carman
@authorbncarman
·
Nov 2","GOP senators sounded the alarm on the Biden admin's border policies after Border Patrol agents caught illegal border crossers carrying explosive devices that Sen. John Barrasso (R-Wyo.) said were ""tailor-made for terrorism.""",,,,,['https://pbs.twimg.com/card_img/1732094721453850624/_BBjPR8p?format=jpg&name=900x900'],https://twitter.com/authorbncarman/status/1719811906012144115
Reid Rasner,@ReidRasner,2023-11-01T17:42:15.000Z,"Reid Rasner
@ReidRasner
·
Nov 2","John Barrasso has helped created the worst border crisis in American history. he has had nearly 20 years to fix the problem. Why does he deserve another opportunity? It’s an unprecedented level of drug smugglers, criminals, child & sex traffickers, and terrorists invading our…
Show more",,,,2,['https://pbs.twimg.com/media/F93bYbuaEAE0LQ8?format=jpg&name=900x900'],https://twitter.com/ReidRasner/status/1719771851864588729
CANAL 26,@canal26noticias,2023-11-01T16:25:43.000Z,"CANAL 26
@canal26noticias
·
Nov 2"," REPUBLICANOS CONTRA BIDEN

 Los senadores John Barrasso, John Cornyn, Ted Cruz y Pete Ricketts criticaron las políticas fronterizas de la administración Biden mientras los migrantes continúan ingresando ilegalmente a Estados Unidos. 

 Más videos: https://youtube.com/@Canal26",🔴 📲,,1,1,['https://pbs.twimg.com/ext_tw_video_thumb/1719752537782222849/pu/img/lVK13zyAVZAf57ZR.jpg'],https://twitter.com/canal26noticias/status/1719752589976142280
Robert A. Hefner IV,@RobertAHefnerIV,2023-11-01T13:26:22.000Z,"Robert A. Hefner IV
@RobertAHefnerIV
·
Nov 1",Republican senators have sounded the alarm on the Biden administration’s border policies after Border Patrol agents caught illegal border crossers who were carrying explosive devices that Sen. John Barrasso (R-Wyo.) said were “tailor-made for terrorism.”,,,,1,[],https://twitter.com/RobertAHefnerIV/status/1719707455700005322
Michael,@JArtwich,2023-11-01T11:49:17.000Z,"Michael
@JArtwich
·
Nov 1","Republican senators have sounded the alarm on the Biden administration’s border policies after Border Patrol agents caught illegal border crossers who were carrying explosive devices that Sen. John Barrasso (R-Wyo.) said were “tailor-made for terrorism.”
WWG1WGA",,,,,[],https://twitter.com/JArtwich/status/1719683024940404747
David Legate,@daveygater,2023-11-01T11:39:57.000Z,"David Legate
@daveygater
·
Nov 1",Border Patrol agents caught illegal border crossers who were carrying explosive devices that Senator John Barrasso (R - WY) said were “tailor-made for terrorism.”,,,,,[],https://twitter.com/daveygater/status/1719680672594346378
Meredith Tupper (Post-Deep State Solutions),@meredithtupper,2023-11-02T22:15:28.000Z,"Meredith Tupper (Post-Deep State Solutions)
@meredithtupper
·
Nov 3","Republican senators have sounded the alarm on the Biden administration's border policies after Border Patrol agents caught illegal border crossers who were carrying  explosive devices that Sen. John Barrasso (R-Wyo.) said were  ""tailor-made for terrorism.""",,,,,[],https://twitter.com/meredithtupper/status/1720202993482547495
Sal,@J1262Sal,2023-11-02T22:13:22.000Z,"Sal
@J1262Sal
·
Nov 3","Senators have sounded the alarm on the Biden administration's border policies after Border Patrol agents caught illegal border crossers who were carrying explosive devices that Sen. John Barrasso (R-Wyo.) said were ""tailor-made for terrorism.""",🌎,,,,[],https://twitter.com/J1262Sal/status/1720202465956483409
TheTexasOne,@TexasRepublic71,2023-11-02T14:54:47.000Z,"TheTexasOne
@TexasRepublic71
·
Nov 2","Republicans are raising the alarm after potential terror suspects were caught illegally crossing the U.S. Southern Border while carrying explosive devices.

Sen. John Barrasso (R-WY) revealed that Border Patrol agents caught illegal border crossers with explosives that were…
Show more",,15,93,169,[],https://twitter.com/TexasRepublic71/status/1720092093853614281
TimK,@timk519,2023-11-02T14:48:36.000Z,"TimK
@timk519
·
Nov 2","Republican  senators sounded the alarm on the Biden administration's border  policies after Border Patrol agents caught illegal border crossers who  were carrying explosive devices that Sen. John Barrasso (R-Wyo.) said  were ""tailor-made for terrorism.""",,1,,1,[],https://twitter.com/timk519/status/1720090535837446577
Six-Five More Years,@beneschmichael2,2023-11-02T14:13:15.000Z,"Six-Five More Years
@beneschmichael2
·
Nov 2","Jews will not replace US....we support Josh Hawley,Marsha Blackburn,Rick Scott,Ted Cruz,John Barrasso for re-election. WE represent who you really ""R"".....a vote for tRUMP-UGLY-QLANS is like 1860 all over again.",,,1,,[],https://twitter.com/beneschmichael2/status/1720081641421574271
RebelJyn,@rebel_jyn,2023-11-03T14:29:20.000Z,"RebelJyn
@rebel_jyn
·
Nov 3","United States Customs and Border Protection (CBP) agents have recently seized a number of illegal migrants carrying improvised explosives “tailor-made for terrorism” while attempting to cross the southern border. Several Republican Senators, including John Barrasso (R-Wyo), Ted…
Show more",,12,73,60,[],https://twitter.com/rebel_jyn/status/1720448075070607628
Reid Rasner,@ReidRasner,2023-11-03T01:55:56.000Z,"Reid Rasner
@ReidRasner
·
Nov 3","TERM LIMITS! - #maga #trump #donaldtrump #republican #conservative #kag #makeamericagreatagain #usa #america #trumptrain #keepamericagreat #politics #americafirst #wwg #freedom #draintheswamp #trumpsupporters #wga #qanon #a #republicans #gop #biden #democrats #johnbarrasso…
Show more",,,,,['https://pbs.twimg.com/amplify_video_thumb/1720258180612079616/img/ZgKKRXA8bt5ijl_D.jpg'],https://twitter.com/ReidRasner/status/1720258478919270474
Reid Rasner,@ReidRasner,2023-11-04T14:29:55.000Z,"Reid Rasner
@ReidRasner
·
Nov 4","“National security starts with border security. John Barrasso turned his back on our nation, making it less safe. We must finish the wall, reinstate the Remain in Mexico policy & stop this incredible flow of illegal migrants & drugs into our country.”

-Reid Rasner
US Senate
.
.…
Show more",,1,1,3,[],https://twitter.com/ReidRasner/status/1720810611377061901
"Kimberly “Kim” Wexler, MA JD",@KimWexlerMAJD,2023-11-05T16:07:07.000Z,"Kimberly “Kim” Wexler, MA JD
@KimWexlerMAJD
·
Nov 6","Republican senators have sounded the alarm on the Biden administration's border policies after Border Patrol agents caught illegal border crossers who were carrying explosive devices that Sen. John Barrasso (R-Wyo.) said were “tailor-made for terrorism.”

1NOV23…
Show more",,6,21,22,[],https://twitter.com/KimWexlerMAJD/status/1721197459173474489
Six-Five More Years,@beneschmichael2,2023-11-05T12:47:33.000Z,"Six-Five More Years
@beneschmichael2
·
Nov 5",-don't forget Rick Scott......Ted Cruz.......Marsha Blackburn.....Josh Hawley........John Barrasso...VOTE BLUE make the USA fit for me&you.,🖐 🖐 🖐 🖐 🖐,,,,[],https://twitter.com/beneschmichael2/status/1721147237915337070
Reid Rasner,@ReidRasner,2023-11-06T21:49:50.000Z,"Reid Rasner
@ReidRasner
·
Nov 7","John Barrasso sending money to support a dictator is not promoting democracy.  This scumbag is a conman and a complete clown who deserves ridicule. He's stolen foreign aid while his people suffer. Canceling elections to cling to power indefinitely is unacceptable.

.
.
.
.
.
.…
Show more",🚫,1,1,1,[],https://twitter.com/ReidRasner/status/1721646094650613995
