UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
Laura Davis,@LauraDavisTx,2023-11-01T23:42:05.000Z,"Laura Davis
@LauraDavisTx
·
Nov 2","Do you remember when the 
@FBI
 called parents “domestic terrorists”? Where is 
@TheJusticeDept
 now? 
@tedcruz
 @JohnCornyn
 @JudgeCarter",,1,,,['https://pbs.twimg.com/profile_images/1496244011044155402/2l00Uki5_normal.jpg'],https://twitter.com/LauraDavisTx/status/1719862404476002461
Steven Stiles,@StevenS23337721,2023-11-01T23:41:29.000Z,"Steven Stiles
@StevenS23337721
·
Nov 2",".
@JohnCornyn
 @SenTedCruz
 @RepRWilliams
 
Pass a stand-alone $16B #House bill and rush aid to #Israel today!",,,,,[],https://twitter.com/StevenS23337721/status/1719862252038238277
Repeal WEP,@RepealWEP_NOW,2023-11-01T23:31:25.000Z,"Repeal WEP
@RepealWEP_NOW
·
Nov 2","Please sign the H.R. 82 hearing request letter!
#WEP is highly discriminatory
Deadline 11/2/23 at 10 AM
@JacksonLeeTX18
@RepTonyGonzales
@michaelcburgess
@RepCloudTX
@RepDuarteCA13
@RepSwalwell
Show more",🖊 ‼ 👇 🖊 ➡ 👮 🛂,,,,"['https://pbs.twimg.com/profile_images/1717294132954005504/uNC0kGJJ_normal.jpg', 'https://pbs.twimg.com/media/F94OEjjWYAA3lRi?format=png&name=900x900']",https://twitter.com/RepealWEP_NOW/status/1719859719228031300
Bethany Blankley,@BethanyBlankley,2023-11-01T23:12:13.000Z,"Bethany Blankley
@BethanyBlankley
·
Nov 2","GOP Senators: Biden’s border policies create 'increased threat' of terrorist attack https://thecentersquare.com/national/article_6128cd9c-78e9-11ee-9435-0f74f4bd3ca4.html… via 
@thecentersquare
 
@SenTedCruz
 @JohnCornyn
 @SenatorRicketts
 @SenJohnBarrasso
 @SenateGOP",,1,6,5,['https://pbs.twimg.com/card_img/1732683040613085186/FPyYXvIw?format=png&name=small'],https://twitter.com/BethanyBlankley/status/1719854890669810079
jack williamson,@jackwil10870687,2023-11-01T23:04:21.000Z,"jack williamson
@jackwil10870687
·
Nov 2","When will some GOP SENATORS STAND UP against Mitch McConnell trying to UNDERCUT the 
@HouseGOP
 ...go pass House Border Security Bill or NO MONEY FOR UKRAINE?? there is going to be a LOT of pissed off TRUMP voters at your next primary 
@SenTedCruz
 @JohnCornyn
 @RandPaul
 @SenateGOP",,,,,"['https://pbs.twimg.com/profile_images/1445241781361078281/P5hKgBXk_normal.jpg', 'https://pbs.twimg.com/ext_tw_video_thumb/1718053605104922624/pu/img/jsK9gsUx-9ERFya-.jpg']",https://twitter.com/jackwil10870687/status/1719852910039740783
RealRobert,@Real_RobN,2023-11-02T23:25:23.000Z,"RealRobert
@Real_RobN
·
Nov 3",Lindsey Gay Graham is a Democrat. So is Tom Cotton and Dan Crenshaw. Lisa Fuckowski is a Democrat so is his beloved wife Susan Collins. Mitch fucken McConnell is a Democrat so is John Thune & her beloved wife John Cornyn. And now there’s no question Chip fucken Roy is a Democrat.,,1,17,39,[],https://twitter.com/Real_RobN/status/1720220588399309289
conservative nana,@conserv09756367,2023-11-02T22:26:24.000Z,"conservative nana
@conserv09756367
·
Nov 3","CHIP Roy worked for John Cornyn prior to coming to Congress and constituents need to realize that John Cornyn is a rhino and it appears Chip is too.

Both parties of the ESTABLISHMENT ",😡,,,,['https://pbs.twimg.com/amplify_video_thumb/1672355419552104448/img/Q8PQ5u-YojZIMmXF.jpg'],https://twitter.com/conserv09756367/status/1720205746590355864
Gramain Texas,@GramainT,2023-11-02T22:21:17.000Z,"Gramain Texas
@GramainT
·
Nov 3","Senator Schumer, America has heard you.  Now it’s time for you to HEAR AMERICA.  PASS THIS BILL.  No more money for ukraine and other piggyback projects.   
@SenateDems
 @SenateGOP
  @HouseGOP
  @HouseDemocrats
  @SpeakerJohnson
  @RepLuttrell
  @SenTedCruz
 @JohnCornyn",,1,,,[],https://twitter.com/GramainT/status/1720204459093950713
RyanO,@RyanTachaama21,2023-11-02T21:47:06.000Z,"RyanO
@RyanTachaama21
·
Nov 3","The National Congress of American Indians just put out a statement condemning Sen. John Cornyn (R-Texas) for referring to colleagues as ""a bunch of wild Indians.""

It is ""more than just disappointing; but deeply disrespectful,"" said NCAI president Fawn Sharp.  

Racist POS !",😡 🤬,4,9,37,[],https://twitter.com/RyanTachaama21/status/1720195856870314305
Senator John Cornyn,@JohnCornyn,2023-11-02T21:31:50.000Z,"Senator John Cornyn
@JohnCornyn
·
Nov 3",Love the name!,,35,18,57,[],https://twitter.com/JohnCornyn/status/1720192013293715569
