UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
Joshua Griffin,@Josh20Left,2023-11-01T23:59:42.000Z,"Joshua Griffin
@Josh20Left
·
Nov 2",So like what seperates John Fetterman and Bob Casey JR on Israel?,,1,,1,[],https://twitter.com/Josh20Left/status/1719866839004504331
pinball wizard,@beebobbo,2023-11-01T23:59:40.000Z,"pinball wizard
@beebobbo
·
Nov 2",".
@JohnFetterman
 I voted for you. How can you support this?? How do you excuse this??",,,1,1,[],https://twitter.com/beebobbo/status/1719866831031157164
Light Thief Productions,@LightThiefProd,2023-11-01T23:53:52.000Z,"Light Thief Productions
@LightThiefProd
·
Nov 2","When do you develop a conscience again 
@JohnFetterman
? I thought you learned the lesson that all humans are equal after your holding a Black man at the end of a shotgun incident. Clearly the racism is deep in your heart. Resign",,,,,['https://pbs.twimg.com/profile_images/1687314146658803712/8gigeUNL_normal.jpg'],https://twitter.com/LightThiefProd/status/1719865370713157902
matty,@mattyconrad3,2023-11-01T23:52:53.000Z,"matty
@mattyconrad3
·
Nov 2","Can’t express how disappointed I am in 
@JohnFetterman
. We all had such high hopes. What is done to these freshman congresspeople that they turn into neoliberal warhawks",,,,,"['https://pbs.twimg.com/profile_images/1687314146658803712/8gigeUNL_normal.jpg', 'https://pbs.twimg.com/ext_tw_video_thumb/1719816695596961792/pu/img/UmOvRNeMRqnd44uq.jpg']",https://twitter.com/mattyconrad3/status/1719865121244151972
Emir S,@RidleyMusic87,2023-11-01T23:50:53.000Z,"Emir S
@RidleyMusic87
·
Nov 2","I wonder how all those in the party I voted up and down for for years feel about this. Those promoting the #zionist agenda like 
@potus
 @GovKathyHochul
 @SenSchumer
 @JohnFetterman
 and others
Disgusted by my party. Good luck yall being reelected in 2024. Time for a viable 3rd party",,,,,"['https://pbs.twimg.com/profile_images/1427361978733973517/dRvTYOL3_normal.jpg', 'https://pbs.twimg.com/media/F93mE9-W4AA8-z7?format=jpg&name=900x900']",https://twitter.com/RidleyMusic87/status/1719864621060763701
jordí,@theonlyjordan__,2023-11-01T23:44:35.000Z,"jordí
@theonlyjordan__
·
Nov 2","John Fetterman supports the murder of 2,913 children and the continued murder of children by IDF forces as long as there is no ceasefire",,1,,13,"['https://pbs.twimg.com/profile_images/1687314146658803712/8gigeUNL_normal.jpg', 'https://pbs.twimg.com/ext_tw_video_thumb/1719816695596961792/pu/img/UmOvRNeMRqnd44uq.jpg']",https://twitter.com/theonlyjordan__/status/1719863033386700835
Rent Wang,@rentwang,2023-11-02T23:55:16.000Z,"Rent Wang
@rentwang
·
Nov 3","Give #hilaryclinton and 
@JohnFetterman
 a machine gun and drop them off. See if they still love war so much.

WARMONGER Hillary Clinton MOCKS Israel CEASEFIRE, Fetterman KICKS OUT Co... https://youtu.be/t6QK_5fq6iQ?si=AMUD0sXtFIGUd8PR… via 
@YouTube",,1,,,[],https://twitter.com/rentwang/status/1720228108467646477
Rick Smith,@RickSmithShow,2023-11-02T23:34:53.000Z,"Rick Smith
@RickSmithShow
·
Nov 3","PA Senator 
@JohnFetterman
 proposed “internal sanctions for any senator who is indicted for offenses such as mishandling classified information, being charged as a foreign agent or compromising national security.”

Maybe Dr. Oz can run for the Menendez seat, he is from NJ afterall",,,1,6,[],https://twitter.com/RickSmithShow/status/1720222981513699565
Renemassmedia,@renemassmedia,2023-11-02T23:32:00.000Z,"Renemassmedia
@renemassmedia
·
Nov 3","#Breaking Ey, Bob! El senador John Fetterman, demócrata por #Pensilvania, presentó una resolución que despojaría al senador Bob Menéndez de Nueva Jersey de sus asignaciones en el comité y le impediría el acceso a información y sesiones informativas clasificadas
#ONU #Russia",🫵 🧐,,,1,[],https://twitter.com/renemassmedia/status/1720222254188089576
lucy,@possumbrained,2023-11-02T23:31:40.000Z,"lucy
@possumbrained
·
Nov 3","it's so cool how john fetterman went from silly guy recovering from a stroke with decent politics to a genocide apologist in the space of like, two weeks",,,,5,[],https://twitter.com/possumbrained/status/1720222169551049024
Brad James,@BradJam26817478,2023-11-02T23:30:21.000Z,"Brad James
@BradJam26817478
·
Nov 3","Colleagues Compliment John Fetterman On His Excellent Frankenstein Costume https://babylonbee.com/news/fellow-senators-compliment-john-fetterman-on-his-excellent-frankenstein-costume… via 
@TheBabylonBee",,,,,[],https://twitter.com/BradJam26817478/status/1720221838100369624
Jack Hopkins,@thejackhopkins,2023-11-03T23:55:36.000Z,"Jack Hopkins
@thejackhopkins
·
Nov 4",I wonder if Ron Desantis knows that John Fetterman doesn’t have to wear lifts in his boots.,,39,147,1.9K,[],https://twitter.com/thejackhopkins/status/1720590583360536793
Dr. Frantz Whitfield,@docftw33,2023-11-03T23:53:09.000Z,"Dr. Frantz Whitfield
@docftw33
·
Nov 4","Looking forward to seeing my friend 
@JohnFetterman
 for the 
@iowademocrats
 LJ Dinner tomorrow evening.",,,,7,[],https://twitter.com/docftw33/status/1720589966416207971
Daniel Voglesong - Birthyear 1957,@DannyVoglesong,2023-11-03T23:45:35.000Z,"Daniel Voglesong - Birthyear 1957
@DannyVoglesong
·
Nov 4",#JohnFetterman unleashed: ‘I’ve already been dead once’,,,1,1,[],https://twitter.com/DannyVoglesong/status/1720588060591530103
Grady Fry,@GradyFry5,2023-11-03T23:44:53.000Z,"Grady Fry
@GradyFry5
·
Nov 4","Sanctions Bill Strikes at the Heart of a Bruised Senate: The Fetterman-Menendez Face-Off
#Sanctionsbill #Johnfetterman

http://opr.news/1d731eac231103en_us?link=1&client=news…

Download Now",,,,,[],https://twitter.com/GradyFry5/status/1720587886947353060
Matthew Wolfe,@MWolfeLit,2023-11-03T23:32:49.000Z,"Matthew Wolfe
@MWolfeLit
·
Nov 4","A reminder the next time someone brings up John Fetterman ignoring this guy,
He thinks Russia is fighting humanely in Ukraine.
Please don’t fall for blatantly bad actors everyone.",,1,2,19,['https://pbs.twimg.com/ext_tw_video_thumb/1720574304910536704/pu/img/BoG5ZFwPYwbOyNEk.jpg'],https://twitter.com/MWolfeLit/status/1720584849071706235
danny 28,@danette1721,2023-11-04T23:54:57.000Z,"danny 28
@danette1721
·
Nov 5",Sen. John Fetterman (D-PA) Mocks Kevin McCarthy’s (R-CA) Call for a Formal Impeachment Inquiry of President Joe Biden.,,,,,[],https://twitter.com/danette1721/status/1720952806016749885
