UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
Rod Sales ✡︎,@razingarizona,2023-11-04T22:26:47.000Z,"Rod Sales ✡︎
@razingarizona
·
Nov 5","Weak #Surrendercrat John Hickenlooper caves to anti-Israel fringe leftist pressure, calls for a cease fire. Hickenlooper wants Hamas terrorists to remain in control of Gaza. Hickenlooper wants more Jews to die. #AllyAbuse #BigTentAntisemitism #Surrendercrats",🏹 🎗,,,1,['https://pbs.twimg.com/profile_images/1613249477841674268/cX_b0XRo_normal.jpg'],https://twitter.com/razingarizona/status/1720930618241106068
LiveTube Alerts,@livetubealerts,2023-11-04T14:44:33.000Z,"LiveTube Alerts
@livetubealerts
·
Nov 4",Video: Witness Tells John Hickenlooper About Allowing Customers To Opt Into AI Not Opt Out Of Out It https://livetube.tv/news/video-witness-tells-john-hickenlooper-about-allowing-customers-to-opt-into-ai-not-opt-out-of-out-it?utm_source=rss&utm_medium=rss&utm_campaign=video-witness-tells-john-hickenlooper-about-allowing-customers-to-opt-into-ai-not-opt-out-of-out-it… #LiveTube,,,,,[],https://twitter.com/livetubealerts/status/1720814294256787608
Cain,@orbmombro,2023-11-05T22:23:08.000Z,"Cain
@orbmombro
·
Nov 6",Similar to Sen. John Hickenlooper's Deep Throat moment,🍸 🥟 🔮,1,,2,['https://pbs.twimg.com/profile_images/1616119148911771668/Nwdk0gjU_normal.jpg'],https://twitter.com/orbmombro/status/1721292086425604357
Mr T 2,@GovtsTheProblem,2023-11-07T15:37:27.000Z,"Mr T 2
@GovtsTheProblem
·
Nov 7","Really seems like the Media should be chasing down now US Senator Hickenlooper(D) with cameras and asking him how the homeless problem got so bad in Colorado.
Or is the Colorado Media still protecting John Hickenlooper(D) from any accountability?
#copolitics",,12,39,141,['https://pbs.twimg.com/profile_images/1164507290092703745/GKiTlTgZ_normal.jpg'],https://twitter.com/GovtsTheProblem/status/1721914772214681985
Angie,@Smiles150,2023-11-07T11:51:38.000Z,"Angie
@Smiles150
·
Nov 7",John Hickenlooper is the voice of legalization of marijuana in the United States. One has to ask is this the problem with Congress and the Senate are they two high to have any kind of common sense?,,,,,['https://pbs.twimg.com/profile_images/1613249477841674268/cX_b0XRo_normal.jpg'],https://twitter.com/Smiles150/status/1721857941232312778
Colorado Times Recorder,@COTimesRecorder,2023-11-07T01:22:07.000Z,"Colorado Times Recorder
@COTimesRecorder
·
Nov 7","Approximately 30 protesters gathered outside of U.S. Sen. John Hickenlooper’s (D-CO) Colorado Springs office Monday afternoon to oppose military aid funding to Israel and urge Hickenlooper to support a cease-fire in the Israel-Hamas war.
https://coloradotimesrecorder.com/2023/11/protesters-oppose-aid-to-israel-urge-ceasefire/57761/…",,1,4,7,['https://pbs.twimg.com/media/F-S0lt7WgAEtKEl?format=jpg&name=900x900'],https://twitter.com/COTimesRecorder/status/1721699520310861884
Sean Wilson,@seanwilsonorg,2023-11-09T20:17:21.000Z,"Sean Wilson
@seanwilsonorg
·
Nov 10","... he would be a very interesting presidential candidate for the democrats, especially if he teamed up with john hickenlooper as his vp.",,,,,['https://pbs.twimg.com/profile_images/907719517266219008/am4POdPf_normal.jpg'],https://twitter.com/seanwilsonorg/status/1722709985635811392
Caitlyn Kim,@caitlynkim,2023-11-09T16:35:02.000Z,"Caitlyn Kim
@caitlynkim
·
Nov 10","CO Sen. John Hickenlooper is a co-sponsor of Romney/Manchin led Fiscal Stability Act. The bipartisan bill would create a bicameral fiscal commission to find solutions to decrease the debt. Other co-sponsors are Sens. Young, Sinema, Lummis, Cornyn, Warner, Tillis & Shaheen.",,,,3,"['https://pbs.twimg.com/media/F-gYdu5WMAEAi8A?format=png&name=900x900', 'https://pbs.twimg.com/media/F-gYhQAXcAAP0Kf?format=png&name=900x900']",https://twitter.com/caitlynkim/status/1722654036254421229
Derek Gendvil,@dgendvil,2023-11-09T02:59:05.000Z,"Derek Gendvil
@dgendvil
·
Nov 9",Hickenlooper Calls on Administration to Provide Humanitarian Aid in Gaza | Senator John Hickenlooper:  https://hickenlooper.senate.gov/press_releases/hickenlooper-calls-on-administration-to-provide-humanitarian-aid-in-gaza/…,,,,,[],https://twitter.com/dgendvil/status/1722448696904978896
KJCT News 8,@KJCTNews8,2023-11-09T00:00:08.000Z,"KJCT News 8
@KJCTNews8
·
Nov 9","“This final rule respects the will of Colorado voters, farmers, ranchers, and conservationists, and sets our state up for responsible gray wolf reintroduction.” Said U.S. Senator John Hickenlooper",,,,,['https://pbs.twimg.com/card_img/1732621727157387264/UfC2Z81Y?format=jpg&name=900x900'],https://twitter.com/KJCTNews8/status/1722403662213828899
KKCO 11 News,@KKCO11News,2023-11-09T00:00:04.000Z,"KKCO 11 News
@KKCO11News
·
Nov 9","“This final rule respects the will of Colorado voters, farmers, ranchers, and conservationists, and sets our state up for responsible gray wolf reintroduction.” Said U.S. Senator John Hickenlooper",,,,,['https://pbs.twimg.com/card_img/1732530885746987008/VIUzeI3V?format=jpg&name=900x900'],https://twitter.com/KKCO11News/status/1722403645625344145
Revolving Door Project,@revolvingdoorDC,2023-11-10T17:14:27.000Z,"Revolving Door Project
@revolvingdoorDC
·
Nov 11","Democrats who've taken donations from Harlan Crow:

- Josh Gottheimer
- Henry Cuellar
- Joe Manchin
- Kyrsten Sinema
- Jim Costa
- Jared Golden
- Dean Phillips
- Elissa Slotkin
- Abigail Spanberger
- Susie Lee
- Lou Correa
- 
Show more",⬇,8,14,18,['https://pbs.twimg.com/card_img/1731755980356988928/Ao8NNJsl?format=jpg&name=900x900'],https://twitter.com/revolvingdoorDC/status/1723026344601068029
LiveTube Alerts,@livetubealerts,2023-11-11T21:20:27.000Z,"LiveTube Alerts
@livetubealerts
·
Nov 12",Video: John Hickenlooper Warns Unregulated AI Innovations In Healthcare Could Lead To Another Pandemic https://livetube.tv/news/video-john-hickenlooper-warns-unregulated-ai-innovations-in-healthcare-could-lead-to-another-pandemic?utm_source=rss&utm_medium=rss&utm_campaign=video-john-hickenlooper-warns-unregulated-ai-innovations-in-healthcare-could-lead-to-another-pandemic… #LiveTube,,,,,[],https://twitter.com/livetubealerts/status/1723450640649671048
Carl G Zimmerman,@carleanie,2023-11-11T18:11:33.000Z,"Carl G Zimmerman
@carleanie
·
Nov 12","Join me in supporting Split a donation between Senators Jon Tester and John Hickenlooper! via 
@actblue
 https://secure.actblue.com/donate/hickenloopertester… 
Please RE-POST.Thanks in advance Mr. Z",,,1,1,['https://pbs.twimg.com/card_img/1728200259938168832/UYKosXa4?format=png&name=900x900'],https://twitter.com/carleanie/status/1723403102206968272
len raphael,@lenraphaelcpa,2023-11-11T17:56:37.000Z,"len raphael
@lenraphaelcpa
·
Nov 12","Colorado Senator John Hickenlooper (former Oakland resident) speaks for me.

WASHINGTON – U.S. Senator John Hickenlooper released the following statement on the ongoing conflict between Israel and Hamas:

“We stand firmly with Israel and support Israelis’ right to defend…
Show more",,,,3,[],https://twitter.com/lenraphaelcpa/status/1723399342357418057
avery,@lalavurso,2023-11-11T14:57:29.000Z,"avery
@lalavurso
·
Nov 11",john hickenlooper doesn't even need money for anything,⬇,1,,8,['https://pbs.twimg.com/profile_images/1168978702715277314/mUZhv9tF_normal.jpg'],https://twitter.com/lalavurso/status/1723354264775413901
National Cybersecurity Center,@NATLCyberCenter,2023-11-13T20:36:38.000Z,"National Cybersecurity Center
@NATLCyberCenter
·
Nov 14"," CHECK IT OUT! U.S. Senator John Hickenlooper recently celebrated the unanimous Senate passage of his Orbital Sustainability (ORBITS) Act to clear space junk threatening space exploration and commercial space operations. 

https://hickenlooper.senate.gov/press_releases/hickenlooper-colleagues-reintroduce-bill-to-clear-space-junk-protect-space-operations/… 

#cyberspace #cybersecurity",🗞,,,,[],https://twitter.com/NATLCyberCenter/status/1724164390860079172
