UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
LiveTube Alerts,@livetubealerts,2023-11-05T15:14:38.000Z,"LiveTube Alerts
@livetubealerts
·
Nov 5",Video: ‘This Is Really Happening’: John Hoeven Questions Witness On Energy Developments In North Dakota https://livetube.tv/news/video-this-is-really-happening-john-hoeven-questions-witness-on-energy-developments-in-north-dakota?utm_source=rss&utm_medium=rss&utm_campaign=video-this-is-really-happening-john-hoeven-questions-witness-on-energy-developments-in-north-dakota… #LiveTube,,,,,[],https://twitter.com/livetubealerts/status/1721184253788991773
Notching It Up on Spotify FREE,@ChuckChuck106,2023-11-05T01:07:42.000Z,"Notching It Up on Spotify FREE
@ChuckChuck106
·
Nov 5","Our podcast is in North Dakota. Everyone needs to understand our Republican's Doug Burgum, Kelly Armstrong, Kevin Kramer, and John Hoeven are NOT MAGA Republicans, they are RHINOs.",,,1,3,[],https://twitter.com/ChuckChuck106/status/1720971114724143553
CollinsFan,@CollinsFanUSA,2023-11-06T23:30:49.000Z,"CollinsFan
@CollinsFanUSA
·
Nov 7","My favorite GOP Senators

1. Susan Collins
2. Lisa Murkowski
3. Mitt Romney
4. Bill Cassidy
5. Todd Young
6. Tim Scott
7. Marco Rubio
8. John Hoeven
9. Jim Risch
10. Katie Britt
Show more",,5,2,13,[],https://twitter.com/CollinsFanUSA/status/1721671510182776860
Chaos Coordinator,@idontexistTore,2023-11-07T07:10:40.000Z,"Chaos Coordinator
@idontexistTore
·
Nov 7","Has anyone asked one of the richest Senators John Hoeven why he invested in ventilators in 2017-2019 so heavily? I did. 
Did you? Almost like he knew he’d make bank.  I saved my friend’s life for demanding he be removed from a vent. I was his health care proxy . He’s alive today.",,19,267,651,[],https://twitter.com/idontexistTore/status/1721787235656245717
stealth9tn,@stealth9tn,2023-11-08T23:21:22.000Z,"stealth9tn
@stealth9tn
·
Nov 9","'Wasn't The Question I Asked!': John Hoeven Does Not Let Up In Tense Exc... https://youtu.be/qvabURIpFCg?si=phUaQXfJOZ89_b0I… via 
@YouTube",,,,,['https://pbs.twimg.com/card_img/1732623678519574528/hGE3nZP8?format=jpg&name=360x360'],https://twitter.com/stealth9tn/status/1722393907281948905
JaMaKe K,@KJamake,2023-11-09T20:47:31.000Z,"JaMaKe K
@KJamake
·
Nov 10","A reminder if 
@SenTuberville
 acts like he’s working for the Kremlin: 
The GOP 8 who all went to Moscow, Russia on July 4, 2018: 
Ron Johnson (WI)
Richard Shelby (AL)
Steve Daines (MT)
John Thune (SD)
John Kennedy (LA)
Jerry Moran (KS) 
John Hoeven (ND)
Rep. Kay Granger (TX)
Show more",🌊 💙 🌊 🟧,18,118,152,['https://pbs.twimg.com/media/F-hSgVkb0AABJX1?format=jpg&name=900x900'],https://twitter.com/KJamake/status/1722717578400043336
MissCrosby,@Misscrosby28763,2023-11-09T19:26:42.000Z,"MissCrosby
@Misscrosby28763
·
Nov 10","'Wasn't The Question I Asked!': John Hoeven Does Not Let Up In Tense Exc... https://youtu.be/qvabURIpFCg?si=Re3aSYRXSD729GUP… via 
@YouTube",,,1,1,['https://pbs.twimg.com/card_img/1732623678519574528/hGE3nZP8?format=jpg&name=360x360'],https://twitter.com/Misscrosby28763/status/1722697238290612464
Stephen Detweiler,@infiniti99,2023-11-09T17:46:08.000Z,"Stephen Detweiler
@infiniti99
·
Nov 10","Impeach this IDIOT already'Wasn't The Question I Asked!': John Hoeven Does Not Let Up In Tense Exc... https://youtu.be/qvabURIpFCg?si=vkO24mbjO8AcGY0M… via 
@YouTube",♦ ♦ ♦,,,,['https://pbs.twimg.com/card_img/1732623678519574528/hGE3nZP8?format=jpg&name=360x360'],https://twitter.com/infiniti99/status/1722671930535195017
fire,@nonameforkitty,2023-11-09T17:27:10.000Z,"fire
@nonameforkitty
·
Nov 10","'Wasn't The Question I Asked!': John Hoeven Does Not Let Up In Tense Exc... https://youtu.be/qvabURIpFCg?si=2YXGgFu41dwNWfn2… via 
@YouTube",,,,,['https://pbs.twimg.com/card_img/1732623678519574528/hGE3nZP8?format=jpg&name=360x360'],https://twitter.com/nonameforkitty/status/1722667157270794368
Michael Roddy,@Michael42862730,2023-11-09T02:45:16.000Z,"Michael Roddy
@Michael42862730
·
Nov 9","'Wasn't The Question I Asked!': John Hoeven Does Not Let Up In Tense Exc... https://youtu.be/qvabURIpFCg?si=aRoVk1k8PUNgCbOq… via 
@YouTube",,,,,['https://pbs.twimg.com/card_img/1732623678519574528/hGE3nZP8?format=jpg&name=360x360'],https://twitter.com/Michael42862730/status/1722445219680165974
