UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
chic coop2,@Phyllis72194136,2023-11-01T21:01:00.000Z,"chic coop2
@Phyllis72194136
·
Nov 2","Investigate this….. The GOP 8 who all went to Moscow, Russia on
July 4, 2018:
Ron Johnson (La.)
Richard Shelby (Ala.)
Steve Daines (Mont.)
John Thune (S.D.)
John Kennedy (La.)
Jerry Moran (Kan.)
John Hoeven (N.D.)
Rep. Kay Granger (R-Texas)",,,,,[],https://twitter.com/Phyllis72194136/status/1719821867232469419
chic coop2,@Phyllis72194136,2023-11-01T21:00:16.000Z,"chic coop2
@Phyllis72194136
·
Nov 2","The GOP 8 who all went to Moscow, Russia on
July 4, 2018:
Ron Johnson (La.)
Richard Shelby (Ala.)
Steve Daines (Mont.)
John Thune (S.D.)
John Kennedy (La.)
Jerry Moran (Kan.)
John Hoeven (N.D.)
Rep. Kay Granger (R-Texas)",,,,,[],https://twitter.com/Phyllis72194136/status/1719821683723210807
What To Watch?,@hieuquach12,2023-11-01T02:22:27.000Z,"What To Watch?
@hieuquach12
·
Nov 1",John Thune: 'The Administration Hasn't Fully Understood What Iran Is All About',,,,1,[],https://twitter.com/hieuquach12/status/1719540373973037257
South Dakota Searchlight,@SDSearchlight,2023-11-01T01:15:11.000Z,"South Dakota Searchlight
@SDSearchlight
·
Nov 1","SD's John Thune and Mike Rounds are among the 43 Republicans who voted against the confirmation of Jacob J. Lew as ambassador to Israel. 

Details from the floor remarks",⬇,,1,,[],https://twitter.com/SDSearchlight/status/1719523444633518272
Eric V. Sanson,@evsanson,2023-11-01T00:52:50.000Z,"Eric V. Sanson
@evsanson
·
Nov 1","John Thune: 'The Administration Hasn't Fully Understood What Iran Is All... https://youtu.be/ko7iyrzALTM?si=W-Sa1KZtVnXQVtX-… via 
@YouTube",,,,,[],https://twitter.com/evsanson/status/1719517823880315029
RealRobert,@Real_RobN,2023-11-02T23:25:23.000Z,"RealRobert
@Real_RobN
·
Nov 3",Lindsey Gay Graham is a Democrat. So is Tom Cotton and Dan Crenshaw. Lisa Fuckowski is a Democrat so is his beloved wife Susan Collins. Mitch fucken McConnell is a Democrat so is John Thune & her beloved wife John Cornyn. And now there’s no question Chip fucken Roy is a Democrat.,,1,17,39,[],https://twitter.com/Real_RobN/status/1720220588399309289
Kevin Rush,@KevinLRush,2023-11-02T21:05:00.000Z,"Kevin Rush
@KevinLRush
·
Nov 3","News fr outside your bubble
cc: 
@gop
 @foxnews
 @newsmax
 @politico
 @Newsweek
 @dcexaminer
 @axios
 @ABC
 @wsj
 @OANN
 @NRO
 @LindseyGrahamSC
 @marcorubio
 @mattgaetz
 @johnthune
 @RonJohnsonWI
 @tedcruz
 @ChuckGrassley
 @LeaderMcConnell
 @TomCottonAR
 @RandPaul
 & followers,",,,,,['https://pbs.twimg.com/card_img/1732850959938711552/hioNF5GA?format=jpg&name=360x360'],https://twitter.com/KevinLRush/status/1720185262603395206
AgricultureOfAmerica,@AoA_TalkShow,2023-11-02T20:23:36.000Z,"AgricultureOfAmerica
@AoA_TalkShow
·
Nov 3","We start today's show talking markets with Brian Splitt (
@BJSplitt
) from 
@AgMarket_Net
 before we talk fall nitrogen tips with Angie Rieck-Hinz (
@nciacrops
) in Segment 2. Then, a conversation with 
@johnthune
 followed by news headlines. #agnews

LISTEN HERE: https://open.spotify.com/episode/6o4JkItbPuEjElRDFY4crJ?si=542fXp7LQuCEy2H_1YVfqg…",,,1,4,['https://pbs.twimg.com/media/F99JvU_XIAIve8A?format=jpg&name=900x900'],https://twitter.com/AoA_TalkShow/status/1720174841834139940
Manu Raju,@mkraju,2023-11-02T20:15:10.000Z,"Manu Raju
@mkraju
·
Nov 3","Senate GOP Whip John Thune said he doesn't prefer changing rules to circumvent Tuberville given the implications of taking that step. But he didn't rule out backing a rules change.
 
""I'm not ruling anything in or out at this point,"" Thune told us.
GOP meets next week to discuss",,51,170,709,[],https://twitter.com/mkraju/status/1720172721462497768
Surfer Girl,@surferdude1706,2023-11-02T13:57:43.000Z,"Surfer Girl
@surferdude1706
·
Nov 2","This is horrific 
@SenJohnBarrasso
 @johnthune
 @jontester",,,,,['https://pbs.twimg.com/profile_images/555863013027094528/MUOYcD2g_normal.png'],https://twitter.com/surferdude1706/status/1720077731516592462
TJHSST • Defeating #DarkMoney,@TJHSSTParents,2023-11-02T13:19:23.000Z,"TJHSST • Defeating #DarkMoney
@TJHSSTParents
·
Nov 2","The annual conference of the European House Ambrosetti, an Italian think tank, was held at the Villa d'Este on the shore of Lake Como.  Sens. John Thune, Lindsey Graham & Bob Menendez.",,,,,['https://pbs.twimg.com/card_img/1732396146520432640/OJ84QzgF?format=jpg&name=900x900'],https://twitter.com/TJHSSTParents/status/1720068086118715576
JaMaKe K,@KJamake,2023-11-02T03:32:38.000Z,"JaMaKe K
@KJamake
·
Nov 2","#PutinsPuppetsGOP If Kay Granger sounds familiar to you…
The GOP 8 who all went to Moscow, Russia on July 4, 2018: 
Ron Johnson (WI)
Richard Shelby (AL)
Steve Daines (MT)
John Thune (SD)
John Kennedy (LA)
Jerry Moran (KS) 
John Hoeven (ND)
Rep. Kay Granger (TX)",🌊 💙 🌊 🟧,,5,7,['https://pbs.twimg.com/media/F95igrTbAAAMMM6?format=jpg&name=900x900'],https://twitter.com/KJamake/status/1719920426250289490
JimBob,@JimMart94591668,2023-11-02T00:46:18.000Z,"JimBob
@JimMart94591668
·
Nov 2","John Cornyn, John Thune, John Barrasso and Joni Ernst. Uniparty Pigs. Get ‘em the fuck out of the Senate.",,,,,[],https://twitter.com/JimMart94591668/status/1719878567301882198
Kevin Rush,@KevinLRush,2023-11-03T22:27:07.000Z,"Kevin Rush
@KevinLRush
·
Nov 4","News fr outside your bubble
cc: 
@gop
 @foxnews
 @newsmax
 @politico
 @Newsweek
 @dcexaminer
 @axios
 @ABC
 @wsj
 @OANN
 @NRO
 @LindseyGrahamSC
 @marcorubio
 @mattgaetz
 @johnthune
 @RonJohnsonWI
 @tedcruz
 @ChuckGrassley
 @LeaderMcConnell
 @TomCottonAR
 @RandPaul
 & followers,",,1,,,[],https://twitter.com/KevinLRush/status/1720568314194276751
Punchbowl News,@PunchbowlNews,2023-11-03T21:45:00.000Z,"Punchbowl News
@PunchbowlNews
·
Nov 4",K Street thinks John Thune is the most likely to be McConnell's successor if the GOP Senate leader steps down.,,4,3,10,[],https://twitter.com/PunchbowlNews/status/1720557714743742588
