UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
Glenn Hall,@TallMisterHall,2023-11-01T19:16:56.000Z,"Glenn Hall
@TallMisterHall
·
Nov 2","As a reminder, this is the candidate 
@BernieSanders
 thought deserved equal consideration against Jon Ossoff.  Polls showed her losing. Then, in the home stretch, a Berniecrat shot Steve Scalise and freaked out Republicans, and they voted Handel into office.",💙,,,,['https://pbs.twimg.com/media/F93xC6sbsAAlkCl?format=jpg&name=360x360'],https://twitter.com/TallMisterHall/status/1719795678703173764
Katherine Landergan,@klandergan,2023-11-01T17:36:15.000Z,"Katherine Landergan
@klandergan
·
Nov 2","Lawyers for the state’s child welfare agency sent a scathing letter to Sen. Jon Ossoff on Tuesday, calling a Senate investigation he’s leading into Georgia’s foster care system a “political” endeavor. 

w/
@MayaTPrabhu",,,3,4,['https://pbs.twimg.com/card_img/1732521611893551104/8j7Kv2PC?format=jpg&name=900x900'],https://twitter.com/klandergan/status/1719770341868773858
WRDW WAGT News 12 26,@WRDW_WAGT,2023-11-01T17:30:07.000Z,"WRDW WAGT News 12 26
@WRDW_WAGT
·
Nov 2","Ga. human services commissioner fires back at Sen. Jon Ossoff’s inquiry into the state’s foster care system, saying his goals are political.",,,,,[],https://twitter.com/WRDW_WAGT/status/1719768796456444168
Jim Lientz,@LientzJim,2023-11-01T17:16:08.000Z,"Jim Lientz
@LientzJim
·
Nov 2","Jon Ossoff, a US Senator who also is Jewish, is calling for “humanitarian treatment “ for those in Gaza. Agree IDF should be as cautious as possible, but wondering why he did not also call for release of all hostages. None of the progressive left  calling for this, I don’t think",,1,,1,[],https://twitter.com/LientzJim/status/1719765277334733265
ResilientEfforts,@ResilientEffort,2023-11-01T15:41:39.000Z,"ResilientEfforts
@ResilientEffort
·
Nov 1","To be Speaker or even GOP member some things have to be disclosed an advocate Jon Ossoff has asked for additional reports including investments! 
@joncoopertweets
 @ossoff
 @SenOssoff",,,,,['https://pbs.twimg.com/profile_images/1234868520040771584/28a_ytJJ_normal.jpg'],https://twitter.com/ResilientEffort/status/1719741500873998804
𝕁𝕦𝕝𝕚𝕒 𝔻𝕠𝕦𝕘𝕙𝕥𝕪,@julia_doughty,2023-11-01T14:22:02.000Z,"𝕁𝕦𝕝𝕚𝕒 𝔻𝕠𝕦𝕘𝕙𝕥𝕪
@julia_doughty
·
Nov 1",Two Georgia juvenile court judges on Monday told U.S. Sen Jon Ossoff that the head of the state’s child welfare agency asked judges to violate state law by keeping some children inappropriately locked in juvenile detention centers. #gapol,⭐ ✨ 💫 ⭐ ✨ 💫,1,,1,['https://pbs.twimg.com/profile_images/1399675367032602625/Qte2EC9V_normal.jpg'],https://twitter.com/julia_doughty/status/1719721465132552406
WABE News,@wabenews,2023-11-01T13:54:10.000Z,"WABE News
@wabenews
·
Nov 1","Georgia’s human services commissioner is firing back at an inquiry into the state’s foster care system, saying U.S. Sen. Jon Ossoff’s efforts “leave the unfortunate impression that the goals of this investigation are political.” #gapol",,,1,,['https://pbs.twimg.com/card_img/1730665143019704320/qsAD2EWn?format=jpg&name=900x900'],https://twitter.com/wabenews/status/1719714451748724950
WTVC NewsChannel 9,@newschannelnine,2023-11-01T12:20:59.000Z,"WTVC NewsChannel 9
@newschannelnine
·
Nov 1","UPDATE: Georgia's human services commissioner is firing back at an inquiry into the state's foster care system, saying U.S. Sen. Jon Ossoff's efforts “leave the unfortunate impression that the goals of this investigation are political.”

MORE:",,,1,,['https://pbs.twimg.com/card_img/1730366245998923776/wRXFYByk?format=jpg&name=900x900'],https://twitter.com/newschannelnine/status/1719690999780306987
WSB Radio,@wsbradio,2023-11-01T09:07:26.000Z,"WSB Radio
@wsbradio
·
Nov 1","Judges from Paulding, Gwinnett, and Fulton County testified before Senator Jon Ossoff during the second of a series of hearings connected to a federal inquiry into the state’s handling of foster children.",,,,,[],https://twitter.com/wsbradio/status/1719642293676773461
Robert Marchini,@rhcm123,2023-11-02T22:16:50.000Z,"Robert Marchini
@rhcm123
·
Nov 3",Jon Ossoff just walked into the restaurant I’m at,,1,1,1,[],https://twitter.com/rhcm123/status/1720203340938707044
