UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
西喜Félix（战友互粉）,@tomate9991,2023-11-01T22:23:42.000Z,"西喜Félix（战友互粉）
@tomate9991
·
Nov 2","根据每日电讯（Daily Caller）10月31日报道， 蒙大拿州民主党参议员乔恩·特斯特（Jon Tester）在2024 年的连任竞选活动中获得了 TikTok 游说者的捐款后，改变了他对在本州全面禁止TikTok的看法。
据多份报道称，特斯特在 5 月中旬似乎仍支持在蒙大拿州全面禁止 TikTok，",,1,1,2,['https://pbs.twimg.com/media/F94bpq2XsAAuQ8U?format=png&name=small'],https://twitter.com/tomate9991/status/1719842678089597335
西喜大米（战友互粉）,@dami777777,2023-11-01T22:23:07.000Z,"西喜大米（战友互粉）
@dami777777
·
Nov 2","根据每日电讯（Daily Caller）10月31日报道， 蒙大拿州民主党参议员乔恩·特斯特（Jon Tester）在2024 年的连任竞选活动中获得了 TikTok 游说者的捐款后，改变了他对在本州全面禁止TikTok的看法。
据多份报道称，特斯特在 5 月中旬似乎仍支持在蒙大拿州全面禁止 TikTok，但几天后，",,1,,,['https://pbs.twimg.com/media/F94bp14XIAA5M0x?format=png&name=small'],https://twitter.com/dami777777/status/1719842533759410381
Brandon,@5thCDM,2023-11-01T21:27:58.000Z,"Brandon
@5thCDM
·
Nov 2",*Jon Tester will not be defeated,🌹 🌱 🎄 🎃,,,1,['https://pbs.twimg.com/profile_images/1613771248353280000/TWIg13hB_normal.jpg'],https://twitter.com/5thCDM/status/1719828652894875823
Jon Tester,@jontester,2023-11-01T21:19:28.000Z,"Jon Tester
@jontester
·
Nov 2","Our service men and women sacrifice a whole lot to defend our freedoms and keep this nation safe—and so do our military families. When I go to bat for our servicemembers and veterans, you better believe I'm fighting for their families too.",,25,74,220,[],https://twitter.com/jontester/status/1719826516039639501
problembear,@problembear,2023-11-01T20:55:54.000Z,"problembear
@problembear
·
Nov 2","Anger about Republican malfeasance is growing in Montana. 
We need to focus that anger into supporting Decent Candidates to replace Republicans who are making everything worse for everyone.
#VoteDecentMT 
Vote for:
@jontester
 
@kevhamm
 
@ryandbusse
 
@MonicaTranel
 
@jmullen2",,,13,39,"['https://pbs.twimg.com/media/F94HtHEaEAAIM4z?format=jpg&name=360x360', 'https://pbs.twimg.com/media/F94HtHAaoAAUrlY?format=jpg&name=small']",https://twitter.com/problembear/status/1719820583959953566
Shravya Pant,@ShravyaPant,2023-11-01T19:30:30.000Z,"Shravya Pant
@ShravyaPant
·
Nov 2","How can genomics research serve veterans? 

Reporting on the Senate VA Committee’s hearing on health research for veterans, chaired by Sen. Jon Tester (D-Mont.). Story for 
@bozchron
 to come",🧬 🔬 🎖,,,4,['https://pbs.twimg.com/media/F930KLHX0AAj-My?format=jpg&name=900x900'],https://twitter.com/ShravyaPant/status/1719799093973717219
This Morning,@ThisMorningShow,2023-11-01T16:00:03.000Z,"This Morning
@ThisMorningShow
·
Nov 2","Montana is fed up with outsiders ruining their rough-and-tumble reputation. 
@elizacollins1
 from 
@WSJ
 explains why that might be good news for incumbent Senator Jon Tester. 
@GordonDeal
 #AmericasFirstNews
http://thismorningwithgordondeal.com/n/jtkdva",,,,,['https://pbs.twimg.com/media/F92KmJEWUAAhgxe?format=jpg&name=900x900'],https://twitter.com/ThisMorningShow/status/1719746129452302405
小兔子,@YSAnna888,2023-11-01T15:19:54.000Z,"小兔子
@YSAnna888
·
Nov 1","TikTok通过政治捐款收买参议员
根据每日电讯 (Daily Caller) 2023年10月31日报道，蒙大拿州民主觉参议员乔恩•特斯特 (Jon Tester） 在2024 年的连任竞选活动中获得了 Tik Tok 游说者的捐款后，改变了他对在本州全面禁止TlkTOk的看法。
#TikTok
  
#政治捐款",,,,,[],https://twitter.com/YSAnna888/status/1719736026866819217
Phred,@Phred08844955,2023-11-01T14:49:44.000Z,"Phred
@Phred08844955
·
Nov 1",I just gave to Jon Tester!,,,,,['https://pbs.twimg.com/card_img/1730757895782895616/gMHzjbnu?format=jpg&name=900x900'],https://twitter.com/Phred08844955/status/1719728436007030970
Anthony Ferri,@anthonymferri,2023-11-01T14:38:48.000Z,"Anthony Ferri
@anthonymferri
·
Nov 1",I just gave to Jon Tester!,,,,1,['https://pbs.twimg.com/card_img/1730757895782895616/gMHzjbnu?format=jpg&name=900x900'],https://twitter.com/anthonymferri/status/1719725682979442914
