UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
Andrew Desiderio,@AndrewDesiderio,2023-11-01T23:58:23.000Z,"Andrew Desiderio
@AndrewDesiderio
·
Nov 2","Approaching 8 p.m., GOP Sen. Joni Ernst still going through each military promotion one by one, reading their bio and then asking for Senate confirmation for each.

Sen. Tuberville continues to object.",,43,214,794,[],https://twitter.com/AndrewDesiderio/status/1719866508946411613
U.S. Senate Majority Floor Updates,@DSenFloor,2023-11-01T23:56:20.000Z,"U.S. Senate Majority Floor Updates
@DSenFloor
·
Nov 2","Sen. Joni Ernst (R-IA) asked unanimous consent that the Senate consider and vote on the nomination of John  Brennan, Jr to be Lieutenant General

Sen. Tommy Tuberville (R-AL) objected.",,,9,20,[],https://twitter.com/DSenFloor/status/1719865991989965066
Greg Price,@greg_price11,2023-11-01T23:54:56.000Z,"Greg Price
@greg_price11
·
Nov 2","Sen. Joni Ernst says it's ""injecting politics into the military"" and ""dishonorable and abhorrent"" for 
@TTuberville
 to block military promotions until the Pentagon stops funding the killing of unborn babies.",,1K,490,912,[],https://twitter.com/greg_price11/status/1719865639953662213
U.S. Senate Majority Floor Updates,@DSenFloor,2023-11-01T23:54:02.000Z,"U.S. Senate Majority Floor Updates
@DSenFloor
·
Nov 2","Sen. Joni Ernst (R-IA) asked unanimous consent that the Senate consider and vote on the nomination of James Mingus to be General

Sen. Tommy Tuberville (R-AL) objected.",,2,19,25,[],https://twitter.com/DSenFloor/status/1719865412765037014
U.S. Senate Majority Floor Updates,@DSenFloor,2023-11-01T23:49:52.000Z,"U.S. Senate Majority Floor Updates
@DSenFloor
·
Nov 2","Sen. Joni Ernst (R-IA) asked unanimous consent that the Senate consider and vote on the nomination of Charles B. Cooper, II to be Vice Admiral

Sen. Tommy Tuberville (R-AL) objected.",,1,15,29,[],https://twitter.com/DSenFloor/status/1719864364075757969
Mary Lou Grier,@MaryLouGrier1,2023-11-01T23:48:38.000Z,"Mary Lou Grier
@MaryLouGrier1
·
Nov 2","Joni Ernst Sen (former Iowa Nat Guard Op Iraqi Freedom) bringing forward Adm Brad Cooper for US Central Command as Deputy Commander. He’s needed in the area of Israel. 

Tuberville signed a petition to consent if brought up. 

Now he is OBJECTING in spite of his written promise.",,,2,5,[],https://twitter.com/MaryLouGrier1/status/1719864054087286806
Janice Hough,@leftcoastbabe,2023-11-01T23:43:45.000Z,"Janice Hough
@leftcoastbabe
·
Nov 2","As Joni Ernst tonight joins Dan Sullivan, Todd Young, Lindsey Graham & Mitt Romney indicating they are fed up with Tuberville, an idea....
Could Senate quietly schedule unanimous consent vote his weekend when Tommy is drinking beer somewhere watching some college football game?",,,2,18,[],https://twitter.com/leftcoastbabe/status/1719862823143321676
Susan Becraft,@AliceTinker1943,2023-11-01T23:41:55.000Z,"Susan Becraft
@AliceTinker1943
·
Nov 2","Joni Ernst: “I hope my colleague from Alabama will explain his objections in a moment”, as she brings another military promotion to the floor.

Why wasn’t this done months ago?",🐈 🐕 🦮,1,,8,[],https://twitter.com/AliceTinker1943/status/1719862363682115938
Paul Rieckhoff,@PaulRieckhoff,2023-11-01T23:41:18.000Z,"Paul Rieckhoff
@PaulRieckhoff
·
Nov 2","About damn time someone in the Senate really took it to Tuberville. And it’s USMC vet and fellow Republican 
@SenDanSullivan
. With other Republicans like 
@LindseyGrahamSC
 and 
@joniernst
 finally swarming too. 

This is working. Tuberville is feeling it. Finally.",,32,103,412,"['https://pbs.twimg.com/profile_images/1657105160051601410/SLMyvarY_normal.jpg', 'https://pbs.twimg.com/ext_tw_video_thumb/1719849601962819584/pu/img/qb4WVtTuqpvYJwY7.jpg']",https://twitter.com/PaulRieckhoff/status/1719862208601927785
Lynne Perednia,@Perednia,2023-11-01T23:39:52.000Z,"Lynne Perednia
@Perednia
·
Nov 2",Even Joni Ernst is scolding Tuberville on the Senate floor. This is rather glorious. #TheReidOut,,2,2,8,[],https://twitter.com/Perednia/status/1719861846629580800
