UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
Jeff Blehar is *BOX OFFICE POISON*,@EsotericCD,2023-11-01T23:58:45.000Z,"Jeff Blehar is *BOX OFFICE POISON*
@EsotericCD
·
Nov 2","Josh Hawley is a preening joke, and I'm tired of his stunt attempts to rebrand himself after barfing all over his own lapels on January 6th.

My latest for 
@NRO
, with verve!",,9,16,79,['https://pbs.twimg.com/card_img/1732598224714702849/buForsSY?format=jpg&name=small'],https://twitter.com/EsotericCD/status/1719866598738035105
Gary Rice,@RICESKI,2023-11-01T23:58:35.000Z,"Gary Rice
@RICESKI
·
Nov 2","""Don't make me do this..."" Josh Hawley HUMILIATES this Biden nominee int... https://youtube.com/shorts/wEwOLb8sQX4?si=llUbrS25sc6a1CAr… via 
@YouTube",,,,1,['https://pbs.twimg.com/card_img/1728500855173787648/NkmqEDwd?format=jpg&name=360x360'],https://twitter.com/RICESKI/status/1719866559005372555
Carol,@Carol38553,2023-11-01T23:55:34.000Z,"Carol
@Carol38553
·
Nov 2","DHS Sec. Mayorkas fires back at Sen. Josh Hawley (R-MO) after tense exchange about a pro-Palestine employee. https://news.yahoo.com/dhs-sec-mayorkas-fires-back-134550415.html?soc_src=social-sh&soc_trk=tw&tsrc=twtr… via 
@Yahoo",,,,,['https://pbs.twimg.com/card_img/1732341015657295872/U79Uq8U_?format=jpg&name=small'],https://twitter.com/Carol38553/status/1719865798796226599
bobs,@1983resist,2023-11-01T23:52:12.000Z,"bobs
@1983resist
·
Nov 2","https://mpost.tribel.com/public/posts/128319e0-78cb-11ee-8a57-a9403d93225d…
Missouri voters please listen and vote against Josh Hawley",,,1,,[],https://twitter.com/1983resist/status/1719864949286023663
gordon vale,@claymore2of9,2023-11-01T23:51:42.000Z,"gordon vale
@claymore2of9
·
Nov 2","BREAKING NEWS: Josh Hawley Absolutely Explodes On Alejandro Mayorkas Ove... https://youtu.be/lQmCsdxCIZM?si=hbhpuiWQXDJ6XCgg… via 
@YouTube",,,,1,['https://pbs.twimg.com/card_img/1732099925696040960/NRRSrKE3?format=jpg&name=360x360'],https://twitter.com/claymore2of9/status/1719864824681631846
Tribulation_2000,@Tribulation2k,2023-11-01T23:51:14.000Z,"Tribulation_2000
@Tribulation2k
·
Nov 2",RINO Mitch McConnell Issues Stern Warning to GOP Senators: Backing Josh Hawley’s Anti-Corporate Donation Bill Could Mean ‘Incoming’ Consequences,,,,,['https://pbs.twimg.com/media/F94v1Xza0AAt5qd?format=jpg&name=900x900'],https://twitter.com/Tribulation2k/status/1719864708440920451
The News & Observer,@newsobserver,2023-11-01T23:50:26.000Z,"The News & Observer
@newsobserver
·
Nov 2","Josh Hawley versus Citizens United: Great, but what game is he really playing? | Opinion",,1,,,[],https://twitter.com/newsobserver/status/1719864506455667090
The Modesto Bee,@modbee,2023-11-01T23:40:46.000Z,"The Modesto Bee
@modbee
·
Nov 2","Josh Hawley versus Citizens United: Great, but what game is he really playing? | Opinion",,,,,[],https://twitter.com/modbee/status/1719862072194834911
The Tribune,@SLOTribune,2023-11-01T23:40:29.000Z,"The Tribune
@SLOTribune
·
Nov 2","Josh Hawley versus Citizens United: Great, but what game is he really playing? | Opinion",,1,,,[],https://twitter.com/SLOTribune/status/1719862000245747880
bobs,@1983resist,2023-11-01T23:38:40.000Z,"bobs
@1983resist
·
Nov 2","https://x.com/ReallyAmerican1/status/1719759107534508070?t=Tx1gbf0q-Xt91O0Vi167cg&s=09…
Missouri voters please listen and vote against Josh Hawley!",,,25,41,"['https://pbs.twimg.com/profile_images/1118326373049933825/nN83E6O1_normal.jpg', 'https://pbs.twimg.com/ext_tw_video_thumb/1719526009182011392/pu/img/IppV9msPIUaRT-09.jpg']",https://twitter.com/1983resist/status/1719861545411236297
