UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
Jasper,@Jasper1977,2023-11-01T20:09:54.000Z,"Jasper
@Jasper1977
·
Nov 2","Sen. Katie Britt (R) Alabama now asking ?'s 
re: Cyber Security...",,,,1,['https://pbs.twimg.com/profile_images/1107583584460857344/Ewo1E1vu_normal.png'],https://twitter.com/Jasper1977/status/1719809007232106798
Angry One,@1angrymofo,2023-11-01T19:14:23.000Z,"Angry One
@1angrymofo
·
Nov 2",Sen Katie Britt: We Must Look Evil In Its Eyes And Take It Down,,,,,[],https://twitter.com/1angrymofo/status/1719795034919145769
Calhoun Journal,@calhounjournal,2023-11-01T17:39:06.000Z,"Calhoun Journal
@calhounjournal
·
Nov 2",U.S. Senator Katie Britt Questions Biden Administration’s Approach to Iran During Senate Committee Hearing,,3,,,['https://pbs.twimg.com/card_img/1730953250155958272/RMRFEO57?format=jpg&name=small'],https://twitter.com/calhounjournal/status/1719771057140228576
monnie !! JAECHAN DAY!!,@seokgiteez,2023-11-01T15:53:32.000Z,"monnie !! JAECHAN DAY!!
@seokgiteez
·
Nov 1",and fuck katie britt,☃,,,,[],https://twitter.com/seokgiteez/status/1719744492012491254
Alabama Daily News,@ALDailyNews,2023-11-01T14:30:04.000Z,"Alabama Daily News
@ALDailyNews
·
Nov 1","Sen. Katie Britt has joined a number of lawmakers in calling for tougher sanctions on Iran, which has supported a number of militant groups labeled as terrorist organizations by western powers.
#ALPolitics",,,4,3,['https://pbs.twimg.com/card_img/1730445399968870400/8e_jlphy?format=jpg&name=900x900'],https://twitter.com/ALDailyNews/status/1719723484333359413
Ainsley Earhardt,@ainsleyearhardt,2023-11-01T14:11:40.000Z,"Ainsley Earhardt
@ainsleyearhardt
·
Nov 1","Senator Katie Britt Visits Israel, Says Evil Must Be ‘Looked in the Eyes and Taken Down’",,,8,30,[],https://twitter.com/ainsleyearhardt/status/1719718853855351132
Jeremy Gray,@jgray78,2023-11-01T11:51:20.000Z,"Jeremy Gray
@jgray78
·
Nov 1","Katie Britt said she would be willing to watch Saturday’s Alabama-LSU game from the Senate cloakroom to get appropriations bills passed. “I’m so sick of us just passing the buck, or waiting, I’m ready to work,” she said. #alpolitics",,17,14,59,['https://pbs.twimg.com/card_img/1732603478206537728/z20agW8S?format=jpg&name=900x900'],https://twitter.com/jgray78/status/1719683539724112243
Mo Brooks,@RepMoBrooks,2023-11-01T11:37:28.000Z,"Mo Brooks
@RepMoBrooks
·
Nov 1",".
@HawleyMO
 bill fights DC corruption: limits special interest $ that buys Congress votes for bad things

No Surprise: #MitchMcConnell demands Senators oppose Hawley bill

#TommyTuberville & #KatieBritt: fight DC corruption! Support Hawley bill

Will you?

https://cnn.com/2023/10/31/politics/mitch-mcconnell-josh-hawley-citizens-united/index.html…",,12,2,15,[],https://twitter.com/RepMoBrooks/status/1719680048582611057
Grant W. Graves,@GrantWGraves,2023-11-01T06:31:05.000Z,"Grant W. Graves
@GrantWGraves
·
Nov 1",Sen. Katie Britt commends NOAA's decision to decline the Rice's whale petition,,,,,[],https://twitter.com/GrantWGraves/status/1719602946059739590
Aleksee ❁ (DFL-MN),@TheAleksee,2023-11-01T02:49:54.000Z,"Aleksee ❁ (DFL-MN)
@TheAleksee
·
Nov 1",Looks like Katie Britt is a Hard Leftist! https://twitter.com/KatieBrittforAL/status/1719409715753500707…,,2,,5,[],https://twitter.com/TheAleksee/status/1719547284055056704
