UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
Nolan D. McCaskill,@NolanDMcCaskill,2023-11-01T20:26:12.000Z,"Nolan D. McCaskill
@NolanDMcCaskill
·
Nov 2","By moving a stand-alone Israel bill, 
@SpeakerJohnson
 will “have a victory right out of the chute, and quite honestly, he’s gonna send something over here that everybody loves,” Sen. Kevin Cramer says. W/ 
@WARojas
 on Johnson’s first meeting with Senate GOP",,,,,['https://pbs.twimg.com/card_img/1728504030249250817/-WE-JcR4?format=jpg&name=900x900'],https://twitter.com/NolanDMcCaskill/status/1719813109257208294
E. K. Fleming Vote Blue For Your Health,@1jasliz,2023-11-01T15:26:08.000Z,"E. K. Fleming Vote Blue For Your Health
@1jasliz
·
Nov 1","https://cnn.com/2023/10/31/politics/mitch-mcconnell-josh-hawley-citizens-united/index.html… According to a list of senators obtained by CNN, McConnell singled out a number of lawmakers who benefited from his outside group over last three cycles: Mike Braun of Indiana, Kevin Cramer of North Dakota, 

Marsha Blackburn of Tennessee,",,1,,,"['https://pbs.twimg.com/profile_images/1088981389960196097/Sw1CTkQx_normal.jpg', 'https://pbs.twimg.com/media/F92Zu-2XgAAgy7X?format=jpg&name=900x900']",https://twitter.com/1jasliz/status/1719737593859015133
E. K. Fleming Vote Blue For Your Health,@1jasliz,2023-11-01T06:37:58.000Z,"E. K. Fleming Vote Blue For Your Health
@1jasliz
·
Nov 1","Re list of senators obtained by CNN, McConnell singled out a number of lawmakers who benefited from his outside group over the last three cycles: Mike Braun of Indiana, Kevin Cramer of North Dakota, Marsha Blackburn of Tennessee, Dan Sullivan of Alaska, Joni Ernst of Iowa,",,1,,,['https://pbs.twimg.com/profile_images/1673499110224060416/fieQSWgg_normal.jpg'],https://twitter.com/1jasliz/status/1719604679464903102
Grand Forks Herald,@gfherald,2023-11-02T21:33:03.000Z,"Grand Forks Herald
@gfherald
·
Nov 3","Sens. Kevin Cramer, John Hoeven applaud confirmation of Gen. David Allvin as Air Force chief of staff",,,,,[],https://twitter.com/gfherald/status/1720192321394708975
WDAZ News,@WDAZTV,2023-11-02T21:07:02.000Z,"WDAZ News
@WDAZTV
·
Nov 3","Sens. Kevin Cramer, John Hoeven applaud confirmation of Gen. David Allvin as Air Force chief of staff",,,,,[],https://twitter.com/WDAZTV/status/1720185772102287409
Consumer Choice in Payment Coalition,@CCPCPayment,2023-11-02T19:16:54.000Z,"Consumer Choice in Payment Coalition
@CCPCPayment
·
Nov 3","Talking all things cash! 
@NACAssociation
 @RepDonaldPayne
 @RepJohnRose
 @kevincramer",,,,,[],https://twitter.com/CCPCPayment/status/1720158057689502044
American Highway Users Alliance,@highwayusers,2023-11-02T19:08:06.000Z,"American Highway Users Alliance
@highwayusers
·
Nov 3","2023 Highway Users Annual Meeting Confirmed Speaker: 
North Dakota Senator, Kevin Cramer (R-ND)
Don't miss this important event! 
Invited guests will receive details soon.",,2,,,[],https://twitter.com/highwayusers/status/1720155841167306868
Katrina Christiansen,@KatrinaforND,2023-11-02T17:21:17.000Z,"Katrina Christiansen
@KatrinaforND
·
Nov 3","The federal debt was $16.4 trillion when Kevin Cramer first arrived in Washington a decade ago.

The debt now is over $33 trillion. Fiscal responsibility? Give me a break.",,1,9,15,[],https://twitter.com/KatrinaforND/status/1720128961768779947
Joseph Zeballos-Roig,@josephzeballos,2023-11-02T14:49:51.000Z,"Joseph Zeballos-Roig
@josephzeballos
·
Nov 2","More on this from Sen. Kevin Cramer: “There was a lot of good talk” about a fiscal commission.

Added there was a lot of appetite among Senate Rs to support Johnson’s move",,17,7,6,[],https://twitter.com/josephzeballos/status/1720090851463049671
Steve Guest,@SteveGuest,2023-11-02T03:23:22.000Z,"Steve Guest
@SteveGuest
·
Nov 2","FLASHBACK: 

5 years ago today, Joe Biden suggested that a union president should attack Senator Kevin Cramer: “show him a threshold of pain.”",,1,3,6,['https://pbs.twimg.com/ext_tw_video_thumb/1058075280332460034/pu/img/y0iglPWPY8XfnWiO.jpg'],https://twitter.com/SteveGuest/status/1719918093625925916
