UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
Gregory Larson,@GregLarsonWDOE,2023-11-01T15:02:52.000Z,"Gregory Larson
@GregLarsonWDOE
·
Nov 1",Governor Kathy Hochul and U.S. Senator Kirsten Gillibrand announced actions Tuesday in response to a surge in hate and bias incidents in the wake of the terror attacks on Israel. https://chautauquatoday.com/news/details.cfm?clientid=25&id=351482…,,,,,"['https://pbs.twimg.com/media/F922wP2WAAAS0EZ?format=jpg&name=small', 'https://pbs.twimg.com/media/F922wP0WkAAEryj?format=jpg&name=small']",https://twitter.com/GregLarsonWDOE/status/1719731741173137873
Adnan Limen (Maximus),@LimenAdnan,2023-11-02T18:55:15.000Z,"Adnan Limen (Maximus)
@LimenAdnan
·
Nov 3","This is AMAZING news,  Sen. Kirsten Gillibrand has introduced a joint resolution to finally codify the Equal Rights Amendment into the Constitution after 100 YEARS!",,,,,[],https://twitter.com/LimenAdnan/status/1720152609871257888
Debbie Do,@debbiedonothing,2023-11-02T16:18:44.000Z,"Debbie Do
@debbiedonothing
·
Nov 3",It ruined Kirsten Gillibrand's chance of ever being president. So there's that.,,,,,[],https://twitter.com/debbiedonothing/status/1720113222026412096
Henry Kissinger Deathday Stan Account,@ljmontello,2023-11-02T16:09:38.000Z,"Henry Kissinger Deathday Stan Account
@ljmontello
·
Nov 3","So... the first Senator to call for a ceasefire isn't Bernie Sanders, Elizabeth Warren, Kirsten Gillibrand, Jeff Merkley or Ed Markey. 

It was Dick goddamn Durbin.

I seriously hope DSA & progressives are paying fucking attention on this one.

These people don't stand for shit.",,41,345,1.1K,['https://pbs.twimg.com/ext_tw_video_thumb/1720093978878767104/pu/img/eSyoyF1o3A8iQzHM.jpg'],https://twitter.com/ljmontello/status/1720110931106312322
Sentinel Media Company,@UR_Sentinel,2023-11-03T19:33:00.000Z,"Sentinel Media Company
@UR_Sentinel
·
Nov 4","Celeste Friend has received endorsements from several statewide office holders, including Gov. Kathy Hochul and Lt. Gov. Antonio Delgado, who have joined Senate Majority Leader Chuck Schumer, Sen. Kirsten Gillibrand, and Comptroller Tom DiNapoli.",,,,,[],https://twitter.com/UR_Sentinel/status/1720524495700549723
Maggie-Mae BidenBoom,@Sbh08Mae,2023-11-03T18:01:12.000Z,"Maggie-Mae BidenBoom
@Sbh08Mae
·
Nov 4","#DemVoice1 #wtpBLUE #DemsAct 

One of Senator Kirsten Gillibrand’s passions is to encourage NY women and girls to take an interest in politics, get involved in campaigns, raise their voices for their beliefs, and run for office 

@GillibrandforNY’s grandmother taught her public…
Show more",☮ 💧 🟧,7,82,109,[],https://twitter.com/Sbh08Mae/status/1720501393138553245
cryptoinfonet,@cryptoinfonet1,2023-11-03T17:48:43.000Z,"cryptoinfonet
@cryptoinfonet1
·
Nov 4","Senator Lummis talks crypto regulation bill, US stablecoin #Bill #crypto #crypto_regulations #Cryptocurrency #cynthia_lummis #financial_landscapes #FTX #Kirsten_Gillibrand #Lummis #regulation #Senator #Stablecoin #talks",,,3,1,[],https://twitter.com/cryptoinfonet1/status/1720498254872506533
Marylka,@MarylkaPattison,2023-11-03T13:56:21.000Z,"Marylka
@MarylkaPattison
·
Nov 3","Why not investigate politicians 
(mostly liberal Democrats) who took over $100 million in donations from #SBF?
#ChuckSchumer
#MitchMcConnell
#KirstenGillibrand
#CoryBooker
#MaggieHassan
#LisaMurkowski 
#SusanCollins
Show more",,,,,[],https://twitter.com/MarylkaPattison/status/1720439777768714703
rominaricci,@caterita2008,2023-11-03T01:10:21.000Z,"rominaricci
@caterita2008
·
Nov 3",Kirsten Gillibrand is her name! We lost a great Senator for a #metoo hoax and delusional aspiration for presidential race. #AlFranken,👇 👇 👇 🟧,,1,4,[],https://twitter.com/caterita2008/status/1720247006747095102
bettie,@bettieham815,2023-11-04T17:43:29.000Z,"bettie
@bettieham815
·
Nov 5",which one of you used senator kirsten gillibrand’s email to vote cirie for AFP im cackling #BB25,🏕,,,1,[],https://twitter.com/bettieham815/status/1720859325088878904
