UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
Tim Miller,@Timodc,2023-11-01T23:53:14.000Z,"Tim Miller
@Timodc
·
Nov 2","This week’s Next Level:
- are there moderate Dems left?
- why does Kyrsten Sinema hate fun?
- the last discussion of Dean Phillips (god willing)
- Can we dream of a Mike Pence’s WWE face turn?

YouTube: https://youtu.be/CYKLzwERU-4?si=PXqJlHvG9MAslbPN…
Pod:",,15,4,79,[],https://twitter.com/Timodc/status/1719865211350368364
The Essential Vent Jockey,@ReallyRandyJohn,2023-11-01T21:58:20.000Z,"The Essential Vent Jockey
@ReallyRandyJohn
·
Nov 2","Nasty kuntbag...

Read ""Kyrsten Sinema Knows What Is Creepy, It Is You. You Are The Creep."" on SmartNews: https://l.smartnews.com/p-dA7Ch/ld3bvW #SmartNews",,,,1,[],https://twitter.com/ReallyRandyJohn/status/1719836295915008287
JC Southpaw,@JasonCulberts10,2023-11-01T21:32:16.000Z,"JC Southpaw
@JasonCulberts10
·
Nov 2",So Kyrsten Sinema is joining blocking the 3 military appts speaker Schumer wants to push thru.  Arizona needs to vote this traitor out.  Big time.,,4,15,52,[],https://twitter.com/JasonCulberts10/status/1719829736786944445
AD Tippet,@BelAves,2023-11-01T21:22:38.000Z,"AD Tippet
@BelAves
·
Nov 2","The 1-4 Record the GOP has enjoyed since 2016 is now to be extended into Next year.  
MAPA! Making America Progressive, Again. OR 
Making Arizona Progressive Again - it works either way
Ruben Gallego (D): 41%
Kari Lake (R): 37% 
Kyrsten Sinema (I): 17%",,,,,[],https://twitter.com/BelAves/status/1719827311162265977
jennycohn@toad.social,jennycohn@toad.social,2023-11-01T20:43:38.000Z,"jennycohn@toad.social
@jennycohn1
·
Nov 2",“Rep. Ruben Gallego snags support from abortion-rights group that once backed Kyrsten Sinema” 10/4/23,📢,3,122,411,[],https://twitter.com/jennycohn1/status/1719817497048957141
Morning Consult,@MorningConsult,2023-11-01T20:29:00.000Z,"Morning Consult
@MorningConsult
·
Nov 2","Three senators up for re-election next year are among the 10 most unpopular senators in America: 

Joe Manchin (D-WV): 48%
Kyrsten Sinema (I-AZ): 44%
Tammy Baldwin (D-WI): 42% 
*Disapproval among registered voters in each state  

View more: https://morningconsult.biz/3SrsiFH",,,3,4,[],https://twitter.com/MorningConsult/status/1719813812797206725
Tyler Bowyer,@tylerbowyer,2023-11-01T20:02:21.000Z,"Tyler Bowyer
@tylerbowyer
·
Nov 2",Question every Republican aiding Kyrsten Sinema or RFK Jr. in any way. ANY way.,,5,18,75,['https://pbs.twimg.com/profile_images/1459235633969328128/oFpv3fgf_bigger.jpg'],https://twitter.com/tylerbowyer/status/1719807106487111892
Kari Lake,@kari_Lakee,2023-11-01T19:24:57.000Z,"Kari Lake
@kari_Lakee
·
Nov 2","Arizonans are watching BOTH 
@RubenGallego
 & 
@kyrstensinema
 DESPERATELY trying to run from their radical leftist records

They're BOTH too extreme for Arizona

I believe in common sense

I will never waver from my promise to put the people of Arizona First.",,,,,[],https://twitter.com/kari_Lakee/status/1719797694313509173
Alexandra Marshall,@AlexMAbroad,2023-11-01T18:59:41.000Z,"Alexandra Marshall
@AlexMAbroad
·
Nov 2",So I guess Kyrsten Sinema has decided she doesn’t want to be a senator from AZ anymore because last I checked they had a lot of military down there.,,,,,[],https://twitter.com/AlexMAbroad/status/1719791336377786451
Darla Thick,@creeper6548,2023-11-01T18:55:44.000Z,"Darla Thick
@creeper6548
·
Nov 2","Kyrsten Sinema Is Crashing And Burning And She Is Taking Kari Lake With Her https://politicususa.com/2023/10/31/kristen-sinema-poll.html… via 
@politicususa",,,,1,[],https://twitter.com/creeper6548/status/1719790341908308200
