UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
Janice Hough,@leftcoastbabe,2023-11-01T21:29:08.000Z,"Janice Hough
@leftcoastbabe
·
Nov 2","CA Sen. Laphonza Butler talking today on election workers getting threats of being lynched or shot.

""80% of election officials are women, & their gender is often a factor & subject in their harassment & threats....""

Why isn't there more bipartisan condemnation of these attacks?",,,1,7,[],https://twitter.com/leftcoastbabe/status/1719828946840428948
Stigmabase | UNIONE,@StigmabaseD,2023-11-01T06:41:02.000Z,"Stigmabase | UNIONE
@StigmabaseD
·
Nov 1","[UOFR] Laphonza Butler, première sénatrice noire et LGBT: Le gouverneur de Californie a nommé Laphonza Butler pour remplacer Dianne Feinstein, la doyenne du Sénat décédée à 90 ans.  

 Afficher l'article ... http://dlvr.it/SyDNgK",,,1,,[],https://twitter.com/StigmabaseD/status/1719605450021515507
The Messenger,@TheMessenger,2023-11-01T06:20:06.000Z,"The Messenger
@TheMessenger
·
Nov 1",Laphonza Butler taps chief of staff from Biden administration,,1,2,5,['https://pbs.twimg.com/card_img/1730701775597129728/G4UYYVO3?format=jpg&name=900x900'],https://twitter.com/TheMessenger/status/1719600181224575247
Millennial Conservative,@Milennial_con,2023-11-02T22:56:28.000Z,"Millennial Conservative
@Milennial_con
·
Nov 3","YOU CAN’T MAKE THIS UP: Lying Pencil-Neck Adam Schiff, Who Wants to Replace Laphonza Butler of Maryland as California’s Newest Senator, Lives in Maryland Too!  https://ift.tt/S0xLhoH https://ift.tt/PEI27Z1 

#TheMillennialPress",™,,,,[],https://twitter.com/Milennial_con/status/1720213314699956531
Ben Owen,@hrkbenowen,2023-11-02T22:16:57.000Z,"Ben Owen
@hrkbenowen
·
Nov 3","YOU CAN'T MAKE THIS UP: Adam Schiff, Who Wants to Replace Laphonza Butler of Maryland as California’s Newest Senator, Lives in Maryland Too",,,3,11,[],https://twitter.com/hrkbenowen/status/1720203369891897850
Kelly,@KLSouth,2023-11-02T22:14:33.000Z,"Kelly
@KLSouth
·
Nov 3","YOU CAN'T MAKE THIS UP: Lying Pencil-Neck Adam Schiff, Who Wants to Replace Laphonza Butler of Maryland as California’s Newest Senator, Lives in Maryland Too!",,,,2,[],https://twitter.com/KLSouth/status/1720202765119418732
US Senate Employment Office,@senate_jobs,2023-11-03T21:16:24.000Z,"US Senate Employment Office
@senate_jobs
·
Nov 4",#Senator #LaphonzaButler seeks a State #PressSecretary to join her #communications team. Job referral #229846 http://sen.gov/D44L,,,,,[],https://twitter.com/senate_jobs/status/1720550519704281505
Sue Kerr,@PghLesbian24,2023-11-03T21:14:00.000Z,"Sue Kerr
@PghLesbian24
·
Nov 4",What will Laphonza Butler do with her power?,🐈 🦄 🐱,,,2,[],https://twitter.com/PghLesbian24/status/1720549914055155919
Recall Katie Hobbs,@AmericanHubener,2023-11-03T20:22:11.000Z,"Recall Katie Hobbs
@AmericanHubener
·
Nov 4","BREAKING NEWS: CAN'T MAKE THIS UP: Lying Pencil-Neck Adam Schiff, Who Wants to Replace Laphonza Butler as California’s Newest Senator, Lives in Maryland Too! 

After Newsom tapped a black woman to replace Feinstein, Shifty Schiff ran off butt hurt.",🚨 🚨 🚨,28,310,369,[],https://twitter.com/AmericanHubener/status/1720536873725292719
joe t,@jtinaglia,2023-11-03T18:52:14.000Z,"joe t
@jtinaglia
·
Nov 4","Munichian Candidate Sets Sail with the Navy

Laphonza Butler, Gavin Newsom’s pick to replace Dianne Feinstein, has “decided not to run for Senate in the upcoming election.” Possible candidates include a Democrat ..",,,1,1,[],https://twitter.com/jtinaglia/status/1720514236663599137
sally sneddon,@sally_sneddon,2023-11-03T18:45:59.000Z,"sally sneddon
@sally_sneddon
·
Nov 4","YOU CAN’T MAKE THIS UP: Lying Pencil-Neck Adam Schiff, Who Wants to Replace Laphonza Butler of Maryland as California’s Newest Senator, Lives in Maryland Too! http://stateofthenation.co/?p=194077",,,1,2,[],https://twitter.com/sally_sneddon/status/1720512663116247238
RichG,@RGNamVet,2023-11-04T17:46:33.000Z,"RichG
@RGNamVet
·
Nov 5",now do Laphonza Butler,,,,1,[],https://twitter.com/RGNamVet/status/1720860095427264643
LiveTube Alerts,@livetubealerts,2023-11-04T16:09:27.000Z,"LiveTube Alerts
@livetubealerts
·
Nov 5",Video: Laphonza Butler Asks Former Foster Youth About Positive Experiences With Mentors & Advocates https://livetube.tv/news/video-laphonza-butler-asks-former-foster-youth-about-positive-experiences-with-mentors-advocates?utm_source=rss&utm_medium=rss&utm_campaign=video-laphonza-butler-asks-former-foster-youth-about-positive-experiences-with-mentors-advocates… #LiveTube,,,,1,[],https://twitter.com/livetubealerts/status/1720835659621896664
phillynews215,@phillynews215,2023-11-04T13:42:36.000Z,"phillynews215
@phillynews215
·
Nov 4","Laphonza Butler sworn in to replace late Dianne Feinstein in Senate | full video - https://phillynewsnow.com/laphonza-butler-sworn-in-to-replace-late-dianne-feinstein-in-senate-full-video/…

Laphonza Butler was sworn in as the next California senator, replacing Dianne Feinstein, who died Thursday night at the age of 90. Butler was appointed to the Senate b...",,,,,[],https://twitter.com/phillynews215/status/1720798701717803010
Chewbacca,@Chewbacca7222,2023-11-04T05:13:06.000Z,"Chewbacca
@Chewbacca7222
·
Nov 4","Pencil Neck Schiff wants to replace Laphonza Butler as
Ca newest senator, while he lives in Maryland too.  
Newsom tapped a black woman to replace Feinstein,
Shiffty had his feelings hurt.  Nobody wants him",🚨 🚨 🚨,,,1,[],https://twitter.com/Chewbacca7222/status/1720670482092187854
