UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
Organized curiosity,@fundthescience,2023-11-01T23:59:38.000Z,"Organized curiosity
@fundthescience
·
Nov 2","Well, look at that. Lindsey Graham has located what's left of his spine.",🟧 🌻,,2,4,['https://pbs.twimg.com/ext_tw_video_thumb/1719847964791767040/pu/img/QKDU4EuisO2fR44j.jpg'],https://twitter.com/fundthescience/status/1719866821648777223
Heather Carpenter,@hc1059,2023-11-01T23:57:49.000Z,"Heather Carpenter
@hc1059
·
Nov 2",Tommy Tubbs getting stunted on by Lindsey Graham of all people is prob the biggest L of his career and for that dude is saying something.,,,1,1,[],https://twitter.com/hc1059/status/1719866365010481221
NEWSANDREPORTS,@NEWS__SAVVY,2023-11-01T23:55:05.000Z,"NEWSANDREPORTS
@NEWS__SAVVY
·
Nov 2","#Hungarian PM #Viktor #Orbán slashed West media when was asked 2 apologize 4 meeting w #Putin in #China. He said we have 2 different philosophies_ ours of peace, yours of war.
Islamophobia Senate Republicans Knesset Lindsey Graham MSNBC #غزه_مقبره_الغزاه
212K #Nasrallah Hamas غزة",,,,2,['https://pbs.twimg.com/ext_tw_video_thumb/1719864596767404032/pu/img/J2chqg4KKmXQpOMh.jpg'],https://twitter.com/NEWS__SAVVY/status/1719865677018755269
James S. Burnett,@JamesSBurnett,2023-11-01T23:54:36.000Z,"James S. Burnett
@JamesSBurnett
·
Nov 2",You know you've messed up when Lindsey Graham is making sense.,,,,1,['https://pbs.twimg.com/ext_tw_video_thumb/1719847964791767040/pu/img/QKDU4EuisO2fR44j.jpg'],https://twitter.com/JamesSBurnett/status/1719865553848856582
Richard,@Richard41162890,2023-11-01T23:54:02.000Z,"Richard
@Richard41162890
·
Nov 2",The one that’s afraid of trump is Lindsey Graham.,,,,,['https://pbs.twimg.com/ext_tw_video_thumb/1719543075490439168/pu/img/7TvB-bEWSI_SikoF.jpg'],https://twitter.com/Richard41162890/status/1719865410978210181
John KILLMONGER!!!,@darkwriter,2023-11-01T23:52:59.000Z,"John KILLMONGER!!!
@darkwriter
·
Nov 2",Not #LindseyGraham out here making f-ing sense and embarrassing #TommyTuberville on the military.,,,1,2,['https://pbs.twimg.com/ext_tw_video_thumb/1719847964791767040/pu/img/QKDU4EuisO2fR44j.jpg'],https://twitter.com/darkwriter/status/1719865147919843450
Dr. H,@DrHabibi1,2023-11-01T23:52:55.000Z,"Dr. H
@DrHabibi1
·
Nov 2",lindsey graham: no limit for civilian casualties in Gaza. he said previously: level the place! (he meant Gaza). (I really mean it when I write his name in small letters). This guy should be prosecuted for war crimes!,,,,,['https://pbs.twimg.com/amplify_video_thumb/1719767073247637504/img/4apPT--ByGC84chT.jpg'],https://twitter.com/DrHabibi1/status/1719865133214613648
Qondi,@QondiNtini,2023-11-01T23:52:53.000Z,"Qondi
@QondiNtini
·
Nov 2","Senator My Boo is DONE with Tuberville. 

Done.

Like most people in the Senate including Lindsey Graham of all people  

h/t 
@KamalaNation",😂,23,121,706,[],https://twitter.com/QondiNtini/status/1719865122070397260
RsaParks #Resistance #MeToo #voteblue2022 #BLM,@parkse,2023-11-02T23:58:00.000Z,"RsaParks #Resistance #MeToo #voteblue2022 #BLM
@parkse
·
Nov 3","Lindsey almost got indicted himself!

‘This Is A Fight You Wanted’: Lindsey Graham, GOP Sens Threaten Counter-Subpoenas Over Clarence Thomas Ethics Probe' on SmartNews: https://l.smartnews.com/p-q4sn4/PjcToE",❤ 🌊,,,,[],https://twitter.com/parkse/status/1720228796823994493
ZeitgeistMirror,@ZeitgeistMirror,2023-11-02T23:48:26.000Z,"ZeitgeistMirror
@ZeitgeistMirror
·
Nov 3","I believe Victoria Nuland, Antony Blinken, Lindsey Graham, and our Congress generally, are guilty of spending the lives of a foreign people to achieve political objectives they deemed advantageous to the American Empire. https://reuters.com/world/russia-condemns-us-senator-grahams-comments-death-russians-2023-05-28/…",🤠 🤠,,,1,[],https://twitter.com/ZeitgeistMirror/status/1720226392959316162
Deborah Hill,@Deborah07849071,2023-11-02T23:48:09.000Z,"Deborah Hill
@Deborah07849071
·
Nov 3","US should place ‘no limit’ on civilian casualties Israel inflicts, senator Lindsey Graham says

Speaking to CNN, Lindsey Graham of South Carolina was asked: “Is there a threshold for you, and do you think there should be one for the United States government, in which the US would…
Show more",,,1,1,[],https://twitter.com/Deborah07849071/status/1720226320259395876
Dystopian,@shell_loyd,2023-11-02T23:36:56.000Z,"Dystopian
@shell_loyd
·
Nov 3","Who is he KIDDING? Lindsey Graham Goes From NATO Defender to Trump Toady... https://youtu.be/7pqkiIa3Di8 via 
@YouTube",🐉 🌻 💜 🔥,,1,1,[],https://twitter.com/shell_loyd/status/1720223495458869316
Sherry Sherry,@Sherrysherry1,2023-11-02T23:35:23.000Z,"Sherry Sherry
@Sherrysherry1
·
Nov 3","Lady Lindsey is threatening Democrats if they subpoena Leonard Leo and Harlan Crow

What is Lindsey Graham so afraid of?


What does Lindsey Graham think will be found that scares him ",💰 💰 💰 💰 💰 💰 💰 💰 💰 💰 🤔 🤔 🤔 🤔 🤔 🤔,,,1,[],https://twitter.com/Sherrysherry1/status/1720223105828724767
A Pain in the Proverbial,@oneillquigley,2023-11-03T23:51:39.000Z,"A Pain in the Proverbial
@oneillquigley
·
Nov 4","Warped War Criminal Lindsey Graham.
https://youtube.com/shorts/pgKhjvXGMa8?si=iF-mkP0VT3vuE8FP…
Lindsey Graham: ‘No limit’ to civilian deaths that would cause him to question Israel
@MiddleEastEye",,1,4,2,[],https://twitter.com/oneillquigley/status/1720589587037229235
peach,@peaches2672,2023-11-03T23:45:10.000Z,"peach
@peaches2672
·
Nov 4",I think Lindsey Graham has something going with Zelensky & Graham is in the Swamp?,,,,,[],https://twitter.com/peaches2672/status/1720587958439252309
Leasa,@lfishgirl67,2023-11-03T23:13:41.000Z,"Leasa
@lfishgirl67
·
Nov 4","I often find myself agreeing with Mitt Romney, and yet never with Lindsey Graham, and yet to see the both of them discussing how 
@SenTuberville
 is hurting our military, their families and national security. 

I’m all in",,,,,[],https://twitter.com/lfishgirl67/status/1720580033969066060
gone is back,@Trueheartx01,2023-11-03T23:06:43.000Z,"gone is back
@Trueheartx01
·
Nov 4",Lindsey Graham Says The US Should Place “No Limit” On Civilian Casualties In Gaza,,,,,[],https://twitter.com/Trueheartx01/status/1720578282372862065
Anthony Laurie,@AnthonyLaurie89,2023-11-03T23:00:12.000Z,"Anthony Laurie
@AnthonyLaurie89
·
Nov 4","Cuckservative and Zionist war hawk Lindsey Graham calling for Gaza to be leveled—“Kill ‘em all!”

Not surprised that Graham said this.  He’s the typical DC elitist bought and paid for by Zionist organizations.",,,,,[],https://twitter.com/AnthonyLaurie89/status/1720576640374194491
Dr Who Loves 笑Love,@TheTardisDoc,2023-11-04T23:09:00.000Z,"Dr Who Loves 笑Love
@TheTardisDoc
·
Nov 5","“Whatever the hell you have to do to defend yourselves; level the place.” Lindsey Graham is calling for the genocide of 2 million people, half of whom are children. #GenocideGang 
@codepink
#FreePalestine #النصر_الاتفاق 
#Gaza_under_attack #GazaGenocide #ابو_عبيدة #GazaUnderFire…
Show more",✌ ❤,,1,2,[],https://twitter.com/TheTardisDoc/status/1720941242014478803
Pauline,@Pauline31202553,2023-11-04T22:43:01.000Z,"Pauline
@Pauline31202553
·
Nov 5",Word on the Street is that Mike Johnson has been in the closet with LINDSEY GRAHAM of all people and MOSCOW MITCH caught them and his still frozen with fear...,🤔,,,,[],https://twitter.com/Pauline31202553/status/1720934705472631027
Don Salmon,@dijoni,2023-11-04T22:30:35.000Z,"Don Salmon
@dijoni
·
Nov 5","History will remember that Antony Blinken and genocidal Joe along with Bernie Sanders, Elizabeth Warren, Akeem Jeffrey,AOC, and Republicans like Lindsey Graham, NikkiHaley. Said it was OK for Israel genocide against Palestinian children history will remember.",,,1,4,['https://pbs.twimg.com/profile_images/1653450164210630659/oPRqz0j6_bigger.jpg'],https://twitter.com/dijoni/status/1720931574701859236
LoLo,@ZOrtiz99,2023-11-04T22:17:17.000Z,"LoLo
@ZOrtiz99
·
Nov 5","This right here tears my heart wide open. We have war mongers like Lindsey Graham and Nikki Haley. Wanting to send your sons and daughters to war for other countries. This isn't America's war. 
@LindseyGrahamSC
 @NikkiHaley
 
FOCUS on America and her sons & daughters. Otherwise,…
Show more",❤,30,72,155,['https://pbs.twimg.com/ext_tw_video_thumb/1720928182747176960/pu/img/3TSeGcsXP_aCQBG7.jpg'],https://twitter.com/ZOrtiz99/status/1720928225868886158
AskBeavis.com | Ask me anything . .,@BeavisAsk,2023-11-04T22:12:28.000Z,"AskBeavis.com | Ask me anything . .
@BeavisAsk
·
Nov 5","What does it tell you about someone if you see someone happily smiling whilst having their picture taken with a white supremacist ? 

#LindseyGraham 

#GeertWilders

#WhiteSupremacist",💙 💛 ✌ 🙏 🤔,,,,[],https://twitter.com/BeavisAsk/status/1720927016101277780
Anatoly Vasiliev,@anatoly1v,2023-11-05T23:56:13.000Z,"Anatoly Vasiliev
@anatoly1v
·
Nov 6","Read ""Sen. Lindsey Graham Believes Senate Will Approve Aid For Ukraine And Israel Despite House Bill' on SmartNews: https://l.smartnews.com/p-wvSRC/2gYMdH",,,,,[],https://twitter.com/anatoly1v/status/1721315514973393021
Midge's Head,@rivercat409,2023-11-05T23:46:05.000Z,"Midge's Head
@rivercat409
·
Nov 6","I thought for one hot second that maybe Lindsey Graham was coming around to be decent until he waahhed on about our ""broken borders"" and how we are being ATTACKED. This in the middle of the devastating Israel/Hamas situation. WE are being attacked. Right.",,,,,[],https://twitter.com/rivercat409/status/1721312964383273235
Political Macchiato,@polimacchiato,2023-11-05T23:34:27.000Z,"Political Macchiato
@polimacchiato
·
Nov 6
·",Lindsey Graham will beat Robert Byrd’s tenure in the U.S. Senate. Mark this post.,,,,,[],https://twitter.com/polimacchiato/status/1721310037082087592
𝕃𝕖g𝕚𝕤.ℝ𝕖𝕕 #NoMasOTAN #MundoMultipolar,@ProfeSocialis,2023-11-05T23:17:38.000Z,"𝕃𝕖g𝕚𝕤.ℝ𝕖𝕕 #NoMasOTAN #MundoMultipolar
@ProfeSocialis
·
Nov 6",Senador ORATE Lindsey Graham,🎙,,,,['https://pbs.twimg.com/ext_tw_video_thumb/1721291634338299904/pu/img/pzrRiISKOVhMrw5z.jpg'],https://twitter.com/ProfeSocialis/status/1721305804811215209
Fouled Anchor,@anchor_fouled,2023-11-05T23:17:11.000Z,"Fouled Anchor
@anchor_fouled
·
Nov 6",Republican and Democratic Senators Lindsey Graham and Richard Blumenthal are expected to present a bipartisan resolution that would support a direct American attack on Iran if Hezbollah opens a second front on Israel's northern border or if Americans are killed in the attacks,🍊,,,,[],https://twitter.com/anchor_fouled/status/1721305688494723157
Shabby Boy,@ShabbosBoyem,2023-11-06T23:56:38.000Z,"Shabby Boy
@ShabbosBoyem
·
Nov 7",Lindsey Graham started watching The Bear on Hulu but he turned it off once he realized it was about a chef.,,,,2,[],https://twitter.com/ShabbosBoyem/status/1721678006253506648
South Carolina Public Radio,@SCPublicRadio,2023-11-06T23:53:00.000Z,"South Carolina Public Radio
@SCPublicRadio
·
Nov 7","On this episode of the #SCLede, news out of Washington from Sen. Lindsey Graham and Rep. Jim Clyburn; the ongoing efforts to address domestic violence in our state; and comments from former Gov. Nikki Haley, who is now officially on S.C.’s ballot:",,,1,2,[],https://twitter.com/SCPublicRadio/status/1721677092343955838
Kalashnikitty Circle that A,@DCHussar,2023-11-06T23:49:24.000Z,"Kalashnikitty Circle that A
@DCHussar
·
Nov 7","""You could blow up so many weddings with these bad boys."" -Lindsey Graham or Obama or something, I dunno, fuck you",🏴 🏴,1,2,10,[],https://twitter.com/DCHussar/status/1721676185631961091
Holly,@HollyBlomberg,2023-11-06T23:48:53.000Z,"Holly
@HollyBlomberg
·
Nov 7","Look at Lindsey Graham’s committee assignments https://lgraham.senate.gov/public/index.cfm/committee-assignments…

Look at Richard Blumenthal’s committee assignments https://blumenthal.senate.gov/about/committee-assignments…

Neither is on the Senate Foreign Relations Committee",🍉,2,3,5,[],https://twitter.com/HollyBlomberg/status/1721676056644755569
Commons mass media key to our survival,@MikeHMMT,2023-11-06T23:42:45.000Z,"Commons mass media key to our survival
@MikeHMMT
·
Nov 7","US Senator Lindsey Graham advocates 'total war' against (all) Gazans... 
'.. we've got to remember US dropped 2 atomic bombs in WWII...'
A total psychopathic fascist, same as he has been on Ukraine since before the 2014 far right coup, advocating & justifying genocide. On TV.",,,1,1,['https://pbs.twimg.com/ext_tw_video_thumb/1721599671724851200/pu/img/5AjK6nYHzopNxtqU.jpg'],https://twitter.com/MikeHMMT/status/1721674510401691678
Hans Scott,@HansScottfmLI,2023-11-07T23:54:40.000Z,"Hans Scott
@HansScottfmLI
·
Nov 8","Progressives Go to War with AIPAC: “An Extremist Organization That Desta... https://youtu.be/KfQu7c10eAY?si=3fQxsU5OWgGQ4Q2t… via 
@YouTube
 They're right ( Lindsey Graham says it doesn't matter how many children Israel slaughters ) but these dingbats also want open borders..",,,,,[],https://twitter.com/HansScottfmLI/status/1722039900352999757
E. Morey,@EMorey4,2023-11-07T23:42:51.000Z,"E. Morey
@EMorey4
·
Nov 8","I guess no one from an actual border state was available?
Lankford has been a leading voice in Congress on the border crisis and together with Senators Lindsey Graham (R-SC) and Tom Cotton (R-AR) drew up the GOP proposal.",,,,,[],https://twitter.com/EMorey4/status/1722036924775350596
Charles Harris,@Charles95360054,2023-11-07T23:39:05.000Z,"Charles Harris
@Charles95360054
·
Nov 8",Lindsey Graham and other Uniparty members are too busy making money rebuilding Iraq and now Ukraine than rebuilding the Infrastructure of the state he's actually representing.,,2,,,[],https://twitter.com/Charles95360054/status/1722035975113638126
the afterist,@the_afterist,2023-11-07T23:29:23.000Z,"the afterist
@the_afterist
·
Nov 8","As far as I can tell 
@ericswalwell
 ‘s only response to the horrific Israeli response in Gaza has been to mock Lindsey Graham and Trump. Is he a coward afraid to take any stand. Signs point to yes. #CeaseFire",,,,1,[],https://twitter.com/the_afterist/status/1722033535177863204
Maria Quitéria #DoNoHarm #MaskUp,@RaceForTheWH,2023-11-07T23:10:51.000Z,"Maria Quitéria #DoNoHarm #MaskUp
@RaceForTheWH
·
Nov 8",Kind of looks like a Lindsey Graham Trump creature.,©,,,,[],https://twitter.com/RaceForTheWH/status/1722028873825583217
FionaWoods,@fionawoods46,2023-11-08T23:44:51.000Z,"FionaWoods
@fionawoods46
·
Nov 9","“Last month, Bishop Burbidge, the head of the USCCB’s pro-life committee, sent a letter to Senator Lindsey Graham, a Republican from South Carolina, expressing support for his proposal that would create a national ban on abortion after 15 weeks.”",🌈 🟧,,,,[],https://twitter.com/fionawoods46/status/1722399814606790758
LEFT COAST RIGHT WATCH,@LCRWnews,2023-11-08T23:13:20.000Z,"LEFT COAST RIGHT WATCH
@LCRWnews
·
Nov 9","Chaya Raichik gloats about her hatemongering causing bomb threats after the ADL backed off from rightly criticizing her. Lindsey Graham says of Gaza “We’re in a religious war…level the place,” & they’d rather cheer on censuring the only Palestinian for being against genocide.",,2,17,64,[],https://twitter.com/LCRWnews/status/1722391886676279338
Dean,@Dean18492838332,2023-11-08T23:08:28.000Z,"Dean
@Dean18492838332
·
Nov 9","There all a bunch of crooks. I'm pissed off because Mo Brooks,Ted Cruz and Lindsey Graham haven't been indicted for their part on January 6th.and Lindsey Graham calling Georgia for Trump.",🤚 🤚 🤚,,1,1,[],https://twitter.com/Dean18492838332/status/1722390661297537446
Christoph Otto,@schlauwiepaul,2023-11-08T22:49:22.000Z,"Christoph Otto
@schlauwiepaul
·
Nov 9",No doubt - Lindsey Graham was right !,,,,,[],https://twitter.com/schlauwiepaul/status/1722385851659784300
Monte Blanc,@UncleMontie,2023-11-08T22:46:04.000Z,"Monte Blanc
@UncleMontie
·
Nov 9","The only Palestinian-American voice in the U.S. Congress, and they silenced her. 

Lindsey Graham said, ""Level the place!"". Censure must've gotten lost in the mail somewhere.

I stand with 
@RashidaTlaib
Peace & justice for Palestine & Israel, from the river to the sea. ",🖋,,,,[],https://twitter.com/UncleMontie/status/1722385022718468344
Shawn Irwin,@skywola,2023-11-09T23:45:30.000Z,"Shawn Irwin
@skywola
·
Nov 10","Obama admits the US-sponsored coup:
https://youtube.com/watch?v=h4ujRXndniI…
John McCain and Lindsey Graham in Ukraine, encouraging Ukrainian soldiers to take Donesk, contrary to the Minsk Agreements
https://youtube.com/watch?v=bmaakY-PIAc…
Donbass after the 2014 US-sponsored coup:",,,,,[],https://twitter.com/skywola/status/1722762366813614112
