UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
Joe Spielberger,@jdspielberger,2023-11-01T23:01:32.000Z,"Joe Spielberger
@jdspielberger
·
Nov 2","Great opportunity to uplift 
@MarenMachles
' important reporting on the federal government's failure to account for Indigenous people dying in custody:
https://pogo.org/investigations/missing-indigenous-deaths-in-custody…
@SenBrianSchatz
 @lisamurkowski
 @SecDebHaaland
 @RepTeresaLF",,,,3,['https://pbs.twimg.com/profile_images/1636746221355253761/iAek4LmG_normal.jpg'],https://twitter.com/jdspielberger/status/1719852201391149190
西喜大米（战友互粉）,@dami777777,2023-11-01T21:53:20.000Z,"西喜大米（战友互粉）
@dami777777
·
Nov 2","布林肯：美与盟友前所未有的团结一致应对中、俄等挑战 
从国家安全角度讲，美国是否正处于最脆弱的时刻？美国国务卿布林肯10月31日在参议院拨款委员会的听证会上回答参议员穆考斯基（Lisa Murkowski）提出的这个问题时说，",,1,26,15,[],https://twitter.com/dami777777/status/1719835039125438514
西喜Félix（战友互粉）,@tomate9991,2023-11-01T21:53:12.000Z,"西喜Félix（战友互粉）
@tomate9991
·
Nov 2","布林肯：美与盟友前所未有的团结一致应对中、俄等挑战 
从国家安全角度讲，美国是否正处于最脆弱的时刻？美国国务卿布林肯10月31日在参议院拨款委员会的听证会上回答参议员穆考斯基（Lisa Murkowski）提出的这个问题时说，",,1,3,1,['https://pbs.twimg.com/ext_tw_video_thumb/1719834946037035008/pu/img/ZVqpLR0M41v-h2wL.jpg'],https://twitter.com/tomate9991/status/1719835003259883754
Sen. Lisa Murkowski,@lisamurkowski,2023-11-01T20:13:54.000Z,"Sen. Lisa Murkowski
@lisamurkowski
·
Nov 2","Next Friday at 1:00pm, the U.S. Senate Committee on Indian Affairs will hold a field hearing in Bethel, where we will investigate the impacts of the historic salmon declines on the communities along the Arctic, Yukon and Kuskokwim Rivers. This hearing will be open to the public,…
Show more",,6,7,24,[],https://twitter.com/lisamurkowski/status/1719810013613457641
"Computing, Engineering, and Technology",@and_computing,2023-11-01T19:57:22.000Z,"Computing, Engineering, and Technology
@and_computing
·
Nov 2","Checked out his & 
@VanHollenForMD
 Foreign Services Family Services Act.  Vertical integration of unconditional stupidity.  Ever wonder why Alaska is so behind?  #FARPart3 makes 
@DanSullivan_AK
, 
@lisamurkowski
 & 
@MaryPeltola
 world go around. #churchofdemocracy ≠…
Show more",,,,1,['https://pbs.twimg.com/profile_images/1149854444118401024/uof-ErOr_normal.jpg'],https://twitter.com/and_computing/status/1719805853757518217
Bill Edwards,@BR_Edwards,2023-11-01T19:07:57.000Z,"Bill Edwards
@BR_Edwards
·
Nov 2","The senate could simply abandon this dumb tradition. Nothing in the constitution equates the “advice and consent of the senate” with unanimity. We could have a modern legislative body if people like 
@lisamurkowski
 and 
@SenDanSullivan
 weren’t obsessed with their own privilege.",,,,,['https://pbs.twimg.com/profile_images/932121310108442624/NY7s0rqO_normal.jpg'],https://twitter.com/BR_Edwards/status/1719793417381921243
Sen. Lisa Murkowski,@lisamurkowski,2023-11-01T15:05:23.000Z,"Sen. Lisa Murkowski
@lisamurkowski
·
Nov 1","It was great to get a call from Secretary Buttigieg yesterday, sharing the good news about how Alaska fared in the competitive Port Infrastructure Development grants. These announcements are the direct result of that work, funding planning, development, and construction…
Show more",,23,29,262,[],https://twitter.com/lisamurkowski/status/1719732375091875993
Liz Ruskin-AK public radio reporter,@lruskin,2023-11-01T14:28:41.000Z,"Liz Ruskin-AK public radio reporter
@lruskin
·
Nov 1","Sen. 
@lisamurkowski
 says Israel aid must be bundled with security bill for Ukraine/IndoPacific/border. 
This puts both Alaska senators at odds with Speaker & right-wing https://alaskapublic.org/2023/10/31/murkowski-says-aid-for-israel-must-be-part-of-a-broader-security-package/… via 
@AKPublicNews",📖 ⬇,1,6,15,['https://pbs.twimg.com/card_img/1732363990829793280/90P0N0Ib?format=jpg&name=900x900'],https://twitter.com/lruskin/status/1719723136399077788
沙芸禎,@shayunzhen1,2023-11-01T14:06:46.000Z,"沙芸禎
@shayunzhen1
·
Nov 1","布林肯：美与盟友前所未有的团结一致应对中、俄等挑战 
从国家安全角度讲，美国是否正处于最脆弱的时刻？美国国务卿布林肯10月31日在参议院拨款委员会的听证会上回答参议员穆考斯基（Lisa Murkowski）提出的这个问题时说，美国的确面临参议员提出的俄乌战争、以哈冲突、台海危机、朝鲜威胁等挑战",,,,,['https://pbs.twimg.com/ext_tw_video_thumb/1719717569693913089/pu/img/FXBJE_ygONGS8g5f.jpg'],https://twitter.com/shayunzhen1/status/1719717622793814401
Joseph E,@ChristianGayDad,2023-11-01T13:39:07.000Z,"Joseph E
@ChristianGayDad
·
Nov 1","Stop Johnson's extremist non-sense and fund both Israel and Ukraine. Don't play games. Russia winning means it will be at NATO's doorstep.  We could not ignore Hitler/Putin or Hamas/ISIS. 
@SenJohnThune
 @LeaderMcConnell
 @SpeakerMcCarthy
 @SpeakerJohnson
 @lisamurkowski
 @JohnCornyn",,,,,[],https://twitter.com/ChristianGayDad/status/1719710662375391249
