UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
BobbieG,@nhadvocatebg,2023-11-02T03:12:14.000Z,"BobbieG
@nhadvocatebg
·
Nov 2","Please cosponsor #PCHETA 
@Maggie_Hassan
 to improve the quality of life for people living with serious illnesses and chronic conditions like cancer. This bill 
will reduce suffering and help patients better coordinate care with their doctors. 
@PatientQoL",,,3,3,[],https://twitter.com/nhadvocatebg/status/1719915289519738969
Janice Hough,@leftcoastbabe,2023-11-02T00:27:43.000Z,"Janice Hough
@leftcoastbabe
·
Nov 2","Right about now if GOP Senator Joni Ernst and presiding Democratic Senator Maggie Hassan got together and beat the crap out of Tuberville, thinking none of their fellow Senators would convict them.",,1,3,16,[],https://twitter.com/leftcoastbabe/status/1719873889507926456
Babbit13,@Babbit13,2023-11-03T17:29:02.000Z,"Babbit13
@Babbit13
·
Nov 4","Kuster, Pappas Vote ‘No’ To Bipartisan Israel Aid Bill https://nhjournal.com/kuster-pappas-vote-no-to-bipartisan-israel-aid-bill/… #NHPolitics #AnnieKuster #ChrisPappas #LiberalismIsAMentalDisorder #IRS #NH4Trump #NhCartel #NHOpenBorders #NHMoneyLaundering #ChrisSununu #JeanneShaheen #MaggieHassan #FTX #Follow #TheGreatAwakening",⚖ 🕯 🙏 🕯 ⚖,1,2,1,['https://pbs.twimg.com/card_img/1730646063030087680/dpKpqC4h?format=png&name=small'],https://twitter.com/Babbit13/status/1720493298534543561
Stars and Stripes,@starsandstripes,2023-11-03T17:00:02.000Z,"Stars and Stripes
@starsandstripes
·
Nov 4","U.S. Sen. Maggie Hassan, D-N.H., has asked the U.S. Air Force to award a posthumous promotion to a New Hampshire airman who died from a rare form of cancer in 2012.
https://stripes.com/veterans/2023-11-03/senator-posthumous-promotion-air-force-officer-11928984.html…",,,2,8,[],https://twitter.com/starsandstripes/status/1720486002110665005
GedmanNH,@Arlo3833,2023-11-03T15:15:37.000Z,"GedmanNH
@Arlo3833
·
Nov 3","Has Maggie Hassan returned the $$$ that were stolen???  If not, why?  #nhpolitics",,,1,1,['https://pbs.twimg.com/media/F-AYVLXWIAA2aGZ?format=jpg&name=900x900'],https://twitter.com/Arlo3833/status/1720459724708008132
Marylka,@MarylkaPattison,2023-11-03T13:56:21.000Z,"Marylka
@MarylkaPattison
·
Nov 3","Why not investigate politicians 
(mostly liberal Democrats) who took over $100 million in donations from #SBF?
#ChuckSchumer
#MitchMcConnell
#KirstenGillibrand
#CoryBooker
#MaggieHassan
#LisaMurkowski 
#SusanCollins
Show more",,,,,[],https://twitter.com/MarylkaPattison/status/1720439777768714703
Marti,@Martism94539214,2023-11-03T08:39:30.000Z,"Marti
@Martism94539214
·
Nov 3",Looks like Maggie Hassan of New Hampshire & NH DemoRats took a lot of money from Sam Bankman Fried. She’s a thief!,,,,,"['https://pbs.twimg.com/profile_images/1619031750302220311/SDAWFhh5_normal.jpg', 'https://pbs.twimg.com/media/F9-nf8_WwAA-CwD?format=jpg&name=900x900']",https://twitter.com/Martism94539214/status/1720360036751319295
mssux3869 (Brenda) no DMs!,@mssux3869,2023-11-03T00:08:55.000Z,"mssux3869 (Brenda) no DMs!
@mssux3869
·
Nov 3",I’m sure Sen. Maggie Hassan got real tired of saying…the man from Alabama ,😒 😒,,,,[],https://twitter.com/mssux3869/status/1720231544902574430
"D. S. Dexter Tarbox, Jr.",@DSDexterTarbox,2023-11-03T00:02:59.000Z,"D. S. Dexter Tarbox, Jr.
@DSDexterTarbox
·
Nov 3","I wonder if 
@Maggie_Hassan
 and her ilk will finally return the cash they accepted from Sam Bankman-Fried now that he’s been convicted? Just kidding: they won’t.",🚨,,,1,"['https://pbs.twimg.com/profile_images/1628474658583457793/KRPfh8Zb_normal.jpg', 'https://pbs.twimg.com/profile_images/1696524738288615424/IveIyink_bigger.jpg']",https://twitter.com/DSDexterTarbox/status/1720230050727866420
Babbit13,@Babbit13,2023-11-04T23:01:22.000Z,"Babbit13
@Babbit13
·
Nov 5",#Capitol #Appeasement #FXT #Ukraine #MaggieHassan #MoneyLaundering,⚖ 🕯 🙏 🕯 ⚖,,1,,"['https://pbs.twimg.com/profile_images/1575977223797952512/lDUcgkJy_normal.jpg', 'https://pbs.twimg.com/media/F-FKNPRbMAATo3A?format=jpg&name=900x900']",https://twitter.com/Babbit13/status/1720939323468447820
