UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
Cotton Pants,@v_granner,2023-11-01T23:52:43.000Z,"Cotton Pants
@v_granner
·
Nov 2","If these r not American citizens, DEPORT DEPORT DEPORT 
@marcorubio
 @SpeakerJohnson
 @SenTedCruz
 @SenRonJohnson
 @HouseGOP
 @SenateGOP",,,,,[],https://twitter.com/v_granner/status/1719865081469763787
CarlyBoo,@CBoo2018,2023-11-01T23:47:03.000Z,"CarlyBoo
@CBoo2018
·
Nov 2","About 50 years, too late, brother. 

Exclusive: Sen. Marco Rubio Leads GOP Plan to Ban Pro-Hamas Foreigners from Immigrating to the U.S.",,,,,[],https://twitter.com/CBoo2018/status/1719863654294622643
David,@DV_Ya8,2023-11-01T23:42:47.000Z,"David
@DV_Ya8
·
Nov 2",Marco Rubio introduced the Ending Subsidies for Pro-Terrorist Activities on Campus Act .,,1,,,[],https://twitter.com/DV_Ya8/status/1719862579831484605
RedpenFL,@RedpenFL,2023-11-01T23:36:57.000Z,"RedpenFL
@RedpenFL
·
Nov 2","Support 
@RandPaul
 and audit the fed, please. 
@SenRickScott
 @marcorubio",🚨 🚨,,,,[],https://twitter.com/RedpenFL/status/1719861113729241314
Hintman,@HintMan,2023-11-01T23:08:37.000Z,"Hintman
@HintMan
·
Nov 2","I often don't agree with Marco Rubio. As in, on almost anything. BUT he's been spot on about the CCP for a while now, and he's completely correct about TikTok.  

It needs to go.",,1,1,4,[],https://twitter.com/HintMan/status/1719853982167036179
Anatoly Vasiliev,@anatoly1v,2023-11-01T23:08:14.000Z,"Anatoly Vasiliev
@anatoly1v
·
Nov 2","Read ""Adam Kinzinger says he should've been 'worried' at how easily he was able to reach Marco Rubio before endorsing him in 2016: 'No presidential candidate should be that available'' on SmartNews: https://l.smartnews.com/p-2gh4S/erO15O",,,,,[],https://twitter.com/anatoly1v/status/1719853886515957923
Heart & Soul,@KarenMcswe85167,2023-11-01T22:54:00.000Z,"Heart & Soul
@KarenMcswe85167
·
Nov 2","Exclusive: Sen. Marco Rubio Leads GOP Plan to Ban Pro-Hamas Foreigners from Immigrating to U.S. https://breitbart.com/politics/2023/11/01/rubio-leads-gop-bill-ban-pro-hamas-foreign-nationals-immigrating-us/… via 
@BreitbartNews",,,1,1,[],https://twitter.com/KarenMcswe85167/status/1719850305364394040
Antonio Vallenilla,@antoniovalleni1,2023-11-01T22:52:22.000Z,"Antonio Vallenilla
@antoniovalleni1
·
Nov 2","""Sigue lo estás haciendo bien"": Mensaje sospechoso de Marco Rubio a Marí... https://youtu.be/-ZVZSNFr7rk?si=7CrNBvSWheBEzgfT… a través de 
@YouTube
  a vende atria",🔴 🔵 ⚫,,1,,[],https://twitter.com/antoniovalleni1/status/1719849894859391414
Natas22!,@Natas221,2023-11-01T22:43:19.000Z,"Natas22!
@Natas221
·
Nov 2","Read ""Adam Kinzinger says he should’ve been ‘worried’ at how easily he was able to reach Marco Rubio before endorsing him in 2016: ‘No presidential candidate should be that available’"" on SmartNews: https://l.smartnews.com/p-PSvjU/EiciRC #SmartNews",↙,,,,[],https://twitter.com/Natas221/status/1719847617251967225
Probitas,@awkbello2,2023-11-02T23:59:01.000Z,"Probitas
@awkbello2
·
Nov 3","Oh Look who’s talking! 
Marco Rubio, the chicken, who in 2013 wrote a Senate immigration bill but bailed out on his own bill as soon as the Tea Party turned him 

http://nbcnews.com/id/wbna53396594",🌊 🌊,,,,[],https://twitter.com/awkbello2/status/1720229055545381193
Martin,@SaveTheseDogs,2023-11-02T23:46:13.000Z,"Martin
@SaveTheseDogs
·
Nov 3","End #PuppyMills NOW! #GoldiesLaw Make it a #Nationwide BAN! 
@SenRickScott
 @mattgaetz
 @RepKatCammack
 @marcorubio
 @RonDeSantis
 @RepBrianMast
 @AnthonySabatini
 @realannapaulina",,,,,[],https://twitter.com/SaveTheseDogs/status/1720225833409757296
{Matt} $XRPatriot,@matttttt187,2023-11-02T23:34:17.000Z,"{Matt} $XRPatriot
@matttttt187
·
Nov 3"," BREAKING - US Senator Marco Rubio: 'Iran has now ordered 30 attacks on Americans.'

 @insiderpaper",🚨,4,31,67,[],https://twitter.com/matttttt187/status/1720222831743521085
LibertyLinda,@LibertyLinda4,2023-11-02T23:33:20.000Z,"LibertyLinda
@LibertyLinda4
·
Nov 3","I hope my fellow Floridians boo 
@SenRickScott
 the hell off the stage. 
@GovRonDeSantis
 won this State in a HISTORICAL midterm, turned FL SOLID RED -yet Scott doesn't think he's worth his endorsement? Hey 
@FloridaGOP
 you need to get EVERYONE behind 
@marcorubio
 #DeSantis2024 ",🍊 🐊 ✝ ❤,,,2,[],https://twitter.com/LibertyLinda4/status/1720222591846121822
