UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
mk77_williepete,@mk77_williepete,2023-11-01T20:01:24.000Z,"mk77_williepete
@mk77_williepete
·
Nov 2","These are excellent questions. Why is it that #JayInslee, #MariaCantwell, #PattyMurray & the #WashingtonState #DemocraticParty refuse to condemn the #antiSemitic bile spewed by their own #neoNazi #PramilaJayapal & its #fascist'a #nazi korpsbrüders #IlhanOmar & #AyannaPressley?",🤔,,1,1,[],https://twitter.com/mk77_williepete/status/1719806869475131665
Wattsa Matta ?,@wattsa_matta,2023-11-01T19:45:56.000Z,"Wattsa Matta ?
@wattsa_matta
·
Nov 2","why arent #jayinslee #mariacantwell #pattymurray and #seattle #Democrats calling out #JewHater #pramilajayapal ?

where's the #DemocraticParty of #WashingtonState to hold this extremist and her fellow travelers #ilhanomar #AyannaPressley #RashidaTlaib accountable ?",,,3,1,[],https://twitter.com/wattsa_matta/status/1719802975575802111
Tim Perman,@perman_tim,2023-11-01T18:02:32.000Z,"Tim Perman
@perman_tim
·
Nov 2","#AudittheFed
@PattyMurray
 @MariaCantwell
 As a Washingtonian - please support",,,,,[],https://twitter.com/perman_tim/status/1719776954277347571
Space Impulse,@SpaceImpulseCom,2023-11-01T18:00:10.000Z,"Space Impulse
@SpaceImpulseCom
·
Nov 2","Breaking News: Senate Takes a Stand Against Space Junk! 

https://spaceimpulse.com/2023/11/01/cantwell-hickenlooper-bill-to-clean-up-space-junk-passes-senate-unanimously/…

#ORBITSAct #SpaceJunk #SenateDecision #SpaceInnovation #MariaCantwell #SpaceDebris",🛰,,,4,[],https://twitter.com/SpaceImpulseCom/status/1719776360447578354
Christopher Boone #CeasefireNOW #EndTheGenocide,@Chris_Boone15,2023-11-01T14:20:13.000Z,"Christopher Boone #CeasefireNOW #EndTheGenocide
@Chris_Boone15
·
Nov 1","And it doesn't matter, because our ""elected representatives"" don't EVER represent us.

Vehemently staring through a river of Palestinian blood at you 
@RepStricklandWA
, 
@MariaCantwell
, and 
@PattyMurray
.",,,,,[],https://twitter.com/Chris_Boone15/status/1719721005369929842
Paige Norman (American Ama),@AmericanAmaPN,2023-11-01T13:45:46.000Z,"Paige Norman (American Ama)
@AmericanAmaPN
·
Nov 1","November 1st 2023   .
@GovInslee
is STILL the worst Governor in Washington State history.
@kcexec
@PattyMurray
@AGOWA
@MariaCantwell
@RepDelBene
@RepJayapal
@WASenDemocrats
 and EVERY PERSON who voted for them have ruined the state.  
Show more",,2,7,22,[],https://twitter.com/AmericanAmaPN/status/1719712338046324755
USA-Montana/WA Fan,@USAMontanaman52,2023-11-01T13:26:18.000Z,"USA-Montana/WA Fan
@USAMontanaman52
·
Nov 1","Today is November 1st, 2023 and 
@PattyMurray
 is STILL the worst US Senator in Washington State history and 
@GovInslee
 & 
@AGOWA
 & 
@MariaCantwell
 & 
@WASenDemocrats
 are full blown Wack Jobs!
#TermLimits #VoterID #A2 #ClownWorld #TurdFerguson  #uninvestable #FUJI #SaveWA #A2",,1,7,22,[],https://twitter.com/USAMontanaman52/status/1719707436649763104
Wattsa Matta ?,@wattsa_matta,2023-11-02T22:51:38.000Z,"Wattsa Matta ?
@wattsa_matta
·
Nov 3","why arent #jayinslee #mariacantwell #pattymurray and #seattle #Democrats calling out a #JewHater the likes of #pramilajayapal ?

where's the #DemocraticParty of #WashingtonState to hold this extremist and her fellow travelers #IlhanOmar #AyannaPressley #RashidaTlaib accountable ?",,,1,1,[],https://twitter.com/wattsa_matta/status/1720212097400025237
DeeF,@Deemoney521,2023-11-02T16:56:20.000Z,"DeeF
@Deemoney521
·
Nov 3","Please join me and donate a few dollars to Re Elect 
@MariaCantwell
 For #Washington US Senate!! #WAPols #WAVotes",,,,,[],https://twitter.com/Deemoney521/status/1720122681197027610
Paige Norman (American Ama),@AmericanAmaPN,2023-11-02T14:08:18.000Z,"Paige Norman (American Ama)
@AmericanAmaPN
·
Nov 2","November 2nd 2023   .
@GovInslee
is STILL the worst Governor in Washington State history.
@kcexec
@PattyMurray
@AGOWA
@MariaCantwell
@RepDelBene
@RepJayapal
@WASenDemocrats
 and EVERY PERSON who voted for them have ruined the state.  
Show more",,,8,20,[],https://twitter.com/AmericanAmaPN/status/1720080393964277883
