UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
Matt Fuller,@MEPFuller,2023-11-01T21:01:24.000Z,"Matt Fuller
@MEPFuller
·
Nov 2","Um, so, uh, as someone who *does* remember this particular scandal, Mark Kelly is in for a ride.",,5,6,55,['https://pbs.twimg.com/profile_images/1710646825546379264/e75Xyx_P_normal.jpg'],https://twitter.com/MEPFuller/status/1719821966343864699
Did you see this?,@did_u_c_this,2023-11-01T18:14:27.000Z,"Did you see this?
@did_u_c_this
·
Nov 2","Astronaut Mark Kelly once smuggled a full gorilla suit on board the International Space Station. He didn't tell anyone about it. One day, without anyone knowing, he put it on.",,,5,4,[],https://twitter.com/did_u_c_this/status/1719779952982217069
Breaking News,@XPoliticalNews,2023-11-01T16:11:58.000Z,"Breaking News
@XPoliticalNews
·
Nov 2","俄罗斯和中国飞行员”相当有信心可以在这个领域竞争”，美国空军将军马克·凯利 (Mark Kelly) 于九月份表示。这些国家飞行员在全球范围内的近距离接触表明他们希望对美国进行一场”击球练习”。 

点击下图链接，查看原文
https://inty.news/2023/11/01/38619/…",,,,,[],https://twitter.com/XPoliticalNews/status/1719749129654481278
Mark Kelly TV,@MarkKelly_News,2023-11-01T14:00:27.000Z,"Mark Kelly TV
@MarkKelly_News
·
Nov 1"," Hope you had a great night! No theme this year. Just dressed however we wanted. #cowboy #witch #fox #Halloween2023 
@WKRN",👻,,1,4,"['https://pbs.twimg.com/media/F92onQtWYAAB_ji?format=jpg&name=small', 'https://pbs.twimg.com/media/F92onQrWUAAXAMC?format=jpg&name=small']",https://twitter.com/MarkKelly_News/status/1719716030535070062
Converted Realist,@mrchris172,2023-11-01T11:20:36.000Z,"Converted Realist
@mrchris172
·
Nov 1",If Antonio Pierce and champ Kelly managed to get this thing right mark kelly better keep them. #RaiderNation ,,3,1,3,"['https://pbs.twimg.com/profile_images/1004106053682753537/jB9ZGJnx_normal.jpg', 'https://pbs.twimg.com/profile_images/1619895559334273028/PHKS_mjX_bigger.jpg', 'https://pbs.twimg.com/media/F91CWpNbEAAwfXA?format=jpg&name=900x900']",https://twitter.com/mrchris172/status/1719675804269813975
Mark Mendlovitz,@MendlovitzMark,2023-11-01T05:04:11.000Z,"Mark Mendlovitz
@MendlovitzMark
·
Nov 1","Yes, it is the most clarifying. And now we know where the vacuous space alien Mark Kelly stands. He's calling for aid to Gaza. 

I don't remember any of our politicians calling for aid to Imperial Japan or Nazi Germany during World War II.  Mark Kelly is on the Hamas cheer squad.",,2,16,30,"['https://pbs.twimg.com/media/F90t4B-aAAEIUZb?format=jpg&name=900x900', 'https://pbs.twimg.com/profile_images/1641961333586374656/ewdJE3vN_normal.jpg']",https://twitter.com/MendlovitzMark/status/1719581076518224196
Mark Mendlovitz,@MendlovitzMark,2023-11-01T01:15:53.000Z,"Mark Mendlovitz
@MendlovitzMark
·
Nov 1","During World War II, no one was urging FDR to send life saving fuel to Nazi Germany or Imperial Japan. But right on schedule, Mark Kelly and the Hamas sympathy wing of the Democrat Party are squawking and flapping their chicken wings over aid to the ""terror-tory"" known as Gaza.",,5,9,29,"['https://pbs.twimg.com/profile_images/1334158015130320899/jwQnwuaZ_normal.png', 'https://pbs.twimg.com/media/F9y3pGHW0AAGDuu?format=png&name=900x900']",https://twitter.com/MendlovitzMark/status/1719523624632356893
Joserael ,@joserael,2023-11-01T01:02:45.000Z,"Joserael 
@joserael
·
Nov 1","#HalloweenProg  #Marillion ""Freaks"" (Mark Kelly in the Mask ) 
@marillion073
  https://youtu.be/Ehgaj0K-r-M?si=UqPcT1S22rezP12B…",🎃 😆 😇 🤟,1,2,7,['https://pbs.twimg.com/media/F9z2lFhXEAAecBU?format=jpg&name=900x900'],https://twitter.com/joserael/status/1719520317759004964
W Ed Harris,@EdHarrisMusic,2023-11-02T22:00:40.000Z,"W Ed Harris
@EdHarrisMusic
·
Nov 3","Here's an appropriate #tune for the winter season, titled ""The Snowy Path"" which was written by Mark Kelly of the group ""Altan""! I hope you enjoy! https://buff.ly/3GaWIEr https://buff.ly/3YM1z7b",,,1,1,['https://pbs.twimg.com/card_img/1732596931602665472/9Pmyqnzz?format=jpg&name=360x360'],https://twitter.com/EdHarrisMusic/status/1720199269716566346
Gaz,@MichaelsCoDub,2023-11-02T20:24:45.000Z,"Gaz
@MichaelsCoDub
·
Nov 3","This first DJ night means a lot to me 
It was the vision I always had for the space when we very first got the keys and it gave us the drive to really gun for it and get the terrace built 

50 free shots at 9pm tomorrow night to celebrate the occasion

DJ Mark Kelly from 9:30pm",🎈,9,11,153,"['https://pbs.twimg.com/profile_images/727067419341152256/Yc3NblEn_normal.jpg', 'https://pbs.twimg.com/amplify_video_thumb/1719488844322516992/img/KOzQHIHBDq_DSZB9.jpg']",https://twitter.com/MichaelsCoDub/status/1720175133187248227
McNeely Brockman Public Relations,@mcneelybrockman,2023-11-02T19:06:31.000Z,"McNeely Brockman Public Relations
@mcneelybrockman
·
Nov 3","Last night, Mark, Kelly, Lydia and Leigh joined journalists and leaders from across the state to honor Frank Gibson at a special event hosted by 
@TNOpenGovt
 at 
@FatBottomBrews
. MBPR was proud to sponsor the event and support the important work of TCOG.",,,,1,['https://pbs.twimg.com/media/F984QhQXwAAkzu5?format=jpg&name=900x900'],https://twitter.com/mcneelybrockman/status/1720155445069836608
gerard543pal,@gerard543pal1,2023-11-02T18:59:28.000Z,"gerard543pal
@gerard543pal1
·
Nov 3",Another lying democrat Mark Kelly two years of running for senator of Arizona said he was going to stand up to Biden on the border,,,,,[],https://twitter.com/gerard543pal1/status/1720153671835791508
YukonU Innovation & Entrepreneurship,@YukonUIE,2023-11-02T17:33:17.000Z,"YukonU Innovation & Entrepreneurship
@YukonUIE
·
Nov 3","#IncubateNorth participant Mark Kelly is an award-winning photographer who wants to help you uncover the transformative impact of professional photography for your business.
This is bound to be an inspiring event!
Register: http://bit.ly/3Mo1AcU
#yiw2023 #connectinginnovators",,,1,1,['https://pbs.twimg.com/media/F98iR8YXcAAmL1d?format=jpg&name=900x900'],https://twitter.com/YukonUIE/status/1720131982611435807
ET Californian,@ET_Californian,2023-11-02T13:59:20.000Z,"ET Californian
@ET_Californian
·
Nov 2",Mark Kelly 2022 vs Joe Biden on my 8D-1R Arizona.,🌊 🍸 🃏,7,6,187,"['https://pbs.twimg.com/media/F97x8jNaMAA-uAX?format=jpg&name=small', 'https://pbs.twimg.com/media/F97x8jMbcAApxFp?format=jpg&name=small']",https://twitter.com/ET_Californian/status/1720078138062025195
LCCT,@LcctLeeds,2023-11-02T10:00:02.000Z,"LCCT
@LcctLeeds
·
Nov 2","Check our Mark Kelly's blog on Building Bridges Through Daily Routines.
https://lcct.org.uk/portfolio-items/building-bridges-through-daily-routines/?portfolioCats=195…
#bloggers #christianityexplored #christianitypost #faithful #bloggerstyle #christian #christianblogger #weeklyblog #christianitylife #christianlife #faithquotes #christianliving",,,,,['https://pbs.twimg.com/media/F9xGvKOXIAAY0b7?format=jpg&name=900x900'],https://twitter.com/LcctLeeds/status/1720017917440614573
Ed,@EDinCali,2023-11-03T21:37:51.000Z,"Ed
@EDinCali
·
Nov 4","""Captain"" mark Kelly, steering your country straight into an immigration and economic iceberg #clown",,,,1,[],https://twitter.com/EDinCali/status/1720555918226821365
Diana C. Hammitt,@c_hammitt,2023-11-03T16:01:28.000Z,"Diana C. Hammitt
@c_hammitt
·
Nov 4","https://fb.watch/o4QcQid7i-/?mibextid=fJgBYn…

Mike Johnson
Ted Cruz
Marco Rubio
Rand Paul
Ron Johnson
Rick Scott
Tim Scott 
Lindsay Graham
Joni Ernst
John Kennedy
Show more",,,1,,[],https://twitter.com/c_hammitt/status/1720471262328164419
R Frederick Conlon,@RayLee2u2,2023-11-03T14:55:02.000Z,"R Frederick Conlon
@RayLee2u2
·
Nov 3","Senator Mark Kelly’s come up short. Never forget, his campaign was rooted in the promise he would work for THE PEOPLE not THE PARTY. He’s failed to live up to our expectations and continues to deceive us. If he lived up to his promises our borders would be secure.",,,,,[],https://twitter.com/RayLee2u2/status/1720454542226342136
drewisgod6372,@Andrew94722910,2023-11-03T14:02:28.000Z,"drewisgod6372
@Andrew94722910
·
Nov 3",I drew mark kelly,🎄 🎩,1,,2,[],https://twitter.com/Andrew94722910/status/1720441317413560327
PLP Architecture,@plparchitecture,2023-11-03T13:49:55.000Z,"PLP Architecture
@plparchitecture
·
Nov 3","This month the PLP team is out in full force, speaking at a several events across London. Don’t miss your chance to hear from Dan Moore, Tina Qiu, Andrei Martin, Mark Kelly and Joost Hulshof.",,1,,,['https://pbs.twimg.com/ext_tw_video_thumb/1720437787285929984/pu/img/i3Ejg1QfbP9zro8o.jpg'],https://twitter.com/plparchitecture/status/1720438156313366781
Sports & Outdoors Books,@SportOutdoorBk,2023-11-04T22:36:05.000Z,"Sports & Outdoors Books
@SportOutdoorBk
·
Nov 5","【Best Sellers】
「Starting Strength: Basic Barbell Training, 3rd edition」
Author：Rippetoe, Mark/Kelly, Jason
Publisher：The Aasgaard Company",,,,,[],https://twitter.com/SportOutdoorBk/status/1720932958432002529
JeffreymNelson,@jeffreym_nelson,2023-11-04T21:22:52.000Z,"JeffreymNelson
@jeffreym_nelson
·
Nov 5",Mark Kelly and his far-left democrat extremist want unrestricted up till the moment of birth abortions. Theres two sides to every story spaceman.,,,1,7,[],https://twitter.com/jeffreym_nelson/status/1720914535106920513
KT -La Sister Squad,@LouisianaSquad,2023-11-04T18:24:11.000Z,"KT -La Sister Squad
@LouisianaSquad
·
Nov 5","Others already linked to this political money laundering racket (through DACEY MONTOYA and/or ARABELLA ADVISORS) include:

-Sam/Gabriel Bankman-Fried
-Katie Hobbs
-Mark Kelly
-Kris Mayes
-BOTH Gallegos
-Joseph Bankman
-Marc Elias",💥 💥 😏 💥,,11,12,[],https://twitter.com/LouisianaSquad/status/1720869565297525243
Sports & Outdoors Books,@SportOutdoorBk,2023-11-04T14:46:06.000Z,"Sports & Outdoors Books
@SportOutdoorBk
·
Nov 4","【Best Sellers】
「Starting Strength」
Author：Rippetoe, Mark/Kelly, Jason
Publisher：The Aasgaard Company",,,,1,[],https://twitter.com/SportOutdoorBk/status/1720814685090615317
Chauvet,@ArtChauvet,2023-11-04T10:03:37.000Z,"Chauvet
@ArtChauvet
·
Nov 4
·","GM Friends 
Huge shoutout to Mr. Mark Kelly 
@saucebook
 for his unwavering support in our community! He’s a man of action, not just words. A true legend indeed. Wishing him nothing but the best.",☀,10,,17,[],https://twitter.com/ArtChauvet/status/1720743593973780684
JudySave Democracy#VoteBlue HURRY JACK!,@RNjudyArizona,2023-11-05T19:23:59.000Z,"JudySave Democracy#VoteBlue HURRY JACK!
@RNjudyArizona
·
Nov 6","Please support Senator Mark Kelly of Arizona at 
@CaptMarkKelly
. #FullSpeedAhead",🟧 ⤵,,1,,[],https://twitter.com/RNjudyArizona/status/1721247005316612240
Midwestern Progressive,@TalaricoStan,2023-11-05T19:18:15.000Z,"Midwestern Progressive
@TalaricoStan
·
Nov 6","Bernie Sanders, Sherrod Brown, Gretchen Whitmer, John Fetterman, Andy Beshear, Tony Evers, Tim Walz, Jon Ossoff, Raphael Warnock, Mark Kelly, Josh Shapiro, Amy Klobuchar, Tammy Duckworth",✝ 🌹 🕊 🚄 🟧 🏈 🥱,1,,3,[],https://twitter.com/TalaricoStan/status/1721245561582399925
Network Leeds,@networkleeds,2023-11-05T18:00:00.000Z,"Network Leeds
@networkleeds
·
Nov 6","Check out this week's blog by Mark Kelly
https://networkleeds.com/blogs/building-bridges-through-daily-routines…
#bloggers #christianityexplored #christianitypost #faithful #bloggerstyle #christian #christianblogger #weeklyblog #christianitylife #christianlife #faithquotes #christianliving #bloggerlife #weeklyblogger",,,,1,[],https://twitter.com/networkleeds/status/1721225869878763524
Mother Bethel AME,@MotherBethel,2023-11-05T15:11:05.000Z,"Mother Bethel AME
@MotherBethel
·
Nov 5","“Who is my neighbor?” Rev. Mark Kelly Tyler, PhD., 52nd Pastor. Luke 10:25. ",,,,,[],https://twitter.com/MotherBethel/status/1721183358120546311
Ann Marie Hoff,@Annimallover,2023-11-06T23:32:18.000Z,"Ann Marie Hoff
@Annimallover
·
Nov 7",We are weeping too! This has to stop! #MarkKelly as for a #CeasefireForGaza,🎗,,,,['https://pbs.twimg.com/ext_tw_video_thumb/1719737220599259136/pu/img/jYEmQd1p2-Ba4ivJ.jpg'],https://twitter.com/Annimallover/status/1721671884058853480
Mark Kelly TV,@MarkKelly_News,2023-11-06T22:13:03.000Z,"Mark Kelly TV
@MarkKelly_News
·
Nov 7"," LIVE: #Covenant parent speaks out after several pages of “alleged” manifesto leaked. #CovenantSchool 
@WKRN",🚨,1,4,3,[],https://twitter.com/MarkKelly_News/status/1721651937211273518
sisyphus’s rock,@Kewl_CanUNot,2023-11-06T20:01:54.000Z,"sisyphus’s rock
@Kewl_CanUNot
·
Nov 7","In 2020, Mark Kelly received $294,341 from Pro-Israel Lobbyists",,,1,1,[],https://twitter.com/Kewl_CanUNot/status/1721618931314458718
Kapn KRÜDE,@kapn_krude,2023-11-06T19:08:53.000Z,"Kapn KRÜDE
@kapn_krude
·
Nov 7",Mark Kelly from Marillion on keys here,🎸 🎶 🎮 🌈,,,1,[],https://twitter.com/kapn_krude/status/1721605593151009149
Mark Kelly TV,@MarkKelly_News,2023-11-06T17:01:56.000Z,"Mark Kelly TV
@MarkKelly_News
·
Nov 7"," Get these 2 a summer job with the #circus. #weekend #skillz #sisters #nashville 
@WKRN",🎪,,3,3,['https://pbs.twimg.com/ext_tw_video_thumb/1721573515504082944/pu/img/L5AdbO0AmyBmnBiy.jpg'],https://twitter.com/MarkKelly_News/status/1721573644214710309
Julie Bryan,@JulieBryan71197,2023-11-07T22:23:08.000Z,"Julie Bryan
@JulieBryan71197
·
Nov 8","Along with Capital One threats, Arizona (Mark Kelly/NASA) threats. Always.",,,,,[],https://twitter.com/JulieBryan71197/status/1722016862714622281
R Frederick Conlon,@RayLee2u2,2023-11-07T22:09:49.000Z,"R Frederick Conlon
@RayLee2u2
·
Nov 8","Giffords & her husband Senator Mark Kelly Captain Mark Kelly reveals the hypocrisy of the left. 100,000+ dead each year from fentanyl, children sold into slavery & the sex trade & terrorists crossing our borders. If Gifford/Kelly cared about humanity our borders would be secure.",,,,1,[],https://twitter.com/RayLee2u2/status/1722013513374425420
Tom Fullerton,@TomF7611,2023-11-07T19:15:34.000Z,"Tom Fullerton
@TomF7611
·
Nov 8",This is in Mark Kelly’s back yard and he supports open borders.,,,,,[],https://twitter.com/TomF7611/status/1721969659401126343
Central Canada Hockey League,@TheCCHL,2023-11-07T17:27:56.000Z,"Central Canada Hockey League
@TheCCHL
·
Nov 8","The Central Canada Hockey League is pleased to announce from the Navan Grads, Devon Savignac has been named week eight’s CCM Hockey Player of the Week

 | https://thecchl.ca/ccm-player-of-the-week-devon-savignac-navan-grads…
 | http://icelevel.com
Graphic | Mark Kelly",🗞 📸,,5,13,[],https://twitter.com/TheCCHL/status/1721942572233330894
Jeffrey Levin,@jilevin,2023-11-07T13:39:12.000Z,"Jeffrey Levin
@jilevin
·
Nov 7","""Corporate money in politics is what prevents us from doing something about gun violence"" 

— Shuttle Commander Senator Mark Kelly, husband of Rep. Gabbie Giffords, on the night of the Marjory Stoneman Douglas School shooting in Parkland, Florida – February 14, 2018",,7,113,223,[],https://twitter.com/jilevin/status/1721885011119685930
Sports & Outdoors Books,@SportOutdoorBk,2023-11-08T23:06:02.000Z,"Sports & Outdoors Books
@SportOutdoorBk
·
Nov 9","【Best Sellers】
「Starting Strength: Basic Barbell Training, 3rd edition」
Author：Rippetoe, Mark/Kelly, Jason
Publisher：The Aasgaard Company",,,,,[],https://twitter.com/SportOutdoorBk/status/1722390046916182385
Adam Ayman,@AdamAyman62,2023-11-08T21:12:25.000Z,"Adam Ayman
@AdamAyman62
·
Nov 9","Democrats bench in 2028:
Andy Beshear, Raphael Warnock, Gretchen Whitmer, Josh Shapiro, Gavin Newsom, potentially Mark Kelly, and Kamala Harris
Dark horse: AOC.
Exactly what is the GOP bench?
Bc if Trump wins in 2024, whoever his vp is (Noem, Zeldin) will be frontrunner that time",,6,,6,[],https://twitter.com/AdamAyman62/status/1722361456035856620
Tom Fullerton,@TomF7611,2023-11-08T15:14:49.000Z,"Tom Fullerton
@TomF7611
·
Nov 8","Mark Kelly should be ashamed of himself and his open border invasion. 

And she’s just another libtard.",,,,,[],https://twitter.com/TomF7611/status/1722271460193140954
azcentral,@azcentral,2023-11-08T14:35:03.000Z,"azcentral
@azcentral
·
Nov 8","Opinion: Sen. Mark Kelly's criticism of Tuberville pleases Democrats, but without GOP support, they can't stop him. Enter Sen. Kyrsten Sinema.",,1,1,4,[],https://twitter.com/azcentral/status/1722261452852207725
Travel Extra,@TravelExtraIre,2023-11-08T09:51:25.000Z,"Travel Extra
@TravelExtraIre
·
Nov 8",David Mead & Mark Kelly keynote speakers at Worldchoice 2023 conference https://travelextra.ie/david-mead-mark-kelly-keynote-speakers-at-worldchoice-2023-conference/…,,,,,[],https://twitter.com/TravelExtraIre/status/1722190075612524938
OneWrestleMovement,@one_wrestle,2023-11-09T19:58:18.000Z,"OneWrestleMovement
@one_wrestle
·
Nov 10","It is being reported that 
@UpstartFed
 talents, Mark Kelly and Bia, have been signed to developmental contracts by #1WM. Welcome to #TheMovement!",,,5,6,[],https://twitter.com/one_wrestle/status/1722705189667541349
