UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
Manu Raju,@mkraju,2023-11-01T17:27:56.000Z,"Manu Raju
@mkraju
·
Nov 2",GOP Sen. Markwayne Mullin tells us Speaker Johnson at lunch laid out his thinking on how he’ll govern. Said that he will try to get passed what he can pass in House — and will worry about reconciling w Senate later. Open to moving on Ukraine — only if his conference wants to,,59,52,194,[],https://twitter.com/mkraju/status/1719768248655188148
NEWSMAX,@NEWSMAX,2023-11-01T09:30:01.000Z,"NEWSMAX
@NEWSMAX
·
Nov 1","The Biden administration's proposed aid package for Israel should not include any money for Gaza, Sen. Markwayne Mullin told NEWSMAX. https://bit.ly/45XuTKt",,37,47,576,['https://pbs.twimg.com/card_img/1730159816771792896/wTSNxeKj?format=jpg&name=360x360'],https://twitter.com/NEWSMAX/status/1719647973905494234
Mike,@MAGA4MIKE,2023-11-01T08:08:04.000Z,"Mike
@MAGA4MIKE
·
Nov 1","MarkWayne Mullin  I change political affiliation for you. Repeal gay rights 
MAGA god !",,,1,6,[],https://twitter.com/MAGA4MIKE/status/1719627350852223313
William O. Douglas Stan,@ODouglas_Stan,2023-11-01T06:25:10.000Z,"William O. Douglas Stan
@ODouglas_Stan
·
Nov 1","The Oklahoma Senators are so forgettable man

Who the fuck is Markwayne Mullin and James Lankford?

Like do something please. No one knows who you are",,5,3,27,[],https://twitter.com/ODouglas_Stan/status/1719601456163295333
安達洋（コミュニケーション戦略・グローバル人材育成パートナー）伝わる日本語のヒントは英語にある！？,@learners_adachi,2023-11-02T21:57:20.000Z,"安達洋（コミュニケーション戦略・グローバル人材育成パートナー）伝わる日本語のヒントは英語にある！？
@learners_adachi
·
Nov 3","おはようございます。
#企業公式が朝の挨拶を言い合う 

#英語リスニング　は
人物特定→事前の発言特徴把握が肝。

聞きたい人物のSNSを読み、価値観、スタンス、論調に浸ってから、その人の発言を聞く。

例えばMarkwayne Mullin 氏のTwitter読んでから動画を視聴すると微かな既視感に出会えるかも↓
Show more",,,,9,[],https://twitter.com/learners_adachi/status/1720198433003442638
Quiver Quantitative,@QuiverQuant,2023-11-02T13:43:53.000Z,"Quiver Quantitative
@QuiverQuant
·
Nov 2","BREAKING: We've caught another congressman buying stock in the defense contractor Raytheon, $RTX.

Senator Markwayne Mullin bought $RTX on October 3rd.

Mullin sits on the Armed Services Committee.

$RTX has risen over 17% in less than a month since his purchase.",,11,70,181,[],https://twitter.com/QuiverQuant/status/1720074249275167009
Mike Izzo,@izzorv6,2023-11-02T11:02:17.000Z,"Mike Izzo
@izzorv6
·
Nov 2","Sen. Markwayne Mullin, R-Okla., said on Newsmax that the only way to stop terrorism in the Middle East is to cut the head off the snake, and that means attacking Iran.

On Wednesday, Mullin told ""Rob Schmitt Tonight"" that the United States has ""to take",,,,1,[],https://twitter.com/izzorv6/status/1720033582264041580
安達洋（コミュニケーション戦略・グローバル人材育成パートナー）伝わる日本語のヒントは英語にある！？,@learners_adachi,2023-11-02T04:41:00.000Z,"安達洋（コミュニケーション戦略・グローバル人材育成パートナー）伝わる日本語のヒントは英語にある！？
@learners_adachi
·
Nov 2",#markwaynemullin,,,1,2,['https://pbs.twimg.com/ext_tw_video_thumb/1719663126063304704/pu/img/-d6BX1KbUx6DDojc.jpg'],https://twitter.com/learners_adachi/status/1719937629733675071
安達洋（コミュニケーション戦略・グローバル人材育成パートナー）伝わる日本語のヒントは英語にある！？,@learners_adachi,2023-11-02T04:34:15.000Z,"安達洋（コミュニケーション戦略・グローバル人材育成パートナー）伝わる日本語のヒントは英語にある！？
@learners_adachi
·
Nov 2","Markwayne Mullin 氏のトークから刺激を受ける。英語力以前に、日本語でこれだけの知的体力、論理的思考鍛えたい。「英語以前に思考力の時点で、勝負決まってる感」→母語での思考鍛錬は英語教育の盲点。
#英語学習

https://en.m.wikipedia.org/wiki/Markwayne_Mullin…",,,,2,['https://pbs.twimg.com/ext_tw_video_thumb/1719663126063304704/pu/img/-d6BX1KbUx6DDojc.jpg'],https://twitter.com/learners_adachi/status/1719935930059108547
Rick Smith,@RickSmithShow,2023-11-03T12:09:58.000Z,"Rick Smith
@RickSmithShow
·
Nov 3","Numerous DMs this morning on this as people are asking if the IBT is going back to 1980.
My response is calm down.  You talk to your enemies.
Now, if these pictures were with 
@MarkwayneMullin
 , then I'd worry.",🤝,1,1,2,[],https://twitter.com/RickSmithShow/status/1720413002350874773
Μολών Λαβέ,@wwwmolwnlavecom,2023-11-04T16:04:28.000Z,"Μολών Λαβέ
@wwwmolwnlavecom
·
Nov 5","O Σιωνιστής Αμερικανός γερουσιαστής Markwayne Mullin (R) δηλώνει ότι: ""Πρέπει να επιτεθούμε στο Ιράν - τώρα!""
https://molwnlave.net/2023/11/o-markwayne-mullin-r.html…",,,,8,[],https://twitter.com/wwwmolwnlavecom/status/1720834403805405663
Linda,@Atlantiso1,2023-11-04T11:07:11.000Z,"Linda
@Atlantiso1
·
Nov 4","John Cornyn (R-Texas) offered the speaker memorable counsel...“Watch your back.” 
“Mike is a guy that you can get along with. But if Chuck thinks he’s  gonna push him around, he’s gonna find he can’t,” said Sen. Markwayne  Mullin (R-Okla.)",,,1,1,[],https://twitter.com/Atlantiso1/status/1720759593830076772
Mike Archer,@JamesMArcher,2023-11-05T16:37:07.000Z,"Mike Archer
@JamesMArcher
·
Nov 6","Gaza genocide hikes shares of Boeing, Lockheed Martin, Northrop Grumman, Raytheon $23B.

What a coincidence.

“In the weeks preceding the attack, #MarkwayneMullin, #KevinHern, #BillKeating, and #JoshGottheimer purchased shares of those defense companies.”",🕊,,,1,[],https://twitter.com/JamesMArcher/status/1721205010241839144
Quiver Quantitative,@QuiverQuant,2023-11-06T20:03:32.000Z,"Quiver Quantitative
@QuiverQuant
·
Nov 7","BREAKING: The United States is planning a $320 million weapons transfer to Israel.

Last week, Senator Markwayne Mullin disclosed a purchase of Raytheon stock, $RTX.

Mullin sits on the Senate Committee on Armed Services.

$RTX is up 17% since his purchase.",,10,41,123,[],https://twitter.com/QuiverQuant/status/1721619345980145845
Norma Hough,@NormaHough5,2023-11-06T18:14:46.000Z,"Norma Hough
@NormaHough5
·
Nov 7","Markwayne Mullin Claims ‘Senator Blinken Lied’ About Afghanistan Withdrawal https://youtu.be/-zHK28AWUCc?si=QYBJ9QrTjFW9vQUw… via 
@YouTube",,,,,[],https://twitter.com/NormaHough5/status/1721591970919805241
"Truth, Justice, real American Way",@EquoAmicus,2023-11-07T15:39:43.000Z,"Truth, Justice, real American Way
@EquoAmicus
·
Nov 7","Well that’s terrifying. 

There are currently four MAGA Navy SEALs in government:

* **Rep. Dan Crenshaw (R-TX)**
* **Rep. Morgan Luttrell (R-TX)**
* **Rep. Derrick Van Orden (R-WI)**
* **Rep. Markwayne Mullin (R-OK)**

All four representatives are members of the Republican Party…
Show more",,,,1,[],https://twitter.com/EquoAmicus/status/1721915338911064277
litzy ☆,@anywayslvr,2023-11-08T21:52:07.000Z,"litzy ☆
@anywayslvr
·
Nov 9","i got this reply from senator markwayne mullin, honestly very disappointed and disgusting that he stands behind israel",,,,1,[],https://twitter.com/anywayslvr/status/1722371444317827289
Bill Miller,@BillMil72761128,2023-11-10T15:29:36.000Z,"Bill Miller
@BillMil72761128
·
Nov 10",The UN American senator! Cage fighter Markwayne Mullin should kick comrade tubbyvile's Ass! The repug senate must support comrade tubbyville?,,,,,[],https://twitter.com/BillMil72761128/status/1722999960046551293
RightAmerica,@RightAmerica_,2023-11-10T03:12:59.000Z,"RightAmerica
@RightAmerica_
·
Nov 10","Successful people without college degrees:

Bill Gates
Steve Jobs
Mark Zuckerburg
Sean Hannity
Matt Rosendale
Markwayne Mullin
Richard Branson
Jack Dorsey
Matt Walsh

You do NOT need a college degree to be successful. You DO have to be willing to put in the work.
Show more",✝,,,1,[],https://twitter.com/RightAmerica_/status/1722814582693974331
Sam Terriz,@Terriz_Sam,2023-11-12T12:07:06.000Z,"Sam Terriz
@Terriz_Sam
·
Nov 12","Kenya and US Senators Discuss Defense Cooperation.

Cabinet Secretary for Defence, Aden Duale, hosted a delegation of US Senators led by Markwayne Mullin and US Ambassador to Kenya, Meg Whitman. This meeting marks ongoing discussions between Kenya and the United States and is…
Show more",,2,13,53,[],https://twitter.com/Terriz_Sam/status/1723673774816456738
