UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
Glenda Murphy,@TrutherUSA1_,2023-11-01T23:59:35.000Z,"Glenda Murphy
@TrutherUSA1_
·
Nov 2","Anthony Aguero is live in CA  
@TuckerCarlson
  @realDonaldJNews
  @Breaking911
  @mattgaetz
 @mtgreenee
  @SenTedCruz
  @MarshaBlackburn
  @RealAmVoice
  @realTT1776",,,,,[],https://twitter.com/TrutherUSA1_/status/1719866810328326176
Golden10212008,@golden10212008,2023-11-01T23:45:24.000Z,"Golden10212008
@golden10212008
·
Nov 2","This needs priority 
@MarshaBlackburn",🚨 🚨,,,,['https://pbs.twimg.com/amplify_video_thumb/1719815828776886272/img/QUxJf08bD72mqZvP.jpg'],https://twitter.com/golden10212008/status/1719863239335453107
Repeal WEP,@RepealWEP_NOW,2023-11-01T23:39:24.000Z,"Repeal WEP
@RepealWEP_NOW
·
Nov 2","Please sign the H.R. 82 hearing request letter!
#WEP is highly discriminatory
Deadline 11/2/23 at 10 AM
@MarshaBlackburn
@JohnBoozman
@SenKatieBritt
@SenTedBuddNC
@Senlaphonza
@SenCapito
Show more",🖊 ‼ 👇 🖊 ➡ 👮 🛂,,,,[],https://twitter.com/RepealWEP_NOW/status/1719861731516665857
Lowell Mennenga,@LowellSavoy,2023-11-01T23:37:56.000Z,"Lowell Mennenga
@LowellSavoy
·
Nov 2","Yep… but remember 000s went to war on bad info and hundreds of 000s suffered. 

Loans R but one small step… LIFE … never get it back. 
@MariaBartiromo
 @GovAbbott
 @SenTedCruz
 @MarshaBlackburn",🔊,,,,['https://pbs.twimg.com/ext_tw_video_thumb/1719523498400292864/pu/img/orpsNGHuSJV7bHFo.jpg'],https://twitter.com/LowellSavoy/status/1719861362153619715
JeniMac,@JennyMcMas8060,2023-11-01T23:23:27.000Z,"JeniMac
@JennyMcMas8060
·
Nov 2","Well that just sucks! Stop funding & providing aid (through taxpayer $$$s) Middle Eastern countries and Terrorist-Controlled countries! Enough is Enough. 
@HawleyMO
 @tedcruz
 @MarshaBlackburn
 @BasedMikeLee
 @SenRonJohnson
 @ChuckGrassley
 @LeaderMcConnell
 @SenateGOP
 @POTUS
 @JoeBiden",,,,,[],https://twitter.com/JennyMcMas8060/status/1719857717395808569
Vicki Lyman,@Vlyman2013,2023-11-02T23:53:05.000Z,"Vicki Lyman
@Vlyman2013
·
Nov 3","We are being invaded, our President and Congress are not doing anything. Biden is ruling American people by executive order. We have laws, nobody is following or enforcing them! 
@POTUS
 @RepMTG
 @RepBoebert
 @RepAndyBiggsAZ
 @MarshaBlackburn
 @SenJohnKennedy
 @CNN
 @GOP
 @abc
 @elonmusk",,,,,[],https://twitter.com/Vlyman2013/status/1720227560217616458
Sen. Marsha Blackburn,@MarshaBlackburn,2023-11-02T23:43:55.000Z,"Sen. Marsha Blackburn
@MarshaBlackburn
·
Nov 3","Ghazi Hamad, a member of Hamas' political bureau, stated that Hamas will conduct the October 7th attack on Israel ""twice and three times"" in order to annihilate the Jewish state.

Israel must destroy these genocidal terrorists.",,152,350,1.2K,[],https://twitter.com/MarshaBlackburn/status/1720225252842541101
Mark Fearson,@mfearson2,2023-11-02T23:39:43.000Z,"Mark Fearson
@mfearson2
·
Nov 3","TRYTH, marge! 
@Jim_Jordan
@RepMTG
@laurenboebert
@realDonaldTrump
@TrumpWarRoom
@DonaldJTrumpJr
@TeamTrump
@StephenM
@Mike_Pence
Show more",👇,,,,[],https://twitter.com/mfearson2/status/1720224198335807870
edward ejerrychavez@aol.com,edward ejerrychavez@aol.com,2023-11-02T23:33:33.000Z,"edward ejerrychavez@aol.com
@EEjerrychavez
·
Nov 3","The is Marsha Blackburn.   She is a piece of filth who enjoys spreading misinformation, hate and is a true example of a Fascist Republican!  Her Constituents need to vote her out of office and get someone that will truly get some work done for the State that she represents!",🦅 🎾 🟦 🟧,,,,[],https://twitter.com/EEjerrychavez/status/1720222645558366596
lisaviolet,@realLisaViolet,2023-11-02T23:24:28.000Z,"lisaviolet
@realLisaViolet
·
Nov 3","#NotADragQueen #NotAnImmigrant #NotTransgender
@MarshaBlackburn
 @GovStitt
 @laurieinri",,,,,[],https://twitter.com/realLisaViolet/status/1720220361399369796
