UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
georges,@georges16490355,2023-11-01T17:13:59.000Z,"georges
@georges16490355
·
Nov 2",".
@RepTeresaLF
 @MartinHeinrich
 @SenatorLujan
   My grandparents were murdered by the Nazis 80 years ago. Now this.Please support the people of Israel in their fight against Hamas, not just calls for a ""ceasefire"" that would allow terrorists to massacre and kidnap civilians.",,,,,[],https://twitter.com/georges16490355/status/1719764737783632382
Martin Heinrich,@MartinHeinrich,2023-11-01T14:00:19.000Z,"Martin Heinrich
@MartinHeinrich
·
Nov 1","¡Feliz Día de los Muertos to all who celebrate! This tradition is meant to celebrate those who have come before us, honor those we’ve recently lost, and remind us that our loved ones are always with us.",,1,3,8,[],https://twitter.com/MartinHeinrich/status/1719715999006810410
Roy McDonald,@RoyMcDo34198831,2023-11-01T03:41:46.000Z,"Roy McDonald
@RoyMcDo34198831
·
Nov 1","What’s so sad about your position 
@MartinHeinrich
 is nobody supports it. Read the posts!

You are as stupid as you portray yourself to be.",,,,,['https://pbs.twimg.com/profile_images/1650529298246422528/2wNyjrCQ_normal.jpg'],https://twitter.com/RoyMcDo34198831/status/1719560336100204856
Roy McDonald,@RoyMcDo34198831,2023-11-01T03:02:45.000Z,"Roy McDonald
@RoyMcDo34198831
·
Nov 1",Martin Heinrich isn’t an independent thinker. He follows orders!,,,,,['https://pbs.twimg.com/profile_images/1460378847673786378/dP-hT3z0_normal.jpg'],https://twitter.com/RoyMcDo34198831/status/1719550516336656598
Eloisa Cid,@CidEloisa,2023-11-02T23:55:02.000Z,"Eloisa Cid
@CidEloisa
·
Nov 3","Martin Heinrich encabezará en el Senado de Estados Unidos el proyecto de plebiscito similar al 2757 - via 
@elnuevodia",,,1,2,['https://pbs.twimg.com/card_img/1732896049168334849/C25StoN4?format=jpg&name=900x900'],https://twitter.com/CidEloisa/status/1720228053043782123
Legiswipe,@legiswipe,2023-11-02T23:30:04.000Z,"Legiswipe
@legiswipe
·
Nov 3","""A bill to protect Native cultural sites located on Federal land, to improve consultation with Indian Tribes, to bring parity to ...""

Status: Read twice and referred to the Committee on I...

https://congress.gov/bill/118th-congress/senate-bill/3186/text…

Sponsor: 
@MartinHeinrich",,,,,[],https://twitter.com/legiswipe/status/1720221766914625716
Vivian Creekmore,@VivianCreekmore,2023-11-02T21:13:47.000Z,"Vivian Creekmore
@VivianCreekmore
·
Nov 3","New Mexico! 
Re-elect Martin Heinrich: US Senate 


Engineer 

Focusing on jobs of the future
 
Advocating for working families 
Show more",🗳 🗳 🗳 🗳 🗳 🗳 🗳 ✔ ✔ ✔ ✔,3,46,52,['https://pbs.twimg.com/media/F99VYhfXoAAZfLd?format=png&name=small'],https://twitter.com/VivianCreekmore/status/1720187472628330585
Martin Heinrich,@MartinHeinrich,2023-11-02T20:40:00.000Z,"Martin Heinrich
@MartinHeinrich
·
Nov 3","The MAGA Republican war on our military leaders continues, with 650 critical leadership positions expected to be vacant by year’s end. But hey, it’s just our national security.",,54,12,42,['https://pbs.twimg.com/card_img/1730995373802479616/hfy_tvNh?format=jpg&name=900x900'],https://twitter.com/MartinHeinrich/status/1720178968773480522
El Nuevo Día,@ElNuevoDia,2023-11-02T19:40:00.000Z,"El Nuevo Día
@ElNuevoDia
·
Nov 3",Martin Heinrich encabezará en el Senado de Estados Unidos el proyecto de plebiscito similar al 2757.,,,2,2,['https://pbs.twimg.com/card_img/1732896049168334849/C25StoN4?format=jpg&name=900x900'],https://twitter.com/ElNuevoDia/status/1720163869446766681
BIG RIG (formerly TxBig Rig),@txbigrig56,2023-11-02T18:58:05.000Z,"BIG RIG (formerly TxBig Rig)
@txbigrig56
·
Nov 3","Sure quite from these do nothing elected officials from New Mexico. 
@Rep_Stansbury
 
@Gabe_NM
 
@benraylujan
 about the illegals entering our borders. Cowards. 
Keep drawing that pay. Same goes for 
@MartinHeinrich
 Cowards not listening to constituents",⬜,,1,1,[],https://twitter.com/txbigrig56/status/1720153320185372926
Hunger for 51,@hunger_51,2023-11-02T17:41:54.000Z,"Hunger for 51
@hunger_51
·
Nov 3",Martin Heinrich encabezará en el Senado de Estados Unidos el proyecto de plebiscito similar al 2757 - El Nuevo Día,,,,1,[],https://twitter.com/hunger_51/status/1720134147958526049
Taínos For Statehood,@TainosFor,2023-11-02T17:41:44.000Z,"Taínos For Statehood
@TainosFor
·
Nov 3",Martin Heinrich encabezará en el Senado de Estados Unidos el proyecto de plebiscito similar al 2757 - El Nuevo Día,,,,,['https://pbs.twimg.com/card_img/1732896049168334849/C25StoN4?format=jpg&name=900x900'],https://twitter.com/TainosFor/status/1720134106313314671
Rudy FunkMeyer,@rudyfunkmeyer,2023-11-02T16:58:22.000Z,"Rudy FunkMeyer
@rudyfunkmeyer
·
Nov 3",PR statehood finally seeing movement due to Martin Heinrich of all people is crazy but very much welcome,,,,3,[],https://twitter.com/rudyfunkmeyer/status/1720123194269372426
Jon Paul,@JonPaulViking,2023-11-02T16:38:34.000Z,"Jon Paul
@JonPaulViking
·
Nov 3","Chip in to re-elect 
@MartinHeinrich
: https://secure.actblue.com/donate/mth-em-eg-nov-2023… .",,,,1,['https://pbs.twimg.com/card_img/1729748635523383297/rsFCPa9W?format=jpg&name=900x900'],https://twitter.com/JonPaulViking/status/1720118210907824449
