UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
Adriel M Trott,@AdrielTrott,2023-11-03T18:46:23.000Z,"Adriel M Trott
@AdrielTrott
·
Nov 4",Wabash alum and IN gubernatorial candidate Mike Braun would like states to be able to re-instate laws against interracial marriage.,,1,,,['https://pbs.twimg.com/profile_images/658451233057804291/4R_pmaso_normal.png'],https://twitter.com/AdrielTrott/status/1720512767445131705
Donald J. Trump Posts From His Truth Social,@TrumpDailyPosts,2023-11-03T18:10:47.000Z,"Donald J. Trump Posts From His Truth Social
@TrumpDailyPosts
·
Nov 4","Highly respected Senator Mike Braun is running for Governor of Indiana, a State I love and won by large margins in 2016 and 2020.
 
In the Senate, Mike is working hard to Support our Law Enforcement, Secure our Borders, and Stop the Woke Fascist Mob trying to destroy our Country.…
Show more",,74,436,1.3K,[],https://twitter.com/TrumpDailyPosts/status/1720503807707377869
vance mcqueen,@AlvanVance,2023-11-03T09:33:21.000Z,"vance mcqueen
@AlvanVance
·
Nov 3","does Senator Mike Braun from Indiana support legislation that's unfavorable to non-whites?
I found out some info today that I'm looking into & may lead to interesting findings. More to come. 
@braun4indiana
 @GovHolcomb
@ASavageNation
 
@SenateGOP
 
@AP
 @BreitbartNews
 
@indystar",,,,,['https://pbs.twimg.com/media/F9_-qa6WwAAKkzA?format=jpg&name=900x900'],https://twitter.com/AlvanVance/status/1720373590502035719
GingerInParadise,@Roseann63494534,2023-11-04T03:49:25.000Z,"GingerInParadise
@Roseann63494534
·
Nov 4",Vote Mike Braun !,,,,,['https://pbs.twimg.com/profile_images/1699811417400991744/_fnX4cV6_normal.jpg'],https://twitter.com/Roseann63494534/status/1720649422244081803
joseph lipman,@joseph_lipman,2023-11-05T18:02:42.000Z,"joseph lipman
@joseph_lipman
·
Nov 6",1.  Senators who voted against the bill: Sen. Marsha Blackburn (R-Tenn.) Sen. John Boozman (R-Ark.) Sen. Mike Braun (R-Ind.) Sen. Mike Crapo (R-Idaho) Sen. Bill Hagerty (R-Tenn.),,,,,"['https://pbs.twimg.com/profile_images/1569877408517443585/fiWjQWaK_normal.jpg', 'https://pbs.twimg.com/media/F-DMHdCXwAAOmfW?format=jpg&name=900x900']",https://twitter.com/joseph_lipman/status/1721226548315914687
Martin Poldma,@martinpoldma,2023-11-05T13:19:16.000Z,"Martin Poldma
@martinpoldma
·
Nov 5","Senator Mike Braun introduces police reform bill https://youtu.be/Sb6gXFXG4EE?si=7VujEJZdt0IKwFAM… via 
@YouTube",,,,,[],https://twitter.com/martinpoldma/status/1721155217989726353
AFP - Indiana,@IndianaAFP,2023-11-06T15:58:32.000Z,"AFP - Indiana
@IndianaAFP
·
Nov 6","Our team knocked over 30,000 doors in support of Mike Braun in just two weeks! #AGetItDoneGovernor",,,,,['https://pbs.twimg.com/media/F-QzmE8WIAAUrRw?format=jpg&name=900x900'],https://twitter.com/IndianaAFP/status/1721557690042753089
AFP - Indiana,@IndianaAFP,2023-11-06T13:28:47.000Z,"AFP - Indiana
@IndianaAFP
·
Nov 6",Mike Braun is a Hoosier who finishes what he starts! #AGetItDoneGovernor,,,,1,[],https://twitter.com/IndianaAFP/status/1721520002036121962
Luca 1,@lucaforsure,2023-11-07T23:15:52.000Z,"Luca 1
@lucaforsure
·
Nov 8
·","HERE’S SOMETHING THAT SHOULD BE OF GREAT INTEREST TO CONSERVATIVES

Here’s a Short List of Republicans Funded by Bill Gates 

Sen. John Thune, South Dakota

Sen. John Cornyn, Texas
Sen. Mike Braun, Indiana
Sen. Bill Cassidy, Louisiana
Sen. Susan Collins, Maine
Sen. John…
Show more",‼,,,,[],https://twitter.com/lucaforsure/status/1722030135509967250
Tom Davies,@TomDaviesIND,2023-11-07T20:57:30.000Z,"Tom Davies
@TomDaviesIND
·
Nov 8","Big donors keep boosting Brad Chambers' campaign for governor. He raised $325K in large donations over past month, ahead of Mike Braun ($140K), Eric Doden ($20K), Suzanne Crouch ($10K) and Curtis Hill (zero). Herb Simon among the new Chambers donors:",,1,16,18,['https://pbs.twimg.com/card_img/1732198427247747072/cIm77hUE?format=jpg&name=900x900'],https://twitter.com/TomDaviesIND/status/1721995312913403931
under fire,@underfi07945126,2023-11-07T20:16:13.000Z,"under fire
@underfi07945126
·
Nov 8","2020
Sen. Ted Cruz member of the Senate Foreign Relations Committee, & Sens. Tom Cotton & Mike Braun sent a letter to AG William Barr urging the DOJ to investigate NIAC and its sister organization, NIAC Action, for potential violations of Foreign Agents Registration Act…
Show more",,1,1,2,[],https://twitter.com/underfi07945126/status/1721984923391721644
WGCU Public Media,@wgcu,2023-11-07T20:14:06.000Z,"WGCU Public Media
@wgcu
·
Nov 8","A new book called 'Magical Dogs 3 - On the Road' by Patti Kerr is out, and it showcases heartwarming stories about some incredible dogs from Southwest Florida: https://bit.ly/3QMZtlH

  Sheldon Zoldan/WGCU
 Mike Braun",✍ 📸,,,,['https://pbs.twimg.com/media/F-W3qU-WAAAj4UC?format=png&name=small'],https://twitter.com/wgcu/status/1721984392338583710
AdImpact Politics,@AdImpact_Pol,2023-11-07T19:58:17.000Z,"AdImpact Politics
@AdImpact_Pol
·
Nov 8","#INPol: Mike Braun just placed his first TV buy in the race for #INGov. So far, we've seen $44K placed. Ads begin airing Thursday.",,,2,7,[],https://twitter.com/AdImpact_Pol/status/1721980409624346991
