UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
painted mask,@SarahHall1975,2023-11-01T23:49:43.000Z,"painted mask
@SarahHall1975
·
Nov 2",#MikeLee Let's hear it when Steve they going to get him?,🟦 🟧 💙 🟧,,,2,['https://pbs.twimg.com/profile_images/1712827638195068928/URg8XUQq_normal.jpg'],https://twitter.com/SarahHall1975/status/1719864327161663923
TaraBulls,@TaraBull80888_,2023-11-01T23:38:13.000Z,"TaraBulls
@TaraBull80888_
·
Nov 2","Senators Mike Lee and Tommy Tuberville to introduce legislation to stop U.S. funding to the United Nations.

Who else supports this?",,,1,10,"['https://pbs.twimg.com/media/F94s2oSWwAAzysO?format=jpg&name=small', 'https://pbs.twimg.com/media/F94s2oOXsAARIRR?format=jpg&name=900x900']",https://twitter.com/TaraBull80888_/status/1719861432974516363
Mike Lee,@MikeLee_59,2023-11-01T23:35:05.000Z,"Mike Lee
@MikeLee_59
·
Nov 2",,,,,,['https://pbs.twimg.com/card_img/1733189045625237504/E6os9Kcy?format=jpg&name=900x900'],https://twitter.com/MikeLee_59/status/1719860644373995611
Linda Wolf,@LindaWolfpaws,2023-11-01T23:25:15.000Z,"Linda Wolf
@LindaWolfpaws
·
Nov 2","Read ""Biden is a ‘disaster’: Senator Mike Lee furious at uncontrolled US migration 'Migrants crossing from Syria, China and Afghanistan’' on SmartNews: https://l.smartnews.com/p-9fA4j/dCvJUm",,,,,[],https://twitter.com/LindaWolfpaws/status/1719858168447094965
火柴棍,@SparksBark,2023-11-01T23:14:09.000Z,"火柴棍
@SparksBark
·
Nov 2","參議員Mike Lee和眾議員John Curtis聯合提案：

停止向聯合國撥款。",,,,,"['https://pbs.twimg.com/profile_images/1006896016849858560/P3nNjlIe_normal.jpg', 'https://pbs.twimg.com/media/F9z_276WoAAsIX4?format=jpg&name=900x900']",https://twitter.com/SparksBark/status/1719855377007648876
Ian Jaeger,@IanJaeger29,2023-11-01T22:39:17.000Z,"Ian Jaeger
@IanJaeger29
·
Nov 2","BREAKING: Senator Mike Lee and Senator Tommy Tuberville have introduced legislation to stop funding to the UN. 

Do you support this?",🚨,1.2K,1.9K,11K,['https://pbs.twimg.com/media/F94fXiGXMAATySf?format=jpg&name=small'],https://twitter.com/IanJaeger29/status/1719846599159881876
Lillian M Billingsley,@LillianMBillin1,2023-11-01T21:23:53.000Z,"Lillian M Billingsley
@LillianMBillin1
·
Nov 2","Biden is a ‘disaster’: Senator Mike Lee furious at uncontrolled US migration 'Migrants crossing from Syria, China and Afghanistan’",,,,,[],https://twitter.com/LillianMBillin1/status/1719827623981842531
Bryan Schott (schotthappens.bsky.social),@SchottHappens,2023-11-01T21:10:19.000Z,"Bryan Schott (schotthappens.bsky.social)
@SchottHappens
·
Nov 2","Carolyn Phippen, a former Mike Lee staffer, launched her bid for U.S. Senate Tuesday.

Phippen has championed several far-right issues in recent years, including false claims of election fraud and conspiracy theories about the COVID-19 pandemic #utpol",,3,3,5,['https://pbs.twimg.com/card_img/1732819547248599040/H8E6iWsU?format=jpg&name=900x900'],https://twitter.com/SchottHappens/status/1719824213341864020
IOANNIS IOANIDIS,@ioannis20222022,2023-11-01T20:44:12.000Z,"IOANNIS IOANIDIS
@ioannis20222022
·
Nov 2",RUPTURE : Les sénateurs Mike Lee et Tommy Tuberville vont présenter une législation pour mettre fin au financement américain des Nations Unies.,,,,,['https://pbs.twimg.com/profile_images/1617059782908575746/ybOW2sxh_normal.jpg'],https://twitter.com/ioannis20222022/status/1719817641223713195
TaraBull,@TaraBull808,2023-11-01T20:28:58.000Z,"TaraBull
@TaraBull808
·
Nov 2","Senators Mike Lee and Tommy Tuberville to introduce legislation to stop U.S. funding to the United Nations.

Who else supports this?",,1.1K,5.3K,33K,"['https://pbs.twimg.com/media/F94BibraQAAysE9?format=jpg&name=small', 'https://pbs.twimg.com/media/F94Bi1yaUAAQutx?format=jpg&name=900x900']",https://twitter.com/TaraBull808/status/1719813807114174813
Carolina,@carolina_bonita,2023-11-01T19:56:54.000Z,"Carolina
@carolina_bonita
·
Nov 2",Senators Mike Lee and Tommy Tuberville to introduce legislation to stop U.S. funding to the United Nations.,🚨,6,35,88,[],https://twitter.com/carolina_bonita/status/1719805737809883368
𝕊𝕦𝕞𝕞𝕖𝕣,@azinthegarden,2023-11-01T19:56:48.000Z,"𝕊𝕦𝕞𝕞𝕖𝕣
@azinthegarden
·
Nov 2","Thank you, 
@TTuberville
 need to hold the line

Remove McConnell as leader and put in Rand Paul or Mike Lee",☀ 🐓,1,5,9,"['https://pbs.twimg.com/profile_images/1418593424530419712/j-hCSj8s_normal.jpg', 'https://pbs.twimg.com/ext_tw_video_thumb/1719792050307010560/pu/img/aAab2E2wWW23Bv7n.jpg']",https://twitter.com/azinthegarden/status/1719805710199124389
bloretta56,@bloretta561,2023-11-01T19:54:06.000Z,"bloretta56
@bloretta561
·
Nov 2","We don't get huge tax breaks, large grants, gigantic yearly subsidies, with continuous perks that the RICH Republicans receive. Mike Lee is trying to free up land for his rich friends,  claiming it's for affordable housing. No affordable housing will be built.",🌊 💔 💙,,,1,"['https://pbs.twimg.com/media/F935jEPbUAALRHO?format=jpg&name=small', 'https://pbs.twimg.com/media/F935jVCasAAyZ4V?format=jpg&name=small', 'https://pbs.twimg.com/media/F935jfLbMAAygMQ?format=jpg&name=small', 'https://pbs.twimg.com/media/F935ju7a0AAJWvM?format=jpg&name=360x360', 'https://pbs.twimg.com/profile_images/1549456642131070976/SqUHL0yB_normal.jpg', 'https://pbs.twimg.com/media/F93WheyWEAAD5OV?format=jpg&name=240x240']",https://twitter.com/bloretta561/status/1719805029488402739
Leading Report,@LeadingReport,2023-11-01T19:48:01.000Z,"Leading Report
@LeadingReport
·
Nov 2",BREAKING: Senators Mike Lee and Tommy Tuberville to introduce legislation to stop U.S. funding to the United Nations.,,257,2.2K,13K,[],https://twitter.com/LeadingReport/status/1719803500740202945
$chillgasm,@thechillgasm,2023-11-01T16:58:48.000Z,"$chillgasm
@thechillgasm
·
Nov 2",W Mike Lee,🚨 🚨,,,,"['https://pbs.twimg.com/profile_images/1006896016849858560/P3nNjlIe_normal.jpg', 'https://pbs.twimg.com/media/F93D5I3XgAA4KJq.jpg']",https://twitter.com/thechillgasm/status/1719760914583568895
Debra Russio,@Debra725NY,2023-11-01T16:44:09.000Z,"Debra Russio
@Debra725NY
·
Nov 2","Read ""Biden is a ‘disaster’: Senator Mike Lee furious at uncontrolled US migration 'Migrants crossing from Syria, China and Afghanistan’' on SmartNews: https://l.smartnews.com/p-5fzSP/CcgqSx",,,,,[],https://twitter.com/Debra725NY/status/1719757227014139918
Mattie Lee's,@MyInfo30676651,2023-11-01T16:34:54.000Z,"Mattie Lee's
@MyInfo30676651
·
Nov 2","Biden is a ‘disaster’: Senator Mike Lee furious at uncontrolled US migration 'Migrants crossing from Syria, China and Afghanistan’",💯,,,,[],https://twitter.com/MyInfo30676651/status/1719754900874137976
