UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
South Dakota Searchlight,@SDSearchlight,2023-11-01T01:15:11.000Z,"South Dakota Searchlight
@SDSearchlight
·
Nov 1","SD's John Thune and Mike Rounds are among the 43 Republicans who voted against the confirmation of Jacob J. Lew as ambassador to Israel. 

Details from the floor remarks",⬇,,1,,[],https://twitter.com/SDSearchlight/status/1719523444633518272
Joseph Zeballos-Roig,@josephzeballos,2023-11-02T12:42:40.000Z,"Joseph Zeballos-Roig
@josephzeballos
·
Nov 2"," from Sen. Mike Rounds (R-SD) on Dem unease on the influx of migrants at the border reaching WH officials (He’s visited the WH twice over the past week)
https://semafor.com/article/11/01/2023/a-magic-moment-could-congress-actually-reach-a-deal-on-the-border…",👀,,4,6,['https://pbs.twimg.com/media/F97gZvfWsAAzDom?format=jpg&name=900x900'],https://twitter.com/josephzeballos/status/1720058843227410688
@askapol,@askapol,2023-11-04T02:46:09.000Z,"@askapol
@ask_a_pol
·
Nov 4","NEWS: 

EXCLUSIVE — Sen. Mike Rounds: “the UAP thing, I think, it's something that we want to be able to control”
#ufox #ufotwitter 
https://open.substack.com/pub/askapol/p/exclusive-sen-mike-rounds-the-uap?r=1ij7cx&utm_campaign=post&utm_medium=web…",,3,10,33,['https://pbs.twimg.com/media/F-Dq2N0WYAA88WU?format=png&name=900x900'],https://twitter.com/ask_a_pol/status/1720633503081984450
Lise Latulippe Fully Vaccinated and Boosted,@lise_latulippe,2023-11-05T14:01:38.000Z,"Lise Latulippe Fully Vaccinated and Boosted
@lise_latulippe
·
Nov 5","It may be messy in terms of lots of states having  different points of view but eventually you’ll end up with a national  consensus about where it should be based on what the states find works for them,” said Sen. Mike Rounds (R-S.D.)",,,,,['https://pbs.twimg.com/card_img/1731335451590721537/R04Q2EdN?format=jpg&name=small'],https://twitter.com/lise_latulippe/status/1721165882502553645
Lise Latulippe Fully Vaccinated and Boosted,@lise_latulippe,2023-11-05T11:00:30.000Z,"Lise Latulippe Fully Vaccinated and Boosted
@lise_latulippe
·
Nov 5","“It’s come to a head,” Sen. Mike Rounds (R-S.D.) told The Hill.  “We’ve done our best to try to work through the issues, but with everything going on in the world, it’s time to address the concern.”",,,,,[],https://twitter.com/lise_latulippe/status/1721120299440034250
Ethiopian Embassy US,@ethembassyUS,2023-11-09T21:06:53.000Z,"Ethiopian Embassy US
@ethembassyUS
·
Nov 10","Today, H.E. Ambassador Seleshi Bekele met with Senator Mike Rounds (R-SD). They discussed US-Ethiopia relations, AGOA and trade, the implementation of the Pretoria peace agreement, and humanitarian assistance. 
@seleshi_b_a
 @mfaethiopia",,1,15,44,['https://pbs.twimg.com/media/F-hW8KvWQAAmL6J?format=jpg&name=900x900'],https://twitter.com/ethembassyUS/status/1722722452025774544
Dr Eng Seleshi Bekele,@seleshi_b_a,2023-11-09T19:53:18.000Z,"Dr Eng Seleshi Bekele
@seleshi_b_a
·
Nov 10","Honored and grateful to meet with Sen. Mike Rounds (R-SD) today. We have discussed US-Ethiopia relation, AGOA and trade, implementation of Pretoria peace agreement and humanitarian support
#Ethiopia-USA diplomatic relation was established 120 years ago, useful economic…
Show more",,21,61,214,['https://pbs.twimg.com/media/F-hGGOQWwAALymq?format=jpg&name=900x900'],https://twitter.com/seleshi_b_a/status/1722703934173721073
InMortgageFinance,@IMFpubs,2023-11-09T16:06:00.000Z,"InMortgageFinance
@IMFpubs
·
Nov 10","Senators Tina Smith, D-MN, and Mike Rounds, R-ND, called for a current RHS pilot program for CDFI loans on tribal lands to be expanded, brought outside the pilot stage and made permanent. They’re hopeful a rural housing bill could move forward this year.",,,,,[],https://twitter.com/IMFpubs/status/1722646729596731573
SD Wing Civil Air Patrol,@SDWingCAP,2023-11-09T15:38:01.000Z,"SD Wing Civil Air Patrol
@SDWingCAP
·
Nov 9","Cadet Colonel Keon den Hoed, CAP, received the General Carl A. Spaatz Award on November 2, the highest achievement in the CAP youth program. Representatives of US Senator Mike Rounds and US Representative Randy Feenstra participated in the ceremony.",,1,,2,['https://pbs.twimg.com/card_img/1731706660161232896/noeTRtyr?format=jpg&name=900x900'],https://twitter.com/SDWingCAP/status/1722639687804699025
Dezmond Ward,@DEZ_the_PREZ,2023-11-09T15:07:59.000Z,"Dezmond Ward
@DEZ_the_PREZ
·
Nov 9",“Senator Mike Rounds says President Biden’s Executive Order to regulate Artificial Intelligence development may go too far.”,,,,2,['https://pbs.twimg.com/card_img/1731160801178697728/3svcbdnJ?format=jpg&name=360x360'],https://twitter.com/DEZ_the_PREZ/status/1722632132093202840
Greg Belfrage,@Greg_Belfrage,2023-11-09T14:37:28.000Z,"Greg Belfrage
@Greg_Belfrage
·
Nov 9",Greg speaks to US Senator Mike Rounds:,,,,,[],https://twitter.com/Greg_Belfrage/status/1722624450712228327
KELO Bob Mercer,@pierremercer,2023-11-09T11:57:40.000Z,"KELO Bob Mercer
@pierremercer
·
Nov 9","South Dakota's U.S. senators Mike Rounds and John Thune have endorsed Sen. Scott for the GOP presidential nomination.
Check out this article from 
@nytimes
. Because I'm a subscriber, you can read it through this gift link without a subscription.",,,,,[],https://twitter.com/pierremercer/status/1722584234588557654
@askapol,@askapol,2023-11-09T00:55:01.000Z,"@askapol
@ask_a_pol
·
Nov 9","NEW: 

EXCLUSIVE — Sen. Mike Rounds laughs off retirement message from AARO's Kirkpatrick: ""maybe he sees something that we don't know""

#ufox #ufotwitter 
https://open.substack.com/pub/askapol/p/exclusive-sen-rounds-laughs-off-retirement?r=1ij7cx&utm_campaign=post&utm_medium=web…",,2,5,29,['https://pbs.twimg.com/media/F-dBWNtW4AAbPp4?format=png&name=900x900'],https://twitter.com/ask_a_pol/status/1722417472463155458
Aberdeen Public School District,@AberdeenSD61,2023-11-10T22:34:45.000Z,"Aberdeen Public School District
@AberdeenSD61
·
Nov 11","Today, #AberdeenPublicSchools honored veterans with events across the district, including musical performances, breakfasts and sing-alongs! Aberdeen Central welcomed Sen. Mike Rounds as guest speaker at the CHS #VeteransDay program! See more photos here: https://my.walls.io/ASD61",,,,6,"['https://pbs.twimg.com/media/F-m0oTKX0AAYhR5?format=jpg&name=small', 'https://pbs.twimg.com/media/F-m0oeIWkAAHONO?format=jpg&name=small', 'https://pbs.twimg.com/media/F-m0opeXYAEUqFY?format=jpg&name=small', 'https://pbs.twimg.com/media/F-m0oz4WAAEZOnX?format=jpg&name=small']",https://twitter.com/AberdeenSD61/status/1723106949187674274
Thomas Hill,@ThomasHill11596,2023-11-10T19:47:18.000Z,"Thomas Hill
@ThomasHill11596
·
Nov 11","RINOs Mitt Romney, Pete Ricketts and Mike Rounds all voted against Audit the Fed. Mitt Romney & Pete Ricketts are up for reelection in 2024. If they run for reelection they need to be Primearied. Rounds & McConnell are not up for reelection until 2026.",,,,,['https://pbs.twimg.com/card_img/1731740860616785920/uT9UI1Rf?format=jpg&name=900x900'],https://twitter.com/ThomasHill11596/status/1723064811129360824
EBC WORLD,@ebczena,2023-11-10T16:45:28.000Z,"EBC WORLD
@ebczena
·
Nov 11","#Ethiopian Ambassador to the United States of America, Seleshi Bekele (PhD) discussed with US Senator Mike Rounds on various bilateral issues.",,3,12,44,['https://pbs.twimg.com/card_img/1733191878223200256/oaIp61ES?format=jpg&name=medium'],https://twitter.com/ebczena/status/1723019048869392862
Dylan Reid,@AIHealthcarePod,2023-11-10T14:56:44.000Z,"Dylan Reid
@AIHealthcarePod
·
Nov 10","Senators Chuck Schumer, Mike Rounds, Martin Heinrich, and Todd Young recently hosted a sixth AI insight forum on privacy and liability.

The right education is key.

https://schumer.senate.gov/newsroom/press-releases/statements-from-the-sixth-bipartisan-senate-forum-on-artificial-intelligence…

#ai #capitolhill #innovation #futurism",,1,,,[],https://twitter.com/AIHealthcarePod/status/1722991687750877496
ArgusLeader911,@Argus911,2023-11-10T14:56:02.000Z,"ArgusLeader911
@Argus911
·
Nov 10","How Sen. Mike Rounds wants to reimagine the VA, future of veterans in America: A Q&A",,,,1,['https://pbs.twimg.com/card_img/1733149420798275585/QqhCJigi?format=jpg&name=900x900'],https://twitter.com/Argus911/status/1722991512210788472
argusleader,@argusleader,2023-11-10T14:56:02.000Z,"argusleader
@argusleader
·
Nov 10","How Sen. Mike Rounds wants to reimagine the VA, future of veterans in America: A Q&A",,2,1,,['https://pbs.twimg.com/card_img/1733149420798275585/QqhCJigi?format=jpg&name=900x900'],https://twitter.com/argusleader/status/1722991510432481729
Eye on The Horn,@eyeonSudan,2023-11-10T11:02:07.000Z,"Eye on The Horn
@eyeonSudan
·
Nov 10",Amb. Seleshi Bekele holds discussion with Senator Mike Rounds http://dlvr.it/SyfQ2Z #Fanabc #Ethiopia,,,,,[],https://twitter.com/eyeonSudan/status/1722932645796192448
FBC (Fana Broadcasting Corporate S.C.),@fanatelevision,2023-11-10T10:23:44.000Z,"FBC (Fana Broadcasting Corporate S.C.)
@fanatelevision
·
Nov 10","Amb. Seleshi Bekele holds discussion with Senator Mike Rounds
#Ethiopia #USA",,1,12,22,['https://pbs.twimg.com/media/F-kNNNqWwAAhKu0?format=jpg&name=900x900'],https://twitter.com/fanatelevision/status/1722922984879329452
