UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
Tropicanne,@Tropicanne21,2023-11-01T23:51:31.000Z,"Tropicanne
@Tropicanne21
·
Nov 2",Tell Mitch McConnell to go sit in his rocking chair and shut the hell up,,,,,['https://pbs.twimg.com/profile_images/1604127647390392323/1CdvBvRK_normal.jpg'],https://twitter.com/Tropicanne21/status/1719864780540858470
Tribulation_2000,@Tribulation2k,2023-11-01T23:51:14.000Z,"Tribulation_2000
@Tribulation2k
·
Nov 2",RINO Mitch McConnell Issues Stern Warning to GOP Senators: Backing Josh Hawley’s Anti-Corporate Donation Bill Could Mean ‘Incoming’ Consequences,,,,,['https://pbs.twimg.com/media/F94v1Xza0AAt5qd?format=jpg&name=900x900'],https://twitter.com/Tribulation2k/status/1719864708440920451
Bitch Pudding,@BitchPudding13,2023-11-01T23:50:07.000Z,"Bitch Pudding
@BitchPudding13
·
Nov 2","If Mitch McConnell condemns what you're doing, you should probably keep doing it.",,,,1,['https://pbs.twimg.com/card_img/1732539698025725952/XNGWPEj7?format=jpg&name=900x900'],https://twitter.com/BitchPudding13/status/1719864424972919025
Edwin,@Nuked4Every1,2023-11-01T23:48:19.000Z,"Edwin
@Nuked4Every1
·
Nov 2","Mitch McConnell:

 “The path toward greater security for all of us is simple: Help Ukraine win the war,”",🔥 ⭐ ⭐ 🔥,,,,['https://pbs.twimg.com/ext_tw_video_thumb/1719863920976932864/pu/img/OGwWNrx4zMe5fiSl.jpg'],https://twitter.com/Nuked4Every1/status/1719863972650746274
Michael Pierce,@MichaelPierce27,2023-11-01T23:24:26.000Z,"Michael Pierce
@MichaelPierce27
·
Nov 2",Mitch McConnell warns GOP senators they’ll face ‘incoming’ if they back Hawley bill to limit corporate giving in campaigns,,,,,[],https://twitter.com/MichaelPierce27/status/1719857961927885107
the banana man,@yt_likes_cheese,2023-11-01T23:23:01.000Z,"the banana man
@yt_likes_cheese
·
Nov 2","Check out much more on Bilibili Comics - search ""An Evil Master and His Disciples"" and favorite!
 
#MitchMcConnell #gameart #Kawaii

https://m.bilibilicomics.com/share/reader/mc3049?utm_source=app_share_twitter&utm_medium=skiptimemission&systemLang=en&yh=MTE1MzE1OTAwMQ==&share_template=1_6&hashtag=MitchMcConnell,gameart,Kawaii&time=2023-11-01_23:22:56…",,,,2,['https://pbs.twimg.com/media/F94pYObW4AA30Mw?format=jpg&name=900x900'],https://twitter.com/yt_likes_cheese/status/1719857606527680536
Steve Ramirez,@SteveRamirez,2023-11-01T23:10:36.000Z,"Steve Ramirez
@SteveRamirez
·
Nov 2","The overwhelming majority of the resources approved as security assistance for #Ukraine has... gone directly to American manufacturers, supporting #American jobs, expanding the American industrial base, and producing new weapons for America’s military — Sen Mitch McConnell #quote",,,,,[],https://twitter.com/SteveRamirez/status/1719854482476196108
SupFellas,@monkeyshines6,2023-11-01T23:10:18.000Z,"SupFellas
@monkeyshines6
·
Nov 2","Here is the text of the address Mitch McConnell gave in the Senate today: https://republicanleader.senate.gov/newsroom/remarks/us-defense-production-pays-dividends-far-beyond-ukraine#:~:text=%E2%80%9CHere's%20the%20plain%20truth%3A%20The,new%20weapons%20for%20America's%20military….

Supporting Ukraine's victory is in the best interests of American diplomacy, defense development, and economic opportunity.  It sends a clear signal to our adversaries that we are…
Show more",,,8,16,"['https://pbs.twimg.com/profile_images/1688569336716267520/aya-qN73_normal.jpg', 'https://pbs.twimg.com/ext_tw_video_thumb/1719794701006487552/pu/img/s2QlImrAjsvIo4Km.jpg']",https://twitter.com/monkeyshines6/status/1719854404877029627
Nato Jacobs,@dcmadness202,2023-11-01T23:09:24.000Z,"Nato Jacobs
@dcmadness202
·
Nov 2",The Republicans have really gone crazy if I’m agreeing with Mitch McConnell AND Lindsey Graham in the same week about how stupid the extra conservative Republicans are being.,,2,1,,[],https://twitter.com/dcmadness202/status/1719854180427260083
Ęrên Nęagêr,@levi_Blackerman,2023-11-01T23:06:28.000Z,"Ęrên Nęagêr
@levi_Blackerman
·
Nov 2",How the hell is Mitch McConnell’s heart still beating?,,4,,12,[],https://twitter.com/levi_Blackerman/status/1719853441256755316
Harrison H,@HarrisonsPotato,2023-11-01T23:06:21.000Z,"Harrison H
@HarrisonsPotato
·
Nov 2","Never thought I’d say this, but mean it sincerely, “Thanks, Mitch!!” McConnell pressures pos, spineless, hater, treasonweasel, misogynist Speaker to continue funding Ukraine.",🟧,,,2,['https://pbs.twimg.com/card_img/1730152560621699072/RUzFiL2C?format=jpg&name=900x900'],https://twitter.com/HarrisonsPotato/status/1719853412727038279
Theagenes,@Paladin634,2023-11-01T23:05:59.000Z,"Theagenes
@Paladin634
·
Nov 2","IMO, the big 3from the Republican Party that did the most or likely the most to aid and abet in the coup were Mitch McConnell, Lindsey Graham, and Bill Barr. They were successful. We are no longer the USA, our beloved country. Tears for our children that a few evil people did it.",,,,,[],https://twitter.com/Paladin634/status/1719853318053257724
jack williamson,@jackwil10870687,2023-11-01T23:04:21.000Z,"jack williamson
@jackwil10870687
·
Nov 2","When will some GOP SENATORS STAND UP against Mitch McConnell trying to UNDERCUT the 
@HouseGOP
 ...go pass House Border Security Bill or NO MONEY FOR UKRAINE?? there is going to be a LOT of pissed off TRUMP voters at your next primary 
@SenTedCruz
 @JohnCornyn
 @RandPaul
 @SenateGOP",,,,,['https://pbs.twimg.com/profile_images/1445241781361078281/P5hKgBXk_normal.jpg'],https://twitter.com/jackwil10870687/status/1719852910039740783
Millennial Conservative,@Milennial_con,2023-11-01T22:58:56.000Z,"Millennial Conservative
@Milennial_con
·
Nov 2","RINO Mitch McConnell Issues Stern Warning to GOP Senators: Backing Josh Hawley’s Anti-Corporate Donation Bill Could Mean ‘Incoming’ Consequences  https://ift.tt/VRS5CfL https://ift.tt/uf158ay 

#TheMillennialPress",™,,,,[],https://twitter.com/Milennial_con/status/1719851543829098600
Karza von Karnstein,@freiherrKvK,2023-11-01T22:46:39.000Z,"Karza von Karnstein
@freiherrKvK
·
Nov 2","The 
@frontlinepbs
 documentary on Mitch McConnell last night was naïve as hell! People in 2023 expect  politicians to be something other than Roscoe Conkling? Interests>>>Values, always have, always will #Fact. 
@TheEconomist
 reports Taiwan still doing business with China.",,,,1,[],https://twitter.com/freiherrKvK/status/1719848454027989175
GEWOON MEREL ,@CrazyBytezz,2023-11-01T22:45:19.000Z,"GEWOON MEREL 
@CrazyBytezz
·
Nov 2","Mitch McConnell: ""De weg naar meer veiligheid voor ons allemaal is eenvoudig: Oekraïne helpen de oorlog te winnen"".

ik begin echt gek te worden, wat een freakshow",⚓,1,,4,['https://pbs.twimg.com/ext_tw_video_thumb/1719847992344113152/pu/img/ZoLZVGFaaMfncodb.jpg'],https://twitter.com/CrazyBytezz/status/1719848118974316674
jerrykirby,@jerrykirby54,2023-11-01T22:42:49.000Z,"jerrykirby
@jerrykirby54
·
Nov 2",Mitch McConnell is not our friend.,,,,4,[],https://twitter.com/jerrykirby54/status/1719847489346408504
Dick Durbin,@DickDurbin,2023-11-01T22:41:10.000Z,"Dick Durbin
@DickDurbin
·
Nov 2",I don’t work for Mitch McConnell. I work for the people of Illinois and around the country who care about protecting democracy—and they deserve a Supreme Court they can trust.,,41,42,172,['https://pbs.twimg.com/card_img/1732132416523829249/Gs80d3NN?format=jpg&name=small'],https://twitter.com/DickDurbin/status/1719847075263770712
PedoJoe is a National Security Risl!,@mit930va,2023-11-01T22:33:31.000Z,"PedoJoe is a National Security Risl!
@mit930va
·
Nov 2",And I am fully convinced that Mitt Romney and Mitch McConnell do as well.,,,,,['https://pbs.twimg.com/profile_images/1606836521784512512/Xb-_cXXi_normal.jpg'],https://twitter.com/mit930va/status/1719845147859374309
karen mackean-Slaton,@karenmackean1,2023-11-01T22:29:40.000Z,"karen mackean-Slaton
@karenmackean1
·
Nov 2","Mitch McConnell covering his ass 
https://gettr.com/post/p2todv2be09….  ",👍 👍 👍 👍 👍 👍 💥 💥 💥 💥 💥 💥 💥 💥 💥 💥 💥 💥,,,,[],https://twitter.com/karenmackean1/status/1719844182758715557
tbone,@tbone9070,2023-11-01T22:28:11.000Z,"tbone
@tbone9070
·
Nov 2",Why on earth would Mitch McConnell be against limits on corporate contributions to politicians? Why?????,,,1,1,['https://pbs.twimg.com/profile_images/1731799524983877632/mRFiBkOw_normal.png'],https://twitter.com/tbone9070/status/1719843808597234132
Arthur,@mnathan660,2023-11-01T22:25:00.000Z,"Arthur
@mnathan660
·
Nov 2","Per usual Frozen Mitch McConnell is on the wrong side of the law, ethics and morality . . . .such a Grifting Crook.
Totally inappropriate': McConnell condemns investigation of Supreme Court ethics scandals",,,,,[],https://twitter.com/mnathan660/status/1719843008080662717
Mark Aurand,@MarkAurand11,2023-11-01T22:03:35.000Z,"Mark Aurand
@MarkAurand11
·
Nov 2","Mitch McConnell Needs to Retire or Move to the Democratic Party. He is a Eyesore to Conservative Values #MoscowMitch #DitchMitch 

https://cnn.com/2023/10/31/politics/mitch-mcconnell-josh-hawley-citizens-united/index.html…",,,,1,[],https://twitter.com/MarkAurand11/status/1719837614830653729
Rebecca Pilar Buckwalter-Poza (she | they),@rpbp,2023-11-01T22:03:00.000Z,"Rebecca Pilar Buckwalter-Poza (she | they)
@rpbp
·
Nov 2","These words do not mean what Mitch McConnell thinks they do.

“What he’s targeting...is private citizens with no legislative purpose,” per McConnell [re: subpoenaing Clarence Thomas's billionaire buddies]. “I think it’s completely & totally inappropriate.”",,,,2,['https://pbs.twimg.com/card_img/1730028565549199360/WWbA_UPG?format=jpg&name=900x900'],https://twitter.com/rpbp/status/1719837469653250283
The Gateway Pundit,@gatewaypundit,2023-11-01T21:45:50.000Z,"The Gateway Pundit
@gatewaypundit
·
Nov 2","RINO Mitch McConnell Issues Stern Warning to GOP Senators: Backing Josh Hawley’s Anti-Corporate Donation Bill Could Mean ‘Incoming’ Consequences via 
@gatewaypundit",,335,347,457,['https://pbs.twimg.com/card_img/1732559684064681985/rLbUoJVO?format=jpg&name=900x900'],https://twitter.com/gatewaypundit/status/1719833147695611970
Ben Owen,@hrkbenowen,2023-11-01T21:44:55.000Z,"Ben Owen
@hrkbenowen
·
Nov 2",RINO Mitch McConnell Issues a Stern Warning to GOP Senators: Backing Josh Hawley's Anti-Corporate Donation Bill Could Mean 'Incoming' Consequences,,2,12,13,['https://pbs.twimg.com/card_img/1732559684064681985/rLbUoJVO?format=jpg&name=900x900'],https://twitter.com/hrkbenowen/status/1719832919475118138
Rorschach,@PMynmnobody,2023-11-01T21:35:39.000Z,"Rorschach
@PMynmnobody
·
Nov 2","Andy Beshear is an awesome Governor, his opponent is picked by Mitch McConnell and backed by private citizen trump. See how you can help Andy.",,,,,"['https://pbs.twimg.com/profile_images/1683590743737204736/ONrgwt7R_normal.jpg', 'https://pbs.twimg.com/amplify_video_thumb/1719821781244997632/img/UrkC1IJzcvDzDUYp.jpg']",https://twitter.com/PMynmnobody/status/1719830588683596067
Pomma she/her WOLVES ARE SMARTER THAN HUMANS,@Pommawolf,2023-11-01T21:26:50.000Z,"Pomma she/her WOLVES ARE SMARTER THAN HUMANS
@Pommawolf
·
Nov 2","Mitch McConnell TURNS On His Own Party As Staggering Threat Revealed https://youtu.be/Gd8zwvMwkNs?si=rFN-q-YHDSPXlA9W… via 
@YouTube",,,,,[],https://twitter.com/Pommawolf/status/1719828368173224102
Robin,@Robin973843343,2023-11-01T20:52:35.000Z,"Robin
@Robin973843343
·
Nov 2","SENATOR’S CHARLES SCHUMER, & MITCH MCCONNELL, US NATIONAL SECURITY IS ENDANGERED BY 1 individual. TUBERVILLE, who is not in any manner qualified to be in the US SENATE. Please change the specific rule he is abusing or EXPELL HIM. His time is over.",,,,,[],https://twitter.com/Robin973843343/status/1719819750459801671
