UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
The Washington Times,@WashTimes,2023-11-01T22:10:00.000Z,"The Washington Times
@WashTimes
·
Nov 2","Appropriations Committee Chair Sen. Patty Murray, Washington Democrat, struggled to restore order.",,,1,2,['https://pbs.twimg.com/card_img/1732140200518922240/pHwDDP3n?format=jpg&name=900x900'],https://twitter.com/WashTimes/status/1719839230417948785
Senator Patty Murray,@PattyMurray,2023-11-01T22:05:00.000Z,"Senator Patty Murray
@PattyMurray
·
Nov 2","We were able to find common ground to produce reasonable, bipartisan bills in the Senate. Working together is the only way to get our work done in divided government. I hope House Republicans drop the extreme partisanship and get serious about doing their jobs—and quickly.",,101,92,278,[],https://twitter.com/PattyMurray/status/1719837972474781880
Janice Hough,@leftcoastbabe,2023-11-01T21:35:59.000Z,"Janice Hough
@leftcoastbabe
·
Nov 2","Senate actually passed a bipartisan spending bill, 82-15.

Patty Murray talking about needing to start conferencing our appropriations bills... ""But that will require the House Republicans to get serious about governing...""

Understatement of the year.",,,,4,[],https://twitter.com/leftcoastbabe/status/1719830671626309647
Senator Patty Murray,@PattyMurray,2023-11-01T21:27:00.000Z,"Senator Patty Murray
@PattyMurray
·
Nov 2","The Senate just passed 3 strong, bipartisan spending bills—the first & only bipartisan bills to pass either chamber of Congress.

Unlike the funding measures we’ve seen in the House thus far, these are serious and reasonable, bipartisan bills that can actually be signed into law.",,95,111,439,[],https://twitter.com/PattyMurray/status/1719828412053836143
Kateri Caron,@jancangirl,2023-11-01T21:04:06.000Z,"Kateri Caron
@jancangirl
·
Nov 2","This is NOT Israel defending itself! This is revengeful heartless bloody #Genocide_in_Gaza A REFUGEE CAMP BOMBED TWICE in 24 hours! No sane person can claim that this is war! It is #Genocide_in_Gaza #WarCrimes 
@PattyMurray
 @SenatorCantwell
 @cathymcmorris
 https://twitter.com/wasimakram7005/status/1719810214227259731…",,,,,[],https://twitter.com/jancangirl/status/1719822648060870776
twilight2000,@twilight2000,2023-11-01T20:56:41.000Z,"twilight2000
@twilight2000
·
Nov 2","this is nuts. this is absolutely nuts. remove all the holds, remove tubberville if you have to, at very least remove the ability of tuberville to destroy military readiness! 
@SenSchumer
 stop hesitating over one damn rule that's destroying U. S. military readiness! 
@PattyMurray",,,,,[],https://twitter.com/twilight2000/status/1719820781222547914
Kateri Caron,@jancangirl,2023-11-01T20:53:43.000Z,"Kateri Caron
@jancangirl
·
Nov 2","#CeasefireForGaza But our U.S. President and Congress have funded and approved so much slaughter of civilians over the 73 years of my lifetime that they now have black hearts only capable of seeing EMPIRE! Not HUMANITY! 
@POTUS
 @PattyMurray
 @SenatorCantwell
 @cathymcmorris",,,,,['https://pbs.twimg.com/profile_images/1726516198291214336/m-rOxF3y_normal.jpg'],https://twitter.com/jancangirl/status/1719820034334196026
mk77_williepete,@mk77_williepete,2023-11-01T20:01:24.000Z,"mk77_williepete
@mk77_williepete
·
Nov 2","These are excellent questions. Why is it that #JayInslee, #MariaCantwell, #PattyMurray & the #WashingtonState #DemocraticParty refuse to condemn the #antiSemitic bile spewed by their own #neoNazi #PramilaJayapal & its #fascist'a #nazi korpsbrüders #IlhanOmar & #AyannaPressley?",🤔,,1,1,['https://pbs.twimg.com/profile_images/502554090094592000/0NhJD9IW_normal.jpeg'],https://twitter.com/mk77_williepete/status/1719806869475131665
Mad Scientist,@Senshair,2023-11-01T19:57:03.000Z,"Mad Scientist
@Senshair
·
Nov 2","The lady who runs her campaign on let us kill your unborn daughters.  Then saying women have the right to choose just not their own lives if their in your womb.  What kind of woman would promote this.  Ahh 
@PattyMurray
  that’s who.",,,,,[],https://twitter.com/Senshair/status/1719805772769398987
Jo #CPP,@Jo74596327,2023-11-01T19:45:01.000Z,"Jo #CPP
@Jo74596327
·
Nov 2","#CPP my
@SenJohnKennedy
 @PattyMurray
 @SenDuckworth
 @SenJeffMerkley
 @SenGillibrand
 @ABC
 @NBCNews
 @CBSNews",💔 💔 💔,,,,['https://pbs.twimg.com/profile_images/1566809653144686592/AiGaxkhl_normal.jpg'],https://twitter.com/Jo74596327/status/1719802747212779774
