UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
Dan Dvorak,@calftraining101,2023-11-01T21:21:30.000Z,"Dan Dvorak
@calftraining101
·
Nov 2","Have you had a hand in the cookie jar 
@PeteRicketts
 ? Explain to your constituents why you voted Nay on “audit the Fed” today.",,,,1,[],https://twitter.com/calftraining101/status/1719827025160970677
Pete Ricketts,@PeteRicketts,2023-11-01T20:46:39.000Z,"Pete Ricketts
@PeteRicketts
·
Nov 2","Last week, I visited the southern border to see the crisis firsthand and hear from our border patrol agents who experience Biden's failed border policies every day.

To solve this crisis we must reinstate Remain in Mexico and secure our southern border.",,16,10,36,[],https://twitter.com/PeteRicketts/status/1719818257052360903
John Glen Weaver,@JGWeaverNE,2023-11-01T18:58:46.000Z,"John Glen Weaver
@JGWeaverNE
·
Nov 2","No surprise here. 
@PeteRicketts
 voting against 
@RandPaul
 to audit the federal reserve. Rickets joining the Democrats again. #richRINO vote http://jgwne.co",,8,18,33,[],https://twitter.com/JGWeaverNE/status/1719791107444277518
CANAL 26,@canal26noticias,2023-11-01T16:25:43.000Z,"CANAL 26
@canal26noticias
·
Nov 2"," REPUBLICANOS CONTRA BIDEN

 Los senadores John Barrasso, John Cornyn, Ted Cruz y Pete Ricketts criticaron las políticas fronterizas de la administración Biden mientras los migrantes continúan ingresando ilegalmente a Estados Unidos. 

 Más videos: https://youtube.com/@Canal26",🔴 📲,,1,1,['https://pbs.twimg.com/ext_tw_video_thumb/1719752537782222849/pu/img/lVK13zyAVZAf57ZR.jpg'],https://twitter.com/canal26noticias/status/1719752589976142280
NeBra$ka WINnInG,@NebrNice,2023-11-01T02:20:00.000Z,"NeBra$ka WINnInG
@NebrNice
·
Nov 1","Taking money from public schools to give to private schools benefits good Catholics: Pete Ricketts, Mike Flood, Jim Pillen, Mike Hilgers, Lou Ann Linehan, Tom Peed, Pat Condon.
They go to the BaNK.#Voucherscheme",,6,14,33,[],https://twitter.com/NebrNice/status/1719539758156653049
Kari Lake,@KariLake,2023-11-01T00:25:57.000Z,"Kari Lake
@KariLake
·
Nov 1","Senators 
@barrassoforwyo
, 
@tedcruz
, 
@JohnCornyn
, & 
@PeteRicketts
 are sounding the alarm after their visit to the southern border.

The Biden-Gallego-Sinema CHOICE to open our border is an invitation for terrorists to enter our country.

I look forward to helping my future…
Show more",,140,430,1.4K,[],https://twitter.com/KariLake/status/1719511054609531067
Pete Ricketts,@PeteRicketts,2023-11-02T23:58:40.000Z,"Pete Ricketts
@PeteRicketts
·
Nov 3","#TeamRicketts was in Central City tonight for the Merrick County Farm Bureau annual meeting.

We greatly appreciate the partnership with the 
@NEFarmBureau
 and look forward to continuing to work with you.",,4,1,9,[],https://twitter.com/PeteRicketts/status/1720228965284012254
Norfolk Daily News,@NorfolkNews,2023-11-02T23:15:00.000Z,"Norfolk Daily News
@NorfolkNews
·
Nov 3","As explained by Sen. Pete Ricketts, the Stop Support for Hamas Act calls for an end to financial contributions through the U.N. Relief and Works Agency for Palestinian refugees, which the bill alleges has been linked to the Hamas terrorist organization.",,,,,[],https://twitter.com/NorfolkNews/status/1720217975884517455
John Glen Weaver,@JGWeaverNE,2023-11-02T21:49:26.000Z,"John Glen Weaver
@JGWeaverNE
·
Nov 3","Does anyone know the trick to get the 
@dcrponline
 and 
@ChrisRouthe
 to approve and post my campaign stuff on Facebook? They allow my opponent 
@PeteRicketts
 and 
@RepDonBacon
 to post right and left. Is it them or FB causing the issue?",,2,6,14,[],https://twitter.com/JGWeaverNE/status/1720196443045044309
Sri Lanka in USA,@EmbassyofSL,2023-11-02T20:25:54.000Z,"Sri Lanka in USA
@EmbassyofSL
·
Nov 3","Ambassador Mahinda Samarasinghe met with Senator Pete Ricketts (Republican, Nebraska) on 2ndNovember 2023. Ambassador briefed the Senator on the latest developments in Sri Lanka. Senator Pete Ricketts is a member of the US Senate Foreign Relations Committee",,,,,[],https://twitter.com/EmbassyofSL/status/1720175422330093673
Mahinda Samarasinghe,@AmbSamarasinghe,2023-11-02T20:25:24.000Z,"Mahinda Samarasinghe
@AmbSamarasinghe
·
Nov 3","Ambassador Mahinda Samarasinghe met with Senator Pete Ricketts (Republican, Nebraska) on 2ndNovember 2023. Ambassador briefed the Senator on the latest developments in Sri Lanka. Senator Pete Ricketts is a member of the US Senate Foreign Relations Committee",,,,2,[],https://twitter.com/AmbSamarasinghe/status/1720175295183925539
John Glen Weaver,@JGWeaverNE,2023-11-03T23:52:15.000Z,"John Glen Weaver
@JGWeaverNE
·
Nov 4","Same with 
@PeteRicketts
.",,,,,[],https://twitter.com/JGWeaverNE/status/1720589737423983019
KNOP-TV,@KNOPTV,2023-11-03T19:31:03.000Z,"KNOP-TV
@KNOPTV
·
Nov 4",U.S. Senator Pete Ricketts announces mobile office hours in Greater Nebraska,,,,,[],https://twitter.com/KNOPTV/status/1720524004883124286
John Glen Weaver,@JGWeaverNE,2023-11-03T18:53:12.000Z,"John Glen Weaver
@JGWeaverNE
·
Nov 4"," VOTED WITH DEMOCRATS #richRINO 
@PeteRicketts
 was 1 of 2 republicans voting w/51 democrats again to improve disaster relief to our farmers. When I’m in the senate I won’t fall on legislative grenades for 
@LeaderMcConnell
. I will always vote for Ag. http://jgwne.co",🤯,3,6,11,[],https://twitter.com/JGWeaverNE/status/1720514480159797699
Andy,@2ballGrady,2023-11-03T17:31:04.000Z,"Andy
@2ballGrady
·
Nov 4","If you want to put a true America first candidate into the senate & eliminate the appointed #RINO 
@PeteRicketts
 here is your chance.
Support 
@JGWeaverNE",,,,1,[],https://twitter.com/2ballGrady/status/1720493811497881995
John Glen Weaver,@JGWeaverNE,2023-11-03T14:59:23.000Z,"John Glen Weaver
@JGWeaverNE
·
Nov 3","Keep pressing forward 
@HawleyMO
! 
@LeaderMcConnell
 is threatened. I’ll be there in Jan 2025 to help. The people want us. Not the consultant class. Make my opponent 
@PeteRicketts
 vote on this.",,,,,[],https://twitter.com/JGWeaverNE/status/1720455637857951935
