UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
Citizen YC,@CitiznYC,2023-11-01T20:14:00.000Z,"Citizen YC
@CitiznYC
·
Nov 2","US Senators Sanders, Warren ask Biden admin about Israel’s endgame
The letter, signed by the two progressive senators, as well as colleagues Peter Welch and Jeffrey Merkley, comes as the Biden administration has asked Congress to approve an additional $14bn in military assistance…
Show more",,,,,[],https://twitter.com/CitiznYC/status/1719810038909268052
PatientQoL Coalition,@PatientQoL,2023-11-01T20:13:15.000Z,"PatientQoL Coalition
@PatientQoL
·
Nov 2","Thank you @PeterWelch for being a #PCHETA cosponsor! This bill will improve quality of life for patients living with serious illness and their families. 
@PatientQoL
 #HPM #HAPC",,,1,1,['https://pbs.twimg.com/media/F93972TboAAjTVL?format=jpg&name=900x900'],https://twitter.com/PatientQoL/status/1719809851998736657
thejourneypwp,@thejourneypwp,2023-11-01T08:21:59.000Z,"thejourneypwp
@thejourneypwp
·
Nov 1","PASSERSBY
St. Louis, MO (2010)
copyright © Peter Welch

#nftcollectors #NFTartwork #peterwelchphoto #thejourneypwp #blackandwhitephotography #photography #blackandwhite #STLouis #STLCards #Missouri #TheGatewayArch #monument #urban  #abandoned #cityscape #driveby #Icon #symbol",,,,3,['https://pbs.twimg.com/media/F91ZfeWXIAA9skW?format=jpg&name=900x900'],https://twitter.com/thejourneypwp/status/1719630855243731100
Talking Points Memo,@TPM,2023-11-02T20:17:34.000Z,"Talking Points Memo
@TPM
·
Nov 3","Senate Republicans — ""Leonard Leo's protection squad,"" per Sen. Peter Welch (D-VT) — on Thursday threatened to block Democrats' effort to subpoena Leo, Harlan Crow and Robin Arkley and probe their ties to Supreme Court justices.",,3,10,16,[],https://twitter.com/TPM/status/1720173326167883906
VTDigger,@vtdigger,2023-11-02T19:56:00.000Z,"VTDigger
@vtdigger
·
Nov 3",Peter Welch unveils new legislation to help organic dairy farmers,,,,2,[],https://twitter.com/vtdigger/status/1720167897035681836
Breakfast Media,@BroadbandCensus,2023-11-02T17:46:22.000Z,"Breakfast Media
@BroadbandCensus
·
Nov 3",Senators Pitch New Agency for Tech Regulation to Address FTC Shortcomings : Democratic Sens. Michael Bennet of Colorado and Peter Welch of Vermont urging the creation of a new tech regulatory agency.,,,,2,[],https://twitter.com/BroadbandCensus/status/1720135275622396325
Roxana Tiron,@rtiron,2023-11-02T15:23:32.000Z,"Roxana Tiron
@rtiron
·
Nov 2","Sen. 
@SenJackReed
 is talking on the floor with Sens. Amy Klobuchar and Peter Welch --members of the Rules Committee that is needed for the resolution to sidestep 
@SenTuberville
 blockade of military promotions. Klobuchar is the leader of that cmte",,1,6,1,[],https://twitter.com/rtiron/status/1720099327287119984
VTDigger,@vtdigger,2023-11-02T14:05:51.000Z,"VTDigger
@vtdigger
·
Nov 2","U.S. Sen. Peter Welch, D-Vt., has introduced new legislation that would give more federal support to organic dairy farmers across the country.",,1,3,12,[],https://twitter.com/vtdigger/status/1720079778500505870
Brian Beutler,@brianbeutler,2023-11-03T20:44:07.000Z,"Brian Beutler
@brianbeutler
·
Nov 4","“‘Leonard Leo has a protection squad,’ Sen. Peter Welch (D-VT) added through a mouthful of crackers as he left the Senate Democrats’ lunch.”",,2,46,156,[],https://twitter.com/brianbeutler/status/1720542395832369517
FloridaRobert,@FloridaRobert2,2023-11-03T18:45:45.000Z,"FloridaRobert
@FloridaRobert2
·
Nov 4","A list of the US Senates greatest thieves: . Ed Markey MA, Tim Kaine VA, Mark Warner VA, Dick Durbin IL, Jeff Merkley OR, Tammy Duckworth IL, Peter Welch VT, Elizabeth Warren MA, Cory Booker NJ, Chris Van Hollen MD, Tina Smith MN, Chris Murphy CN, and Jeanne Shaheen NH",,,,,[],https://twitter.com/FloridaRobert2/status/1720512606186750230
Rose Marie McKain,@MckainRose,2023-11-03T17:45:24.000Z,"Rose Marie McKain
@MckainRose
·
Nov 4","TY Tim Kaine (D-VA), Mark Warner (D-VA), Dick Durbin (D-IL), Jeff Merkley (D-OR), Tammy Duckworth (D-IL), Peter Welch (D-VT), Elizabeth Warren (D-MA), Cory Booker (D-NJ), Chris Van Hollen (D-MD), Tina Smith (D-MN), Chris Murphy (D-CN), Jeanne Shaheen (D-NH), Ed Markey (D-MA)",☮,,,,[],https://twitter.com/MckainRose/status/1720497417823326558
J̷̘̃̉̀̍̏͐͊͌̌̿̈́̋̂̄̃̃̌͌̑͂̈̋̀̀̓̾̐̄̍̐̐̊̾͆͐̈́́̋̍̅͑̕̚͘͝,@JustinTuthill,2023-11-03T16:13:25.000Z,"J̷̘̃̉̀̍̏͐͊͌̌̿̈́̋̂̄̃̃̌͌̑͂̈̋̀̀̓̾̐̄̍̐̐̊̾͆͐̈́́̋̍̅͑̕̚͘͝
@JustinTuthill
·
Nov 4","When a career politician decides to retire and not die in office   

and their constituents (Vermont) gets to pretend it has democracy and elects another old career politician to replace them. #VTPoli
#BernieSanders #PatrickLeahy #PeterWelch",,,,2,[],https://twitter.com/JustinTuthill/status/1720474268574622027
Michelle Basius,@dunecat1,2023-11-03T14:44:06.000Z,"Michelle Basius
@dunecat1
·
Nov 3",Peter Welch unveils new legislation to help organic dairy farmers,🫶,,,1,[],https://twitter.com/dunecat1/status/1720451794684252190
thejourneypwp,@thejourneypwp,2023-11-04T07:52:07.000Z,"thejourneypwp
@thejourneypwp
·
Nov 4","BEHIND THE HARBOR
SUNSET PARK, NY (2013)
copyright © Peter Welch

#nftcollectors #NFTartwork #peterwelchphoto #thejourneypwp #blackandwhitephotography #photography #blackandwhite #SunsetPark #Brooklyn #NewYork #NewYorkHarbor #Harbor #Safeharbor #cattails #overgrowth #water #sky",,1,,7,[],https://twitter.com/thejourneypwp/status/1720710502794326445
thejourneypwp,@thejourneypwp,2023-11-05T07:43:45.000Z,"thejourneypwp
@thejourneypwp
·
Nov 5","MANICURED PROTECTION
Riviera, FL (2009)
copyright © Peter Welch

#nftcollectors #NFTartwork #peterwelchphoto #thejourneypwp #blackandwhitephotography #photography #blackandwhite #Miami #Florida #lawn #garden #shade #shrub #Riviera #UniversityOfMiami #TURTLE #manicured #protection",,,,5,[],https://twitter.com/thejourneypwp/status/1721070784041373964
BD peoples Voice,@BDPeoplesVoice,2023-11-05T07:04:51.000Z,"BD peoples Voice
@BDPeoplesVoice
·
Nov 5","Four buses torched in the capital
#Politics #Nationalism #FireTerror  #Tareque #Zia #Power #Progress #Attack #Case #Police #bnp  #political #Bangladesh #Bangla #activists #BNP 

@PeterWelch 
@SenWhitehouse
 @RonWyden
 @SenAngusKing
 @SenSanders",,,,,['https://pbs.twimg.com/ext_tw_video_thumb/1721060550766137344/pu/img/PvPe8LVOhSrQn01r.jpg'],https://twitter.com/BDPeoplesVoice/status/1721060992514408587
PSU Ag & Shale Law,@AgShaleLaw,2023-11-06T21:22:01.000Z,"PSU Ag & Shale Law
@AgShaleLaw
·
Nov 7","#AgLaw HotLink: ""Peter Welch unveils new legislation to help organic dairy farmers"" https://buff.ly/47fu1BU 
@vtdigger
 #dairy #farming",,,,1,[],https://twitter.com/AgShaleLaw/status/1721639093673595289
thejourneypwp,@thejourneypwp,2023-11-06T09:19:09.000Z,"thejourneypwp
@thejourneypwp
·
Nov 6","LONG AGO
Poughkeepsie, NY (2019)
copyright © Peter Welch

#nftcollectors #NFTartwork #peterwelchphoto #thejourneypwp #blackandwhitephotography #photography #blackandwhite #Poughkeepsie #NewYork #MainStreet #Upstate #empty #Abandoned #HudsonValley #morning #December #WINTER #NY",,,1,6,[],https://twitter.com/thejourneypwp/status/1721457181659197543
thejourneypwp,@thejourneypwp,2023-11-07T13:28:00.000Z,"thejourneypwp
@thejourneypwp
·
Nov 7","RELOCATION
Milwaukee, WI (2016)
copyright © Peter Welch

#nftcollectors #NFTartwork #peterwelchphoto #thejourneypwp #blackandwhitephotography #photography #blackandwhite #Milwaukee #Milwaukeebucks #Wisconsin #abandoned #empty #urban #decay #RustBelt #industrial #Badgers #litter",,,,3,[],https://twitter.com/thejourneypwp/status/1721882193046413564
thejourneypwp,@thejourneypwp,2023-11-08T09:41:21.000Z,"thejourneypwp
@thejourneypwp
·
Nov 8","BREAKING TIME
Newark, NJ (2017)
copyright © Peter Welch

#nftcollectors #NFTartwork #peterwelchphoto #thejourneypwp #blackandwhitephotography #photography #blackandwhite #Newark #NewJersey #UrbanPhotography #UrbanDecay #urban #city #downtown #Time #Broken #urban #clock #empty #NJ",,,,2,[],https://twitter.com/thejourneypwp/status/1722187541367935335
Legiswipe,@legiswipe,2023-11-08T07:00:23.000Z,"Legiswipe
@legiswipe
·
Nov 8","""A bill to amend title XVIII of the Social Security Act to provide Medicare coverage of ambulance services that do not include tr...""

Status: Read twice and referred to the Committee on F...

https://congress.gov/bill/118th-congress/senate-bill/3236/text…

Sponsor: @PeterWelch",,,,,[],https://twitter.com/legiswipe/status/1722147035086819397
Will (Marie Perez stan),@leskobro,2023-11-08T05:46:37.000Z,"Will (Marie Perez stan)
@leskobro
·
Nov 8","The fiscal policies of Jared Polis
The syndicalist nature of Sherrod Brown
The cultural stance of Henry Cuellar
The non-interventionist approach of Peter Welch
The social policies of Marie Perez
The welfare take of Bob Casey Jr
& the energy policy of Mary Pelota",✝ 🚬,,,8,[],https://twitter.com/leskobro/status/1722128470376062997
Mossavar-Rahmani Center for Business & Government,@HarvardBizGov,2023-11-09T16:52:01.000Z,"Mossavar-Rahmani Center for Business & Government
@HarvardBizGov
·
Nov 10","How Do We Oversee the #Digital World?
11/15/23
Noon - 1:15 PM ET
Wexner 434 Ab
W/ Sen. Peter Welch - Via Zoom, #MRCBG's 
@tewheels
 & Co-Director John Haigh",,,,,[],https://twitter.com/HarvardBizGov/status/1722658312951300329
thejourneypwp,@thejourneypwp,2023-11-09T10:03:07.000Z,"thejourneypwp
@thejourneypwp
·
Nov 9","GATEWAY
Sedona, Arizona (2010)
copyright © Peter Welch

#nftcollectors #NFTartwork #peterwelchphoto #thejourneypwp #blackandwhitephotography #photography #blackandwhite #Sedona #Arizona #desert #graves #cemetery #Heaven #peaceful #gateway #Canyon #redrocks  #Afterlife #ascend #AZ",,,1,2,[],https://twitter.com/thejourneypwp/status/1722555406365470927
Joseph Popailo,@JoeyPop123,2023-11-09T00:46:37.000Z,"Joseph Popailo
@JoeyPop123
·
Nov 9","#StopTheWHO from stealing our sovereignty! “The American Sovereignty Declaration” supporters agree &gt; USA #ExitTheWHO #WhexitSign today at https://sovereigntycoalition.org 
@SenSanders
 @PeterWelch",,,1,1,[],https://twitter.com/JoeyPop123/status/1722415361360822578
Art Nickel,@k0art,2023-11-10T21:03:52.000Z,"Art Nickel
@k0art
·
Nov 11","Following want to allow illegals to compete for jobs...
https://breitbart.com/politics/2023/11/07/senate-democrats-lobby-joe-biden-to-have-millions-of-illegal-aliens-compete-against-americans-for-u-s-jobs/…
Sens. Elizabeth Warren (D-MA), Richard Blumenthal (D-CT), Mazie Hirono (D-HI), Peter Welch (D-VT), Tammy Duckworth (D-IL), Edward Markey (D-MA), Ben Ray Lujan (D-NM), and Bernie Sanders (I-VT).",,,,,[],https://twitter.com/k0art/status/1723084079254630625
thejourneypwp,@thejourneypwp,2023-11-10T09:30:04.000Z,"thejourneypwp
@thejourneypwp
·
Nov 10","DREAMS & MEMORY
Philadelphia, PA (2022)
copyright © Peter Welch

#nftcollectors #NFTartwork #peterwelchphoto #thejourneypwp #blackandwhitephotography #photography #blackandwhite #Philadelphia #Pennsylvania #memory #dreams #dreaming #dusk #rooftop #barebranches #overcast #Autumn",,,,3,[],https://twitter.com/thejourneypwp/status/1722909476825530795
