UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
Xman,@profes00rXavior,2023-11-01T23:58:08.000Z,"Xman
@profes00rXavior
·
Nov 2","https://youtu.be/sGIDM0caxds?si=UGKeD7hA7kuc0OIN… 
@FBI
 @CIA
 @Pontifex
 either the election fraud is on trump or his voting block are pedos in waiting which one is it -> 
@realDonaldTrump
 @RandPaul",,,,,['https://pbs.twimg.com/card_img/1730312978682073088/yDM07I0r?format=jpg&name=360x360'],https://twitter.com/profes00rXavior/status/1719866446124396744
Christopher Lester,@Christo85227037,2023-11-01T23:55:30.000Z,"Christopher Lester
@Christo85227037
·
Nov 2","The Time to Audit the #FederalReserve is Here - https://zerohedge.com/political/time-audit-fed-here… ""what it does in fact is give the government a blank check ... it can get away with anything."" #RandPaul #AnthonyFauci #JeromePowell #Constitution",,,,,['https://pbs.twimg.com/card_img/1732535446276861952/DBOUkT3y?format=jpg&name=900x900'],https://twitter.com/Christo85227037/status/1719865780475404459
Xman,@profes00rXavior,2023-11-01T23:53:45.000Z,"Xman
@profes00rXavior
·
Nov 2","https://youtu.be/7Qwcrwh1vQg?si=FmeRtCa0rzxa-66A… 
@FBI
 @CIA
 @Pontifex
 jail time arostocracy -> 
@realDonaldTrump
 @DonaldJTrumpJr
 @RandPaul",,,,,[],https://twitter.com/profes00rXavior/status/1719865342288175415
Xman,@profes00rXavior,2023-11-01T23:52:34.000Z,"Xman
@profes00rXavior
·
Nov 2","https://youtu.be/4IBYkuK9B98?si=k1Wdrv5_Jo0Q9Dd9… you both look like pedos 
@FBI
 @CIA
 @Pontifex
 -> state college chump 
@DonaldJTrumpJr
 @realDonaldTrump
 @RandPaul",,,,,['https://pbs.twimg.com/card_img/1731349716632498176/d-Bt2SZ7?format=jpg&name=360x360'],https://twitter.com/profes00rXavior/status/1719865043955630118
Xman,@profes00rXavior,2023-11-01T23:50:59.000Z,"Xman
@profes00rXavior
·
Nov 2","Why are you destroying the agencies that protect and find children 
@FBI
 @CIA
 @Pontifex
 -> 
@realDonaldTrump
 @RandPaul
 got something to hide and flip dont you",,,,,[],https://twitter.com/profes00rXavior/status/1719864645199274415
Brian Reed,@BrianRe25284379,2023-11-01T23:50:57.000Z,"Brian Reed
@BrianRe25284379
·
Nov 2",Missouri vs Biden.  Rand Paul is like a blood hound questioning the FBI.,,,,,"['https://pbs.twimg.com/profile_images/1628474658583457793/KRPfh8Zb_normal.jpg', 'https://pbs.twimg.com/profile_images/1696524738288615424/IveIyink_bigger.jpg', 'https://pbs.twimg.com/amplify_video_thumb/1719761007940124672/img/sdJ1lUwmRPyheiOB.jpg']",https://twitter.com/BrianRe25284379/status/1719864637657592227
Xman,@profes00rXavior,2023-11-01T23:47:03.000Z,"Xman
@profes00rXavior
·
Nov 2","https://youtu.be/e9LQVejASCU?si=ddAmjrO4ubtEyoAP… you dont Spanish people? 
@FBI
 @Pontifex
 -> 
@realDonaldTrump
 @RandPaul
 who trained you how the real world works some of us are daddies",,,,,['https://pbs.twimg.com/card_img/1731371511947350016/z-QYCGfn?format=jpg&name=360x360'],https://twitter.com/profes00rXavior/status/1719863653451596082
Meh,@ShovelingMeh,2023-11-01T23:43:38.000Z,"Meh
@ShovelingMeh
·
Nov 2","Yep 

‘He’s Bluffing!’ Rand Paul Tells Fox There’s No Chance Biden Vetoes Israel Aid Bill https://webcache.googleusercontent.com/search?q=cache:nQOo6EzAM-cJ:https://www.mediaite.com/news/hes-bluffing-rand-paul-tells-fox-theres-no-chance-biden-vetoes-israel-aid-bill/&hl=en&gl=us…",,,,,[],https://twitter.com/ShovelingMeh/status/1719862795750039972
Robert De Roos,@Roosr01,2023-11-01T23:41:04.000Z,"Robert De Roos
@Roosr01
·
Nov 2","Laten we de waarheid naar buiten brengen!  
@RandPaul
 confronteert FBI-directeur Wray met de bron van SARS-CoV-2 en de details die we nodig hebben om ECHT te begrijpen wat er is gebeurd.",,,,1,"['https://pbs.twimg.com/profile_images/1610041306260332545/4l8VlN8j_normal.jpg', 'https://pbs.twimg.com/ext_tw_video_thumb/1719425409526452224/pu/img/hRgpTIKO2FjB8rQU.jpg']",https://twitter.com/Roosr01/status/1719862147323253047
Bonnie Kristian,@bonniekristian,2023-11-01T23:27:45.000Z,"Bonnie Kristian
@bonniekristian
·
Nov 2","Thanks to 
@RandPaul
 for the mention of my recent 
@reason
 piece.",,1,1,5,"['https://pbs.twimg.com/profile_images/1649140717174812675/95sSvJKx_normal.jpg', 'https://pbs.twimg.com/ext_tw_video_thumb/1719832787039956992/pu/img/DfvW3LqdcIn9wIJx.jpg']",https://twitter.com/bonniekristian/status/1719858798469304595
